Date,Actual Closing Price,Forecast Closing Price
1998-12-23,33050,28823
1998-12-24,38000,32383
1998-12-28,43700,36526
1999-01-04,43600,41346
1999-01-05,42500,41261
1999-01-06,45000,40327
1999-01-07,43900,42452
1999-01-08,42700,41516
1999-01-11,42500,40497
1999-01-12,40600,40327
1999-01-13,39800,38718
1999-01-14,40300,38042
1999-01-15,39600,38465
1999-01-18,38700,37874
1999-01-19,38700,37115
1999-01-20,39400,37115
1999-01-21,38200,37705
1999-01-22,37000,36694
1999-01-25,36000,35685
1999-01-26,37700,34847
1999-01-27,38900,36273
1999-01-28,38850,37283
1999-01-29,40000,37241
1999-02-01,39450,38211
1999-02-02,38900,37747
1999-02-03,38700,37283
1999-02-04,38750,37115
1999-02-05,38950,37157
1999-02-08,38700,37326
1999-02-09,38100,37115
1999-02-10,38100,36610
1999-02-11,38550,36610
1999-02-12,37600,36989
1999-02-18,36700,36189
1999-02-19,35100,35434
1999-02-22,34200,34094
1999-02-23,33550,33342
1999-02-24,34000,32800
1999-02-25,36000,33175
1999-02-26,36800,34847
1999-03-02,36600,35517
1999-03-03,37700,35350
1999-03-04,38700,36273
1999-03-05,40500,37115
1999-03-08,40000,38634
1999-03-09,39900,38211
1999-03-10,42000,38127
1999-03-11,41000,39903
1999-03-12,39600,39057
1999-03-15,40000,37874
1999-03-16,39200,38211
1999-03-17,39000,37536
1999-03-18,40400,37368
1999-03-19,40500,38549
1999-03-22,40500,38634
1999-03-23,40100,38634
1999-03-24,40500,38296
1999-03-25,40200,38634
1999-03-26,40000,38380
1999-03-29,40500,38211
1999-03-30,41600,38634
1999-03-31,44000,39564
1999-04-01,44000,41601
1999-04-02,44000,41601
1999-04-06,44000,41601
1999-04-07,44000,41601
1999-04-08,42800,41601
1999-04-09,41800,40582
1999-04-12,42000,39734
1999-04-13,42500,39903
1999-04-14,45000,40327
1999-04-15,46800,42452
1999-04-16,50900,43988
1999-04-19,50000,47499
1999-04-20,48300,46727
1999-04-21,48300,45270
1999-04-22,49800,45270
1999-04-23,53500,46555
1999-04-26,58000,49735
1999-04-27,57300,53619
1999-04-28,52500,53014
1999-04-29,52000,48875
1999-04-30,51200,48445
1999-05-03,53000,47757
1999-05-04,55000,49305
1999-05-06,54500,51028
1999-05-07,53800,50597
1999-05-10,50500,49994
1999-05-11,51000,47156
1999-05-12,50500,47585
1999-05-13,52400,47156
1999-05-14,52900,48789
1999-05-17,53300,49219
1999-05-18,53700,49563
1999-05-19,55300,49908
1999-05-20,54700,51287
1999-05-21,55000,50770
1999-05-24,54500,51028
1999-05-25,55900,50597
1999-05-26,57700,51805
1999-05-27,58200,53360
1999-05-28,60700,53792
1999-05-31,67500,55956
1999-06-01,67500,61855
1999-06-02,69000,61855
1999-06-03,73000,63158
1999-06-04,79000,66631
1999-06-07,78000,71836
1999-06-08,70000,70969
1999-06-09,74000,64026
1999-06-10,70000,67500
1999-06-11,69000,64026
1999-06-14,68500,63158
1999-06-15,71500,62724
1999-06-16,70100,65329
1999-06-17,72500,64113
1999-06-18,74500,66197
1999-06-21,77000,67934
1999-06-22,76800,70102
1999-06-23,74500,69929
1999-06-24,75000,67934
1999-06-25,76600,68367
1999-06-28,76800,69755
1999-06-29,76800,69929
1999-06-30,80100,69929
1999-07-01,79900,72788
1999-07-02,79900,72615
1999-07-05,85200,72615
1999-07-06,91500,77194
1999-07-07,88500,82607
1999-07-08,91000,80034
1999-07-09,88000,82179
1999-07-12,84600,79605
1999-07-13,78000,76677
1999-07-14,87000,70969
1999-07-15,88600,78745
1999-07-16,87900,80120
1999-07-19,84000,79519
1999-07-20,80000,76159
1999-07-21,81000,72701
1999-07-22,77000,73567
1999-07-23,76500,70102
1999-07-26,81500,69669
1999-07-27,83500,73999
1999-07-28,89000,75728
1999-07-29,84500,80464
1999-07-30,80500,76591
1999-08-02,80100,73134
1999-08-03,80000,72788
1999-08-04,79500,72701
1999-08-05,79300,72269
1999-08-06,79300,72095
