Date,Actual Closing Price,Forecast Closing Price
1999-10-08,38400,59159
1999-10-11,36900,60280
1999-10-12,36400,59228
1999-10-13,36500,58884
1999-10-14,36050,58953
1999-10-15,35000,58645
1999-10-18,34900,57936
1999-10-19,35100,57869
1999-10-20,34650,58003
1999-10-21,33800,57703
1999-10-22,31850,57143
1999-10-25,31400,55890
1999-10-26,30750,55608
1999-10-27,32000,55203
1999-10-28,32700,55985
1999-10-29,32950,56431
1999-11-01,32200,56591
1999-11-02,31400,56112
1999-11-03,32000,55608
1999-11-04,31650,55985
1999-11-05,31350,55764
1999-11-08,31600,55576
1999-11-09,30750,55733
1999-11-10,29900,55203
1999-11-11,29000,54682
1999-11-12,31200,54139
1999-11-15,30400,55483
1999-11-16,29000,54988
1999-11-17,29150,54139
1999-11-18,29250,54229
1999-11-19,28900,54289
1999-11-22,29150,54079
1999-11-23,29200,54229
1999-11-24,28300,54259
1999-11-25,28000,53723
1999-11-26,27500,53546
1999-11-29,26700,53253
1999-11-30,25700,52791
1999-12-01,27900,52222
1999-12-02,28200,53487
1999-12-03,28500,53664
1999-12-06,28000,53841
1999-12-07,28700,53546
1999-12-08,30500,53960
1999-12-09,29050,55049
1999-12-10,27500,54169
1999-12-13,27600,53253
1999-12-14,26750,53312
1999-12-15,26100,52819
1999-12-16,26500,52448
1999-12-17,26700,52676
1999-12-20,26650,52791
1999-12-21,25500,52762
1999-12-22,24750,52109
1999-12-23,24400,51691
1999-12-24,23000,51497
1999-12-27,25100,50735
1999-12-28,22000,51885
2000-01-04,21600,50202
2000-01-05,20950,49992
2000-01-06,20400,49653
2000-01-07,20400,49369
2000-01-10,21350,49369
2000-01-11,21050,49861
2000-01-12,20500,49705
2000-01-13,20700,49420
2000-01-14,22500,49523
2000-01-17,22000,50468
2000-01-18,20500,50202
2000-01-19,20900,49420
2000-01-20,23000,49627
2000-01-21,24000,50735
2000-01-24,23900,51278
2000-01-25,23400,51223
2000-01-26,23400,50951
2000-01-27,24900,50951
2000-01-28,24950,51774
2000-01-31,24800,51802
2000-02-01,24800,51718
2000-02-02,25000,51718
2000-02-03,24950,51830
2000-02-07,25100,51802
2000-02-08,25000,51885
2000-02-09,23750,51830
2000-02-10,24800,51141
2000-02-11,23700,51718
2000-02-14,23500,51114
2000-02-15,24050,51005
2000-02-16,24300,51305
2000-02-17,23800,51442
2000-02-18,22100,51168
2000-02-21,25000,50255
2000-02-22,26500,51830
2000-02-23,27500,52676
2000-02-24,27200,53253
2000-02-25,27200,53079
2000-02-28,27700,53079
2000-02-29,26500,53370
2000-03-02,25200,52676
2000-03-03,26450,51941
2000-03-06,26750,52648
2000-03-07,26650,52819
2000-03-08,22900,52762
2000-03-09,24750,50682
2000-03-10,23500,51691
2000-03-13,25000,51005
2000-03-14,25000,51830
2000-03-15,25500,51830
2000-03-16,25800,52109
2000-03-17,26000,52278
2000-03-20,25950,52391
2000-03-21,24800,52363
2000-03-22,24100,51718
2000-03-23,24900,51332
2000-03-24,24200,51774
2000-03-27,26000,51387
2000-03-28,24200,52391
