Date,Actual Closing Price,Forecast Closing Price
1990-01-03,23747,23830
1990-01-04,23315,23830
1990-01-05,22969,23392
1990-01-06,22969,23042
1990-01-08,23056,23042
1990-01-09,22883,23130
1990-01-10,22624,22955
1990-01-11,22710,22692
1990-01-12,22451,22779
1990-01-13,22192,22516
1990-01-15,22365,22254
1990-01-16,22020,22429
1990-01-17,21933,22079
1990-01-18,21933,21991
1990-01-19,21933,21991
1990-01-20,22365,21991
1990-01-22,22279,22429
1990-01-23,22883,22342
1990-01-24,23142,22955
1990-01-25,23142,23217
1990-01-29,23056,23217
1990-01-30,23315,23130
1990-01-31,23056,23392
1990-02-01,22451,23130
1990-02-02,22538,22516
1990-02-03,22365,22605
1990-02-05,22624,22429
1990-02-06,22365,22692
1990-02-07,22710,22429
1990-02-08,22797,22779
1990-02-09,22624,22867
1990-02-10,22538,22692
1990-02-12,22279,22605
1990-02-13,22365,22342
1990-02-14,22451,22429
1990-02-15,22538,22516
1990-02-16,22451,22605
1990-02-17,22538,22516
1990-02-19,22538,22605
1990-02-20,22365,22605
1990-02-21,22020,22429
1990-02-22,22279,22079
1990-02-23,22192,22342
1990-02-24,22020,22254
1990-02-26,22451,22079
1990-02-27,22106,22516
1990-02-28,22538,22167
1990-03-02,22451,22605
1990-03-03,22279,22516
1990-03-05,22106,22342
1990-03-06,22279,22167
1990-03-07,22451,22342
1990-03-08,22451,22516
1990-03-09,22279,22516
1990-03-12,22020,22342
1990-03-13,21329,22079
1990-03-14,21329,21378
1990-03-15,21501,21378
1990-03-16,21329,21553
1990-03-17,21415,21378
1990-03-19,21588,21465
1990-03-20,21588,21641
1990-03-21,21501,21641
1990-03-22,21415,21553
1990-03-23,21242,21465
1990-03-24,21329,21290
1990-03-26,21070,21378
1990-03-27,20983,21115
1990-03-28,21070,21027
1990-03-29,21674,21115
1990-03-30,21933,21728
1990-03-31,21501,21991
1990-04-02,21329,21553
1990-04-03,21156,21378
1990-04-04,21156,21202
1990-04-06,21070,21202
1990-04-07,21156,21115
1990-04-09,20811,21202
1990-04-10,20811,20852
1990-04-11,20465,20852
1990-04-12,20120,20501
1990-04-13,19688,20150
1990-04-14,19256,19711
1990-04-16,19688,19272
1990-04-17,19343,19711
1990-04-18,18825,19361
1990-04-19,18738,18834
1990-04-20,18997,18745
1990-04-21,18997,19009
1990-04-23,18911,19009
1990-04-24,18652,18921
1990-04-25,17788,18658
1990-04-26,18306,17779
1990-04-27,17702,18306
1990-04-28,16838,17692
1990-04-30,17529,16813
1990-05-01,18393,17516
1990-05-03,19256,18395
1990-05-04,19429,19272
1990-05-07,19602,19448
1990-05-08,19602,19624
1990-05-09,18997,19624
1990-05-10,18479,19009
1990-05-11,18306,18482
1990-05-12,17875,18306
1990-05-14,17702,17868
1990-05-15,18565,17692
1990-05-16,18997,18570
1990-05-17,19170,19009
1990-05-18,18997,19185
1990-05-19,18911,19009
1990-05-21,19170,18921
1990-05-22,19170,19185
1990-05-23,19084,19185
1990-05-24,19343,19097
1990-05-25,19084,19361
1990-05-26,18911,19097
1990-05-28,18911,18921
1990-05-29,19515,18921
1990-05-30,20379,19535
1990-05-31,21070,20413
1990-06-01,20897,21115
1990-06-02,21760,20939
1990-06-04,21329,21815
1990-06-05,21760,21378
1990-06-07,21674,21815
1990-06-08,21501,21728
1990-06-09,21156,21553
1990-06-11,20897,21202
1990-06-12,20897,20939
1990-06-13,20638,20939
1990-06-14,20724,20676
1990-06-15,20897,20764
1990-06-16,20552,20939
1990-06-18,20120,20589
1990-06-19,19947,20150
1990-06-20,19947,19974
1990-06-21,20033,19974
1990-06-22,20206,20062
1990-06-23,19947,20237
1990-06-25,19774,19974
1990-06-26,19602,19799
1990-06-27,19256,19624
1990-06-28,19343,19272
1990-06-29,19429,19361
1990-06-30,19256,19448
1990-07-02,20120,19272
1990-07-03,19688,20150
1990-07-04,19256,19711
1990-07-05,18825,19272
1990-07-06,18911,18834
1990-07-07,19084,18921
1990-07-09,19170,19097
1990-07-10,19256,19185
1990-07-11,18825,19272
1990-07-12,18393,18834
1990-07-13,18134,18395
1990-07-14,18134,18131
1990-07-16,18479,18131
1990-07-18,18306,18482
1990-07-19,18393,18306
1990-07-20,18220,18395
1990-07-21,18047,18219
1990-07-23,18047,18043
1990-07-24,18134,18043
1990-07-25,17875,18131
1990-07-26,17788,17868
1990-07-27,17788,17779
1990-07-28,17616,17779
1990-07-30,17616,17605
1990-07-31,18220,17605
1990-08-01,18047,18219
1990-08-02,17788,18043
1990-08-03,17616,17779
1990-08-04,17184,17605
1990-08-06,17098,17165
1990-08-07,16752,17078
1990-08-08,16752,16726
1990-08-09,16752,16726
1990-08-10,16579,16726
1990-08-11,16493,16550
1990-08-13,16148,16462
1990-08-14,15543,16111
1990-08-16,15370,15496
1990-08-17,15457,15320
1990-08-18,14766,15408
1990-08-20,14852,14705
1990-08-21,15111,14793
1990-08-22,15370,15056
1990-08-23,15457,15320
1990-08-24,15370,15408
1990-08-25,16061,15320
1990-08-27,16752,16023
1990-08-28,16493,16726
1990-08-29,15802,16462
1990-08-30,15716,15759
1990-08-31,15802,15672
1990-09-01,16493,15759
1990-09-03,16148,16462
1990-09-04,16234,16111
1990-09-05,15889,16199
1990-09-06,15889,15848
1990-09-07,15543,15848
1990-09-08,15630,15496
1990-09-10,15543,15584
1990-09-11,15370,15496
1990-09-12,15370,15320
1990-09-13,15111,15320
1990-09-14,14680,15056
1990-09-15,13989,14618
1990-09-17,14680,13915
1990-09-18,14680,14618
1990-09-19,14507,14618
1990-09-20,14680,14442
1990-09-21,14680,14618
1990-09-22,14766,14618
1990-09-24,14852,14705
1990-09-25,14939,14793
1990-09-26,15025,14881
1990-09-27,15111,14969
1990-09-28,15198,15056
1990-09-29,15716,15145
1990-10-05,15543,15672
1990-10-06,15630,15496
1990-10-08,15630,15584
1990-10-10,15630,15584
1990-10-11,15802,15584
1990-10-12,15543,15759
1990-10-13,16148,15496
1990-10-15,15716,16111
1990-10-16,15889,15672
1990-10-17,15889,15848
1990-10-18,16579,15848
1990-10-19,16838,16550
1990-10-20,17443,16813
1990-10-22,18306,17429
1990-10-23,18911,18306
1990-10-24,18047,18921
1990-10-25,17184,18043
1990-10-26,16838,17165
1990-10-27,16838,16813
1990-10-29,16838,16813
1990-10-30,16320,16813
1990-10-31,17011,16286
1990-11-01,16838,16989
1990-11-02,16493,16813
1990-11-03,16493,16462
1990-11-05,16579,16462
1990-11-06,16752,16550
1990-11-07,16234,16726
1990-11-08,16234,16199
1990-11-09,16320,16199
1990-11-10,16234,16286
1990-11-12,16320,16199
1990-11-13,16320,16286
1990-11-14,16320,16286
1990-11-15,16407,16286
1990-11-16,16148,16375
1990-11-17,15889,16111
1990-11-19,15716,15848
1990-11-20,15630,15672
1990-11-21,15543,15584
1990-11-22,15543,15496
1990-11-23,15630,15496
1990-11-24,15543,15584
1990-11-26,15975,15496
1990-11-27,16148,15935
1990-11-28,15975,16111
1990-11-29,16061,15935
1990-11-30,16579,16023
1990-12-01,17098,16550
1990-12-03,16752,17078
1990-12-04,17011,16726
1990-12-05,16838,16989
1990-12-06,17184,16813
