Date,Actual Closing Price,Forecast Closing Price
2004-07-23,31010,30307
2004-07-26,30779,31003
2004-07-27,31241,30786
2004-07-28,30733,31220
2004-07-29,30871,30743
2004-07-30,29993,30873
2004-08-02,29393,30044
2004-08-03,29393,29475
2004-08-04,31195,29475
2004-08-05,31888,31177
2004-08-06,31565,31826
2004-08-09,32027,31524
2004-08-10,32812,31956
2004-08-11,32535,32687
2004-08-12,32350,32429
2004-08-13,31842,32257
2004-08-16,32258,31783
2004-08-17,33367,32172
2004-08-18,35031,33201
2004-08-19,34106,34727
2004-08-20,33413,33881
2004-08-23,33829,33243
2004-08-24,33506,33627
2004-08-25,34106,33329
2004-08-26,33875,33881
2004-08-27,31981,33669
2004-08-30,31657,31913
2004-08-31,32258,31610
2004-09-01,31888,32172
2004-09-02,30964,31826
2004-09-03,30594,30960
2004-09-06,30409,30612
2004-09-07,30640,30437
2004-09-08,30594,30655
2004-09-09,32812,30612
2004-09-10,32674,32687
2004-09-13,32720,32559
2004-09-14,32581,32601
2004-09-15,31842,32472
2004-09-16,31195,31783
2004-09-17,31703,31177
2004-09-20,31657,31653
2004-09-21,31426,31610
2004-09-22,31426,31394
2004-09-23,32212,31394
2004-09-24,32443,32129
2004-09-30,32812,32344
2004-10-01,34291,32687
2004-10-04,34661,34051
2004-10-05,35123,34390
2004-10-06,34106,34811
2004-10-07,34060,33881
2004-10-08,33275,33839
2004-10-11,29808,33115
2004-10-12,29762,29869
2004-10-13,29577,29825
2004-10-14,30455,29650
2004-10-15,30640,30481
2004-10-18,31842,30655
2004-10-19,31426,31783
2004-10-20,31334,31394
2004-10-21,31842,31308
2004-10-22,30825,31783
2004-10-25,30086,30829
2004-10-26,28838,30132
2004-10-27,29485,28947
2004-10-28,28838,29563
2004-10-29,27729,28947
2004-11-01,28653,27887
2004-11-02,29670,28771
2004-11-03,28653,29738
2004-11-04,29947,28771
2004-11-05,30455,30001
2004-11-08,30502,30481
2004-11-09,30779,30525
2004-11-10,31241,30786
2004-11-11,31888,31220
2004-11-12,32258,31826
2004-11-15,31703,32172
2004-11-16,33182,31653
2004-11-17,33136,33029
2004-11-18,32535,32987
2004-11-19,31426,32429
2004-11-22,31657,31394
2004-11-23,33275,31610
2004-11-24,34569,33115
2004-11-25,33136,34306
2004-11-26,33644,32987
2004-11-29,33552,33456
2004-11-30,34199,33371
2004-12-01,34800,33967
2004-12-02,34338,34517
2004-12-03,33598,34094
2004-12-06,32812,33414
2004-12-07,33968,32687
2004-12-08,32951,33754
2004-12-09,32258,32816
2004-12-10,31842,32172
2004-12-13,32997,31783
2004-12-14,34661,32858
2004-12-15,35308,34390
2004-12-16,35493,34979
2004-12-17,36695,35147
2004-12-20,36695,36232
2004-12-21,34661,36232
2004-12-22,33644,34390
2004-12-23,34291,33456
2004-12-24,33829,34051
2004-12-27,33737,33627
2004-12-28,35216,33542
2004-12-29,36048,34896
2004-12-30,35262,35650
2005-01-03,33691,34938
2005-01-04,33829,33499
2005-01-05,33459,33627
2005-01-06,33367,33285
2005-01-07,33275,33201
2005-01-10,35632,33115
2005-01-11,35077,35273
2005-01-12,35031,34769
2005-01-13,36787,34727
2005-01-14,42056,36314
2005-01-17,41131,40908
2005-01-18,40669,40121
2005-01-19,40022,39725
2005-01-20,41501,39167
2005-01-21,41593,40437
2005-01-24,38959,40515
2005-01-25,39514,38240
2005-01-26,39283,38725
2005-01-27,39283,38524
2005-01-28,41039,38524
2005-01-31,41039,40043
2005-02-01,41131,40043
2005-02-02,40669,40121
2005-02-03,40114,39725
2005-02-04,40946,39246
2005-02-07,40484,39963
2005-02-11,42379,39566
2005-02-14,41871,41181
2005-02-15,42425,40752
2005-02-16,41224,41220
2005-02-17,40623,40201
2005-02-18,39606,39685
2005-02-21,40207,38805
2005-02-22,39005,39327
2005-02-23,39560,38280
2005-02-24,40438,38765
2005-02-25,40854,39526
2005-02-28,40253,39884
2005-03-02,39144,39366
2005-03-03,39236,38402
2005-03-04,37896,38483
2005-03-07,37249,37303
2005-03-08,37434,36727
2005-03-09,37249,36892
2005-03-10,39930,36727
2005-03-11,39837,39087
2005-03-14,38543,39006
2005-03-15,38543,37875
2005-03-16,37850,37875
2005-03-17,38127,37262
2005-03-18,37989,37507
2005-03-21,39375,37385
2005-03-22,39745,38604
2005-03-23,40715,38926
2005-03-24,40484,39765
2005-03-25,39930,39566
2005-03-28,38959,39087
2005-03-29,39375,38240
2005-03-30,40854,38604
2005-03-31,43303,39884
2005-04-01,42379,41955
2005-04-04,42887,41181
2005-04-06,43812,41608
2005-04-07,43211,42377
2005-04-08,43165,41878
2005-04-11,41547,41840
2005-04-12,40669,40476
2005-04-13,40993,39725
2005-04-14,41593,40003
2005-04-15,40669,40515
2005-04-18,41963,39725
2005-04-19,41686,40830
2005-04-20,42333,40595
2005-04-21,43257,41142
2005-04-22,44228,41917
2005-04-25,43396,42721
2005-04-26,42934,42032
2005-04-27,42148,41647
2005-04-28,42703,40986
2005-04-29,43211,41453
2005-05-02,42980,41878
2005-05-03,43812,41685
2005-05-04,45938,42377
2005-05-06,47047,44112
2005-05-09,46215,44996
2005-05-10,45291,44334
2005-05-11,45938,43589
2005-05-12,47509,44112
2005-05-13,47601,45360
2005-05-16,46400,45433
2005-05-17,45938,44482
2005-05-18,47324,44112
2005-05-19,47139,45215
2005-05-20,46677,45069
2005-05-23,46677,44703
2005-05-24,46954,44703
2005-05-25,46862,44922
2005-05-26,47417,44849
2005-05-27,49450,45288
2005-05-30,48988,46864
2005-05-31,47601,46510
2005-06-01,47139,45433
2005-06-02,47694,45069
2005-06-03,48988,45505
2005-06-07,48433,46510
2005-06-08,48433,46081
2005-06-09,47509,46081
2005-06-10,46862,45360
2005-06-13,45845,44849
2005-06-14,46677,44037
2005-06-15,46169,44703
2005-06-16,46862,44297
2005-06-17,45291,44849
2005-06-20,44089,43589
2005-06-21,44274,42606
2005-06-22,43350,42759
2005-06-23,43165,41994
2005-06-24,42610,41840
2005-06-27,43350,41375
2005-06-28,43581,41994
2005-06-29,44459,42186
2005-06-30,45291,42911
2005-07-01,45522,43589
2005-07-04,44967,43776
2005-07-05,43488,43326
2005-07-06,43673,42109
2005-07-07,42518,42262
2005-07-08,42056,41298
2005-07-11,43442,40908
2005-07-12,42841,42071
2005-07-13,42703,41569
2005-07-14,43257,41453
2005-07-15,43026,41917
2005-07-18,41732,41724
2005-07-19,41409,40634
2005-07-20,41409,40359
2005-07-21,43719,40359
2005-07-22,43719,42301
2005-07-25,43858,42301
