Date,Actual Closing Price,Forecast Closing Price
2001-04-25,15650,234063
2001-04-26,17950,234884
2001-04-27,18000,235833
2001-04-30,20700,235854
2001-05-02,20250,236976
2001-05-03,18850,236788
2001-05-04,18700,236206
2001-05-07,19000,236144
2001-05-08,18950,236268
2001-05-09,21750,236247
2001-05-10,24000,237414
2001-05-11,23200,238359
2001-05-14,23800,238022
2001-05-15,23700,238275
2001-05-16,24800,238233
2001-05-17,25950,238696
2001-05-18,26800,239182
2001-05-21,26400,239542
2001-05-22,25900,239373
2001-05-23,27150,239161
2001-05-24,27950,239691
2001-05-25,27500,240031
2001-05-28,28900,239839
2001-05-29,31600,240436
2001-05-30,31600,241592
2001-05-31,30000,241592
2001-06-01,28150,240906
2001-06-04,27300,240116
2001-06-05,28300,239754
2001-06-07,30000,240180
2001-06-08,30000,240906
2001-06-11,29600,240906
2001-06-12,29500,240734
2001-06-13,30750,240692
2001-06-14,30300,241227
2001-06-15,29500,241034
2001-06-18,29500,240692
2001-06-19,31000,240692
2001-06-20,29000,241334
2001-06-21,29250,240478
2001-06-22,30700,240585
2001-06-25,29500,241205
2001-06-26,29500,240692
2001-06-27,29500,240692
2001-06-28,29450,240692
2001-06-29,28200,240670
2001-07-02,28250,240137
2001-07-03,28400,240158
2001-07-04,28000,240222
2001-07-05,27300,240052
2001-07-06,27000,239754
2001-07-09,26650,239627
2001-07-10,26000,239479
2001-07-11,26300,239203
2001-07-12,26500,239330
2001-07-13,26550,239415
2001-07-16,26400,239436
2001-07-18,26000,239373
2001-07-19,26300,239203
2001-07-20,23800,239330
2001-07-23,23100,238275
2001-07-24,22900,237980
2001-07-25,23050,237896
2001-07-26,23400,237959
2001-07-27,23000,238106
2001-07-30,23100,237938
2001-07-31,24800,237980
2001-08-01,24800,238696
2001-08-02,25200,238696
2001-08-03,25500,238865
2001-08-06,25800,238992
2001-08-07,25900,239118
2001-08-08,26000,239161
2001-08-09,25700,239203
2001-08-10,25700,239076
2001-08-13,25800,239076
2001-08-14,25700,239118
2001-08-16,25600,239076
2001-08-17,25200,239034
2001-08-20,24650,238865
2001-08-21,24200,238633
2001-08-22,24300,238443
2001-08-23,24200,238485
2001-08-24,25200,238443
2001-08-27,25250,238865
2001-08-28,25250,238886
2001-08-29,25200,238886
2001-08-30,24600,238865
2001-08-31,25750,238612
2001-09-03,25300,239097
2001-09-04,25450,238907
2001-09-05,25800,238970
2001-09-06,25850,239118
2001-09-07,25800,239140
2001-09-10,25800,239118
2001-09-11,22900,239118
2001-09-12,25000,237896
2001-09-13,24950,238780
2001-09-14,25000,238759
2001-09-17,25300,238780
2001-09-18,25700,238907
2001-09-19,25700,239076
2001-09-20,25800,239076
2001-09-21,26050,239118
2001-09-24,26300,239224
2001-09-25,27000,239330
2001-09-26,27000,239627
2001-09-27,28000,239627
2001-09-28,26900,240052
2001-10-04,27100,239585
2001-10-05,27300,239669
2001-10-08,27050,239754
2001-10-09,27050,239648
2001-10-10,27100,239648
2001-10-11,27100,239669
2001-10-12,26900,239669
2001-10-15,27800,239585
2001-10-16,27900,239967
2001-10-17,27000,240010
2001-10-18,27400,239627
2001-10-19,27200,239797
2001-10-22,27650,239712
2001-10-23,28400,239903
2001-10-24,29250,240222
2001-10-25,29150,240585
2001-10-26,29000,240542
2001-10-29,28400,240478
2001-10-30,28050,240222
2001-10-31,28450,240073
2001-11-01,28500,240244
2001-11-02,28600,240265
