Date,Actual Closing Price,Forecast Closing Price
2022-01-27,450000,490089
2022-01-28,477000,421689
2022-02-03,504000,455329
2022-02-04,548000,488851
2022-02-07,542000,543001
2022-02-08,511000,535663
2022-02-09,474500,497512
2022-02-10,482000,452218
2022-02-11,463000,461548
2022-02-14,451500,437895
2022-02-15,455500,423560
2022-02-16,454500,428547
2022-02-17,454500,427300
2022-02-18,453000,427300
2022-02-21,440000,425430
2022-02-22,442000,409218
2022-02-23,416500,411712
2022-02-24,420000,379917
2022-02-25,412000,384279
2022-02-28,434000,374311
2022-03-02,437000,401735
2022-03-03,428500,405476
2022-03-04,414000,394876
2022-03-07,410500,376802
2022-03-08,417500,372442
2022-03-10,391000,381163
2022-03-11,363500,348185
2022-03-14,359500,314110
2022-03-15,363500,309171
2022-03-16,376000,314110
2022-03-17,382000,329575
2022-03-18,386000,337013
2022-03-21,397500,341976
2022-03-22,407000,356264
2022-03-23,408000,368084
2022-03-24,439000,369329
2022-03-25,436500,407971
2022-03-28,441000,404852
2022-03-29,440500,410465
2022-03-30,442000,409841
2022-03-31,428000,411712
2022-04-01,438500,394252
2022-04-04,449000,407347
2022-04-05,444500,420442
2022-04-06,436500,414830
2022-04-07,439500,404852
2022-04-08,425000,408594
2022-04-11,411000,390512
2022-04-12,431000,373065
2022-04-13,441000,397993
2022-04-14,435000,410465
2022-04-15,433000,402982
2022-04-18,435500,400487
2022-04-19,436500,403605
2022-04-20,437000,404852
2022-04-21,436500,405476
2022-04-22,433000,404852
2022-04-25,423500,400487
2022-04-26,418000,388642
2022-04-27,417500,381786
2022-04-28,417000,381163
2022-04-29,408500,380540
2022-05-02,407500,369952
2022-05-03,401500,368707
2022-05-04,401500,361239
2022-05-06,394000,361239
2022-05-09,393500,351913
2022-05-10,391500,351291
2022-05-11,388000,348806
2022-05-12,400500,344459
2022-05-13,400500,359995
2022-05-16,408500,359995
2022-05-17,410000,369952
2022-05-18,415500,371820
2022-05-19,434000,378671
2022-05-20,438000,401735
2022-05-23,438500,406723
2022-05-24,426500,407347
2022-05-25,430500,392382
2022-05-26,430500,397370
2022-05-27,439500,397370
2022-05-30,444000,408594
2022-05-31,440500,414207
2022-06-02,437500,409841
2022-06-03,432000,406100
2022-06-07,425500,399240
2022-06-08,422500,391135
2022-06-09,425000,387395
2022-06-10,415000,390512
2022-06-13,426500,378048
2022-06-14,420000,392382
2022-06-15,427000,384279
2022-06-16,425500,393005
2022-06-17,411500,391135
2022-06-20,413000,373688
2022-06-21,401000,375556
2022-06-22,400000,360617
2022-06-23,405000,359373
2022-06-24,412000,365595
2022-06-27,410500,374311
2022-06-28,391500,372442
2022-06-29,371000,348806
2022-06-30,356500,323384
2022-07-01,356000,305470
2022-07-04,361500,304854
2022-07-05,370500,311640
2022-07-06,373500,322765
2022-07-07,388000,326479
2022-07-08,395000,344459
2022-07-11,401000,353156
2022-07-12,400000,360617
2022-07-13,399500,359373
2022-07-14,400000,358751
2022-07-15,393000,359373
2022-07-18,383000,350670
2022-07-19,384000,338253
2022-07-20,390500,339494
2022-07-21,382000,347564
2022-07-22,391000,337013
2022-07-25,394000,348185
2022-07-26,393500,351913
