Date,Actual Closing Price,Forecast Closing Price
2000-09-21,6400,5958
2000-09-22,7160,6489
2000-09-25,8010,7124
2000-09-26,8970,7880
2000-09-27,10000,8780
2000-09-28,11200,9787
2000-09-29,12500,10989
2000-10-02,14000,12296
2000-10-04,15650,13775
2000-10-05,16600,15332
2000-10-06,15400,16187
2000-10-09,14600,15102
2000-10-10,12850,14351
2000-10-11,13250,12645
2000-10-12,12500,13041
2000-10-13,13050,12296
2000-10-16,11500,12844
2000-10-17,10400,11291
2000-10-18,10900,10185
2000-10-19,10950,10687
2000-10-20,9730,10737
2000-10-23,9580,9520
2000-10-24,9060,9373
2000-10-25,8100,8867
2000-10-26,7350,7962
2000-10-27,6950,7289
2000-10-30,7780,6945
2000-10-31,8710,7671
2000-11-01,8700,8532
2000-11-02,8650,8523
2000-11-03,8680,8475
2000-11-06,8290,8504
2000-11-07,7940,8138
2000-11-08,7820,7816
2000-11-09,7680,7707
2000-11-10,7170,7581
2000-11-13,7350,7133
2000-11-14,7380,7289
2000-11-15,7240,7315
2000-11-16,7240,7193
2000-11-17,7000,7193
2000-11-20,6800,6987
2000-11-21,6650,6818
2000-11-22,6080,6694
2000-11-23,6250,6235
2000-11-24,6270,6369
2000-11-27,6060,6385
2000-11-28,5580,6219
2000-11-29,5680,5854
2000-11-30,5600,5928
2000-12-01,5530,5868
2000-12-04,5530,5816
2000-12-05,5940,5816
2000-12-06,5930,6126
2000-12-07,5990,6118
2000-12-08,6700,6165
2000-12-11,6920,6735
2000-12-12,6940,6919
2000-12-13,6800,6936
2000-12-14,5990,6818
2000-12-15,5280,6165
2000-12-18,4650,5634
2000-12-19,4180,5199
2000-12-20,4110,4897
2000-12-21,3620,4853
2000-12-22,3490,4561
2000-12-26,3810,4487
2001-01-02,3870,4672
2001-01-03,4150,4708
2001-01-04,4640,4878
2001-01-05,5190,5193
2001-01-08,5400,5570
2001-01-09,5000,5721
2001-01-10,5600,5437
2001-01-11,6270,5868
2001-01-12,7020,6385
2001-01-15,6950,7004
2001-01-16,6460,6945
2001-01-17,6100,6538
2001-01-18,6800,6251
2001-01-19,7610,6818
2001-01-22,7870,7519
2001-01-26,7230,7752
2001-01-29,7720,7185
2001-01-30,7900,7617
2001-01-31,7430,7779
2001-02-01,7310,7359
2001-02-02,6510,7254
2001-02-05,6530,6579
2001-02-06,6140,6595
2001-02-07,6350,6282
2001-02-08,6290,6449
2001-02-09,6170,6401
2001-02-12,6220,6306
2001-02-13,6650,6345
2001-02-14,6800,6694
2001-02-15,6560,6818
2001-02-16,6380,6619
2001-02-19,6680,6473
2001-02-20,6550,6718
2001-02-21,6140,6611
2001-02-22,6000,6282
2001-02-23,5600,6173
2001-02-26,5130,5868
2001-02-27,4820,5528
2001-02-28,4300,5313
2001-03-02,4620,4972
2001-03-05,4450,5179
2001-03-06,4480,5068
2001-03-07,4610,5088
2001-03-08,4670,5173
2001-03-09,4520,5213
2001-03-12,4170,5114
2001-03-13,4270,4890
2001-03-14,4160,4953
2001-03-15,4170,4884
2001-03-16,4230,4890
2001-03-19,4200,4928
2001-03-20,4180,4909
2001-03-21,4270,4897
2001-03-22,4220,4953
2001-03-23,4720,4922
2001-03-26,5280,5246
2001-03-27,5440,5634
2001-03-28,5000,5750
2001-03-29,4750,5437
2001-03-30,4800,5266
2001-04-02,4460,5300
2001-04-03,4990,5075
2001-04-04,5140,5430
2001-04-06,4990,5535
2001-04-09,4850,5430
2001-04-10,4860,5334
2001-04-11,4700,5341
2001-04-12,4800,5233
2001-04-13,4600,5300
2001-04-16,4560,5166
2001-04-17,4880,5140
2001-04-18,5080,5354
2001-04-19,4830,5493
2001-04-20,5020,5320
2001-04-23,4980,5451
2001-04-24,5230,5423
2001-04-25,5160,5599
2001-04-26,5300,5549
2001-04-27,5780,5649
2001-04-30,5720,6004
2001-05-02,5540,5958
2001-05-03,5610,5824
2001-05-04,5630,5876
2001-05-07,5900,5891
2001-05-08,5560,6095
2001-05-09,6220,5839
2001-05-10,6300,6345
2001-05-11,7050,6409
2001-05-14,6980,7030
2001-05-15,6350,6970
2001-05-16,6560,6449
2001-05-17,6840,6619
2001-05-18,6900,6852
2001-05-21,6830,6902
2001-05-22,6660,6843
2001-05-23,6900,6702
2001-05-24,7120,6902
2001-05-25,7470,7090
2001-05-28,7450,7394
2001-05-29,7450,7377
2001-05-30,7380,7377
2001-05-31,7200,7315
2001-06-01,7050,7159
2001-06-04,7190,7030
2001-06-05,7390,7150
2001-06-07,7490,7324
2001-06-08,7510,7412
2001-06-11,7410,7430
2001-06-12,7450,7342
2001-06-13,7720,7377
2001-06-14,7530,7617
2001-06-15,6790,7447
2001-06-18,6400,6810
2001-06-19,6230,6489
2001-06-20,6300,6353
2001-06-21,6320,6409
2001-06-22,6130,6425
2001-06-25,5770,6274
2001-06-26,5740,5996
2001-06-27,5990,5973
2001-06-28,6080,6165
2001-06-29,6450,6235
2001-07-02,6850,6530
2001-07-03,6970,6860
2001-07-04,6690,6962
2001-07-05,6360,6727
2001-07-06,6540,6457
2001-07-09,6400,6603
2001-07-10,6200,6489
2001-07-11,6440,6329
2001-07-12,6160,6522
2001-07-13,6040,6298
2001-07-16,5850,6204
2001-07-18,5800,6057
2001-07-19,5790,6019
2001-07-20,5540,6011
2001-07-23,5400,5824
2001-07-24,5490,5721
2001-07-25,5720,5787
2001-07-26,5840,5958
2001-07-27,5650,6049
2001-07-30,5790,5906
2001-07-31,6010,6011
2001-08-01,6050,6180
2001-08-02,6020,6211
2001-08-03,6150,6188
2001-08-06,6270,6290
2001-08-07,6100,6385
2001-08-08,5800,6251
2001-08-09,5850,6019
2001-08-10,5790,6057
2001-08-13,5930,6011
2001-08-14,6030,6118
2001-08-16,6030,6196
2001-08-17,5970,6196
2001-08-20,5950,6149
2001-08-21,5930,6134
2001-08-22,5990,6118
2001-08-23,6000,6165
2001-08-24,6340,6173
2001-08-27,6050,6441
2001-08-28,5750,6211
2001-08-29,5660,5981
2001-08-30,5390,5913
2001-08-31,5400,5714
2001-09-03,5700,5721
2001-09-04,5710,5943
2001-09-05,5660,5951
2001-09-06,5550,5913
2001-09-07,5450,5831
2001-09-10,5410,5758
2001-09-11,4770,5728
2001-09-12,4800,5280
2001-09-13,4250,5300
2001-09-14,3740,4941
2001-09-17,4140,4631
2001-09-18,4300,4872
2001-09-19,4300,4972
2001-09-20,4290,4972
2001-09-21,4500,4966
2001-09-24,4430,5101
2001-09-25,4400,5055
2001-09-26,4410,5036
2001-09-27,4490,5042
2001-09-28,4810,5094
2001-10-04,4660,5307
2001-10-05,4550,5206
2001-10-08,4650,5133
2001-10-09,4640,5199
2001-10-10,4790,5193
2001-10-11,4850,5293
2001-10-12,5010,5334
2001-10-15,5230,5444
2001-10-16,5220,5599
2001-10-17,5150,5592
2001-10-18,5530,5542
2001-10-19,5510,5816
2001-10-22,5390,5802
2001-10-23,5430,5714
2001-10-24,5310,5743
2001-10-25,5470,5656
2001-10-26,5490,5772
2001-10-29,5260,5787
2001-10-30,5340,5620
2001-10-31,5450,5678
2001-11-01,5620,5758
2001-11-02,5700,5883
2001-11-05,5680,5943
2001-11-06,5610,5928
2001-11-07,5600,5876
2001-11-08,5830,5868
2001-11-09,6120,6042
2001-11-12,5950,6266
2001-11-13,5940,6134
2001-11-14,5800,6126
2001-11-15,5830,6019
2001-11-16,5820,6042
2001-11-19,5800,6034
2001-11-20,5580,6019
2001-11-21,5650,5854
2001-11-22,6110,5906
2001-11-23,6550,6258
2001-11-26,6500,6611
2001-11-27,6000,6570
2001-11-28,6000,6173
2001-11-29,6000,6173
2001-11-30,5800,6173
2001-12-03,5820,6019
2001-12-04,6510,6034
2001-12-05,7290,6579
2001-12-06,7400,7237
2001-12-07,7260,7333
2001-12-10,7700,7211
2001-12-11,8620,7599
2001-12-12,8450,8447
2001-12-13,7890,8287
2001-12-14,7500,7770
2001-12-17,7250,7421
2001-12-18,7350,7202
2001-12-19,7950,7289
2001-12-20,7720,7825
2001-12-21,7580,7617
