Date,Actual Closing Price,Forecast Closing Price
2008-07-24,41172,44478
2008-07-25,40978,42738
2008-07-28,40494,42533
2008-07-29,40542,42021
2008-07-30,40009,42072
2008-07-31,42238,41508
2008-08-01,42916,43864
2008-08-04,43206,44580
2008-08-05,44805,44886
2008-08-06,45289,46574
2008-08-07,46791,47085
2008-08-08,47081,48669
2008-08-11,46984,48975
2008-08-12,47663,48872
2008-08-13,48534,49588
2008-08-14,49309,50506
2008-08-18,49213,51322
2008-08-19,49697,51221
2008-08-20,48438,51730
2008-08-21,46984,50404
2008-08-22,46113,48872
2008-08-25,46209,47954
2008-08-26,46306,48055
2008-08-27,46500,48158
2008-08-28,48922,48362
2008-08-29,43448,50914
2008-09-01,43206,45142
2008-09-02,46113,44886
2008-09-03,46694,47954
2008-09-04,47275,48567
2008-09-05,47663,49179
2008-09-08,47033,49588
2008-09-09,47275,48924
2008-09-10,48050,49179
2008-09-11,48050,49996
2008-09-12,45483,49996
2008-09-16,45434,47290
2008-09-17,44563,47238
2008-09-18,46500,46319
2008-09-19,46403,48362
2008-09-22,47469,48260
2008-09-23,49406,49384
2008-09-24,50375,51424
2008-09-25,50278,52443
2008-09-26,50181,52341
2008-09-29,52603,52239
2008-09-30,51247,54785
2008-10-01,51828,53360
2008-10-02,49503,53971
2008-10-06,50181,51526
2008-10-07,49891,52239
2008-10-08,50569,51934
2008-10-09,52797,52647
2008-10-10,51538,54989
2008-10-13,50278,53666
2008-10-14,50375,52341
2008-10-15,44853,52443
2008-10-16,44853,46625
2008-10-17,46500,46625
2008-10-20,46936,48362
2008-10-21,43739,48822
2008-10-22,43303,45449
2008-10-23,43109,44989
2008-10-24,41172,44784
2008-10-27,39525,42738
2008-10-28,36813,40996
2008-10-29,42334,38128
2008-10-30,45434,43965
2008-10-31,43400,47238
2008-11-03,44466,45091
2008-11-04,43884,46217
2008-11-05,40591,45602
2008-11-06,39670,42124
2008-11-07,38750,41150
2008-11-10,37103,40177
2008-11-11,36038,38434
2008-11-12,34003,37307
2008-11-13,39089,35153
2008-11-14,39428,40535
2008-11-17,37491,40894
2008-11-18,38120,38845
2008-11-19,33906,39510
2008-11-20,37781,35050
2008-11-21,37588,39152
2008-11-24,36619,38948
2008-11-25,37297,37922
2008-11-26,37152,38640
2008-11-27,38120,38486
2008-11-28,36667,39510
2008-12-01,34730,37973
2008-12-02,33809,35923
2008-12-03,33131,34948
2008-12-04,33906,34230
2008-12-05,33616,35050
2008-12-08,34875,34743
2008-12-09,34584,36076
2008-12-10,35989,35768
2008-12-11,34778,37255
2008-12-12,38459,35974
2008-12-15,38944,39869
2008-12-16,39234,40382
2008-12-17,37781,40689
2008-12-18,37491,39152
2008-12-19,37588,38845
2008-12-22,37781,38948
2008-12-23,36038,39152
2008-12-24,35505,37307
2008-12-26,35553,36743
2008-12-29,36328,36794
2008-12-30,37781,37614
2009-01-02,37927,39152
2009-01-05,40688,39306
2009-01-06,42577,42226
2009-01-07,43594,44222
2009-01-08,42625,45296
2009-01-09,41172,44273
2009-01-12,40494,42738
2009-01-13,42528,42021
2009-01-14,42141,44170
2009-01-15,45531,43762
2009-01-16,47953,47340
2009-01-19,48922,49894
2009-01-20,48922,50914
2009-01-21,48341,50914
2009-01-22,49309,50302
2009-01-23,49988,51322
2009-01-28,49600,52036
2009-01-29,49697,51628
2009-01-30,49406,51730
2009-02-02,47759,51424
2009-02-03,47759,49689
2009-02-04,47081,49689
2009-02-05,46694,48975
2009-02-06,45531,48567
2009-02-09,46984,47340
2009-02-10,50763,48872
2009-02-11,53281,52852
2009-02-12,61225,55497
2009-02-13,62000,63811
2009-02-16,60644,64619
2009-02-17,66553,63205
2009-02-18,62969,69352
2009-02-19,56672,65628
2009-02-20,61903,59053
2009-02-23,59578,64518
2009-02-24,59578,62092
2009-02-25,60450,62092
2009-02-26,58900,63002
2009-02-27,56188,61384
2009-03-02,56769,58546
2009-03-03,61516,59155
2009-03-04,64616,64114
2009-03-05,67134,67341
2009-03-06,69556,69954
2009-03-09,65875,72460
2009-03-10,65778,68648
2009-03-11,65391,68548
2009-03-12,66553,68146
2009-03-13,64034,69352
2009-03-16,63356,66736
2009-03-17,63356,66031
2009-03-18,61516,66031
2009-03-19,63453,64114
2009-03-20,64422,66132
2009-03-23,63938,67139
2009-03-24,65391,66636
2009-03-25,65972,68146
2009-03-26,64325,68749
2009-03-27,63453,67039
2009-03-30,64713,66132
2009-03-31,65100,67442
2009-04-01,70234,67844
2009-04-02,66747,73160
2009-04-03,67134,69553
2009-04-06,71009,69954
2009-04-07,76531,73960
2009-04-08,82538,79634
2009-04-09,82150,85755
2009-04-10,87188,85361
2009-04-13,83991,90451
2009-04-14,83991,87226
2009-04-15,83216,87226
2009-04-16,83216,86442
2009-04-17,83313,86442
2009-04-20,82344,86540
2009-04-21,88156,85558
2009-04-22,91063,91424
2009-04-23,90191,94335
2009-04-24,90578,93464
2009-04-27,89125,93851
2009-04-28,95713,92396
2009-04-29,96197,98958
2009-04-30,94259,99437
2009-05-04,91547,97517
2009-05-06,89900,94819
2009-05-07,91256,93173
2009-05-08,90966,94528
2009-05-11,94938,94239
2009-05-12,94066,98191
2009-05-13,95131,97326
2009-05-14,108984,98382
2009-05-15,108500,111897
2009-05-18,108016,111432
2009-05-19,111406,110967
2009-05-20,112375,114214
2009-05-21,109469,115138
2009-05-22,114313,112362
2009-05-25,123516,116977
2009-05-26,127875,125578
2009-05-27,124484,129572
2009-05-28,126422,126470
2009-05-29,131266,128247
2009-06-01,124484,132643
2009-06-02,119156,126470
2009-06-03,116250,121531
2009-06-04,120609,118806
2009-06-05,120609,122885
2009-06-08,118188,122885
2009-06-09,119156,120626
2009-06-10,116250,121531
2009-06-11,112375,118806
2009-06-12,110438,115138
2009-06-15,109469,113290
2009-06-16,110922,112362
2009-06-17,115766,113752
2009-06-18,119156,118350
2009-06-19,117219,121531
2009-06-22,114313,119717
2009-06-23,113828,116977
2009-06-24,113344,116517
2009-06-25,119641,116058
2009-06-26,122063,121984
2009-06-29,123031,124235
2009-06-30,125938,125131
2009-07-01,127391,127804
2009-07-02,128359,129132
2009-07-03,130297,130013
2009-07-06,135625,131769
2009-07-07,134172,136540
2009-07-08,129813,135247
2009-07-09,128844,131331
2009-07-10,121578,130453
2009-07-13,120125,123786
2009-07-14,120125,122435
2009-07-15,119641,122435
2009-07-16,120125,121984
2009-07-17,122063,122435
2009-07-20,125453,124235
2009-07-21,118188,127360
2009-07-22,112859,120626
2009-07-23,107531,115598
2009-07-24,117219,110500
2009-07-27,118188,119717
2009-07-28,121094,120626
2009-07-29,115766,123336
2009-07-30,119156,118350
2009-07-31,116734,121531
2009-08-03,112375,119261
2009-08-04,115281,115138
2009-08-05,117219,117892
2009-08-06,115281,119717
2009-08-07,116734,117892
2009-08-10,122063,119261
2009-08-11,125938,124235
2009-08-12,113828,127804
2009-08-13,113828,116517
2009-08-14,113828,116517
2009-08-17,111406,116517
2009-08-18,103172,114214
2009-08-19,107531,106279
2009-08-20,108984,110500
2009-08-21,112375,111897
2009-08-24,116734,115138
2009-08-25,123516,119261
2009-08-26,117219,125578
2009-08-27,119156,119717
2009-08-28,117219,121531
2009-08-31,133688,119717
2009-09-01,147250,134815
2009-09-02,142406,146656
2009-09-03,147734,142491
2009-09-04,155000,147069
2009-09-07,147734,153166
2009-09-08,138047,147069
2009-09-09,139984,138682
2009-09-10,139984,140382
2009-09-11,131750,140382
2009-09-14,143375,133078
2009-09-15,141922,143330
2009-09-16,138047,142071
2009-09-17,140469,138682
2009-09-18,136594,140806
2009-09-21,141922,137399
2009-09-22,143859,142071
2009-09-23,136109,143748
2009-09-24,139984,136970
2009-09-25,135625,140382
2009-09-28,134172,136540
2009-09-29,123031,135247
2009-09-30,113828,125131
2009-10-01,109469,116517
2009-10-05,110922,112362
2009-10-06,109469,113752
2009-10-07,119156,112362
2009-10-08,119156,121531
2009-10-09,119156,121531
2009-10-12,117219,121531
2009-10-13,123516,119717
2009-10-14,121578,125578
2009-10-15,116250,123786
2009-10-16,123516,118806
2009-10-19,125938,125578
2009-10-20,127875,127804
2009-10-21,124484,129572
2009-10-22,121578,126470
2009-10-23,121578,123786
2009-10-26,111406,123786
2009-10-27,104625,114214
2009-10-28,107047,107691
2009-10-29,105109,110033
2009-10-30,100750,108160
2009-11-02,99781,103915
2009-11-03,105109,102966
2009-11-04,100750,108160
2009-11-05,101234,103915
2009-11-06,93484,104388
2009-11-09,93388,96748
2009-11-10,94453,96652
2009-11-11,92128,97710
2009-11-12,86703,95398
2009-11-13,87284,89963
2009-11-16,84669,90548
2009-11-17,84088,87912
2009-11-18,88834,87324
2009-11-19,89706,92105
2009-11-20,90481,92978
2009-11-23,90094,93754
2009-11-24,91741,93367
2009-11-25,89900,95012
2009-11-26,83313,93173
2009-11-27,85444,86540
2009-11-30,79922,88694
2009-12-01,81763,83096
2009-12-02,88156,84968
2009-12-03,91547,91424
2009-12-04,92322,94819
2009-12-07,93097,95591
2009-12-08,90772,96363
2009-12-09,91838,94045
2009-12-10,96875,95109
2009-12-11,99781,100106
2009-12-14,96875,102966
2009-12-15,96875,100106
2009-12-16,94938,100106
2009-12-17,96778,98191
2009-12-18,96681,100011
2009-12-21,96294,99915
2009-12-22,94938,99533
2009-12-23,94356,98191
2009-12-24,92613,97613
2009-12-28,93291,95881
2009-12-29,96003,96556
2009-12-30,96778,99245
2010-01-04,106078,100011
2010-01-05,107531,109098
2010-01-06,101234,110500
2010-01-07,104141,104388
2010-01-08,101719,107221
2010-01-11,106563,104862
2010-01-12,106563,109566
2010-01-13,100266,109566
2010-01-14,101234,103441
2010-01-15,102688,104388
2010-01-18,96875,105808
2010-01-19,94066,100106
2010-01-20,95325,97326
2010-01-21,94550,98574
2010-01-22,91741,97806
2010-01-25,87381,95012
2010-01-26,85250,90645
2010-01-27,90094,88498
2010-01-28,86703,93367
2010-01-29,87575,89963
