Date,Actual Closing Price,Forecast Closing Price
2002-04-22,57464,63208
2002-04-23,55705,57886
2002-04-24,51209,56183
2002-04-25,53555,51845
2002-04-26,51014,54105
2002-04-29,49841,51658
2002-04-30,53652,50531
2002-05-02,55705,54199
2002-05-03,53750,56183
2002-05-06,54239,54293
2002-05-07,56682,54765
2002-05-08,57170,57128
2002-05-09,53164,57601
2002-05-10,52773,53728
2002-05-13,50720,53351
2002-05-14,52577,51375
2002-05-15,50818,53162
2002-05-16,52284,51469
2002-05-17,53164,52880
2002-05-20,50818,53728
2002-05-21,52577,51469
2002-05-22,51795,53162
2002-05-23,52675,52409
2002-05-24,51600,53256
2002-05-27,51307,52221
2002-05-28,50330,51939
2002-05-29,47593,51000
2002-05-30,44759,48378
2002-05-31,47202,45675
2002-06-03,47886,48004
2002-06-04,50330,48658
2002-06-05,50623,51000
2002-06-07,51893,51282
2002-06-10,53164,52503
2002-06-11,53750,53728
2002-06-12,51405,54293
2002-06-14,51502,52034
2002-06-17,51698,52127
2002-06-18,48961,52316
2002-06-19,48864,49687
2002-06-20,50623,49594
2002-06-21,49450,51282
2002-06-24,47789,50156
2002-06-25,43147,48565
2002-06-26,44368,44143
2002-06-27,46909,45303
2002-06-28,48082,47724
2002-07-02,49157,48845
2002-07-03,48131,49875
2002-07-04,49743,48892
2002-07-05,50330,50437
2002-07-08,51111,51000
2002-07-09,50036,51751
2002-07-10,47740,50718
2002-07-11,47935,48518
2002-07-12,46274,48705
2002-07-15,45297,47118
2002-07-16,44466,46187
2002-07-18,45150,45396
2002-07-19,42316,46047
2002-07-22,43977,43356
2002-07-23,44466,44931
2002-07-24,43880,45396
2002-07-25,41632,44839
2002-07-26,41241,42708
2002-07-29,43684,42339
2002-07-30,43684,44653
2002-07-31,42902,44653
2002-08-01,41925,43911
2002-08-02,39433,42985
2002-08-05,38114,40633
2002-08-06,38407,39393
2002-08-07,38211,39668
2002-08-08,38798,39484
2002-08-09,39335,40036
2002-08-12,42023,40541
2002-08-13,42707,43078
2002-08-14,42609,43726
2002-08-16,41730,43633
2002-08-19,43195,42801
2002-08-20,43782,44189
2002-08-21,44564,44746
2002-08-22,43880,45489
2002-08-23,42511,44839
2002-08-26,42511,43540
2002-08-27,42023,43540
2002-08-28,41730,43078
2002-08-29,43880,42801
2002-08-30,44417,44839
2002-09-02,43293,45349
2002-09-03,42707,44282
2002-09-04,42218,43726
2002-09-05,41436,43263
2002-09-06,40850,42523
2002-09-09,42072,41969
2002-09-10,43195,43125
2002-09-11,43977,44189
2002-09-12,43586,44931
2002-09-13,42511,44560
2002-09-16,44710,43540
2002-09-17,43440,45628
2002-09-18,43684,44421
2002-09-19,41583,44653
2002-09-23,40068,42662
2002-09-24,37332,41231
2002-09-25,36355,38659
2002-09-26,35573,37745
2002-09-27,32592,37014
2002-09-30,33081,34240
2002-10-01,32348,34694
2002-10-02,33032,34014
2002-10-04,31273,34648
2002-10-07,31713,33019
2002-10-08,30344,33426
2002-10-09,29074,32162
2002-10-10,29807,30992
2002-10-11,31957,31667
2002-10-14,33081,33652
2002-10-15,32641,34694
2002-10-16,33569,34286
2002-10-17,36306,35147
2002-10-18,35328,37699
2002-10-21,34400,36785
2002-10-22,36355,35920
2002-10-23,36159,37745
2002-10-24,36159,37561
2002-10-25,38798,37561
2002-10-28,38016,40036
2002-10-29,36501,39301
2002-10-30,36159,37881
2002-10-31,35817,37561
2002-11-01,38114,37242
2002-11-04,38602,39393
2002-11-05,39775,39851
2002-11-06,39970,40955
2002-11-07,40899,41139
2002-11-08,39433,42016
2002-11-11,38651,40633
2002-11-12,38847,39898
2002-11-13,38895,40082
2002-11-14,40948,40127
2002-11-15,40655,42062
2002-11-18,41876,41785
2002-11-19,42853,42939
2002-11-20,44173,43864
2002-11-21,45345,45117
2002-11-22,47691,46232
2002-11-25,47202,48471
2002-11-26,48082,48004
2002-11-27,45932,48845
2002-11-28,47398,46792
2002-11-29,48717,48191
2002-12-02,49255,49453
2002-12-03,47398,49969
2002-12-04,48180,48191
2002-12-05,47886,48939
2002-12-06,46811,48658
2002-12-09,45492,47630
2002-12-10,45003,46372
2002-12-11,45834,45907
2002-12-12,45834,46698
2002-12-13,44613,46698
2002-12-16,44564,45536
2002-12-17,46030,45489
2002-12-18,47105,46885
2002-12-20,44808,47911
2002-12-23,44564,45721
2002-12-24,43977,45489
2002-12-26,42511,44931
2002-12-27,40361,43540
2002-12-30,41094,41508
