Date,Actual Closing Price,Forecast Closing Price
2001-04-25,17636,71737
2001-04-26,18062,70988
2001-04-27,18204,71362
2001-04-30,18489,71486
2001-05-02,21262,71737
2001-05-03,21191,74174
2001-05-04,21120,74111
2001-05-07,20978,74049
2001-05-08,20764,73924
2001-05-09,20836,73736
2001-05-10,21191,73799
2001-05-11,21120,74111
2001-05-14,21120,74049
2001-05-15,20622,74049
2001-05-16,22258,73611
2001-05-17,24960,75050
2001-05-18,25956,77430
2001-05-21,25316,78309
2001-05-22,26169,77744
2001-05-23,26453,78497
2001-05-24,27093,78747
2001-05-25,27022,79312
2001-05-28,26880,79249
2001-05-29,27520,79124
2001-05-30,26596,79689
2001-05-31,25173,78873
2001-06-01,24747,77618
2001-06-04,24747,77243
2001-06-05,24036,77243
2001-06-07,25956,76616
2001-06-08,26169,78309
2001-06-11,25813,78497
2001-06-12,25316,78183
2001-06-13,25884,77744
2001-06-14,25529,78245
2001-06-15,25316,77932
2001-06-18,24604,77744
2001-06-19,24036,77117
2001-06-20,23609,76616
2001-06-21,24178,76240
2001-06-22,24747,76741
2001-06-25,25316,77243
2001-06-26,25600,77744
2001-06-27,24818,77995
2001-06-28,24604,77305
2001-06-29,24533,77117
2001-07-02,24676,77054
2001-07-03,24604,77180
2001-07-04,24178,77117
2001-07-05,24036,76741
2001-07-06,23040,76616
2001-07-09,22542,75739
2001-07-10,22613,75300
2001-07-11,23609,75363
2001-07-12,23609,76240
2001-07-13,23111,76240
2001-07-16,22756,75801
2001-07-18,22044,75489
2001-07-19,22044,74862
2001-07-20,21618,74862
2001-07-23,20764,74487
2001-07-24,20764,73736
2001-07-25,20764,73736
2001-07-26,21476,73736
2001-07-27,20907,74362
2001-07-30,20622,73862
2001-07-31,21049,73611
2001-08-01,20409,73987
2001-08-02,21831,73424
2001-08-03,21831,74675
2001-08-06,21831,74675
2001-08-07,22258,74675
2001-08-08,21191,75050
2001-08-09,21049,74111
2001-08-10,21689,73987
2001-08-13,22471,74550
2001-08-14,22969,75238
2001-08-16,23751,75676
2001-08-17,22898,76365
2001-08-20,23040,75614
2001-08-21,22898,75739
2001-08-22,23182,75614
2001-08-23,23040,75864
2001-08-24,23751,75739
2001-08-27,23751,76365
2001-08-28,23467,76365
2001-08-29,23467,76115
2001-08-30,22756,76115
2001-08-31,22969,75489
2001-09-03,22969,75676
2001-09-04,23324,75676
2001-09-05,22613,75989
2001-09-06,23182,75363
2001-09-07,22471,75864
2001-09-10,22542,75238
2001-09-11,19200,75300
2001-09-12,20764,72361
2001-09-13,20622,73736
2001-09-14,21333,73611
2001-09-17,21333,74236
2001-09-18,21191,74236
2001-09-19,20622,74111
2001-09-20,20622,73611
2001-09-21,20409,73611
2001-09-24,19484,73424
2001-09-25,19556,72611
2001-09-26,19484,72674
2001-09-27,19911,72611
2001-09-28,20480,72986
2001-10-04,20409,73486
2001-10-05,20196,73424
2001-10-08,20764,73237
2001-10-09,20836,73736
2001-10-10,21262,73799
2001-10-11,21120,74174
2001-10-12,21120,74049
2001-10-15,21689,74049
2001-10-16,22613,74550
2001-10-17,23040,75363
2001-10-18,22969,75739
2001-10-19,23538,75676
2001-10-22,23040,76177
2001-10-23,24036,75739
2001-10-24,23253,76616
2001-10-25,22827,75926
2001-10-26,22542,75551
2001-10-29,22542,75300
2001-10-30,22756,75300
2001-10-31,23040,75489
2001-11-01,22684,75739
2001-11-02,22756,75425
2001-11-05,22400,75489
2001-11-06,22400,75175
2001-11-07,23111,75175
2001-11-08,23609,75801
2001-11-09,24462,76240
2001-11-12,25316,76992
2001-11-13,24889,77744
2001-11-14,25600,77368
2001-11-15,25102,77995
2001-11-16,24604,77556
2001-11-19,25600,77117
2001-11-20,25458,77995
2001-11-21,25884,77870
2001-11-22,27520,78245
2001-11-23,30009,79689
2001-11-26,29582,81888
2001-11-27,28444,81511
2001-11-28,28516,80505
2001-11-29,30862,80569
2001-11-30,31431,82642
2001-12-03,29867,83146
2001-12-04,30720,81763
2001-12-05,31289,82517
2001-12-06,32853,83020
2001-12-07,30507,84404
2001-12-10,30436,82328
2001-12-11,30364,82266
2001-12-12,32284,82202
2001-12-13,32142,83901
2001-12-14,30436,83775
2001-12-17,29440,82266
2001-12-18,28516,81385
2001-12-19,29298,80569
2001-12-20,28444,81260
2001-12-21,29369,80505
2001-12-24,29013,81322
2001-12-26,29867,81008
2001-12-27,30933,81763
2001-12-28,31289,82705
2002-01-02,33422,83020
2002-01-03,35556,84908
2002-01-04,35200,86800
2002-01-07,34987,86484
2002-01-08,34844,86295
2002-01-09,35698,86168
2002-01-10,35769,86926
2002-01-11,34916,86989
2002-01-14,33209,86232
2002-01-15,32142,84720
2002-01-16,33422,83775
2002-01-17,34133,84908
2002-01-18,34489,85538
2002-01-21,36836,85854
2002-01-22,40391,87935
2002-01-23,40747,91092
2002-01-24,40818,91409
2002-01-25,45013,91472
2002-01-28,43733,95205
2002-01-29,40676,94066
2002-01-30,42382,91346
2002-01-31,42027,92863
2002-02-01,40960,92547
2002-02-04,41031,91598
2002-02-05,42453,91661
2002-02-06,42667,92926
2002-02-07,42169,93117
2002-02-08,45156,92674
2002-02-14,47716,95333
2002-02-15,50489,97615
2002-02-18,47716,100090
2002-02-19,47289,97615
2002-02-20,47644,97234
2002-02-21,49209,97551
2002-02-22,51200,98947
2002-02-25,53760,100725
2002-02-26,54044,103013
2002-02-27,52907,103267
2002-02-28,51911,102250
2002-03-04,51484,101360
2002-03-05,54044,100979
2002-03-06,54044,103267
2002-03-07,54187,103267
2002-03-08,56320,103395
2002-03-11,60942,105303
2002-03-12,59662,109444
2002-03-13,59307,108297
2002-03-14,58098,107979
2002-03-15,59876,106896
2002-03-18,60444,108489
2002-03-19,58738,108998
2002-03-20,58169,107469
2002-03-21,49493,106959
2002-03-22,56889,99201
2002-03-25,58880,105813
2002-03-26,61440,107596
2002-03-27,62151,109891
2002-03-28,62151,110529
2002-03-29,60729,110529
2002-04-01,64711,109253
2002-04-02,71111,112826
2002-04-03,70400,118579
2002-04-04,66133,117939
2002-04-08,63716,114103
2002-04-09,59449,111933
2002-04-10,60302,108106
2002-04-11,60871,108871
2002-04-12,62578,109381
2002-04-15,64142,110912
2002-04-16,67911,112316
2002-04-17,68409,115701
2002-04-18,75093,116149
2002-04-19,71253,122163
2002-04-22,72818,118707
2002-04-23,62009,120115
2002-04-24,56747,110401
2002-04-25,61156,105686
