Date,Actual Closing Price,Forecast Closing Price
2002-10-29,2588,-1206
2002-10-30,2459,-936
2002-10-31,2305,-1062
2002-11-01,2191,-1212
2002-11-04,2188,-1324
2002-11-05,2141,-1326
2002-11-06,2142,-1372
2002-11-07,2102,-1371
2002-11-08,2153,-1410
2002-11-11,2037,-1361
2002-11-12,1932,-1474
2002-11-13,1923,-1576
2002-11-14,2020,-1585
2002-11-15,1990,-1490
2002-11-18,2028,-1519
2002-11-19,2110,-1482
2002-11-20,2075,-1402
2002-11-21,2119,-1437
2002-11-22,2138,-1394
2002-11-25,2102,-1375
2002-11-26,1979,-1410
2002-11-27,2070,-1530
2002-11-28,2316,-1441
2002-11-29,2379,-1202
2002-12-02,2421,-1140
2002-12-03,2453,-1099
2002-12-04,2680,-1068
2002-12-05,2721,-847
2002-12-06,2664,-807
2002-12-09,2736,-862
2002-12-10,2816,-792
2002-12-11,3031,-714
2002-12-12,3031,-504
2002-12-13,2968,-504
2002-12-16,2953,-566
2002-12-17,2942,-580
2002-12-18,2832,-591
2002-12-20,2732,-698
2002-12-23,2810,-796
2002-12-24,2627,-720
2002-12-26,2584,-898
2002-12-27,2338,-940
2002-12-30,2616,-1180
2003-01-02,2926,-909
2003-01-03,2964,-607
2003-01-06,2837,-570
2003-01-07,2989,-694
2003-01-08,3047,-545
2003-01-09,2906,-489
2003-01-10,2979,-626
2003-01-13,2921,-555
2003-01-14,2921,-612
2003-01-15,2841,-612
2003-01-16,2763,-690
2003-01-17,2716,-766
2003-01-20,2752,-812
2003-01-21,2727,-776
2003-01-22,2948,-801
2003-01-23,2821,-585
2003-01-24,2705,-709
2003-01-27,2700,-822
2003-01-28,2573,-827
2003-01-29,2700,-951
2003-01-30,2763,-827
2003-02-03,2758,-766
2003-02-04,2758,-771
2003-02-05,2685,-771
2003-02-06,2631,-842
2003-02-07,2653,-895
2003-02-10,2685,-873
2003-02-11,2769,-842
2003-02-12,2721,-760
2003-02-13,2732,-807
2003-02-14,2874,-796
2003-02-17,2837,-657
2003-02-18,2832,-694
2003-02-19,2832,-698
2003-02-20,2821,-698
2003-02-21,2953,-709
2003-02-24,2821,-580
2003-02-25,2921,-709
2003-02-26,2968,-612
2003-02-27,2937,-566
2003-02-28,2953,-596
2003-03-03,2848,-580
2003-03-04,2743,-683
2003-03-05,2732,-785
2003-03-06,2653,-796
2003-03-07,2616,-873
2003-03-10,2558,-909
2003-03-11,2758,-966
2003-03-12,2705,-771
2003-03-13,2826,-822
2003-03-14,2705,-704
2003-03-17,3026,-822
2003-03-18,3047,-509
2003-03-19,3142,-489
2003-03-20,3127,-396
2003-03-21,3036,-410
2003-03-24,2979,-499
2003-03-25,3111,-555
2003-03-26,3362,-426
2003-03-27,3467,-181
2003-03-28,3362,-78
2003-03-31,3426,-181
2003-04-01,3599,-118
2003-04-02,3573,51
2003-04-03,3719,25
2003-04-04,3667,168
2003-04-07,3725,117
2003-04-08,3873,174
2003-04-09,3757,319
2003-04-10,3678,205
2003-04-11,3978,128
2003-04-14,4083,421
2003-04-15,4572,524
2003-04-16,4902,1003
2003-04-17,4939,1326
2003-04-18,5113,1362
2003-04-21,5065,1533
2003-04-22,5018,1486
2003-04-23,4628,1440
2003-04-24,4634,1058
2003-04-25,4939,1064
2003-04-28,5517,1362
2003-04-29,5727,1929
2003-04-30,6200,2136
2003-05-02,5622,2600
2003-05-06,5570,2032
2003-05-07,5700,1981
