Date,Actual Closing Price,Forecast Closing Price
1990-01-03,35800,34617
1990-01-04,35200,34884
1990-01-05,35100,34349
1990-01-06,35000,34260
1990-01-08,34800,34170
1990-01-09,34400,33991
1990-01-10,34300,33631
1990-01-11,34200,33541
1990-01-12,33800,33451
1990-01-13,33500,33089
1990-01-15,33500,32816
1990-01-16,33200,32816
1990-01-17,25700,32543
1990-01-18,25500,25474
1990-01-19,25700,25280
1990-01-20,26700,25474
1990-01-22,26500,26439
1990-01-23,26400,26246
1990-01-24,26100,26150
1990-01-25,25500,25860
1990-01-29,25000,25280
1990-01-30,25600,24796
1990-01-31,25100,25377
1990-02-01,24900,24893
1990-02-02,25000,24699
1990-02-03,25200,24796
1990-02-05,25200,24990
1990-02-06,25100,24990
1990-02-07,24900,24893
1990-02-08,24500,24699
1990-02-09,24300,24310
1990-02-10,23700,24115
1990-02-12,23800,23530
1990-02-13,24100,23628
1990-02-14,24100,23920
1990-02-15,23800,23920
1990-02-16,23400,23628
1990-02-17,22800,23237
1990-02-19,22800,22650
1990-02-20,22700,22650
1990-02-21,22600,22552
1990-02-22,22400,22454
1990-02-23,22000,22258
1990-02-24,21600,21865
1990-02-26,22600,21472
1990-02-27,23600,22454
1990-02-28,17994,23432
1990-03-02,18652,17914
1990-03-03,17994,18565
1990-03-05,17628,17914
1990-03-06,17116,17553
1990-03-07,17336,17046
1990-03-08,17701,17264
1990-03-09,17775,17625
1990-03-12,17555,17698
1990-03-13,17409,17480
1990-03-14,17336,17336
1990-03-15,17189,17264
1990-03-16,16896,17119
1990-03-17,17043,16829
1990-03-19,17116,16974
1990-03-20,17262,17046
1990-03-21,17116,17191
1990-03-22,16970,17046
1990-03-23,16896,16902
1990-03-24,16677,16829
1990-03-26,16385,16613
1990-03-27,16165,16324
1990-03-28,16604,16107
1990-03-29,16092,16540
1990-03-30,15873,16035
1990-03-31,16019,15818
1990-04-02,15873,15962
1990-04-03,15580,15818
1990-04-04,15945,15529
1990-04-06,15360,15889
1990-04-07,15360,15312
1990-04-09,15288,15312
1990-04-10,15288,15241
1990-04-11,15288,15241
1990-04-12,15068,15241
1990-04-13,14775,15024
1990-04-14,14483,14735
1990-04-16,15068,14447
1990-04-17,14629,15024
1990-04-18,14556,14591
1990-04-19,14775,14519
1990-04-20,15068,14735
1990-04-21,14922,15024
1990-04-23,14775,14880
1990-04-24,14483,14735
1990-04-25,13898,14447
1990-04-26,14409,13871
1990-04-27,13824,14374
1990-04-28,13239,13798
1990-04-30,13824,13222
1990-05-01,14409,13798
1990-05-03,14995,14374
1990-05-04,15580,14952
1990-05-07,16092,15529
1990-05-08,15873,16035
1990-05-09,15360,15818
1990-05-10,15214,15312
1990-05-11,14995,15168
1990-05-12,14702,14952
1990-05-14,14775,14663
1990-05-15,15507,14735
1990-05-16,15726,15457
1990-05-17,15360,15673
1990-05-18,15360,15312
1990-05-19,15434,15312
1990-05-21,15726,15385
1990-05-22,15726,15673
1990-05-23,15653,15673
1990-05-24,15726,15601
1990-05-25,15434,15673
1990-05-26,15214,15385
1990-05-28,15214,15168
1990-05-29,15360,15168
1990-05-30,15434,15312
1990-05-31,15434,15385
1990-06-01,15434,15385
1990-06-02,15653,15385
1990-06-04,15507,15601
1990-06-05,15288,15457
1990-06-07,15288,15241
1990-06-08,15360,15241
1990-06-09,15068,15312
1990-06-11,14849,15024
1990-06-12,14629,14808
1990-06-13,14263,14591
1990-06-14,14117,14230
1990-06-15,14117,14086
1990-06-16,13752,14086
1990-06-18,13605,13727
1990-06-19,13386,13582
1990-06-20,13313,13367
1990-06-21,13313,13295
1990-06-22,13313,13295
1990-06-23,12947,13295
1990-06-25,12947,12936
1990-06-26,13093,12936
1990-06-27,12801,13079
1990-06-28,12508,12792
1990-06-29,12288,12505
1990-06-30,12508,12289
1990-07-02,13093,12505
1990-07-03,12947,13079
1990-07-04,12508,12936
1990-07-05,12288,12505
1990-07-06,12215,12289
1990-07-07,12362,12218
1990-07-09,12435,12362
1990-07-10,12288,12433
1990-07-11,12142,12289
1990-07-12,11922,12146
1990-07-13,11922,11931
1990-07-14,11777,11931
1990-07-16,12069,11789
1990-07-18,11996,12075
1990-07-19,12142,12003
1990-07-20,12069,12146
1990-07-21,11922,12075
1990-07-23,11922,11931
1990-07-24,12069,11931
1990-07-25,11922,12075
1990-07-26,11850,11931
1990-07-27,11996,11860
1990-07-28,11850,12003
1990-07-30,11850,11860
1990-07-31,11996,11860
1990-08-01,11922,12003
1990-08-02,11703,11931
1990-08-03,11411,11716
1990-08-04,10972,11431
1990-08-06,10826,11003
1990-08-07,10386,10860
1990-08-08,10386,10432
1990-08-09,10606,10432
1990-08-10,10533,10646
1990-08-11,10386,10575
1990-08-13,10021,10432
1990-08-14,10021,10077
1990-08-16,10094,10077
1990-08-17,10240,10148
1990-08-18,10167,10290
1990-08-20,9948,10219
1990-08-21,10021,10006
1990-08-22,10021,10077
1990-08-23,9948,10077
1990-08-24,9729,10006
1990-08-25,10167,9794
1990-08-27,10606,10219
1990-08-28,11045,10646
1990-08-29,10752,11074
1990-08-30,10314,10788
1990-08-31,10314,10362
1990-09-01,10752,10362
1990-09-03,10752,10788
1990-09-04,10533,10788
1990-09-05,10533,10575
1990-09-06,10386,10575
1990-09-07,10314,10432
1990-09-08,10240,10362
1990-09-10,10314,10290
1990-09-11,10314,10362
1990-09-12,10240,10362
1990-09-13,10240,10290
1990-09-14,9801,10290
1990-09-15,9363,9863
1990-09-17,9801,9439
1990-09-18,9948,9863
1990-09-19,9875,10006
1990-09-20,9948,9935
1990-09-21,9948,10006
1990-09-22,10094,10006
1990-09-24,10167,10148
1990-09-25,10240,10219
1990-09-26,10167,10290
1990-09-27,10240,10219
1990-09-28,10386,10290
1990-09-29,10826,10432
1990-10-05,10752,10860
1990-10-06,10533,10788
1990-10-08,10460,10575
1990-10-10,10679,10504
1990-10-11,10899,10717
1990-10-12,10752,10931
1990-10-13,11191,10788
1990-10-15,11045,11216
1990-10-16,11630,11074
1990-10-17,12215,11645
1990-10-18,12801,12218
1990-10-19,13386,12792
1990-10-20,13971,13367
1990-10-22,14556,13942
1990-10-23,15141,14519
1990-10-24,14775,15096
1990-10-25,14044,14735
1990-10-26,14629,14014
1990-10-27,14044,14591
1990-10-29,13678,14014
1990-10-30,13093,13654
1990-10-31,13678,13079
1990-11-01,14044,13654
1990-11-02,14190,14014
1990-11-03,14263,14158
1990-11-05,13971,14230
1990-11-06,14556,13942
1990-11-07,14337,14519
1990-11-08,14117,14303
1990-11-09,13824,14086
1990-11-10,13898,13798
1990-11-12,14263,13871
1990-11-13,14044,14230
1990-11-14,13824,14014
1990-11-15,13752,13798
1990-11-16,13532,13727
1990-11-17,12947,13510
1990-11-19,12727,12936
1990-11-20,12727,12720
1990-11-21,13020,12720
1990-11-22,13020,13007
1990-11-23,12947,13007
1990-11-24,13020,12936
1990-11-26,13020,13007
1990-11-27,13605,13007
1990-11-28,13386,13582
1990-11-29,13605,13367
1990-11-30,13824,13582
1990-12-01,14044,13798
1990-12-03,13824,14014
1990-12-04,14044,13798
1990-12-05,14044,14014
1990-12-06,14337,14014
1990-12-07,14849,14303
1990-12-08,14849,14808
1990-12-10,14409,14808
1990-12-11,14409,14374
1990-12-12,13971,14374
1990-12-13,13898,13942
1990-12-14,13752,13871
1990-12-15,13898,13727
1990-12-17,13971,13871
1990-12-18,13752,13942
1990-12-19,13752,13727
1990-12-20,13971,13727
1990-12-21,13824,13942
1990-12-22,13313,13798
1990-12-24,13313,13295
1990-12-26,13166,13295
1991-01-03,13678,13151
1991-01-04,13532,13654
1991-01-05,12947,13510
1991-01-07,12581,12936
1991-01-08,12508,12576
1991-01-09,11922,12505
1991-01-10,11703,11931
1991-01-11,12288,11716
1991-01-12,12435,12289
1991-01-14,11850,12433
1991-01-15,11557,11860
1991-01-16,12142,11574
1991-01-17,12727,12146
1991-01-18,12801,12720
1991-01-19,12215,12792
1991-01-21,12142,12218
1991-01-22,11922,12146
1991-01-23,12142,11931
1991-01-24,11922,12146
1991-01-25,11922,11931
1991-01-26,11850,11931
1991-01-28,11922,11860
1991-01-29,12069,11931
1991-01-30,11922,12075
1991-01-31,11850,11931
1991-02-01,11922,11860
1991-02-02,11777,11931
1991-02-04,11777,11789
1991-02-05,11850,11789
1991-02-06,11850,11860
1991-02-07,11703,11860
1991-02-08,11703,11716
1991-02-09,11703,11716
1991-02-11,12142,11716
1991-02-12,11996,12146
1991-02-13,12581,12003
1991-02-18,12288,12576
1991-02-19,12215,12289
1991-02-20,12288,12218
1991-02-21,12288,12289
1991-02-22,12362,12289
1991-02-23,12654,12362
1991-02-25,12288,12648
1991-02-26,12069,12289
1991-02-27,12069,12075
1991-02-28,12069,12075
1991-03-02,11922,12075
1991-03-04,11850,11931
1991-03-05,11703,11860
1991-03-06,11630,11716
1991-03-07,11630,11645
1991-03-08,12142,11645
1991-03-09,12069,12146
1991-03-11,12288,12075
1991-03-12,12069,12289
1991-03-13,11922,12075
1991-03-14,11996,11931
1991-03-15,11850,12003
1991-03-16,11850,11860
1991-03-18,11703,11860
1991-03-19,11630,11716
1991-03-20,11557,11645
1991-03-21,11337,11574
1991-03-22,11337,11359
1991-03-23,11411,11359
1991-03-25,11118,11431
1991-03-27,11045,11145
1991-03-28,11272,11074
1991-03-29,11726,11295
1991-03-30,11650,11739
1991-04-01,11650,11665
1991-04-02,11953,11665
1991-04-03,12180,11961
1991-04-04,12029,12183
1991-04-06,11726,12035
1991-04-08,11802,11739
1991-04-09,11726,11813
1991-04-10,11575,11739
1991-04-11,11575,11591
1991-04-12,11575,11591
1991-04-13,11575,11591
1991-04-15,11650,11591
1991-04-16,11575,11665
1991-04-17,11424,11591
1991-04-18,11499,11444
1991-04-19,11424,11517
1991-04-20,11348,11444
1991-04-22,11953,11369
1991-04-23,11802,11961
1991-04-24,11499,11813
1991-04-25,11726,11517
1991-04-26,11802,11739
1991-04-27,11802,11813
1991-04-29,11953,11813
1991-04-30,12029,11961
1991-05-01,12483,12035
1991-05-02,12483,12480
1991-05-03,12483,12480
1991-05-04,12256,12480
1991-05-06,12029,12258
1991-05-07,11877,12035
1991-05-08,11953,11887
1991-05-09,11726,11961
1991-05-10,11726,11739
1991-05-11,11877,11739
1991-05-13,12029,11887
1991-05-14,11877,12035
1991-05-15,11953,11887
1991-05-16,11953,11961
1991-05-17,11953,11961
1991-05-18,11726,11961
1991-05-20,11650,11739
1991-05-22,11726,11665
1991-05-23,11575,11739
1991-05-24,11499,11591
1991-05-25,11499,11517
1991-05-27,11499,11517
1991-05-28,11575,11517
1991-05-29,11499,11591
1991-05-30,11499,11517
1991-05-31,11499,11517
1991-06-01,11272,11517
1991-06-03,11121,11295
1991-06-04,11424,11148
