Date,Actual Closing Price,Forecast Closing Price
1990-01-03,31700,34143
1990-01-04,31400,34645
1990-01-05,31800,34343
1990-01-06,31900,34745
1990-01-08,32000,34845
1990-01-09,32900,34946
1990-01-10,32500,35849
1990-01-11,33400,35448
1990-01-12,32900,36351
1990-01-13,32600,35849
1990-01-15,32700,35548
1990-01-16,32800,35648
1990-01-17,32700,35749
1990-01-18,32200,35648
1990-01-19,32100,35146
1990-01-20,32600,35046
1990-01-22,32000,35548
1990-01-23,32300,34946
1990-01-24,32400,35247
1990-01-25,32000,35347
1990-01-29,31600,34946
1990-01-30,31700,34544
1990-01-31,31400,34645
1990-02-01,31200,34343
1990-02-02,31100,34143
1990-02-03,31300,34042
1990-02-05,31700,34243
1990-02-06,31300,34645
1990-02-07,31300,34243
1990-02-08,31400,34243
1990-02-09,31100,34343
1990-02-10,31400,34042
1990-02-12,31900,34343
1990-02-13,31800,34845
1990-02-14,31600,34745
1990-02-15,31500,34544
1990-02-16,31400,34444
1990-02-17,31200,34343
1990-02-19,31200,34143
1990-02-20,31200,34143
1990-02-21,31000,34143
1990-02-22,31100,33942
1990-02-23,30900,34042
1990-02-24,30400,33841
1990-02-26,31300,33339
1990-02-27,30800,34243
1990-02-28,28484,33741
1990-03-02,28393,31416
1990-03-03,28211,31324
1990-03-05,28030,31142
1990-03-06,27667,30960
1990-03-07,27576,30596
1990-03-08,27667,30504
1990-03-09,27576,30596
1990-03-12,27395,30504
1990-03-13,26851,30323
1990-03-14,26488,29776
1990-03-15,26760,29412
1990-03-16,26579,29685
1990-03-17,26669,29503
1990-03-19,27123,29594
1990-03-20,27032,30049
1990-03-21,26760,29958
1990-03-22,26579,29685
1990-03-23,26488,29503
1990-03-24,26579,29412
1990-03-26,26125,29503
1990-03-27,25399,29048
1990-03-28,25853,28319
1990-03-29,26669,28774
1990-03-30,26488,29594
1990-03-31,26216,29412
1990-04-02,26125,29139
1990-04-03,25853,29048
1990-04-04,25581,28774
1990-04-06,25490,28501
1990-04-07,25309,28410
1990-04-09,25127,28228
1990-04-10,24946,28046
1990-04-11,24674,27864
1990-04-12,24583,27591
1990-04-13,24492,27499
1990-04-14,23857,27408
1990-04-16,23948,26771
1990-04-17,23948,26862
1990-04-18,23404,26862
1990-04-19,23494,26316
1990-04-20,23767,26406
1990-04-21,23767,26680
1990-04-23,23948,26680
1990-04-24,23585,26862
1990-04-25,22678,26498
1990-04-26,22950,25587
1990-04-27,22043,25860
1990-04-28,21136,24950
1990-04-30,22043,24039
1990-05-01,22950,24950
1990-05-03,23857,25860
1990-05-04,24764,26771
1990-05-07,25490,27681
1990-05-08,25309,28410
1990-05-09,24583,28228
1990-05-10,24129,27499
1990-05-11,23767,27044
1990-05-12,23222,26680
1990-05-14,23222,26133
1990-05-15,24129,26133
1990-05-16,24311,27044
1990-05-17,24129,27226
1990-05-18,23857,27044
1990-05-19,23948,26771
1990-05-21,24492,26862
1990-05-22,24583,27408
1990-05-23,24583,27499
1990-05-24,24946,27499
1990-05-25,24674,27864
1990-05-26,24674,27591
1990-05-28,24674,27591
1990-05-29,24764,27591
1990-05-30,24674,27681
1990-05-31,24946,27591
1990-06-01,25127,27864
1990-06-02,25309,28046
1990-06-04,25399,28228
1990-06-05,25218,28319
1990-06-07,25399,28137
1990-06-08,25399,28319
1990-06-09,24946,28319
1990-06-11,24764,27864
1990-06-12,24855,27681
1990-06-13,24855,27773
1990-06-14,24674,27773
1990-06-15,24764,27591
1990-06-16,24220,27681
1990-06-18,23767,27135
1990-06-19,24039,26680
1990-06-20,24129,26953
1990-06-21,24039,27044
1990-06-22,24129,26953
1990-06-23,24039,27044
1990-06-25,23857,26953
1990-06-26,23857,26771
1990-06-27,23676,26771
1990-06-28,23313,26589
1990-06-29,22678,26224
1990-06-30,22859,25587
1990-07-02,23767,25769
1990-07-03,23404,26680
1990-07-04,23041,26316
1990-07-05,22859,25951
1990-07-06,22769,25769
1990-07-07,22769,25678
1990-07-09,22859,25678
1990-07-10,22859,25769
1990-07-11,22678,25769
1990-07-12,22134,25587
1990-07-13,21952,25041
1990-07-14,21771,24858
1990-07-16,22224,24676
1990-07-18,21952,25131
1990-07-19,22043,24858
1990-07-20,22043,24950
1990-07-21,21771,24950
1990-07-23,21771,24676
1990-07-24,21771,24676
1990-07-25,21499,24676
1990-07-26,21499,24403
1990-07-27,21680,24403
1990-07-28,21680,24585
1990-07-30,21771,24585
1990-07-31,21952,24676
1990-08-01,22043,24858
1990-08-02,21862,24950
1990-08-03,21408,24768
1990-08-04,21227,24312
1990-08-06,21045,24130
1990-08-07,20864,23948
1990-08-08,20864,23766
1990-08-09,20954,23766
1990-08-10,20954,23856
1990-08-11,20954,23856
1990-08-13,20501,23856
1990-08-14,20501,23402
1990-08-16,20501,23402
1990-08-17,20501,23402
1990-08-18,20319,23402
1990-08-20,20319,23219
1990-08-21,20319,23219
1990-08-22,20319,23219
1990-08-23,20229,23219
1990-08-24,19684,23128
1990-08-25,20592,22581
1990-08-27,21499,23493
1990-08-28,21136,24403
1990-08-29,20229,24039
1990-08-30,20047,23128
1990-08-31,20138,22946
1990-09-01,21045,23037
1990-09-03,20682,23948
1990-09-04,20682,23583
1990-09-05,20592,23583
1990-09-06,20682,23493
1990-09-07,20682,23583
1990-09-08,20682,23583
1990-09-10,20773,23583
1990-09-11,20773,23675
1990-09-12,20773,23675
1990-09-13,20682,23675
1990-09-14,20319,23583
1990-09-15,19412,23219
1990-09-17,20319,22308
1990-09-18,20319,23219
1990-09-19,20138,23219
1990-09-20,20047,23037
1990-09-21,20047,22946
1990-09-22,20138,22946
1990-09-24,20138,23037
1990-09-25,20319,23037
1990-09-26,20319,23219
1990-09-27,20319,23219
1990-09-28,20410,23219
1990-09-29,20864,23310
1990-10-05,20682,23766
1990-10-06,20682,23583
1990-10-08,20501,23583
1990-10-10,20319,23402
1990-10-11,20319,23219
1990-10-12,20319,23219
1990-10-13,20592,23219
1990-10-15,20501,23493
1990-10-16,20682,23402
1990-10-17,20682,23583
1990-10-18,21589,23583
1990-10-19,21862,24494
1990-10-20,22134,24768
1990-10-22,23041,25041
1990-10-23,23948,25951
1990-10-24,23041,26862
1990-10-25,22134,25951
1990-10-26,21771,25041
1990-10-27,22224,24676
1990-10-29,21952,25131
1990-10-30,21045,24858
1990-10-31,21680,23948
1990-11-01,20773,24585
1990-11-02,20773,23675
1990-11-03,20592,23675
1990-11-05,20410,23493
1990-11-06,20864,23310
1990-11-07,20592,23766
1990-11-08,20592,23493
1990-11-09,20501,23493
1990-11-10,20592,23402
1990-11-12,20773,23493
1990-11-13,20954,23675
1990-11-14,20864,23856
1990-11-15,20682,23766
1990-11-16,20501,23583
1990-11-17,20410,23402
1990-11-19,20229,23310
1990-11-20,20229,23128
1990-11-21,20229,23128
1990-11-22,20229,23128
1990-11-23,20319,23128
1990-11-24,20592,23219
1990-11-26,20773,23493
1990-11-27,20954,23675
1990-11-28,20501,23856
1990-11-29,20682,23402
1990-11-30,20682,23583
1990-12-01,20864,23583
1990-12-03,20682,23766
1990-12-04,20682,23583
1990-12-05,20773,23583
1990-12-06,20864,23675
1990-12-07,21136,23766
1990-12-08,22043,24039
1990-12-10,21771,24950
1990-12-11,21317,24676
1990-12-12,20864,24221
1990-12-13,20864,23766
1990-12-14,20682,23766
1990-12-15,20682,23583
1990-12-17,20682,23583
1990-12-18,20410,23583
1990-12-19,20229,23310
1990-12-20,20682,23128
1990-12-21,20682,23583
1990-12-22,20592,23583
1990-12-24,20773,23493
1990-12-26,20138,23675
1991-01-03,20138,23037
1991-01-04,20138,23037
1991-01-05,19503,23037
1991-01-07,19140,22400
1991-01-08,19503,22035
1991-01-09,18687,22400
1991-01-10,18414,21581
1991-01-11,19049,21306
1991-01-12,18868,21944
1991-01-14,18233,21762
1991-01-15,18233,21125
1991-01-16,19140,21125
1991-01-17,19594,22035
1991-01-18,19231,22491
1991-01-19,18324,22127
1991-01-21,18233,21216
1991-01-22,18052,21125
1991-01-23,18596,20943
1991-01-24,18414,21489
1991-01-25,18596,21306
1991-01-26,18596,21489
1991-01-28,18687,21489
1991-01-29,18687,21581
1991-01-30,18777,21581
1991-01-31,18687,21671
1991-02-01,18777,21581
1991-02-02,18687,21671
1991-02-04,18596,21581
1991-02-05,18324,21489
1991-02-06,18596,21216
1991-02-07,18324,21489
1991-02-08,18414,21216
1991-02-09,18324,21306
1991-02-11,18505,21216
1991-02-12,18868,21398
1991-02-13,19594,21762
1991-02-18,19049,22491
1991-02-19,19594,21944
1991-02-20,19503,22491
1991-02-21,19503,22400
1991-02-22,19957,22400
1991-02-23,19684,22855
1991-02-25,19140,22581
1991-02-26,18868,22035
1991-02-27,18868,21762
1991-02-28,19049,21762
1991-03-02,18777,21944
1991-03-04,18777,21671
1991-03-05,19049,21671
1991-03-06,18959,21944
1991-03-07,18959,21854
1991-03-08,18777,21854
1991-03-09,18959,21671
1991-03-11,18959,21854
1991-03-12,18868,21854
1991-03-13,18959,21762
1991-03-14,18777,21854
1991-03-15,19231,21671
1991-03-16,19775,22127
1991-03-18,19503,22673
1991-03-19,19503,22400
1991-03-20,19049,22400
1991-03-21,18959,21944
1991-03-22,18959,21854
1991-03-23,19049,21854
1991-03-25,18777,21944
1991-03-27,18596,21671
1991-03-28,18505,21489
1991-03-29,18414,21398
1991-03-30,18324,21306
1991-04-01,18233,21216
1991-04-02,18324,21125
1991-04-03,18233,21216
1991-04-04,18324,21125
1991-04-06,18142,21216
1991-04-08,17779,21033
1991-04-09,17507,20669
1991-04-10,17689,20396
1991-04-11,17507,20579
1991-04-12,17326,20396
1991-04-13,17144,20214
1991-04-15,17144,20032
1991-04-16,17054,20032
1991-04-17,16782,19941
1991-04-18,16782,19668
1991-04-19,16600,19668
1991-04-20,16419,19486
1991-04-22,16872,19304
1991-04-23,16691,19759
1991-04-24,16691,19577
1991-04-25,16872,19577
1991-04-26,17598,19759
1991-04-27,17598,20487
1991-04-29,17779,20487
1991-04-30,17689,20669
1991-05-01,17779,20579
1991-05-02,17779,20669
1991-05-03,17779,20669
1991-05-04,17598,20669
