Date,Actual Closing Price,Forecast Closing Price
1990-01-03,11950,27507
1990-01-04,11700,27822
1990-01-05,11700,27597
1990-01-06,11800,27597
1990-01-08,11850,27687
1990-01-09,11700,27732
1990-01-10,11550,27597
1990-01-11,11550,27462
1990-01-12,11250,27462
1990-01-13,11150,27192
1990-01-15,11300,27102
1990-01-16,11000,27237
1990-01-17,11050,26968
1990-01-18,10900,27013
1990-01-19,11150,26878
1990-01-20,11350,27102
1990-01-22,11350,27282
1990-01-23,11600,27282
1990-01-24,11650,27507
1990-01-25,11600,27552
1990-01-29,11550,27507
1990-01-30,11700,27462
1990-01-31,11450,27597
1990-02-01,11150,27372
1990-02-02,11100,27102
1990-02-03,11150,27057
1990-02-05,11250,27102
1990-02-06,11250,27192
1990-02-07,11350,27192
1990-02-08,11300,27282
1990-02-09,11250,27237
1990-02-10,11150,27192
1990-02-12,11250,27102
1990-02-13,11350,27192
1990-02-14,11400,27282
1990-02-15,11250,27327
1990-02-16,11200,27192
1990-02-17,11150,27147
1990-02-19,11150,27102
1990-02-20,11200,27102
1990-02-21,11200,27147
1990-02-22,11100,27147
1990-02-23,11000,27057
1990-02-24,10750,26968
1990-02-26,11200,26743
1990-02-27,10950,27147
1990-02-28,6270,26923
1990-03-02,6242,22718
1990-03-03,6131,22693
1990-03-05,6131,22593
1990-03-06,6159,22593
1990-03-07,6131,22618
1990-03-08,6131,22593
1990-03-09,6131,22593
1990-03-12,6047,22593
1990-03-13,6047,22518
1990-03-14,5991,22518
1990-03-15,6047,22468
1990-03-16,5991,22518
1990-03-17,6047,22468
1990-03-19,6131,22518
1990-03-20,6075,22593
1990-03-21,6019,22543
1990-03-22,5991,22493
1990-03-23,5991,22468
1990-03-24,6159,22468
1990-03-26,6047,22618
1990-03-27,5963,22518
1990-03-28,5963,22443
1990-03-29,6131,22443
1990-03-30,6131,22593
1990-03-31,6075,22593
1990-04-02,6047,22543
1990-04-03,6019,22518
1990-04-04,5991,22493
1990-04-06,5936,22468
1990-04-07,5936,22418
1990-04-09,5963,22418
1990-04-10,5936,22443
1990-04-11,5908,22418
1990-04-12,5880,22393
1990-04-13,5796,22368
1990-04-14,5601,22293
1990-04-16,5657,22118
1990-04-17,5629,22168
1990-04-18,5434,22143
1990-04-19,5350,21968
1990-04-20,5378,21893
1990-04-21,5350,21918
1990-04-23,5462,21893
1990-04-24,5350,21993
1990-04-25,5239,21893
1990-04-26,5350,21793
1990-04-27,5127,21893
1990-04-28,4904,21693
1990-04-30,5127,21493
1990-05-01,5350,21693
1990-05-03,5573,21893
1990-05-04,5434,22093
1990-05-07,5490,21968
1990-05-08,5462,22018
1990-05-09,5322,21993
1990-05-10,5295,21868
1990-05-11,5100,21844
1990-05-12,5016,21669
1990-05-14,4932,21594
1990-05-15,5155,21518
1990-05-16,5211,21718
1990-05-17,5322,21768
1990-05-18,5295,21868
1990-05-19,5295,21844
1990-05-21,5406,21844
1990-05-22,5462,21943
1990-05-23,5462,21993
1990-05-24,5490,21993
1990-05-25,5434,22018
1990-05-26,5434,21968
1990-05-28,5518,21968
1990-05-29,5490,22044
1990-05-30,5545,22018
1990-05-31,5573,22068
1990-06-01,5685,22093
1990-06-02,5963,22193
1990-06-04,5852,22443
1990-06-05,5936,22343
1990-06-07,5963,22418
1990-06-08,5936,22443
1990-06-09,5713,22418
1990-06-11,5713,22218
1990-06-12,5713,22218
1990-06-13,5768,22218
1990-06-14,5852,22268
1990-06-15,5936,22343
1990-06-16,5824,22418
1990-06-18,5852,22318
1990-06-19,5741,22343
1990-06-20,5852,22243
1990-06-21,5936,22343
1990-06-22,5963,22418
1990-06-23,5908,22443
1990-06-25,5880,22393
1990-06-26,5880,22368
1990-06-27,5852,22368
1990-06-28,5852,22343
1990-06-29,5768,22343
1990-06-30,5796,22268
1990-07-02,6075,22293
1990-07-03,5936,22543
1990-07-04,5963,22418
1990-07-05,5908,22443
1990-07-06,5852,22393
1990-07-07,5908,22343
1990-07-09,5824,22393
1990-07-10,5852,22318
1990-07-11,5768,22343
1990-07-12,5657,22268
1990-07-13,5601,22168
1990-07-14,5434,22118
1990-07-16,5518,21968
1990-07-18,5462,22044
1990-07-19,5545,21993
1990-07-20,5378,22068
1990-07-21,5378,21918
1990-07-23,5406,21918
1990-07-24,5406,21943
1990-07-25,5295,21943
1990-07-26,5155,21844
1990-07-27,5183,21718
1990-07-28,5072,21743
1990-07-30,5155,21644
1990-07-31,5295,21718
1990-08-01,5267,21844
1990-08-02,5350,21819
1990-08-03,5378,21893
1990-08-04,5267,21918
1990-08-06,5322,21819
1990-08-07,5322,21868
1990-08-08,5350,21868
1990-08-09,5378,21893
1990-08-10,5378,21918
1990-08-11,5406,21918
1990-08-13,5211,21943
1990-08-14,5211,21768
1990-08-16,5267,21768
1990-08-17,5295,21819
1990-08-18,5211,21844
1990-08-20,5100,21768
1990-08-21,5155,21669
1990-08-22,5239,21718
1990-08-23,5295,21793
1990-08-24,5267,21844
1990-08-25,5490,21819
1990-08-27,5713,22018
1990-08-28,5573,22218
1990-08-29,5490,22093
1990-08-30,5295,22018
1990-08-31,5350,21844
1990-09-01,5573,21893
1990-09-03,5462,22093
1990-09-04,5434,21993
1990-09-05,5322,21968
1990-09-06,5322,21868
1990-09-07,5322,21868
1990-09-08,5350,21868
1990-09-10,5378,21893
1990-09-11,5322,21918
1990-09-12,5322,21868
1990-09-13,5350,21868
1990-09-14,5155,21893
1990-09-15,4932,21718
1990-09-17,5155,21518
1990-09-18,5016,21718
1990-09-19,5044,21594
1990-09-20,5072,21619
1990-09-21,5072,21644
1990-09-22,5127,21644
1990-09-24,5155,21693
1990-09-25,5183,21718
1990-09-26,5211,21743
1990-09-27,5267,21768
1990-09-28,5378,21819
1990-09-29,5601,21918
1990-10-05,5545,22118
1990-10-06,5545,22068
1990-10-08,5573,22068
1990-10-10,5573,22093
1990-10-11,5629,22093
1990-10-12,5518,22143
1990-10-13,5601,22044
1990-10-15,5518,22118
1990-10-16,5629,22044
1990-10-17,5713,22143
1990-10-18,5963,22218
1990-10-19,5852,22443
1990-10-20,5908,22343
1990-10-22,6186,22393
1990-10-23,6270,22643
1990-10-24,5991,22718
1990-10-25,5713,22468
1990-10-26,5434,22218
1990-10-27,5545,21968
1990-10-29,5629,22068
1990-10-30,5378,22143
1990-10-31,5601,21918
1990-11-01,5462,22118
1990-11-02,5406,21993
1990-11-03,5378,21943
1990-11-05,5322,21918
1990-11-06,5350,21868
1990-11-07,5295,21893
1990-11-08,5350,21844
1990-11-09,5378,21893
1990-11-10,5322,21918
1990-11-12,5378,21868
1990-11-13,5434,21918
1990-11-14,5434,21968
1990-11-15,5462,21968
1990-11-16,5406,21993
1990-11-17,5350,21943
1990-11-19,5350,21893
1990-11-20,5406,21893
1990-11-21,5518,21943
1990-11-22,5490,22044
1990-11-23,5573,22018
1990-11-24,5462,22093
1990-11-26,5406,21993
1990-11-27,5629,21943
1990-11-28,5713,22143
1990-11-29,5713,22218
1990-11-30,5768,22218
1990-12-01,5852,22268
1990-12-03,5824,22343
1990-12-04,5741,22318
1990-12-05,5601,22243
1990-12-06,5685,22118
1990-12-07,5601,22193
1990-12-08,5545,22118
1990-12-10,5573,22068
1990-12-11,5573,22093
1990-12-12,5573,22093
1990-12-13,5545,22093
1990-12-14,5545,22068
1990-12-15,5518,22068
1990-12-17,5462,22044
1990-12-18,5462,21993
1990-12-19,5490,21993
1990-12-20,5545,22018
1990-12-21,5573,22068
1990-12-22,5518,22093
1990-12-24,5573,22044
1990-12-26,5462,22093
1991-01-03,5434,21993
1991-01-04,5434,21968
1991-01-05,5295,21968
1991-01-07,5127,21844
1991-01-08,5100,21693
1991-01-09,4904,21669
1991-01-10,4821,21493
1991-01-11,4960,21419
1991-01-12,4877,21543
1991-01-14,4682,21469
1991-01-15,4598,21294
1991-01-16,4821,21219
1991-01-17,5016,21419
1991-01-18,4932,21594
1991-01-19,4737,21518
1991-01-21,4737,21344
1991-01-22,4737,21344
1991-01-23,4849,21344
1991-01-24,4709,21444
1991-01-25,4709,21319
1991-01-26,4709,21319
1991-01-28,4765,21319
1991-01-29,4793,21369
1991-01-30,4765,21394
1991-01-31,4877,21369
1991-02-01,4877,21469
1991-02-02,4821,21469
1991-02-04,4821,21419
1991-02-05,4765,21419
1991-02-06,4765,21369
1991-02-07,4654,21369
1991-02-08,4709,21269
1991-02-09,4765,21319
1991-02-11,4904,21369
1991-02-12,4904,21493
1991-02-13,5127,21493
1991-02-18,5127,21693
1991-02-19,5127,21693
1991-02-20,5072,21693
1991-02-21,5072,21644
1991-02-22,5155,21644
1991-02-23,5239,21718
1991-02-25,5127,21793
1991-02-26,5016,21693
1991-02-27,5044,21594
1991-02-28,5072,21619
1991-03-02,4960,21644
1991-03-04,4904,21543
1991-03-05,4960,21493
1991-03-06,4960,21543
1991-03-07,4988,21543
1991-03-08,5044,21569
1991-03-09,5016,21619
1991-03-11,4988,21594
1991-03-12,4960,21569
1991-03-13,5016,21543
1991-03-14,4960,21594
1991-03-15,4988,21543
1991-03-16,4988,21569
1991-03-18,4988,21569
1991-03-19,5100,21569
1991-03-20,4988,21669
1991-03-21,4960,21569
1991-03-22,4904,21543
1991-03-23,5127,21493
1991-03-25,5350,21693
1991-03-27,5211,21893
1991-03-28,5072,21768
1991-03-29,5016,21644
1991-03-30,4988,21594
1991-04-01,5100,21569
1991-04-02,5100,21669
1991-04-03,5072,21669
1991-04-04,5044,21644
1991-04-06,5044,21619
1991-04-08,5044,21619
1991-04-09,5044,21619
1991-04-10,5100,21619
1991-04-11,5072,21669
1991-04-12,5100,21644
1991-04-13,5044,21669
1991-04-15,5016,21619
1991-04-16,4988,21594
1991-04-17,4904,21569
1991-04-18,4904,21493
1991-04-19,4821,21493
1991-04-20,4737,21419
1991-04-22,4877,21344
1991-04-23,4821,21469
1991-04-24,4793,21419
1991-04-25,4849,21394
1991-04-26,4904,21444
1991-04-27,4960,21493
1991-04-29,4904,21543
1991-04-30,4960,21493
1991-05-01,4960,21543
1991-05-02,4932,21543
1991-05-03,4877,21518
1991-05-04,4849,21469
1991-05-06,4793,21444
1991-05-07,4765,21394
1991-05-08,4765,21369
1991-05-09,4737,21369
1991-05-10,4682,21344
1991-05-11,4737,21294
1991-05-13,4765,21344
1991-05-14,4737,21369
1991-05-15,4737,21344
1991-05-16,4960,21344
1991-05-17,5016,21543
1991-05-18,4932,21594
1991-05-20,4849,21518
1991-05-22,4765,21444
1991-05-23,4737,21369
1991-05-24,4737,21344
1991-05-25,4737,21344
1991-05-27,4709,21344
1991-05-28,4765,21319
1991-05-29,4765,21369
1991-05-30,4737,21369
1991-05-31,4765,21344
1991-06-01,4737,21369
1991-06-03,4682,21344
1991-06-04,4765,21294
1991-06-05,4765,21369
1991-06-07,4737,21369
1991-06-08,4737,21344
1991-06-10,4737,21344
1991-06-11,4737,21344
1991-06-12,4737,21344
1991-06-13,4849,21344
1991-06-14,4849,21444
1991-06-15,4849,21444
1991-06-17,4821,21444
1991-06-18,4793,21419
1991-06-19,4737,21394
1991-06-21,4682,21344
1991-06-22,4626,21294
1991-06-24,4626,21244
1991-06-25,4682,21244
1991-06-26,4709,21294
1991-06-27,4682,21319
1991-06-28,4682,21294
1991-06-29,4849,21294
1991-07-01,4765,21444
1991-07-02,4765,21369
1991-07-03,4765,21369
1991-07-04,4765,21369
1991-07-05,4793,21369
1991-07-06,4821,21394
1991-07-08,4849,21419
1991-07-09,4849,21444
1991-07-10,4988,21444
1991-07-11,5072,21569
1991-07-12,5016,21644
1991-07-13,4988,21594
1991-07-15,4932,21569
1991-07-16,5016,21518
1991-07-18,4988,21594
1991-07-19,5044,21569
