Date,Actual Closing Price,Forecast Closing Price
2009-11-11,37050,36415
2009-11-12,35750,37827
2009-11-13,37900,36515
2009-11-16,38400,38685
2009-11-17,38100,39189
2009-11-18,39850,38887
2009-11-19,41000,40653
2009-11-20,41650,41815
2009-11-23,41500,42472
2009-11-24,45000,42320
2009-11-25,47600,45859
2009-11-26,47200,48491
2009-11-27,47800,48086
2009-11-30,44300,48694
2009-12-01,45050,45151
2009-12-02,47650,45910
2009-12-03,47600,48542
2009-12-04,46050,48491
2009-12-07,44950,46922
2009-12-08,45350,45809
2009-12-09,46300,46214
2009-12-10,46700,47175
2009-12-11,49100,47580
2009-12-14,48700,50010
2009-12-15,49700,49605
2009-12-16,49400,50618
2009-12-17,48600,50314
2009-12-18,48550,49504
2009-12-21,48900,49453
2009-12-22,47100,49808
2009-12-23,46400,47985
2009-12-24,44850,47276
2009-12-28,43200,45708
2009-12-29,44800,44039
2009-12-30,47250,45657
2010-01-04,49050,48137
2010-01-05,50000,49960
2010-01-06,52100,50922
2010-01-07,55000,53051
2010-01-08,55000,55992
2010-01-11,55900,55992
2010-01-12,56000,56906
2010-01-13,55600,57007
2010-01-14,59500,56601
2010-01-15,60100,60562
2010-01-18,58500,61171
2010-01-19,58400,59546
2010-01-20,58900,59444
2010-01-21,57700,59952
2010-01-22,57700,58733
2010-01-25,57100,58733
2010-01-26,55100,58124
2010-01-27,56000,56094
2010-01-28,52400,57007
2010-01-29,52700,53355
2010-02-01,54800,53659
2010-02-02,55000,55789
2010-02-03,54600,55992
2010-02-04,50900,55586
2010-02-05,50300,51834
2010-02-08,51500,51226
2010-02-09,50100,52442
2010-02-10,51100,51023
2010-02-11,52800,52037
2010-02-12,53300,53761
2010-02-16,55200,54268
2010-02-17,54900,56195
2010-02-18,55800,55891
2010-02-19,57900,56804
2010-02-22,57600,58936
2010-02-23,57400,58632
2010-02-24,56200,58429
2010-02-25,58500,57210
2010-02-26,58900,59546
2010-03-02,59000,59952
2010-03-03,59900,60054
2010-03-04,63100,60968
2010-03-05,62600,64221
2010-03-08,64000,63713
2010-03-09,64100,65136
2010-03-10,63400,65238
2010-03-11,63300,64526
