Date,Actual Closing Price,Forecast Closing Price
2020-07-02,165000,100210
2020-07-03,214500,134768
2020-07-06,216500,179443
2020-07-07,217000,181218
2020-07-08,205500,181661
2020-07-09,205500,171418
2020-07-10,199000,171418
2020-07-13,188500,165588
2020-07-14,177000,156118
2020-07-15,183500,145690
2020-07-16,191000,151590
2020-07-17,187000,158378
2020-07-20,185500,154761
2020-07-21,188000,153403
2020-07-22,186500,155666
2020-07-23,189000,154308
2020-07-24,191500,156570
2020-07-27,190000,158830
2020-07-28,186500,157474
2020-07-29,185000,154308
2020-07-30,182000,152950
2020-07-31,175000,150230
2020-08-03,175500,143872
2020-08-04,179500,144326
2020-08-05,179500,147961
2020-08-06,179000,147961
2020-08-07,192500,147507
2020-08-10,191500,159732
2020-08-11,191000,158830
2020-08-12,186000,158378
2020-08-13,178500,153855
2020-08-14,171000,147053
2020-08-18,172000,140233
2020-08-19,167000,141143
2020-08-20,162500,136590
2020-08-21,168000,132490
2020-08-24,172000,137501
2020-08-25,172000,141143
2020-08-26,167500,141143
2020-08-27,167000,137046
2020-08-28,163500,136590
2020-08-31,171000,133402
2020-09-01,181500,140233
2020-09-02,182000,149776
2020-09-03,190000,150230
2020-09-04,191500,157474
2020-09-07,188000,158830
2020-09-08,191000,155666
2020-09-09,184500,158378
2020-09-10,175000,152497
2020-09-11,170500,143872
2020-09-14,171500,139778
2020-09-15,170000,140688
2020-09-16,170500,139322
2020-09-17,171500,139778
2020-09-18,167500,140688
2020-09-21,164500,137046
2020-09-22,162000,134313
2020-09-23,159000,132035
2020-09-24,158500,129300
2020-09-25,155000,128845
2020-09-28,156500,125654
2020-09-29,140500,127022
2020-10-05,141000,112452
2020-10-06,143500,112906
2020-10-07,147500,115180
2020-10-08,150000,118821
2020-10-12,147500,121098
2020-10-13,153000,118821
2020-10-14,152000,123832
2020-10-15,153500,122920
2020-10-16,154500,124287
2020-10-19,155000,125199
2020-10-20,161500,125654
2020-10-21,162500,131579
2020-10-22,161000,132490
2020-10-23,156500,131123
2020-10-26,156500,127022
2020-10-27,157000,127022
2020-10-28,155500,127477
2020-10-29,159500,126110
2020-10-30,158500,129756
2020-11-02,159000,128845
2020-11-03,169000,129300
2020-11-04,169500,138412
2020-11-05,168500,138867
2020-11-06,169000,137957
2020-11-09,169500,138412
2020-11-10,167000,138867
2020-11-11,163500,136590
2020-11-12,166000,133402
2020-11-13,168000,135679
2020-11-16,166500,137501
2020-11-17,168000,136135
2020-11-18,170000,137501
2020-11-19,170000,139322
2020-11-20,170500,139322
2020-11-23,174000,139778
2020-11-24,174500,142962
2020-11-25,179500,143417
2020-11-26,188500,147961
2020-11-27,187500,156118
2020-11-30,177500,155213
2020-12-01,177500,146144
2020-12-02,175500,146144
2020-12-03,176500,144326
2020-12-04,174000,145235
2020-12-07,171500,142962
2020-12-08,172500,140688
2020-12-09,178500,141598
2020-12-10,174500,147053
2020-12-11,171000,143417
2020-12-14,171500,140233
2020-12-15,174500,140688
2020-12-16,176500,143417
2020-12-17,181500,145235
2020-12-18,177000,149776
2020-12-21,172500,145690
2020-12-22,171000,141598
2020-12-23,171000,140233
2020-12-24,167500,140233
2020-12-28,168000,137046
2020-12-29,169000,137501
2020-12-30,154500,138412
2021-01-04,160500,125199
2021-01-05,159500,130667
2021-01-06,158500,129756
2021-01-07,159500,128845
2021-01-08,156000,129756
2021-01-11,154500,126566
2021-01-12,153000,125199
2021-01-13,155000,123832
2021-01-14,153000,125654
2021-01-15,148000,123832
2021-01-18,148000,119277
2021-01-19,148000,119277
2021-01-20,151500,119277
2021-01-21,150500,122465
2021-01-22,152000,121554
2021-01-25,152000,122920
2021-01-26,149500,122920
2021-01-27,148000,120643
2021-01-28,145000,119277
2021-01-29,149000,116545
2021-02-01,149500,120187
2021-02-02,149500,120643
2021-02-03,149500,120643
2021-02-04,149000,120643
2021-02-05,149500,120187
2021-02-08,149500,120643
2021-02-09,152500,120643
2021-02-10,152000,123376
2021-02-15,151500,122920
2021-02-16,150500,122465
2021-02-17,149000,121554
2021-02-18,150000,120187
2021-02-19,148000,121098
2021-02-22,147500,119277
2021-02-23,122000,118821
2021-02-24,126000,95697
2021-02-25,118000,99307
2021-02-26,112000,92095
2021-03-02,115000,86712
2021-03-03,110500,89401
2021-03-04,109500,85370
2021-03-05,106500,84476
2021-03-08,108000,81799
2021-03-09,104000,83137
2021-03-10,106000,79574
2021-03-11,108500,81354
2021-03-12,109000,83583
2021-03-15,110000,84030
2021-03-16,111500,84923
2021-03-17,110500,86265
2021-03-18,107000,85370
2021-03-19,105000,82245
2021-03-22,105000,80463
2021-03-23,106500,80463
2021-03-24,104500,81799
2021-03-25,104000,80019
2021-03-26,101000,79574
2021-03-29,104000,76910
2021-03-30,103000,79574
2021-03-31,104500,78685
2021-04-01,105000,80019
2021-04-02,103500,80463
2021-04-05,102000,79129
2021-04-06,102500,77797
2021-04-07,105500,78241
2021-04-08,109000,80909
2021-04-09,110000,84030
2021-04-12,114000,84923
2021-04-13,111500,88504
2021-04-14,112000,86265
2021-04-15,111500,86712
2021-04-16,113500,86265
2021-04-19,119000,88056
2021-04-20,120000,92995
2021-04-21,117500,93895
2021-04-22,118500,91646
2021-04-23,117500,92545
2021-04-26,114500,91646
2021-04-27,115000,88952
2021-04-28,111500,89401
2021-04-29,109000,86265
2021-04-30,105000,84030
2021-05-03,104500,80463
2021-05-04,106000,80019
2021-05-06,108000,81354
2021-05-07,109500,83137
2021-05-10,106500,84476
2021-05-11,107500,81799
2021-05-12,108000,82691
2021-05-13,110500,83137
2021-05-14,111000,85370
2021-05-17,113000,85817
2021-05-18,113000,87608
2021-05-20,112500,87608
2021-05-21,111000,87160
2021-05-24,112500,85817
2021-05-25,110500,87160
2021-05-26,114000,85370
2021-05-27,113000,88504
2021-05-28,113500,87608
2021-05-31,112000,88056
2021-06-01,112500,86712
2021-06-02,113000,87160
2021-06-03,113500,87608
2021-06-04,114000,88056
2021-06-07,120000,88504
2021-06-08,119000,93895
2021-06-09,121000,92995
2021-06-10,121500,94795
2021-06-11,119000,95246
2021-06-14,119000,92995
2021-06-15,123500,92995
2021-06-16,126500,97049
2021-06-17,127500,99758
2021-06-18,123500,100662
2021-06-21,121000,97049
2021-06-22,121500,94795
2021-06-23,122000,95246
2021-06-24,122000,95697
2021-06-25,123000,95697
2021-06-28,125000,96598
2021-06-29,123000,98403
2021-06-30,128000,96598
2021-07-01,135000,101115
2021-07-02,132000,107456
2021-07-05,131500,104736
2021-07-06,129500,104283
2021-07-07,130000,102472
2021-07-08,128000,102924
2021-07-09,127500,101115
2021-07-12,132500,100662
2021-07-13,130500,105189
2021-07-14,128500,103377
2021-07-15,125500,101567
2021-07-16,125500,98855
2021-07-19,124500,98855
2021-07-20,125000,97952
2021-07-21,124000,98403
2021-07-22,122000,97501
2021-07-23,120500,95697
2021-07-26,122000,94345
2021-07-27,120000,95697
2021-07-28,120500,93895
2021-07-29,119000,94345
2021-07-30,124000,92995
2021-08-02,124000,97501
2021-08-03,123500,97501
2021-08-04,127500,97049
2021-08-05,127000,100662
2021-08-06,124500,100210
2021-08-09,122000,97952
2021-08-10,127500,95697
2021-08-11,124000,100662
2021-08-12,121500,97501
2021-08-13,119500,95246
2021-08-17,119500,93445
2021-08-18,115000,93445
2021-08-19,113000,89401
2021-08-20,114000,87608
2021-08-23,117000,88504
2021-08-24,118000,91197
2021-08-25,117000,92095
2021-08-26,121500,91197
2021-08-27,121500,95246
2021-08-30,125500,95246
2021-08-31,124000,98855
2021-09-01,122000,97501
2021-09-02,125000,95697
2021-09-03,121500,98403
2021-09-06,121000,95246
2021-09-07,116500,94795
2021-09-08,114500,90747
2021-09-09,113500,88952
2021-09-10,114000,88056
2021-09-13,115000,88504
2021-09-14,113000,89401
2021-09-15,114000,87608
2021-09-16,113500,88504
2021-09-17,109500,88056
2021-09-23,107000,84476
2021-09-24,108000,82245
2021-09-27,104500,83137
2021-09-28,102000,80019
2021-09-29,102000,77797
2021-09-30,101000,77797
2021-10-01,96400,76910
2021-10-05,91400,72840
2021-10-06,97300,68438
2021-10-07,100000,73635
2021-10-08,100500,76024
2021-10-12,100500,76467
2021-10-13,102500,76467
2021-10-14,102000,78241
2021-10-15,99900,77797
2021-10-18,100500,75935
2021-10-19,99700,76467
2021-10-20,97500,75758
2021-10-21,98000,73812
2021-10-22,97000,74254
2021-10-25,100500,73370
2021-10-26,99100,76467
2021-10-27,97000,75227
2021-10-28,94600,73370
2021-10-29,95200,71253
2021-11-01,97800,71781
2021-11-02,97800,74077
2021-11-03,98000,74077
2021-11-04,98500,74254
2021-11-05,96000,74696
2021-11-08,96400,72487
2021-11-09,96300,72840
2021-11-10,99900,72752
2021-11-11,99700,75935
2021-11-12,102000,75758
2021-11-15,104000,77797
2021-11-16,101500,79574
2021-11-17,99600,77353
2021-11-18,100500,75669
2021-11-19,101500,76467
2021-11-22,99700,77353
2021-11-23,99500,75758
2021-11-24,97800,75581
2021-11-25,98600,74077
2021-11-26,95800,74784
2021-11-29,95300,72311
2021-11-30,95000,71870
2021-12-01,97000,71605
2021-12-02,99900,73370
2021-12-03,98100,75935
2021-12-06,99100,74342
2021-12-07,100500,75227
2021-12-08,101500,76467
2021-12-09,106500,77353
2021-12-10,102500,81799
2021-12-13,102500,78241
2021-12-14,102000,78241
2021-12-15,99900,77797
2021-12-16,100500,75935
2021-12-17,98900,76467
2021-12-20,97600,75050
2021-12-21,98000,73900
2021-12-22,98100,74254
2021-12-23,98100,74342
2021-12-24,97100,74342
2021-12-27,96200,73458
2021-12-28,97800,72664
2021-12-29,97200,74077
2021-12-30,98400,73546
2022-01-03,97400,74607
2022-01-04,95400,73723
2022-01-05,92800,71958
2022-01-06,94500,69668
2022-01-07,92200,71165
2022-01-10,92100,69141
2022-01-11,93100,69053
2022-01-12,92700,69932
2022-01-13,91800,69580
2022-01-14,87600,68789
2022-01-17,85200,65109
2022-01-18,85200,63013
2022-01-19,86000,63013
2022-01-20,85200,63711
2022-01-21,83100,63013
2022-01-24,79600,61185
2022-01-25,78300,58148
2022-01-26,73200,57023
2022-01-27,75800,52629
2022-01-28,78700,54866
2022-02-03,79500,57369
2022-02-04,78800,58061
2022-02-07,85700,57455
2022-02-08,83200,63449
2022-02-09,82100,61272
2022-02-10,79400,60316
2022-02-11,78800,57975
2022-02-14,76700,57455
2022-02-15,79000,55641
2022-02-16,78600,57628
2022-02-17,78900,57282
2022-02-18,79200,57542
2022-02-21,79600,57801
2022-02-22,79400,58148
2022-02-23,77900,57975
2022-02-24,81900,56677
2022-02-25,84600,60142
2022-02-28,85400,62490
2022-03-02,86600,63188
2022-03-03,85300,64235
2022-03-04,85300,63100
2022-03-07,86600,63100
2022-03-08,87000,64235
2022-03-10,87300,64584
2022-03-11,88300,64846
2022-03-14,89600,65721
2022-03-15,91100,66859
2022-03-16,92000,68175
2022-03-17,91900,68965
2022-03-18,90000,68877
2022-03-21,89800,67210
2022-03-22,89400,67034
2022-03-23,89800,66684
2022-03-24,91000,67034
2022-03-25,90000,68087
2022-03-28,91600,67210
2022-03-29,90400,68614
2022-03-30,89800,67560
2022-03-31,88800,67034
2022-04-01,90500,66158
2022-04-04,90100,67648
2022-04-05,88300,67297
2022-04-06,86400,65721
2022-04-07,87400,64060
2022-04-08,87100,64934
2022-04-11,84600,64672
2022-04-12,88600,62490
2022-04-13,89100,65983
2022-04-14,88500,66421
2022-04-15,87500,65896
2022-04-18,88300,65021
2022-04-19,87600,65721
2022-04-20,87900,65109
2022-04-21,86800,65371
2022-04-22,86700,64409
2022-04-25,88800,64322
2022-04-26,89600,66158
2022-04-27,90200,66859
