Date,Actual Closing Price,Forecast Closing Price
1997-07-18,22267,25640
1997-07-19,21407,26285
1997-07-21,19783,25456
1997-07-22,18540,23888
1997-07-23,19974,22685
1997-07-24,20069,24072
1997-07-25,21025,24164
1997-07-26,20643,25087
1997-07-28,19783,24719
1997-07-29,21312,23888
1997-07-30,19974,25364
1997-07-31,19687,24072
1997-08-01,19591,23795
1997-08-02,19496,23702
1997-08-04,19114,23610
1997-08-05,18827,23241
1997-08-06,19400,22963
1997-08-07,19400,23517
1997-08-08,19400,23517
1997-08-09,19974,23517
1997-08-11,19114,24072
1997-08-12,18827,23241
1997-08-13,18922,22963
1997-08-14,18540,23055
1997-08-16,18445,22685
1997-08-18,18158,22593
1997-08-19,18158,22316
1997-08-20,17680,22316
1997-08-21,19018,21853
1997-08-22,18540,23148
1997-08-23,18158,22685
1997-08-25,19591,22316
1997-08-26,18158,23702
1997-08-27,17967,22316
1997-08-28,18158,22131
1997-08-29,17584,22316
1997-08-30,17011,21760
1997-09-01,17298,21205
1997-09-02,17011,21483
1997-09-03,16820,21205
1997-09-04,16820,21020
1997-09-05,16629,21020
1997-09-06,16629,20836
1997-09-08,16342,20836
1997-09-09,16533,20558
1997-09-10,17202,20743
1997-09-11,17107,21390
1997-09-12,17202,21298
1997-09-13,17011,21390
1997-09-18,16820,21205
1997-09-19,17107,21020
1997-09-20,16246,21298
1997-09-22,16055,20465
1997-09-23,16055,20280
1997-09-24,16055,20280
1997-09-25,16055,20280
1997-09-26,16055,20280
1997-09-27,15577,20280
1997-09-29,16151,19817
1997-09-30,15482,20373
1997-10-01,15482,19725
1997-10-02,15864,19725
1997-10-04,15482,20095
1997-10-06,15769,19725
1997-10-07,15960,20003
1997-10-08,15769,20188
1997-10-09,15960,20003
1997-10-10,15864,20188
1997-10-11,15100,20095
1997-10-13,15386,19356
1997-10-14,15769,19632
1997-10-15,15195,20003
1997-10-16,14431,19448
1997-10-17,14526,18709
1997-10-18,13475,18800
1997-10-20,13379,17785
1997-10-21,13475,17692
1997-10-22,13762,17785
1997-10-23,13188,18062
1997-10-24,12902,17507
1997-10-25,12041,17231
1997-10-27,11468,16400
1997-10-28,11946,15848
1997-10-29,11181,16309
1997-10-30,10990,15572
1997-10-31,11850,15388
1997-11-01,11850,16216
1997-11-03,12424,16216
1997-11-04,13379,16770
1997-11-05,13284,17692
1997-11-06,12233,17600
1997-11-07,11468,16586
1997-11-08,12041,15848
1997-11-10,12997,16400
1997-11-11,12328,17323
1997-11-12,12615,16677
1997-11-13,12615,16954
1997-11-14,12615,16954
1997-11-15,11659,16954
1997-11-17,11181,16032
1997-11-18,11468,15572
1997-11-19,11277,15848
1997-11-20,11086,15664
1997-11-21,11086,15481
1997-11-22,10512,15481
1997-11-24,10512,14928
1997-11-25,10226,14928
1997-11-26,10799,14654
1997-11-27,10703,15204
1997-11-28,11086,15112
1997-11-29,10226,15481
1997-12-01,9461,14654
1997-12-02,8706,13919
1997-12-03,9394,13196
1997-12-04,10130,13855
1997-12-05,9461,14561
1997-12-06,9432,13919
1997-12-08,8696,13892
1997-12-09,8601,13187
1997-12-10,7913,13096
1997-12-11,7349,12438
1997-12-12,7349,11900
1997-12-13,7932,11900
1997-12-15,8563,12457
1997-12-16,9165,13060
1997-12-17,8438,13636
1997-12-19,7932,12940
1997-12-20,7645,12457
1997-12-22,7033,12183
1997-12-23,6489,11600
1997-12-24,7005,11082
1997-12-26,7120,11573
1997-12-27,7510,11682
1998-01-03,8110,12054
1998-01-05,8400,12627
1998-01-06,9070,12904
1998-01-07,9790,13545
1998-01-08,10500,14235
1998-01-09,11300,14917
1998-01-10,12200,15687
1998-01-12,12900,16554
1998-01-13,13500,17229
1998-01-14,13500,17809
1998-01-15,12500,17809
1998-01-16,13000,16843
1998-01-17,14000,17326
1998-01-19,14500,18292
1998-01-20,13400,18775
1998-01-21,13500,17712
1998-01-22,13700,17809
1998-01-23,14500,18002
1998-01-24,14500,18775
1998-01-26,15600,18775
1998-01-30,15800,19840
1998-01-31,14600,20033
1998-02-02,15300,18872
1998-02-03,15800,19549
1998-02-04,14600,20033
1998-02-05,14800,18872
1998-02-06,14800,19065
1998-02-07,14600,19065
1998-02-09,14000,18872
1998-02-10,14300,18292
1998-02-11,14200,18582
1998-02-12,13900,18485
1998-02-13,12800,18195
1998-02-14,12400,17133
1998-02-16,12200,16747
1998-02-17,12600,16554
1998-02-18,13600,16940
1998-02-19,14600,17905
1998-02-20,15000,18872
1998-02-21,14600,19259
1998-02-23,14400,18872
1998-02-24,13300,18679
1998-02-25,13600,17615
1998-02-26,14000,17905
1998-02-27,13900,18292
1998-02-28,13500,18195
1998-03-02,13000,17809
1998-03-03,13000,17326
1998-03-04,13000,17326
1998-03-05,12500,17326
1998-03-06,12700,16843
1998-03-07,11700,17036
1998-03-09,12200,16072
1998-03-10,11900,16554
1998-03-11,13100,16265
1998-03-12,13900,17422
1998-03-13,13500,18195
1998-03-14,12900,17809
1998-03-16,12900,17229
1998-03-17,12700,17229
1998-03-18,12200,17036
1998-03-19,12550,16554
1998-03-20,12500,16891
1998-03-21,12450,16843
1998-03-23,12050,16795
1998-03-24,12050,16409
1998-03-25,11200,16409
1998-03-26,11050,15590
1998-03-27,11000,15446
1998-03-28,10900,15398
1998-03-30,10850,15302
1998-03-31,10400,15253
1998-04-01,10300,14821
1998-04-02,9300,14725
1998-04-03,9490,13765
1998-04-04,9150,13947
1998-04-06,9600,13621
1998-04-07,9710,14053
1998-04-08,9910,14158
1998-04-09,9850,14350
1998-04-10,10500,14293
1998-04-11,10500,14917
1998-04-13,9700,14917
1998-04-14,9920,14149
1998-04-15,9490,14360
1998-04-16,9200,13947
1998-04-17,9100,13669
1998-04-18,8800,13574
1998-04-20,8780,13286
1998-04-21,8700,13267
1998-04-22,8000,13191
1998-04-23,8050,12521
1998-04-24,7810,12569
1998-04-25,7560,12340
1998-04-27,7500,12102
1998-04-28,8100,12044
1998-04-29,8050,12617
1998-04-30,7890,12569
1998-05-02,7450,12416
1998-05-04,7100,11997
1998-05-06,7400,11663
1998-05-07,7100,11949
1998-05-08,7200,11663
1998-05-09,7000,11759
1998-05-11,6600,11568
1998-05-12,6600,11188
1998-05-13,6800,11188
1998-05-14,6500,11378
1998-05-15,6500,11093
1998-05-16,6690,11093
1998-05-18,6700,11273
1998-05-19,7240,11283
1998-05-20,6900,11797
1998-05-21,6510,11473
1998-05-22,6510,11102
1998-05-23,6200,11102
1998-05-25,5680,10808
1998-05-26,5780,10315
1998-05-27,5800,10409
1998-05-28,6290,10428
1998-05-29,6000,10893
1998-05-30,6240,10618
1998-06-01,6000,10846
1998-06-02,6120,10618
1998-06-03,6010,10732
1998-06-05,6490,10627
1998-06-08,6150,11083
1998-06-09,5950,10760
1998-06-10,5790,10571
1998-06-11,5640,10419
1998-06-12,5510,10277
1998-06-13,5050,10154
1998-06-15,4800,9719
1998-06-16,5040,9483
1998-06-17,5640,9709
1998-06-18,5400,10277
1998-06-19,5300,10050
1998-06-20,5200,9955
1998-06-22,4890,9860
1998-06-23,4800,9568
1998-06-24,4625,9483
1998-06-25,4550,9317
1998-06-26,4550,9247
1998-06-27,4740,9247
1998-06-29,4500,9426
1998-06-30,4850,9200
1998-07-01,4600,9530
1998-07-02,4600,9294
1998-07-03,4530,9294
1998-07-04,4700,9228
1998-07-06,5260,9388
1998-07-07,5300,9917
1998-07-08,5350,9955
1998-07-09,4880,10002
1998-07-10,4890,9558
1998-07-11,4655,9568
1998-07-13,4820,9346
1998-07-14,4960,9501
1998-07-15,5200,9634
1998-07-16,5640,9860
1998-07-18,5960,10277
1998-07-20,5990,10580
1998-07-21,5800,10609
1998-07-22,5300,10428
1998-07-23,5550,9955
1998-07-24,5320,10192
1998-07-25,5340,9974
1998-07-27,5450,9993
1998-07-28,5700,10097
1998-07-29,5640,10334
1998-07-30,5600,10277
1998-07-31,5450,10239
1998-08-01,5280,10097
1998-08-03,5300,9936
1998-08-04,5090,9955
1998-08-05,5120,9756
1998-08-06,4870,9785
1998-08-07,4785,9549
1998-08-08,4700,9468
1998-08-10,4700,9388
1998-08-11,4650,9388
1998-08-12,4600,9341
1998-08-13,4600,9294
1998-08-14,4550,9294
1998-08-17,4195,9247
1998-08-18,4195,8912
1998-08-19,4455,8912
1998-08-20,4350,9157
1998-08-21,4190,9058
1998-08-22,4160,8908
1998-08-24,4210,8879
1998-08-25,4470,8926
1998-08-26,4400,9171
1998-08-27,4450,9105
1998-08-28,4300,9152
1998-08-29,4200,9011
1998-08-31,4300,8917
1998-09-01,4815,9011
1998-09-02,4815,9497
1998-09-03,4510,9497
1998-09-04,4550,9209
1998-09-05,4700,9247
1998-09-07,4595,9388
1998-09-08,4600,9289
1998-09-09,4560,9294
1998-09-10,4550,9256
1998-09-11,4490,9247
1998-09-12,4380,9190
1998-09-14,4320,9087
1998-09-15,4350,9030
1998-09-16,4280,9058
1998-09-17,4190,8992
1998-09-18,4150,8908
1998-09-19,4120,8870
1998-09-21,3950,8842
1998-09-22,3850,8682
1998-09-23,4080,8588
1998-09-24,3850,8804
1998-09-25,3910,8588
1998-09-26,3820,8644
1998-09-28,3900,8559
1998-09-29,3940,8635
1998-09-30,3940,8672
1998-10-01,3940,8672
1998-10-02,3960,8672
1998-10-07,4000,8691
1998-10-08,4200,8729
1998-10-09,4300,8917
1998-10-10,4450,9011
1998-10-12,4280,9152
1998-10-13,4275,8992
1998-10-14,4545,8988
1998-10-15,4410,9242
1998-10-16,4550,9115
1998-10-17,4810,9247
1998-10-19,5090,9492
1998-10-20,4990,9756
1998-10-21,4990,9662
1998-10-22,4900,9662
1998-10-23,4920,9577
1998-10-24,4800,9596
1998-10-26,4650,9483
1998-10-27,4900,9341
1998-10-28,4840,9577
1998-10-29,4830,9520
1998-10-30,4950,9511
1998-10-31,4950,9624
1998-11-02,5150,9624
1998-11-03,5760,9813
1998-11-04,5800,10391
1998-11-05,5420,10428
1998-11-06,5450,10069
1998-11-07,5650,10097
1998-11-09,5690,10286
1998-11-10,5690,10324
1998-11-11,5800,10324
1998-11-12,5500,10428
1998-11-13,5630,10144
1998-11-14,5620,10267
1998-11-16,5400,10258
1998-11-17,5390,10050
1998-11-18,5740,10040
1998-11-19,5450,10372
1998-11-20,5650,10097
1998-11-21,5750,10286
1998-11-23,6440,10381
1998-11-24,6490,11036
1998-11-25,6300,11083
1998-11-26,6240,10903
1998-11-27,6200,10846
1998-11-28,6050,10808
1998-11-30,5900,10665
1998-12-01,6000,10523
1998-12-02,6100,10618
1998-12-03,6490,10713
1998-12-04,6500,11083
1998-12-05,7000,11093
1998-12-07,6800,11568
1998-12-08,7200,11378
1998-12-09,8280,11759
1998-12-10,7820,12789
1998-12-11,7850,12350
1998-12-14,9020,12378
1998-12-15,8500,13497
1998-12-16,7800,12999
1998-12-17,7800,12331
1998-12-18,8500,12331
1998-12-21,8300,12999
1998-12-22,8140,12808
1998-12-23,8530,12655
1998-12-24,9000,13028
1998-12-28,9200,13478
1999-01-04,9500,13669
1999-01-05,10400,13957
1999-01-06,10900,14821
1999-01-07,11300,15302
1999-01-08,11300,15687
1999-01-11,10800,15687
1999-01-12,10800,15205
1999-01-13,9700,15205
1999-01-14,10400,14149
1999-01-15,11400,14821
1999-01-18,11300,15783
1999-01-19,10600,15687
1999-01-20,10400,15013
1999-01-21,10700,14821
1999-01-22,10500,15109
1999-01-25,9950,14917
1999-01-26,9800,14389
1999-01-27,9750,14245
1999-01-28,9700,14197
1999-01-29,10100,14149
1999-02-01,9900,14533
1999-02-02,9600,14341
1999-02-03,9700,14053
1999-02-04,9550,14149
1999-02-05,9600,14005
1999-02-08,9100,14053
1999-02-09,8800,13574
1999-02-10,8600,13286
1999-02-11,8610,13095
1999-02-12,8600,13104
1999-02-18,8960,13095
1999-02-19,8790,13439
1999-02-22,8350,13277
1999-02-23,8150,12856
1999-02-24,8100,12665
1999-02-25,8200,12617
1999-02-26,8520,12712
1999-03-02,8350,13018
1999-03-03,8410,12856
1999-03-04,8370,12913
1999-03-05,8700,12875
1999-03-08,8610,13191
1999-03-09,8750,13104
1999-03-10,9150,13238
1999-03-11,9190,13621
1999-03-12,10000,13660
1999-03-15,10300,14437
1999-03-16,9700,14725
1999-03-17,9300,14149
1999-03-18,9350,13765
1999-03-19,9400,13813
1999-03-22,9400,13861
1999-03-23,9300,13861
1999-03-24,9770,13765
1999-03-25,9540,14216
1999-03-26,9270,13995
1999-03-29,9440,13736
1999-03-30,9490,13899
1999-03-31,10000,13947
1999-04-01,10450,14437
1999-04-02,10600,14869
1999-04-06,10900,15013
1999-04-07,10800,15302
1999-04-08,10500,15205
1999-04-09,10200,14917
1999-04-12,10500,14629
1999-04-13,10500,14917
1999-04-14,11450,14917
1999-04-15,10900,15831
1999-04-16,11100,15302
1999-04-19,10850,15494
1999-04-20,10900,15253
1999-04-21,10750,15302
1999-04-22,10850,15157
1999-04-23,11700,15253
1999-04-26,13200,16072
1999-04-27,12750,17519
1999-04-28,12300,17084
1999-04-29,11750,16650
1999-04-30,12300,16120
1999-05-03,12400,16650
1999-05-04,13400,16747
1999-05-06,13600,17712
1999-05-07,14000,17905
1999-05-10,13900,18292
1999-05-11,13600,18195
1999-05-12,13350,17905
1999-05-13,12900,17664
1999-05-14,12000,17229
1999-05-17,11850,16361
1999-05-18,11900,16216
1999-05-19,11800,16265
1999-05-20,12000,16168
1999-05-21,11700,16361
1999-05-24,11700,16072
1999-05-25,12000,16072
1999-05-26,12000,16361
1999-05-27,12300,16361
1999-05-28,12300,16650
1999-05-31,12400,16650
1999-06-01,13200,16747
1999-06-02,12600,17519
1999-06-03,12300,16940
1999-06-04,12950,16650
1999-06-07,12600,17277
1999-06-08,12200,16940
1999-06-09,13200,16554
1999-06-10,13800,17519
1999-06-11,13600,18099
1999-06-14,12900,17905
1999-06-15,12700,17229
1999-06-16,12900,17036
1999-06-17,12900,17229
1999-06-18,13500,17229
1999-06-21,14000,17809
1999-06-22,14150,18292
1999-06-23,13600,18437
1999-06-24,13800,17905
1999-06-25,13750,18099
1999-06-28,14100,18050
1999-06-29,13400,18389
1999-06-30,13800,17712
1999-07-01,14000,18099
1999-07-02,14600,18292
1999-07-05,14350,18872
1999-07-06,15250,18630
1999-07-07,16450,19501
1999-07-08,16750,20662
1999-07-09,17100,20953
1999-07-12,16000,21292
1999-07-13,15000,20227
1999-07-14,15000,19259
1999-07-15,15700,19259
1999-07-16,15500,19936
1999-07-19,15200,19743
1999-07-20,14200,19452
1999-07-21,14200,18485
1999-07-22,12800,18485
1999-07-23,11200,17133
1999-07-26,12850,15590
1999-07-27,13000,17181
1999-07-28,13200,17326
1999-07-29,12400,17519
1999-07-30,12800,16747
1999-08-02,13000,17133
1999-08-03,12800,17326
1999-08-04,12050,17133
1999-08-05,12300,16409
1999-08-06,12500,16650
1999-08-09,12200,16843
1999-08-10,12100,16554
1999-08-11,12150,16457
1999-08-12,11900,16506
1999-08-13,11600,16265
1999-08-16,11300,15975
1999-08-17,10500,15687
1999-08-18,11150,14917
1999-08-19,11300,15542
1999-08-20,11550,15687
1999-08-23,11500,15927
1999-08-24,11800,15879
1999-08-25,11650,16168
1999-08-26,11300,16024
1999-08-27,11200,15687
1999-08-30,11000,15590
1999-08-31,10250,15398
1999-09-01,9850,14677
1999-09-02,9840,14293
1999-09-03,9900,14283
1999-09-06,10300,14341
1999-09-07,9960,14725
1999-09-08,9770,14398
1999-09-09,9950,14216
1999-09-10,10000,14389
1999-09-13,9990,14437
1999-09-14,9770,14427
1999-09-15,9380,14216
1999-09-16,9110,13842
1999-09-17,9300,13583
1999-09-20,9310,13765
1999-09-21,9150,13775
1999-09-22,8680,13621
1999-09-27,8460,13171
1999-09-28,8210,12961
1999-09-29,8000,12722
1999-09-30,7760,12521
1999-10-01,7870,12292
1999-10-04,7490,12397
1999-10-05,7890,12035
1999-10-06,8240,12416
1999-10-07,8050,12751
1999-10-08,8050,12569
1999-10-11,8400,12569
1999-10-12,8650,12904
1999-10-13,8590,13143
1999-10-14,8460,13085
1999-10-15,8150,12961
1999-10-18,7980,12665
1999-10-19,8240,12502
1999-10-20,8000,12751
1999-10-21,7890,12521
1999-10-22,7500,12416
1999-10-25,7450,12044
1999-10-26,7360,11997
1999-10-27,8100,11911
1999-10-28,8000,12617
1999-10-29,8170,12521
1999-11-01,8680,12684
1999-11-02,8810,13171
1999-11-03,9400,13296
1999-11-04,9700,13861
1999-11-05,9250,14149
1999-11-08,9100,13717
1999-11-09,8900,13574
1999-11-10,8710,13382
1999-11-11,8700,13200
1999-11-12,8610,13191
1999-11-15,8590,13104
1999-11-16,8140,13085
1999-11-17,8080,12655
1999-11-18,8650,12598
1999-11-19,8700,13143
1999-11-22,8360,13191
1999-11-23,8090,12865
1999-11-24,7900,12607
1999-11-25,7220,12426
1999-11-26,7200,11778
1999-11-29,7400,11759
1999-11-30,7290,11949
1999-12-01,7600,11844
1999-12-02,7420,12140
1999-12-03,7350,11968
1999-12-06,6930,11901
1999-12-07,6400,11502
1999-12-08,6400,10998
1999-12-09,6950,10998
1999-12-10,7730,11521
1999-12-13,7480,12264
1999-12-14,7200,12025
1999-12-15,7150,11759
1999-12-16,6850,11711
1999-12-17,6810,11425
1999-12-20,6450,11387
1999-12-21,6450,11045
1999-12-22,6160,11045
1999-12-23,6280,10770
1999-12-24,6150,10884
1999-12-27,6500,10760
1999-12-28,6300,11093
2000-01-04,6000,10903
2000-01-05,5680,10618
2000-01-06,5600,10315
2000-01-07,5600,10239
2000-01-10,5550,10239
2000-01-11,5390,10192
2000-01-12,5110,10040
2000-01-13,5400,9775
2000-01-14,5990,10050
2000-01-17,6000,10609
2000-01-18,5800,10618
2000-01-19,5800,10428
2000-01-20,5680,10428
2000-01-21,5650,10315
2000-01-24,5300,10286
2000-01-25,5300,9955
2000-01-26,5650,9955
2000-01-27,5700,10286
2000-01-28,5650,10334
2000-01-31,5720,10286
2000-02-01,6100,10353
2000-02-02,6420,10713
2000-02-03,6550,11017
2000-02-07,6250,11140
2000-02-08,6000,10855
2000-02-09,5700,10618
2000-02-10,5700,10334
2000-02-11,5420,10334
2000-02-14,5200,10069
2000-02-15,5350,9860
2000-02-16,5290,10002
2000-02-17,5210,9946
2000-02-18,4800,9870
2000-02-21,4540,9483
2000-02-22,5000,9237
2000-02-23,4840,9671
2000-02-24,4840,9520
2000-02-25,5200,9520
2000-02-28,4980,9860
2000-02-29,5050,9653
2000-03-02,4900,9719
2000-03-03,5630,9577
2000-03-06,5460,10267
2000-03-07,6270,10106
2000-03-08,7210,10874
2000-03-09,8290,11768
2000-03-10,9250,12798
2000-03-13,9100,13717
2000-03-14,10000,13574
2000-03-15,10000,14437
2000-03-16,9800,14437
2000-03-17,9100,14245
2000-03-20,9300,13574
2000-03-21,9700,13765
2000-03-22,8600,14149
2000-03-23,9700,13095
2000-03-24,9250,14149
2000-03-27,9700,13717
2000-03-28,9890,14149
2000-03-29,10200,14331
2000-03-30,10500,14629
2000-03-31,9800,14917
2000-04-03,9010,14245
2000-04-04,8000,13487
2000-04-06,7650,12521
2000-04-07,8110,12187
2000-04-10,8100,12627
2000-04-11,8300,12617
2000-04-12,7900,12808
2000-04-14,6990,12426
2000-04-17,7330,11559
2000-04-18,7110,11882
2000-04-19,6760,11673
2000-04-20,7100,11340
2000-04-21,6670,11663
2000-04-24,6450,11254
2000-04-25,6310,11045
2000-04-26,5950,10912
2000-04-27,6300,10571
2000-04-28,6120,10903
2000-05-02,6120,10732
2000-05-03,5950,10732
2000-05-04,6130,10571
2000-05-08,7040,10741
2000-05-09,6920,11606
2000-05-10,6420,11492
2000-05-12,5700,11017
2000-05-15,5790,10334
2000-05-16,4930,10419
2000-05-17,4900,9605
2000-05-18,4710,9577
2000-05-19,4345,9398
2000-05-22,4200,9054
2000-05-23,4320,8917
2000-05-24,4920,9030
2000-05-25,4500,9596
2000-05-26,4720,9200
2000-05-29,5420,9407
2000-05-30,6230,10069
2000-05-31,6440,10836
2000-06-01,6180,11036
2000-06-02,6250,10789
2000-06-05,6500,10855
2000-06-07,6470,11093
2000-06-08,6400,11064
2000-06-09,6500,10998
2000-06-12,6180,11093
2000-06-13,6100,10789
2000-06-14,5820,10713
2000-06-15,5600,10447
2000-06-16,5550,10239
2000-06-19,5510,10192
2000-06-20,5510,10154
2000-06-21,5900,10154
2000-06-22,5700,10523
2000-06-23,5700,10334
2000-06-26,5970,10334
2000-06-27,5700,10590
2000-06-28,5700,10334
2000-06-29,5620,10334
2000-06-30,6190,10258
2000-07-03,6160,10798
2000-07-04,6060,10770
2000-07-05,6590,10675
2000-07-06,6590,11178
2000-07-07,6450,11178
2000-07-10,6390,11045
2000-07-11,6750,10988
2000-07-12,6200,11330
2000-07-13,6300,10808
2000-07-14,6000,10903
2000-07-18,6010,10618
2000-07-19,5920,10627
2000-07-20,5900,10542
2000-07-21,5450,10523
2000-07-24,5430,10097
2000-07-25,5700,10078
2000-07-26,5700,10334
2000-07-27,5600,10334
2000-07-28,5590,10239
2000-07-31,5660,10229
2000-08-01,5610,10296
2000-08-02,5570,10248
2000-08-03,5620,10211
2000-08-04,5500,10258
2000-08-07,5500,10144
2000-08-08,5600,10144
2000-08-09,5900,10239
2000-08-10,5700,10523
2000-08-11,5870,10334
2000-08-14,5870,10495
2000-08-16,5640,10495
2000-08-17,5640,10277
2000-08-18,5590,10277
2000-08-21,5690,10229
2000-08-22,5560,10324
2000-08-23,5550,10201
2000-08-24,5550,10192
2000-08-25,5500,10192
2000-08-28,5110,10144
2000-08-29,5180,9775
2000-08-30,5280,9842
2000-08-31,5210,9936
2000-09-01,5150,9870
2000-09-04,5150,9813
2000-09-05,5110,9813
2000-09-06,5120,9775
2000-09-07,5150,9785
2000-09-08,4925,9813
2000-09-14,4920,9601
2000-09-15,4485,9596
2000-09-18,4550,9185
2000-09-19,4890,9247
2000-09-20,4500,9568
2000-09-21,4300,9200
2000-09-22,4500,9011
2000-09-25,4330,9200
2000-09-26,4350,9039
2000-09-27,4400,9058
2000-09-28,4390,9105
2000-09-29,4320,9096
2000-10-02,4370,9030
2000-10-04,4490,9077
2000-10-05,4490,9190
2000-10-06,4490,9190
2000-10-09,4395,9190
2000-10-10,4740,9101
2000-10-11,5450,9426
2000-10-12,5900,10097
2000-10-13,5770,10523
2000-10-16,5600,10400
2000-10-17,5350,10239
2000-10-18,5230,10002
2000-10-19,5540,9889
2000-10-20,5600,10182
2000-10-23,5750,10239
2000-10-24,5950,10381
2000-10-25,6840,10571
2000-10-26,6280,11416
2000-10-27,5800,10884
2000-10-30,5450,10428
2000-10-31,5850,10097
2000-11-01,5850,10476
2000-11-02,6300,10476
2000-11-03,6620,10903
2000-11-06,6730,11207
2000-11-07,6800,11311
2000-11-08,6950,11378
2000-11-09,7100,11521
2000-11-10,6800,11663
2000-11-13,6810,11378
