Date,Actual Closing Price,Forecast Closing Price
2021-03-18,166500,145009
2021-03-19,144000,142843
2021-03-22,140500,123316
2021-03-23,136500,120274
2021-03-24,136000,116797
2021-03-25,132000,116362
2021-03-26,123500,112883
2021-03-29,126500,105489
2021-03-30,120500,108099
2021-03-31,119000,102879
2021-04-01,117500,101574
2021-04-02,118000,100269
2021-04-05,115500,100704
2021-04-06,114500,98529
2021-04-07,125500,97659
2021-04-08,130500,107229
2021-04-09,132000,111579
2021-04-12,137500,112883
2021-04-13,135500,117666
2021-04-14,130000,115927
2021-04-15,132000,111144
2021-04-16,140500,112883
2021-04-19,139500,120274
2021-04-20,149500,119405
2021-04-21,145000,128094
2021-04-22,150500,124185
2021-04-23,153000,128962
2021-04-26,156500,131133
2021-04-27,163500,134171
2021-04-28,150500,140243
2021-04-29,152000,128962
2021-04-30,149500,130265
2021-05-03,158500,128094
2021-05-04,160000,135906
2021-05-06,160500,137208
2021-05-07,161500,137641
2021-05-10,151500,138509
2021-05-11,144000,129831
2021-05-12,145500,123316
2021-05-13,146000,124619
2021-05-14,159500,125054
2021-05-17,159500,136774
2021-05-18,161500,136774
2021-05-20,161500,138509
2021-05-21,163000,138509
2021-05-24,160500,139809
2021-05-25,157500,137641
2021-05-26,154500,135039
2021-05-27,155000,132435
2021-05-28,152000,132869
2021-05-31,149000,130265
2021-06-01,148000,127660
2021-06-02,155500,126791
2021-06-03,156000,133303
2021-06-04,153500,133737
2021-06-07,155000,131567
2021-06-08,155500,132869
2021-06-09,156500,133303
2021-06-10,157000,134171
2021-06-11,159000,134605
2021-06-14,162000,136340
2021-06-15,162500,138942
2021-06-16,160000,139376
2021-06-17,152500,137208
2021-06-18,154000,130699
2021-06-21,152000,132001
2021-06-22,151500,130265
2021-06-23,151500,129831
2021-06-24,153000,129831
2021-06-25,159000,131133
2021-06-28,158000,136340
2021-06-29,158500,135473
2021-06-30,158500,135906
2021-07-01,164500,135906
2021-07-02,168000,141110
2021-07-05,164500,144143
2021-07-06,165000,141110
2021-07-07,157500,141543
2021-07-08,160500,135039
2021-07-09,155500,137641
2021-07-12,154500,133303
2021-07-13,155000,132435
2021-07-14,154500,132869
2021-07-15,158500,132435
2021-07-16,156500,135906
2021-07-19,160500,134171
2021-07-20,156000,137641
2021-07-21,156000,133737
2021-07-22,157500,133737
2021-07-23,157500,135039
2021-07-26,162500,135039
2021-07-27,166000,139376
2021-07-28,171000,142410
2021-07-29,170500,146741
2021-07-30,197000,146308
2021-08-02,204000,169195
2021-08-03,210500,175216
2021-08-04,208000,180797
2021-08-05,244500,178652
2021-08-06,232500,209798
2021-08-09,301500,199602
2021-08-10,300000,257483
2021-08-11,285500,256246
2021-08-12,288500,244234
2021-08-13,319000,246727
2021-08-17,321000,271835
2021-08-18,335500,273466
2021-08-19,330500,285226
2021-08-20,323500,281183
2021-08-23,304000,275501
2021-08-24,280000,259542
2021-08-25,286000,239654
2021-08-26,289500,244650
2021-08-27,299500,247557
2021-08-30,313500,255833
2021-08-31,308500,267340
2021-09-01,307000,263241
2021-09-02,335000,262009
2021-09-03,308000,284822
2021-09-06,307500,262831
2021-09-07,287000,262420
2021-09-08,298000,245481
2021-09-09,299500,254595
2021-09-10,289500,255833
2021-09-13,276500,247557
2021-09-14,280000,236733
2021-09-15,280000,239654
2021-09-16,272500,239654
2021-09-17,259000,233387
2021-09-23,274500,222051
2021-09-24,283000,235061
2021-09-27,270500,242154
2021-09-28,273500,231713
2021-09-29,270500,234224
2021-09-30,273500,231713
2021-10-01,250500,234224
2021-10-05,230500,214877
2021-10-06,229500,197899
2021-10-07,221000,197046
2021-10-08,235000,189790
2021-10-12,228500,201730
2021-10-13,239500,196194
2021-10-14,237500,205555
2021-10-15,230500,203856
2021-10-18,232000,197899
2021-10-19,220000,199177
2021-10-20,223000,188935
2021-10-21,225000,191499
2021-10-22,215500,193207
2021-10-25,227000,185083
2021-10-26,229000,194914
2021-10-27,245500,196620
2021-10-28,230000,210645
2021-10-29,225000,197473
2021-11-01,233000,193207
2021-11-02,249000,200028
2021-11-03,258500,213608
2021-11-04,257000,221629
2021-11-05,220500,220365
2021-11-08,222000,189362
2021-11-09,221500,190644
2021-11-10,223000,190217
2021-11-11,237000,191499
2021-11-12,242000,203431
2021-11-15,245000,207677
2021-11-16,235000,210221
2021-11-17,236000,201730
2021-11-18,244000,202581
2021-11-19,238000,209374
2021-11-22,239500,204281
2021-11-23,248500,205555
2021-11-24,255000,213185
2021-11-25,279000,218678
2021-11-26,277000,238820
2021-11-29,280500,237150
2021-11-30,264000,240071
2021-12-01,260000,226258
2021-12-02,250500,222893
2021-12-03,246500,214877
2021-12-06,234500,211492
2021-12-07,242500,201305
2021-12-08,249500,208102
2021-12-09,249000,214031
2021-12-10,248000,213608
2021-12-13,258000,212762
2021-12-14,260000,221208
