Date,Actual Closing Price,Forecast Closing Price
2021-11-29,68000,74500
2021-11-30,62700,67046
2021-12-01,68700,62022
2021-12-02,66000,67705
2021-12-03,66000,65157
2021-12-06,65600,65157
2021-12-07,64600,64778
2021-12-08,65100,63830
2021-12-09,63300,64304
2021-12-10,63000,62594
2021-12-13,60600,62308
2021-12-14,58200,60017
2021-12-15,56400,57716
2021-12-16,57000,55985
2021-12-17,58400,56562
2021-12-20,60900,57908
2021-12-21,65700,60304
2021-12-22,64900,64873
2021-12-23,65800,64115
2021-12-24,65200,64968
2021-12-27,64800,64399
2021-12-28,64500,64020
2021-12-29,66400,63735
2021-12-30,66500,65535
2022-01-03,70000,65630
2022-01-04,67600,68925
2022-01-05,61700,66669
2022-01-06,61000,61068
2022-01-07,57500,60399
2022-01-10,57200,57043
2022-01-11,59400,56755
2022-01-12,58000,58867
2022-01-13,59000,57524
2022-01-14,59300,58484
2022-01-17,62900,58772
2022-01-18,62300,62213
2022-01-19,62500,61641
2022-01-20,60800,61832
2022-01-21,59200,60208
2022-01-24,56700,58676
2022-01-25,57200,56274
2022-01-26,54800,56755
2022-01-27,55000,54443
2022-01-28,56200,54636
2022-02-03,56900,55793
2022-02-04,58200,56466
2022-02-07,58600,57716
2022-02-08,59800,58100
2022-02-09,57100,59251
2022-02-10,56800,56659
2022-02-11,54600,56370
2022-02-14,51700,54250
2022-02-15,54700,51449
2022-02-16,54200,54347
2022-02-17,54200,53864
2022-02-18,55800,53864
2022-02-21,55100,55407
2022-02-22,57700,54733
2022-02-23,55300,57236
2022-02-24,57300,54925
2022-02-25,55800,56851
2022-02-28,54100,55407
2022-03-02,55100,53768
2022-03-03,53000,54733
2022-03-04,50700,52706
2022-03-07,49250,50481
2022-03-08,51900,49077
2022-03-10,51400,51642
2022-03-11,52200,51159
2022-03-14,51300,51932
2022-03-15,51300,51062
2022-03-16,52600,51062
2022-03-17,53500,52319
2022-03-18,53500,53189
2022-03-21,53700,53189
2022-03-22,55700,53382
2022-03-23,55600,55311
2022-03-24,55100,55215
2022-03-25,56700,54733
2022-03-28,57500,56274
2022-03-29,56200,57043
2022-03-30,56800,55793
2022-03-31,56300,56370
2022-04-01,56200,55889
2022-04-04,56500,55793
2022-04-05,56700,56081
2022-04-06,55400,56274
2022-04-07,56200,55022
2022-04-08,56100,55793
2022-04-11,55400,55696
2022-04-12,57000,55022
2022-04-13,57500,56562
2022-04-14,57100,57043
2022-04-15,55700,56659
2022-04-18,56500,55311
2022-04-19,56700,56081
2022-04-20,56300,56274
2022-04-21,55400,55889
2022-04-22,54500,55022
2022-04-25,54400,54154
2022-04-26,52800,54057
2022-04-27,52600,52512
2022-04-28,52700,52319
2022-04-29,51400,52416
2022-05-02,51400,51159
2022-05-03,50500,51159
2022-05-04,48400,50288
2022-05-06,45850,48254
2022-05-09,46200,45782
2022-05-10,44700,46122
2022-05-11,43100,44667
2022-05-12,44400,43116
2022-05-13,44600,44376
2022-05-16,44650,44570
2022-05-17,45000,44619
2022-05-18,44700,44958
2022-05-19,46350,44667
2022-05-20,46950,46267
2022-05-23,45500,46849
2022-05-24,45950,45443
2022-05-25,45500,45879
2022-05-26,46000,45443
2022-05-27,47100,45928
2022-05-30,47300,46994
2022-05-31,46150,47188
2022-06-02,46950,46073
2022-06-03,45250,46849
2022-06-07,45850,45201
2022-06-08,46500,45782
2022-06-09,45600,46412
2022-06-10,43000,45540
2022-06-13,42900,43019
2022-06-14,41850,42922
2022-06-15,42300,41904
2022-06-16,43050,42341
2022-06-17,41800,43068
2022-06-20,41500,41856
2022-06-21,40600,41565
2022-06-22,39000,40693
2022-06-23,40950,39144
2022-06-24,41950,41032
2022-06-27,41400,42001
2022-06-28,40750,41468
2022-06-29,39050,40839
2022-06-30,38950,39192
2022-07-01,38200,39096
2022-07-04,39550,38370
2022-07-05,38100,39676
2022-07-06,39600,38273
2022-07-07,39800,39725
2022-07-08,39800,39918
2022-07-11,39500,39918
2022-07-12,40600,39628
2022-07-13,39800,40693
2022-07-14,40350,39918
2022-07-15,40950,40451
