Date,Actual Closing Price,Forecast Closing Price
2021-05-11,147500,162820
2021-05-12,144000,155514
2021-05-13,141000,151838
2021-05-14,138000,148675
2021-05-17,144000,145501
2021-05-18,142000,151838
2021-05-20,143500,149730
2021-05-21,142500,151311
2021-05-24,142000,150258
2021-05-25,141500,149730
2021-05-26,142000,149203
2021-05-27,145000,149730
2021-05-28,149000,152890
2021-05-31,150000,157085
2021-06-01,149500,158131
2021-06-02,149500,157608
2021-06-03,147500,157608
2021-06-04,143000,155514
2021-06-07,143000,150785
2021-06-08,142000,150785
2021-06-09,142500,149730
2021-06-10,157500,150258
2021-06-11,148000,165932
2021-06-14,149500,156038
2021-06-15,152000,157608
2021-06-16,156000,160218
2021-06-17,158000,164377
2021-06-18,158500,166449
2021-06-21,159000,166966
2021-06-22,166500,167483
2021-06-23,168500,175191
2021-06-24,172500,177233
2021-06-25,167000,181298
2021-06-28,173000,175702
2021-06-29,183000,181804
2021-06-30,186500,191851
2021-07-01,186000,195328
2021-07-02,185500,194833
2021-07-05,193000,194337
2021-07-06,199000,201732
2021-07-07,205000,207578
2021-07-08,209000,213359
2021-07-09,210000,217176
2021-07-12,211500,218126
2021-07-13,209000,219547
2021-07-14,204500,217176
2021-07-15,213000,212880
2021-07-16,211000,220964
2021-07-19,214000,219074
2021-07-20,216000,221906
2021-07-21,230500,223784
2021-07-22,235500,237167
2021-07-23,229500,241683
2021-07-26,228500,236257
2021-07-27,229500,235346
2021-07-28,225000,236257
2021-07-29,225500,232140
2021-07-30,228500,232599
2021-08-02,211000,235346
2021-08-03,217000,219074
2021-08-04,216500,224720
2021-08-05,212500,224252
2021-08-06,209500,220492
2021-08-09,210500,217652
2021-08-10,202500,218600
2021-08-11,217500,210958
2021-08-12,214500,225188
2021-08-13,208500,222376
2021-08-17,214500,216701
2021-08-18,214000,222376
2021-08-19,205000,221906
2021-08-20,206000,213359
2021-08-23,204000,214316
2021-08-24,208000,212400
2021-08-25,213500,216225
2021-08-26,215000,221435
2021-08-27,209000,222846
2021-08-30,207500,217176
2021-08-31,208500,215748
2021-09-01,209000,216701
2021-09-02,209000,217176
2021-09-03,208000,217176
2021-09-06,209500,216225
2021-09-07,206500,217652
2021-09-08,210000,214794
2021-09-09,225500,218126
2021-09-10,233000,232599
2021-09-13,227500,239432
2021-09-14,233000,234432
2021-09-15,223000,239432
2021-09-16,224500,230297
2021-09-17,220000,231680
2021-09-23,217000,227517
2021-09-24,208500,224720
2021-09-27,216500,216701
2021-09-28,217500,224252
2021-09-29,226000,225188
2021-09-30,227500,233058
2021-10-01,212000,234432
2021-10-05,200000,220020
2021-10-06,199000,208546
2021-10-07,202000,207578
2021-10-08,195500,210477
2021-10-12,201500,204176
2021-10-13,200500,209995
2021-10-14,193500,209029
2021-10-15,195000,202222
2021-10-18,193500,203688
2021-10-19,179000,202222
2021-10-20,178000,187851
2021-10-21,177000,186847
2021-10-22,176500,185842
2021-10-25,180500,185339
2021-10-26,178000,189354
2021-10-27,176000,186847
2021-10-28,166500,184835
2021-10-29,163000,175191
2021-11-01,162000,171604
2021-11-02,155000,170576
2021-11-03,152000,163340
2021-11-04,145500,160218
2021-11-05,158500,153415
2021-11-08,151000,166966
2021-11-09,161000,159175
2021-11-10,161000,169546
2021-11-11,176000,169546
2021-11-12,179000,184835
2021-11-15,169500,187851
2021-11-16,167500,178251
2021-11-17,164500,176212
2021-11-18,167500,173143
2021-11-19,165500,176212
2021-11-22,165500,174168
2021-11-23,159500,174168
2021-11-24,157000,167999
2021-11-25,162500,165414
2021-11-26,165500,171090
2021-11-29,155500,174168
2021-11-30,158000,163859
2021-12-01,160500,166449
2021-12-02,169500,169031
2021-12-03,167500,178251
2021-12-06,165500,176212
2021-12-07,168500,174168
2021-12-08,172500,177233
2021-12-09,176000,181298
2021-12-10,173000,184835
2021-12-13,170500,181804
2021-12-14,170500,179268
2021-12-15,173000,179268
2021-12-16,171500,181804
2021-12-17,165500,180284
2021-12-20,162000,174168
2021-12-21,156500,170576
2021-12-22,158500,164896
2021-12-23,162000,166966
2021-12-24,160000,170576
2021-12-27,166000,168515
2021-12-28,168500,174679
2021-12-29,168000,177233
2021-12-30,164500,176723
2022-01-03,158500,173143
2022-01-04,152500,166966
2022-01-05,150500,160739
2022-01-06,153500,158653
2022-01-07,147000,161780
2022-01-10,147000,154990
2022-01-11,151000,154990
2022-01-12,155500,159175
2022-01-13,150500,163859
2022-01-14,149000,158653
2022-01-17,150500,157085
2022-01-18,141500,158653
2022-01-19,143500,149203
2022-01-20,146500,151311
2022-01-21,147000,154465
2022-01-24,143000,154990
2022-01-25,137500,150785
2022-01-26,127000,144971
2022-01-27,115000,133781
2022-01-28,114000,120859
2022-02-03,117000,119776
2022-02-04,120000,123021
2022-02-07,124500,126259
