Date,Actual Closing Price,Forecast Closing Price
2007-07-25,147592,162040
2007-07-26,145624,146695
2007-07-27,154972,145087
2007-07-30,154480,152672
2007-07-31,145132,152276
2007-08-01,140705,144684
2007-08-02,134801,141046
2007-08-03,135293,136159
2007-08-06,130373,136568
2007-08-07,133817,132471
2007-08-08,133325,135341
2007-08-09,126437,134932
2007-08-10,129881,129179
2007-08-13,118566,132060
2007-08-14,109710,122567
2007-08-16,110202,115100
2007-08-17,122993,115515
2007-08-20,125945,126290
2007-08-21,122010,128767
2007-08-22,127913,125464
2007-08-23,131849,130415
2007-08-24,133817,133702
2007-08-27,133817,135341
2007-08-28,127913,135341
2007-08-29,128897,130415
2007-08-30,126437,131238
2007-08-31,142673,129179
2007-09-03,138737,142667
2007-09-04,139721,139421
2007-09-05,148084,140234
2007-09-06,155464,147096
2007-09-07,154480,153067
2007-09-10,153496,152276
2007-09-11,154972,151483
2007-09-12,160876,152672
2007-09-13,156448,157389
2007-09-14,154480,153857
2007-09-17,146116,152276
2007-09-18,153496,145489
2007-09-19,146608,151483
2007-09-20,148576,145891
2007-09-21,162352,147496
2007-09-27,157432,158558
2007-09-28,153496,154645
2007-10-01,156448,151483
2007-10-02,153004,153857
2007-10-04,145132,151086
2007-10-05,145624,144684
2007-10-08,145132,145087
2007-10-09,153496,144684
2007-10-10,151528,151483
2007-10-11,148084,149893
2007-10-12,146608,147096
2007-10-15,145132,145891
2007-10-16,153496,144684
2007-10-17,172191,151483
2007-10-18,165303,166242
2007-10-19,161860,160884
2007-10-22,159892,158169
2007-10-23,153004,156607
2007-10-24,167271,151086
2007-10-25,184490,162425
2007-10-26,195314,175545
2007-10-29,205153,183421
2007-10-30,203678,190302
2007-10-31,200726,189288
2007-11-01,196790,187240
2007-11-02,192362,184470
2007-11-05,196790,181304
2007-11-06,206629,184470
2007-11-07,186950,191311
2007-11-08,189410,177362
2007-11-09,177603,179163
2007-11-12,177111,170380
2007-11-13,176127,170006
2007-11-14,162844,169258
2007-11-15,157432,158947
2007-11-16,163827,154645
2007-11-19,170223,159723
2007-11-20,175635,164721
2007-11-21,172191,168883
2007-11-22,172683,166242
2007-11-23,181047,166621
2007-11-26,189902,172977
2007-11-27,176127,179521
2007-11-28,176127,169258
2007-11-29,186458,169258
2007-11-30,181539,177000
2007-12-03,181539,173346
2007-12-04,185474,173346
2007-12-05,181047,176274
2007-12-06,174159,172977
2007-12-07,173667,167754
2007-12-10,181047,167377
2007-12-11,180555,172977
2007-12-12,183998,172608
2007-12-13,179571,175180
2007-12-14,162844,171868
2007-12-17,163336,158947
2007-12-18,165795,159336
2007-12-20,173175,161270
2007-12-21,181047,166999
2007-12-24,175635,172977
2007-12-26,180063,168883
2007-12-27,178095,172238
2007-12-28,177111,170753
2008-01-02,166779,170006
2008-01-03,160876,162040
2008-01-04,154972,157389
2008-01-07,162352,152672
2008-01-08,167271,158558
2008-01-09,160876,162425
2008-01-10,156940,157389
2008-01-11,156940,154251
2008-01-14,153004,154251
2008-01-15,144148,151086
2008-01-16,142181,143878
2008-01-17,137261,142262
2008-01-18,123977,138200
2008-01-21,117582,127116
2008-01-22,117090,121739
2008-01-23,122502,121324
2008-01-24,125945,125878
2008-01-25,112170,128767
2008-01-28,113154,117176
2008-01-29,103806,118006
2008-01-30,111678,110116
2008-01-31,117090,116761
2008-02-01,124961,121324
2008-02-04,121026,127942
2008-02-05,111186,124637
2008-02-11,107250,116346
2008-02-12,106758,113023
2008-02-13,122502,112608
2008-02-14,121026,125878
2008-02-15,123485,124637
2008-02-18,125453,126703
2008-02-19,119550,128355
2008-02-20,122502,123396
2008-02-21,117582,125878
2008-02-22,119550,121739
2008-02-25,126437,123396
2008-02-26,128897,129179
2008-02-27,132833,131238
2008-02-28,128405,134522
2008-02-29,125453,130826
2008-03-03,122010,128355
2008-03-04,118566,125464
2008-03-05,116598,122567
2008-03-06,116106,120910
2008-03-07,108234,120495
2008-03-10,110202,113854
2008-03-11,108234,115515
2008-03-12,102330,113854
2008-03-13,97017,108871
2008-03-14,93869,104391
2008-03-17,98001,101741
2008-03-18,103314,105220
2008-03-19,102330,109701
2008-03-20,101839,108871
2008-03-21,103314,108457
2008-03-24,96427,109701
2008-03-25,97312,103894
2008-03-26,95836,104640
2008-03-27,97608,103397
2008-03-28,100363,104889
2008-03-31,98395,107212
2008-04-01,100363,105552
2008-04-02,104298,107212
2008-04-03,109218,110532
2008-04-04,110202,114685
2008-04-07,109710,115515
2008-04-08,107742,115100
2008-04-10,109218,113439
2008-04-11,111186,114685
2008-04-14,113154,116346
2008-04-15,118566,118006
2008-04-16,119058,122567
2008-04-17,118074,122982
2008-04-18,121026,122153
2008-04-21,119058,124637
2008-04-22,120534,122982
2008-04-23,122010,124223
2008-04-24,124469,125464
2008-04-25,120042,127529
2008-04-28,119058,123810
2008-04-29,121026,122982
2008-04-30,121026,124637
2008-05-02,117582,124637
2008-05-06,116106,121739
2008-05-07,114138,120495
2008-05-08,110694,118836
2008-05-09,107742,115930
2008-05-13,107250,113439
2008-05-14,110202,113023
2008-05-15,111186,115515
2008-05-16,117090,116346
2008-05-19,120042,121324
2008-05-20,117090,123810
2008-05-21,115122,121324
2008-05-22,115614,119666
2008-05-23,116598,120080
2008-05-26,126437,120910
2008-05-27,121518,129179
2008-05-28,123977,125051
2008-05-29,125945,127116
2008-05-30,123485,128767
2008-06-02,120534,126703
2008-06-03,119058,124223
2008-06-04,115122,122982
2008-06-05,114630,119666
2008-06-09,111678,119251
2008-06-10,110694,116761
2008-06-11,110694,115930
2008-06-12,110202,115930
2008-06-13,111678,115515
2008-06-16,109218,116761
2008-06-17,111186,114685
2008-06-18,112170,116346
2008-06-19,107250,117176
2008-06-20,107250,113023
2008-06-23,108726,113023
2008-06-24,109710,114269
2008-06-25,111186,115100
2008-06-26,112662,116346
2008-06-27,114630,117591
2008-06-30,115614,119251
2008-07-01,113154,120080
2008-07-02,110202,118006
2008-07-03,108234,115515
2008-07-04,108726,113854
2008-07-07,105282,114269
2008-07-08,103806,111362
2008-07-09,104790,110116
2008-07-10,106266,110947
2008-07-11,105282,112193
2008-07-14,104298,111362
2008-07-15,105282,110532
2008-07-16,104298,111362
2008-07-17,101347,110532
2008-07-18,103806,108042
2008-07-21,104790,110116
2008-07-22,105774,110947
2008-07-23,107250,111778
2008-07-24,105774,113023
2008-07-25,107250,111778
2008-07-28,105282,113023
2008-07-29,103314,111362
2008-07-30,102330,109701
2008-07-31,100363,108871
2008-08-01,98887,107212
2008-08-04,94951,105967
2008-08-05,97116,102652
2008-08-06,95246,104475
