Date,Actual Closing Price,Forecast Closing Price
1990-01-03,571,3986
1990-01-04,593,4001
1990-01-05,615,4020
1990-01-06,607,4039
1990-01-08,590,4032
1990-01-09,590,4017
1990-01-10,613,4017
1990-01-11,628,4037
1990-01-12,613,4050
1990-01-13,607,4037
1990-01-15,600,4032
1990-01-16,590,4026
1990-01-17,579,4017
1990-01-18,568,4008
1990-01-19,579,3999
1990-01-20,596,4008
1990-01-22,601,4022
1990-01-23,624,4027
1990-01-24,621,4046
1990-01-25,621,4044
1990-01-29,620,4044
1990-01-30,621,4043
1990-01-31,613,4044
1990-02-01,600,4037
1990-02-02,586,4026
1990-02-03,597,4014
1990-02-05,620,4023
1990-02-06,600,4043
1990-02-07,606,4026
1990-02-08,608,4031
1990-02-09,615,4033
1990-02-10,628,4039
1990-02-12,632,4050
1990-02-13,654,4053
1990-02-14,659,4072
1990-02-15,642,4076
1990-02-16,656,4061
1990-02-17,656,4073
1990-02-19,650,4073
1990-02-20,656,4068
1990-02-21,653,4073
1990-02-22,649,4071
1990-02-23,649,4067
1990-02-24,638,4067
1990-02-26,638,4058
1990-02-27,635,4058
1990-02-28,628,4055
1990-03-02,628,4050
1990-03-03,628,4050
1990-03-05,632,4050
1990-03-06,628,4053
1990-03-07,628,4050
1990-03-08,632,4050
1990-03-09,632,4053
1990-03-12,632,4053
1990-03-13,632,4053
1990-03-14,632,4053
1990-03-15,639,4053
1990-03-16,635,4059
1990-03-17,641,4055
1990-03-19,656,4061
1990-03-20,656,4073
1990-03-21,656,4073
1990-03-22,656,4073
1990-03-23,656,4073
1990-03-24,656,4073
1990-03-26,659,4073
1990-03-27,659,4076
1990-03-28,657,4076
1990-03-29,680,4074
1990-03-30,689,4094
1990-03-31,688,4101
1990-04-02,688,4100
1990-04-03,684,4100
1990-04-04,677,4097
1990-04-06,677,4091
1990-04-07,670,4091
1990-04-09,670,4085
1990-04-10,677,4085
1990-04-11,677,4091
1990-04-12,675,4091
1990-04-13,675,4089
1990-04-14,670,4089
1990-04-16,671,4085
1990-04-17,663,4086
1990-04-18,656,4079
1990-04-19,649,4073
1990-04-20,639,4067
1990-04-21,642,4059
1990-04-23,635,4061
1990-04-24,618,4055
1990-04-25,604,4041
1990-04-26,617,4029
1990-04-27,610,4040
1990-04-28,587,4034
1990-04-30,603,4015
1990-05-01,625,4028
1990-05-03,639,4047
1990-05-04,628,4059
1990-05-07,621,4050
1990-05-08,614,4044
1990-05-09,608,4038
1990-05-10,615,4033
1990-05-11,614,4039
1990-05-12,610,4038
1990-05-14,600,4034
1990-05-15,622,4026
1990-05-16,628,4044
1990-05-17,621,4050
1990-05-18,620,4044
1990-05-19,620,4043
1990-05-21,618,4043
1990-05-22,621,4041
1990-05-23,625,4044
1990-05-24,628,4047
1990-05-25,624,4050
1990-05-26,621,4046
1990-05-28,621,4044
1990-05-29,621,4044
1990-05-30,622,4044
1990-05-31,628,4044
1990-06-01,635,4050
1990-06-02,635,4055
1990-06-04,634,4055
1990-06-05,635,4055
1990-06-07,639,4055
1990-06-08,636,4059
1990-06-09,627,4056
1990-06-11,621,4049
1990-06-12,621,4044
1990-06-13,621,4044
1990-06-14,620,4044
1990-06-15,614,4043
1990-06-16,614,4038
1990-06-18,611,4038
1990-06-19,607,4035
1990-06-20,600,4032
1990-06-21,607,4026
1990-06-22,614,4032
1990-06-23,604,4038
1990-06-25,603,4029
1990-06-26,599,4028
1990-06-27,599,4025
1990-06-28,593,4025
1990-06-29,586,4020
1990-06-30,585,4014
1990-07-02,607,4013
1990-07-03,607,4032
1990-07-04,599,4032
1990-07-05,593,4025
1990-07-06,593,4020
1990-07-07,593,4020
1990-07-09,593,4020
1990-07-10,586,4020
1990-07-11,581,4014
1990-07-12,579,4010
1990-07-13,572,4008
1990-07-14,571,4002
1990-07-16,571,4001
1990-07-18,569,4001
1990-07-19,569,4000
1990-07-20,565,4000
1990-07-21,561,3996
1990-07-23,555,3993
1990-07-24,523,3988
1990-07-25,516,3961
1990-07-26,500,3955
1990-07-27,500,3941
1990-07-28,491,3941
1990-07-30,493,3934
1990-07-31,495,3935
1990-08-01,514,3937
1990-08-02,523,3953
1990-08-03,530,3961
1990-08-04,523,3967
1990-08-06,509,3961
1990-08-07,516,3949
1990-08-08,515,3955
1990-08-09,530,3954
1990-08-10,530,3967
1990-08-11,523,3967
1990-08-13,509,3961
1990-08-14,495,3949
1990-08-16,495,3937
1990-08-17,497,3937
1990-08-18,497,3939
1990-08-20,495,3939
1990-08-21,483,3937
1990-08-22,465,3927
1990-08-23,447,3912
1990-08-24,435,3896
1990-08-25,454,3886
1990-08-27,472,3902
1990-08-28,472,3917
1990-08-29,466,3917
1990-08-30,448,3912
1990-08-31,444,3897
1990-09-01,461,3894
1990-09-03,444,3908
1990-09-04,434,3894
1990-09-05,426,3885
1990-09-06,419,3879
1990-09-07,419,3873
1990-09-08,419,3873
1990-09-10,419,3873
1990-09-11,413,3873
1990-09-12,405,3868
1990-09-13,412,3861
1990-09-14,407,3867
1990-09-15,394,3862
1990-09-17,405,3851
1990-09-18,407,3861
1990-09-19,394,3862
1990-09-20,394,3851
1990-09-21,391,3851
1990-09-22,391,3849
1990-09-24,405,3849
1990-09-25,409,3861
1990-09-26,413,3864
1990-09-27,419,3868
1990-09-28,426,3873
1990-09-29,438,3879
1990-10-05,438,3889
1990-10-06,433,3889
1990-10-08,431,3884
1990-10-10,433,3883
1990-10-11,447,3884
1990-10-12,447,3896
1990-10-13,461,3896
1990-10-15,465,3908
1990-10-16,454,3912
1990-10-17,447,3902
1990-10-18,461,3896
1990-10-19,442,3908
1990-10-20,452,3892
1990-10-22,470,3901
1990-10-23,488,3916
1990-10-24,474,3931
1990-10-25,456,3919
1990-10-26,447,3904
1990-10-27,440,3896
1990-10-29,442,3890
1990-10-30,442,3892
1990-10-31,447,3892
1990-11-01,440,3896
1990-11-02,440,3890
1990-11-03,440,3890
1990-11-05,433,3890
1990-11-06,440,3884
1990-11-07,435,3890
1990-11-08,442,3886
1990-11-09,442,3892
1990-11-10,447,3892
1990-11-12,447,3896
1990-11-13,454,3896
1990-11-14,454,3902
1990-11-15,447,3902
1990-11-16,447,3896
1990-11-17,444,3896
1990-11-19,433,3894
1990-11-20,426,3884
1990-11-21,433,3879
1990-11-22,435,3884
1990-11-23,447,3886
1990-11-24,454,3896
1990-11-26,454,3902
1990-11-27,461,3902
1990-11-28,461,3908
1990-11-29,461,3908
1990-11-30,465,3908
1990-12-01,483,3912
1990-12-03,483,3927
1990-12-04,483,3927
1990-12-05,481,3927
1990-12-06,479,3925
1990-12-07,470,3923
1990-12-08,470,3916
1990-12-10,474,3916
1990-12-11,474,3919
1990-12-12,474,3919
1990-12-13,474,3919
1990-12-14,461,3919
1990-12-15,461,3908
1990-12-17,454,3908
1990-12-18,461,3902
1990-12-19,461,3908
1990-12-20,458,3908
1990-12-21,458,3906
1990-12-22,461,3906
1990-12-24,461,3908
1990-12-26,451,3908
