Date,Actual Closing Price,Forecast Closing Price
1996-12-26,232871,247415
1996-12-27,232871,247415
1997-01-03,232871,247415
1997-01-04,232871,247415
1997-01-06,232871,247415
1997-01-07,232871,247415
1997-01-08,232871,247415
1997-01-09,232871,247415
1997-01-10,232871,247415
1997-01-11,232871,247415
1997-01-13,243350,247415
1997-01-14,243350,259674
1997-01-15,243350,259674
1997-01-16,239857,259674
1997-01-17,244515,255576
1997-01-18,263145,261043
1997-01-20,271295,283103
1997-01-21,265473,292846
1997-01-22,260816,285880
1997-01-23,260816,280329
1997-01-24,272459,280329
1997-01-25,266638,294242
1997-01-27,286432,287272
1997-01-28,286432,311083
1997-01-29,285267,311083
1997-01-30,284103,309673
1997-01-31,279446,308266
1997-02-01,279446,302645
1997-02-03,289925,302645
1997-02-04,287596,315316
1997-02-05,285267,312493
1997-02-06,293418,309673
1997-02-10,291089,319558
1997-02-11,302733,316729
1997-02-12,326020,330912
1997-02-13,351636,359542
1997-02-14,379580,391389
1997-02-15,379580,426466
1997-02-17,349307,426466
1997-02-18,377252,388481
1997-02-19,377252,423533
1997-02-20,349307,423533
1997-02-21,356293,388481
1997-02-22,367937,397213
1997-02-24,397046,411815
1997-02-25,422662,448526
1997-02-26,430812,481009
1997-02-27,419169,491366
1997-02-28,421497,476573
1997-03-03,406361,479529
1997-03-04,384238,460323
1997-03-05,386567,432341
1997-03-06,386567,435280
1997-03-07,378416,435280
1997-03-08,376087,424999
1997-03-10,372594,422066
1997-03-11,395881,417669
1997-03-12,376087,447052
1997-03-13,367937,422066
1997-03-14,372594,411815
1997-03-15,388895,417669
1997-03-17,384238,438220
1997-03-18,378416,432341
1997-03-19,378416,424999
1997-03-20,385402,424999
1997-03-21,380745,433810
1997-03-22,395881,427935
1997-03-24,427319,447052
1997-03-25,451771,486926
1997-03-26,440127,518026
1997-03-27,451771,503212
1997-03-28,454099,518026
1997-03-29,471565,520988
1997-03-31,454099,543210
1997-04-01,454099,520988
1997-04-02,448278,520988
1997-04-03,450606,513582
1997-04-04,464579,516544
1997-04-07,471565,534323
1997-04-08,487866,543210
1997-04-09,469236,563931
1997-04-10,470400,540247
1997-04-11,461086,541728
1997-04-12,477387,529879
1997-04-14,465743,550613
1997-04-15,447113,535804
1997-04-16,423826,512099
1997-04-17,423826,482488
1997-04-18,434305,482488
1997-04-19,431977,495807
1997-04-21,421497,492847
1997-04-22,416840,479529
1997-04-23,416840,473616
1997-04-24,413347,473616
1997-04-25,419169,469183
1997-04-26,402868,476573
1997-04-28,418004,455897
1997-04-29,414511,475094
1997-04-30,400539,470660
1997-05-02,408689,452947
1997-05-03,419169,463274
1997-05-06,416840,476573
1997-05-07,424990,473616
1997-05-08,431977,483967
1997-05-09,434305,492847
1997-05-10,454099,495807
1997-05-12,459921,520988
1997-05-13,492523,528396
1997-05-15,489030,569845
1997-05-16,480880,565409
1997-05-17,500674,555054
1997-05-19,501838,580188
1997-05-20,491359,581664
1997-05-21,466907,568367
1997-05-22,469236,537285
1997-05-23,468072,540247
1997-05-24,456428,538767
1997-05-26,465743,523952
1997-05-27,499509,535804
1997-05-28,500674,578710
1997-05-29,505331,580188
1997-05-30,505331,586092
1997-05-31,523961,586092
1997-06-02,516975,609665
1997-06-03,503002,600835
1997-06-04,508824,583140
1997-06-05,508824,590518
1997-06-07,506496,590518
1997-06-09,494852,587569
1997-06-10,479715,572801
1997-06-11,516975,553573
1997-06-12,553070,600835
1997-06-13,544919,646308
1997-06-14,530947,636074
1997-06-16,572864,618483
1997-06-17,564713,671056
1997-06-18,577521,660883
1997-06-19,551906,676855
1997-06-20,535605,644848
1997-06-21,518139,624354
1997-06-23,512317,602307
1997-06-24,518139,594941
1997-06-25,532111,602307
1997-06-26,533276,619950
1997-06-27,529783,621419
1997-06-28,529783,617014
1997-06-30,547248,617014
1997-07-01,568207,639001
1997-07-02,562385,665247
1997-07-03,562385,657973
1997-07-04,555399,657973
1997-07-05,542591,649227
1997-07-07,553070,633147
1997-07-08,569371,646308
1997-07-09,570535,666700
1997-07-10,567042,668152
1997-07-11,558892,663793
1997-07-12,564713,653602
1997-07-14,549577,660883
1997-07-15,533276,641925
1997-07-16,533276,621419
1997-07-18,534440,621419
1997-07-19,535605,622886
1997-07-21,536769,624354
1997-07-22,543755,625820
1997-07-23,555399,634611
1997-07-24,550741,649227
1997-07-25,564713,643386
1997-07-26,568207,660883
1997-07-28,565878,665247
1997-07-29,549577,662339
1997-07-30,536769,641925
1997-07-31,535605,625820
1997-08-01,535605,624354
1997-08-02,536769,624354
1997-08-04,547248,625820
1997-08-05,547248,639001
1997-08-06,532111,639001
1997-08-07,534440,619950
1997-08-08,546084,622886
1997-08-09,544919,637538
1997-08-11,529783,636074
1997-08-12,518139,617014
1997-08-13,489030,602307
1997-08-14,493688,565409
1997-08-16,496016,571324
1997-08-18,509989,574278
1997-08-19,497181,591993
1997-08-20,494852,575757
1997-08-21,489030,572801
1997-08-22,487866,565409
1997-08-23,485537,563931
1997-08-25,483208,560972
1997-08-26,483208,558012
1997-08-27,454099,558012
1997-08-28,418004,520988
1997-08-29,385402,475094
1997-08-30,391224,433810
1997-09-01,395881,441163
1997-09-02,419169,447052
1997-09-03,409854,476573
1997-09-04,419169,464752
1997-09-05,427319,476573
1997-09-06,429648,486926
1997-09-08,419169,489887
1997-09-09,424990,476573
1997-09-10,454099,483967
1997-09-11,431977,520988
1997-09-12,430812,492847
1997-09-13,424990,491366
1997-09-18,406361,483967
