Date,Actual Closing Price,Forecast Closing Price
2001-10-25,15300,20140
2001-10-26,17100,21443
2001-10-29,17100,22896
2001-10-30,16650,22896
2001-10-31,16150,22534
2001-11-01,15350,22131
2001-11-02,16100,21483
2001-11-05,15750,22090
2001-11-06,16000,21807
2001-11-07,15850,22010
2001-11-08,15500,21888
2001-11-09,15300,21605
2001-11-12,15000,21443
2001-11-13,15000,21199
2001-11-14,15350,21199
2001-11-15,15200,21483
2001-11-16,15100,21362
2001-11-19,15000,21280
2001-11-20,14350,21199
2001-11-21,14000,20670
2001-11-22,14250,20385
2001-11-23,14100,20589
2001-11-26,13450,20466
2001-11-27,12500,19935
2001-11-28,13200,19156
2001-11-29,13300,19730
2001-11-30,14500,19812
2001-12-03,14600,20793
2001-12-04,14200,20874
2001-12-05,14150,20548
2001-12-06,14000,20507
2001-12-07,13700,20385
2001-12-10,13500,20140
2001-12-11,13700,19976
2001-12-12,13500,20140
2001-12-13,13350,19976
2001-12-14,13050,19853
2001-12-17,12600,19608
2001-12-18,12300,19238
2001-12-19,12400,18991
2001-12-20,12450,19074
2001-12-21,13200,19115
2001-12-24,13300,19730
2001-12-26,12950,19812
2001-12-27,13250,19526
2001-12-28,14000,19771
2002-01-02,14350,20385
2002-01-03,14450,20670
2002-01-04,14550,20752
2002-01-07,15050,20833
2002-01-08,15100,21240
2002-01-09,15850,21280
2002-01-10,16000,21888
2002-01-11,16100,22010
2002-01-14,15350,22090
2002-01-15,15000,21483
2002-01-16,15000,21199
2002-01-17,14600,21199
2002-01-18,15650,20874
2002-01-21,15850,21726
2002-01-22,16400,21888
2002-01-23,16250,22332
2002-01-24,18200,22211
2002-01-25,18600,23776
2002-01-28,18900,24094
2002-01-29,17400,24332
2002-01-30,18000,23136
2002-01-31,17750,23616
2002-02-01,17150,23416
2002-02-04,17250,22936
2002-02-05,18800,23016
2002-02-06,18050,24253
2002-02-07,18450,23656
2002-02-08,19000,23975
2002-02-14,18500,24411
2002-02-15,18000,24015
2002-02-18,17950,23616
2002-02-19,18550,23576
2002-02-20,18400,24054
2002-02-21,18150,23935
2002-02-22,18600,23736
2002-02-25,18150,24094
2002-02-26,17900,23736
2002-02-27,18100,23536
2002-02-28,18850,23696
2002-03-04,18850,24293
2002-03-05,18750,24293
2002-03-06,18800,24213
2002-03-07,18900,24253
2002-03-08,19950,24332
2002-03-11,20100,25162
2002-03-12,20300,25279
2002-03-13,20950,25436
2002-03-14,21600,25944
2002-03-15,21500,26449
2002-03-18,21500,26372
2002-03-19,20650,26372
2002-03-20,20650,25710
2002-03-21,20900,25710
2002-03-22,21200,25905
2002-03-25,21100,26139
2002-03-26,20400,26061
2002-03-27,20350,25515
2002-03-28,20900,25476
2002-03-29,18550,25905
2002-04-01,18700,24054
2002-04-02,19000,24173
2002-04-03,19000,24411
2002-04-04,18700,24411
2002-04-08,18450,24173
2002-04-09,17750,23975
2002-04-10,17800,23416
2002-04-11,18450,23456
2002-04-12,19050,23975
2002-04-15,19000,24451
2002-04-16,18950,24411
2002-04-17,19350,24372
2002-04-18,18900,24688
2002-04-19,18150,24332
2002-04-22,17700,23736
2002-04-23,17750,23376
2002-04-24,16900,23416
2002-04-25,17050,22735
2002-04-26,16200,22855
2002-04-29,15050,22171
2002-04-30,16100,21240
2002-05-02,17000,22090
2002-05-03,17000,22815
2002-05-06,17200,22815
2002-05-07,18150,22976
2002-05-08,18900,23736
2002-05-09,18600,24332
2002-05-10,18050,24094
2002-05-13,17600,23656
2002-05-14,18600,23296
2002-05-15,19000,24094
2002-05-16,18950,24411
2002-05-17,18700,24372
2002-05-20,17950,24173
2002-05-21,18200,23576
2002-05-22,18100,23776
2002-05-23,18100,23696
2002-05-24,17950,23696
2002-05-27,17650,23576
2002-05-28,17050,23336
2002-05-29,16100,22855
2002-05-30,16050,22090
2002-05-31,16800,22050
2002-06-03,16500,22655
2002-06-04,16500,22413
2002-06-05,16600,22413
2002-06-07,16900,22494
2002-06-10,17450,22735
2002-06-11,17800,23176
2002-06-12,17550,23456
2002-06-14,16900,23256
2002-06-17,16900,22735
2002-06-18,16200,22735
2002-06-19,16300,22171
2002-06-20,16300,22252
2002-06-21,16250,22252
2002-06-24,16100,22211
2002-06-25,15200,22090
2002-06-26,15450,21362
2002-06-27,16050,21564
2002-06-28,16200,22050
2002-07-02,16150,22171
2002-07-03,16400,22131
2002-07-04,16800,22332
2002-07-05,16800,22655
2002-07-08,17100,22655
2002-07-09,17100,22896
2002-07-10,16700,22896
2002-07-11,16750,22574
2002-07-12,16400,22614
2002-07-15,16350,22332
2002-07-16,16300,22292
2002-07-18,15950,22252
2002-07-19,15600,21969
2002-07-22,16000,21686
2002-07-23,15500,22010
2002-07-24,15500,21605
2002-07-25,15200,21605
2002-07-26,15400,21362
2002-07-29,15800,21524
2002-07-30,15800,21848
2002-07-31,15700,21848
2002-08-01,15300,21767
2002-08-02,14700,21443
2002-08-05,14200,20955
2002-08-06,14550,20548
2002-08-07,14250,20833
2002-08-08,14250,20589
2002-08-09,14500,20589
2002-08-12,14350,20793
2002-08-13,13850,20670
2002-08-14,13750,20262
2002-08-16,14550,20181
2002-08-19,14650,20833
2002-08-20,14500,20915
2002-08-21,14750,20793
2002-08-22,15350,20996
2002-08-23,15200,21483
2002-08-26,15050,21362
2002-08-27,14800,21240
2002-08-28,14500,21037
2002-08-29,14600,20793
2002-08-30,14500,20874
2002-09-02,14100,20793
2002-09-03,14000,20466
2002-09-04,13800,20385
2002-09-05,13300,20221
2002-09-06,12400,19812
2002-09-09,13050,19074
2002-09-10,13150,19608
2002-09-11,13450,19690
2002-09-12,13100,19935
2002-09-13,13100,19649
2002-09-16,13800,19649
2002-09-17,13850,20221
2002-09-18,13650,20262
2002-09-19,13250,20099
2002-09-23,13200,19771
2002-09-24,12800,19730
2002-09-25,12950,19402
2002-09-26,13150,19526
2002-09-27,12700,19690
2002-09-30,12800,19320
2002-10-01,12650,19402
2002-10-02,12300,19279
2002-10-04,11600,18991
2002-10-07,11100,18415
2002-10-08,10200,18001
2002-10-09,9000,17256
2002-10-10,8850,16256
2002-10-11,9700,16131
2002-10-14,10850,16840
2002-10-15,11100,17795
2002-10-16,11650,18001
2002-10-17,11950,18456
2002-10-18,11200,18703
2002-10-21,10800,18084
2002-10-22,11350,17753
2002-10-23,11100,18208
2002-10-24,11050,18001
2002-10-25,11400,17960
2002-10-28,11350,18249
2002-10-29,11200,18208
2002-10-30,11200,18084
2002-10-31,11200,18084
2002-11-01,11750,18084
2002-11-04,11300,18538
2002-11-05,11750,18167
2002-11-06,11850,18538
2002-11-07,11700,18621
2002-11-08,11350,18497
2002-11-11,11800,18208
2002-11-12,11850,18580
2002-11-13,11650,18621
2002-11-14,11600,18456
2002-11-15,11500,18415
2002-11-18,11500,18332
2002-11-19,11550,18332
2002-11-20,11550,18373
2002-11-21,11600,18373
2002-11-22,11850,18415
2002-11-25,11650,18621
2002-11-26,12850,18456
2002-11-27,13000,19443
2002-11-28,13200,19567
2002-11-29,13450,19730
2002-12-02,14000,19935
2002-12-03,13200,20385
2002-12-04,13750,19730
2002-12-05,13500,20181
2002-12-06,13450,19976
2002-12-09,13600,19935
2002-12-10,13550,20058
2002-12-11,13650,20017
2002-12-12,13500,20099
2002-12-13,13100,19976
2002-12-16,13250,19649
2002-12-17,12450,19771
2002-12-18,12550,19115
2002-12-20,12100,19197
2002-12-23,12100,18827
2002-12-24,11800,18827
2002-12-26,11650,18580
2002-12-27,11200,18456
2002-12-30,11800,18084
2003-01-02,12200,18580
2003-01-03,12200,18909
2003-01-06,12250,18909
2003-01-07,12450,18950
2003-01-08,13100,19115
2003-01-09,12950,19649
2003-01-10,13450,19526
2003-01-13,13100,19935
2003-01-14,13100,19649
2003-01-15,12800,19649
2003-01-16,12500,19402
2003-01-17,12550,19156
2003-01-20,12450,19197
2003-01-21,12200,19115
2003-01-22,12950,18909
2003-01-23,12600,19526
2003-01-24,12750,19238
2003-01-27,12850,19361
2003-01-28,12750,19443
2003-01-29,13000,19361
2003-01-30,13500,19567
2003-02-03,13550,19976
2003-02-04,13500,20017
2003-02-05,13300,19976
2003-02-06,12950,19812
2003-02-07,13300,19526
2003-02-10,13550,19812
2003-02-11,13600,20017
2003-02-12,13500,20058
2003-02-13,13950,19976
2003-02-14,14200,20344
2003-02-17,14000,20548
2003-02-18,13900,20385
2003-02-19,14000,20303
2003-02-20,13850,20385
2003-02-21,13500,20262
2003-02-24,13250,19976
2003-02-25,13150,19771
2003-02-26,13350,19690
2003-02-27,12850,19853
