Date,Actual Closing Price,Forecast Closing Price
1990-07-30,20249,74717
1990-07-31,20249,74717
1990-08-01,20249,74717
1990-08-02,20249,74717
1990-08-03,20249,74717
1990-08-04,20249,74717
1990-08-06,20249,74717
1990-08-07,20249,74717
1990-08-08,20249,74717
1990-08-09,20249,74717
1990-08-10,20249,74717
1990-08-11,20249,74717
1990-08-13,20249,74717
1990-08-14,20249,74717
1990-08-16,20249,74717
1990-08-17,20249,74717
1990-08-18,20249,74717
1990-08-20,20249,74717
1990-08-21,20249,74717
1990-08-22,20249,74717
1990-08-23,20249,74717
1990-08-24,20249,74717
1990-08-25,20249,74717
1990-08-27,20249,74717
1990-08-28,20249,74717
1990-08-29,20249,74717
1990-08-30,20249,74717
1990-08-31,20249,74717
1990-09-01,20249,74717
1990-09-03,20249,74717
1990-09-04,20249,74717
1990-09-05,20249,74717
1990-09-06,20249,74717
1990-09-07,20249,74717
1990-09-08,20249,74717
1990-09-10,20249,74717
1990-09-11,20249,74717
1990-09-12,20249,74717
1990-09-13,20249,74717
1990-09-14,20249,74717
1990-09-15,20249,74717
1990-09-17,20249,74717
1990-09-18,20249,74717
1990-09-19,20249,74717
1990-09-20,20249,74717
1990-09-21,20249,74717
1990-09-22,20249,74717
1990-09-24,20249,74717
1990-09-25,20249,74717
1990-09-26,20249,74717
1990-09-27,20249,74717
1990-09-28,20249,74717
1990-09-29,20249,74717
1990-10-05,20249,74717
1990-10-06,20249,74717
1990-10-08,20249,74717
1990-10-10,20249,74717
1990-10-11,20249,74717
1990-10-12,20249,74717
1990-10-13,20249,74717
1990-10-15,20249,74717
1990-10-16,20249,74717
1990-10-17,20249,74717
1990-10-18,20249,74717
1990-10-19,20249,74717
1990-10-20,20249,74717
1990-10-22,20249,74717
1990-10-23,12974,74717
1990-10-24,12974,69138
1990-10-25,12974,69138
1990-10-26,12974,69138
1990-10-27,12974,69138
1990-10-29,12974,69138
1990-10-30,12974,69138
1990-10-31,12974,69138
1990-11-01,12974,69138
1990-11-02,12974,69138
1990-11-03,12974,69138
1990-11-05,12974,69138
1990-11-06,12974,69138
1990-11-07,12974,69138
1990-11-08,12974,69138
1990-11-09,12974,69138
1990-11-10,12974,69138
1990-11-12,12974,69138
1990-11-13,12974,69138
1990-11-14,12974,69138
1990-11-15,12974,69138
1990-11-16,12974,69138
1990-11-17,12974,69138
1990-11-19,12974,69138
1990-11-20,12974,69138
1990-11-21,12974,69138
1990-11-22,12974,69138
1990-11-23,12974,69138
1990-11-24,12974,69138
1990-11-26,12974,69138
1990-11-27,12974,69138
1990-11-28,12974,69138
