Date,Actual Closing Price,Forecast Closing Price
1990-01-03,2750,2684
1990-01-04,2700,2776
1990-01-05,2700,2730
1990-01-06,2690,2730
1990-01-08,2720,2720
1990-01-09,2720,2748
1990-01-10,2750,2748
1990-01-11,2800,2776
1990-01-12,2800,2822
1990-01-13,2750,2822
1990-01-15,2700,2776
1990-01-16,2680,2730
1990-01-17,2660,2711
1990-01-18,2690,2693
1990-01-19,2700,2720
1990-01-20,2750,2730
1990-01-22,2660,2776
1990-01-23,2700,2693
1990-01-24,2720,2730
1990-01-25,2700,2748
1990-01-29,2650,2730
1990-01-30,2670,2684
1990-01-31,2700,2702
1990-02-01,2710,2730
1990-02-02,2710,2739
1990-02-03,2700,2739
1990-02-05,2720,2730
1990-02-06,2760,2748
1990-02-07,2730,2785
1990-02-08,2750,2757
1990-02-09,2750,2776
1990-02-10,2730,2776
1990-02-12,2830,2757
1990-02-13,2910,2849
1990-02-14,2850,2923
1990-02-15,2830,2868
1990-02-16,2850,2849
1990-02-17,2850,2868
1990-02-19,2800,2868
1990-02-20,2820,2822
1990-02-21,2810,2840
1990-02-22,2820,2831
1990-02-23,2800,2840
1990-02-24,2760,2822
1990-02-26,2760,2785
1990-02-27,2730,2785
1990-02-28,3309,2757
1990-03-02,3261,3293
1990-03-03,3225,3248
1990-03-05,3202,3215
1990-03-06,3202,3194
1990-03-07,3213,3194
1990-03-08,3166,3204
1990-03-09,3106,3160
1990-03-12,3118,3105
1990-03-13,3106,3116
1990-03-14,3142,3105
1990-03-15,3118,3138
1990-03-16,3118,3116
1990-03-17,3106,3116
1990-03-19,3118,3105
1990-03-20,3142,3116
1990-03-21,3130,3138
1990-03-22,3130,3127
1990-03-23,3118,3127
1990-03-24,3118,3116
1990-03-26,3106,3116
1990-03-27,3118,3105
1990-03-28,3106,3116
1990-03-29,3166,3105
1990-03-30,3142,3160
1990-03-31,3106,3138
1990-04-02,3142,3105
1990-04-03,3154,3138
1990-04-04,3202,3149
1990-04-06,3190,3194
1990-04-07,3190,3182
1990-04-09,3166,3182
1990-04-10,3237,3160
1990-04-11,3178,3226
1990-04-12,3166,3171
1990-04-13,3166,3160
1990-04-14,3154,3160
1990-04-16,3202,3149
1990-04-17,3142,3194
1990-04-18,3082,3138
1990-04-19,3058,3082
1990-04-20,3058,3060
1990-04-21,3022,3060
1990-04-23,2986,3027
1990-04-24,2915,2994
1990-04-25,2795,2928
1990-04-26,2795,2817
1990-04-27,2711,2817
1990-04-28,2592,2740
1990-04-30,2711,2630
1990-05-01,2831,2740
1990-05-03,2950,2850
1990-05-04,2986,2960
1990-05-07,3010,2994
1990-05-08,2986,3016
1990-05-09,2950,2994
1990-05-10,2891,2960
1990-05-11,2891,2906
1990-05-12,2831,2906
1990-05-14,2867,2850
1990-05-15,2986,2884
1990-05-16,2926,2994
1990-05-17,2903,2938
1990-05-18,2903,2917
1990-05-19,2903,2917
1990-05-21,2986,2917
1990-05-22,2974,2994
1990-05-23,2926,2982
1990-05-24,2926,2938
1990-05-25,2986,2938
1990-05-26,2926,2994
1990-05-28,2926,2938
1990-05-29,2974,2938
1990-05-30,2950,2982
1990-05-31,2950,2960
1990-06-01,2962,2960
1990-06-02,3070,2971
1990-06-04,3022,3071
1990-06-05,3034,3027
1990-06-07,2962,3038
1990-06-08,2986,2971
1990-06-09,2986,2994
1990-06-11,3106,2994
1990-06-12,3142,3105
1990-06-13,3142,3138
1990-06-14,3082,3138
1990-06-15,3106,3082
1990-06-16,2986,3105
1990-06-18,2986,2994
1990-06-19,3034,2994
1990-06-20,3094,3038
1990-06-21,3046,3094
1990-06-22,3022,3049
1990-06-23,2998,3027
1990-06-25,2998,3005
1990-06-26,2998,3005
1990-06-27,2986,3005
1990-06-28,2926,2994
1990-06-29,2903,2938
1990-06-30,2915,2917
1990-07-02,3034,2928
1990-07-03,2915,3038
1990-07-04,2891,2928
1990-07-05,2867,2906
1990-07-06,2831,2884
1990-07-07,2891,2850
1990-07-09,2843,2906
1990-07-10,2807,2861
1990-07-11,2735,2828
1990-07-12,2628,2762
1990-07-13,2628,2663
1990-07-14,2651,2663
1990-07-16,2723,2685
1990-07-18,2687,2751
1990-07-19,2628,2718
1990-07-20,2604,2663
1990-07-21,2568,2641
1990-07-23,2508,2608
1990-07-24,2568,2553
1990-07-25,2508,2608
1990-07-26,2388,2553
1990-07-27,2412,2443
1990-07-28,2388,2465
1990-07-30,2388,2443
1990-07-31,2508,2443
1990-08-01,2628,2553
1990-08-02,2628,2663
1990-08-03,2628,2663
1990-08-04,2628,2663
1990-08-06,2628,2663
1990-08-07,2580,2663
1990-08-08,2592,2619
1990-08-09,2663,2630
1990-08-10,2699,2696
1990-08-11,2628,2729
1990-08-13,2628,2663
1990-08-14,2568,2663
1990-08-16,2592,2608
1990-08-17,2592,2630
1990-08-18,2616,2630
1990-08-20,2556,2652
1990-08-21,2628,2597
1990-08-22,2640,2663
1990-08-23,2520,2674
1990-08-24,2484,2564
1990-08-25,2604,2531
1990-08-27,2723,2641
1990-08-28,2699,2751
1990-08-29,2580,2729
1990-08-30,2580,2619
1990-08-31,2508,2619
1990-09-01,2628,2553
1990-09-03,2628,2663
1990-09-04,2675,2663
1990-09-05,2604,2707
1990-09-06,2568,2641
1990-09-07,2568,2608
1990-09-08,2532,2608
1990-09-10,2532,2575
1990-09-11,2508,2575
1990-09-12,2448,2553
1990-09-13,2508,2498
1990-09-14,2484,2553
1990-09-15,2365,2531
1990-09-17,2460,2422
1990-09-18,2448,2509
1990-09-19,2329,2498
1990-09-20,2233,2389
1990-09-21,2150,2301
1990-09-22,2150,2226
1990-09-24,2210,2226
1990-09-25,2210,2280
1990-09-26,2198,2280
1990-09-27,2257,2269
1990-09-28,2353,2323
1990-09-29,2436,2411
1990-10-05,2412,2487
1990-10-06,2341,2465
1990-10-08,2376,2400
1990-10-10,2448,2432
1990-10-11,2556,2498
1990-10-12,2617,2597
1990-10-13,2662,2653
1990-10-15,2556,2695
1990-10-16,2587,2597
1990-10-17,2556,2626
1990-10-18,2678,2597
1990-10-19,2739,2709
1990-10-20,2784,2766
1990-10-22,2906,2807
1990-10-23,3027,2920
1990-10-24,2906,3031
1990-10-25,2784,2920
1990-10-26,2662,2807
1990-10-27,2587,2695
1990-10-29,2556,2626
1990-10-30,2556,2597
1990-10-31,2662,2597
1990-11-01,2617,2695
1990-11-02,2571,2653
1990-11-03,2571,2611
1990-11-05,2587,2611
1990-11-06,2617,2626
1990-11-07,2587,2653
1990-11-08,2510,2626
1990-11-09,2480,2555
1990-11-10,2571,2527
1990-11-12,2571,2611
1990-11-13,2571,2611
1990-11-14,2556,2611
1990-11-15,2540,2597
1990-11-16,2495,2583
1990-11-17,2480,2541
1990-11-19,2480,2527
1990-11-20,2419,2527
1990-11-21,2449,2472
1990-11-22,2449,2499
1990-11-23,2449,2499
1990-11-24,2404,2499
1990-11-26,2419,2458
1990-11-27,2510,2472
1990-11-28,2510,2555
1990-11-29,2465,2555
1990-11-30,2495,2514
1990-12-01,2540,2541
1990-12-03,2465,2583
1990-12-04,2510,2514
1990-12-05,2495,2555
1990-12-06,2571,2541
1990-12-07,2617,2611
1990-12-08,2662,2653
1990-12-10,2587,2695
1990-12-11,2587,2626
1990-12-12,2526,2626
1990-12-13,2647,2570
1990-12-14,2556,2681
1990-12-15,2571,2597
1990-12-17,2540,2611
1990-12-18,2526,2583
1990-12-19,2465,2570
1990-12-20,2495,2514
1990-12-21,2434,2541
1990-12-22,2404,2485
1990-12-24,2404,2458
1990-12-26,2282,2458
1991-01-03,2343,2346
1991-01-04,2358,2402
1991-01-05,2282,2416
1991-01-07,2236,2346
1991-01-08,2206,2304
1991-01-09,2145,2277
1991-01-10,2191,2221
1991-01-11,2282,2263
1991-01-12,2252,2346
1991-01-14,2191,2319
1991-01-15,2100,2263
1991-01-16,2191,2180
1991-01-17,2252,2263
