Date,Actual Closing Price,Forecast Closing Price
1990-01-03,19000,26946
1990-01-04,18700,27398
1990-01-05,18700,27172
1990-01-06,18900,27172
1990-01-08,19100,27323
1990-01-09,18700,27474
1990-01-10,18300,27172
1990-01-11,18000,26871
1990-01-12,18000,26645
1990-01-13,17900,26645
1990-01-15,18400,26570
1990-01-16,17900,26946
1990-01-17,17700,26570
1990-01-18,17500,26420
1990-01-19,17700,26270
1990-01-20,18000,26420
1990-01-22,17900,26645
1990-01-23,18100,26570
1990-01-24,18000,26721
1990-01-25,18100,26645
1990-01-29,18200,26721
1990-01-30,19000,26796
1990-01-31,18600,27398
1990-02-01,18200,27097
1990-02-02,18400,26796
1990-02-03,18400,26946
1990-02-05,18600,26946
1990-02-06,18200,27097
1990-02-07,18400,26796
1990-02-08,18200,26946
1990-02-09,18300,26796
1990-02-10,18100,26871
1990-02-12,17900,26721
1990-02-13,18300,26570
1990-02-14,18100,26871
1990-02-15,18000,26721
1990-02-16,18000,26645
1990-02-17,18000,26645
1990-02-19,17800,26645
1990-02-20,18600,26495
1990-02-21,18700,27097
1990-02-22,18400,27172
1990-02-23,18400,26946
1990-02-24,18100,26946
1990-02-26,18500,26721
1990-02-27,18300,27022
1990-02-28,9874,26871
1990-03-02,9660,20620
1990-03-03,9660,20464
1990-03-05,9552,20464
1990-03-06,9552,20385
1990-03-07,9391,20385
1990-03-08,9445,20267
1990-03-09,9445,20307
1990-03-12,9338,20307
1990-03-13,9338,20229
1990-03-14,9499,20229
1990-03-15,9552,20346
1990-03-16,9338,20385
1990-03-17,9391,20229
1990-03-19,9499,20267
1990-03-20,9499,20346
1990-03-21,9606,20346
1990-03-22,9606,20424
1990-03-23,9660,20424
1990-03-24,9552,20464
1990-03-26,9391,20385
1990-03-27,9284,20267
1990-03-28,9338,20189
1990-03-29,9660,20229
1990-03-30,9499,20464
1990-03-31,9445,20346
1990-04-02,9391,20307
1990-04-03,9391,20267
1990-04-04,9391,20267
1990-04-06,9284,20267
1990-04-07,9284,20189
1990-04-09,9069,20189
1990-04-10,9230,20032
1990-04-11,9123,20150
1990-04-12,9177,20072
1990-04-13,9069,20111
1990-04-14,8962,20032
1990-04-16,9177,19954
1990-04-17,8855,20111
1990-04-18,8586,19876
1990-04-19,8586,19681
1990-04-20,8747,19681
1990-04-21,8640,19798
1990-04-23,8747,19720
1990-04-24,8640,19798
1990-04-25,8318,19720
1990-04-26,8479,19486
1990-04-27,8157,19603
1990-04-28,7728,19369
1990-04-30,8050,19057
1990-05-01,8479,19291
1990-05-03,8908,19603
1990-05-04,8855,19915
1990-05-07,8747,19876
1990-05-08,8586,19798
1990-05-09,8318,19681
1990-05-10,8211,19486
