Date,Actual Closing Price,Forecast Closing Price
1990-01-03,26000,25892
1990-01-04,25600,26344
1990-01-05,25400,25892
1990-01-06,25800,25666
1990-01-08,26300,26118
1990-01-09,26100,26684
1990-01-10,25600,26457
1990-01-11,25400,25892
1990-01-12,25000,25666
1990-01-13,24600,25214
1990-01-15,25000,24762
1990-01-16,24600,25214
1990-01-17,24700,24762
1990-01-18,24700,24875
1990-01-19,24900,24875
1990-01-20,25500,25101
1990-01-22,25100,25779
1990-01-23,25600,25327
1990-01-24,25600,25892
1990-01-25,25300,25892
1990-01-29,25000,25553
1990-01-30,24800,25214
1990-01-31,24500,24988
1990-02-01,24500,24649
1990-02-02,24300,24649
1990-02-03,24500,24424
1990-02-05,25500,24649
1990-02-06,25200,25779
1990-02-07,25300,25440
1990-02-08,25000,25553
1990-02-09,24900,25214
1990-02-10,24700,25101
1990-02-12,24600,24875
1990-02-13,24700,24762
1990-02-14,25400,24875
1990-02-15,25300,25666
1990-02-16,25000,25553
1990-02-17,25100,25214
1990-02-19,25000,25327
1990-02-20,25000,25214
1990-02-21,25000,25214
1990-02-22,24900,25214
1990-02-23,24700,25101
1990-02-24,24900,24875
1990-02-26,25600,25101
1990-02-27,25100,25892
1990-02-28,199185,25327
1990-03-02,197623,222749
1990-03-03,195280,221229
1990-03-05,194499,218935
1990-03-06,193717,218167
1990-03-07,192155,217395
1990-03-08,191374,215848
1990-03-09,190593,215072
1990-03-12,189031,214294
1990-03-13,189031,212731
1990-03-14,188250,212731
1990-03-15,190593,211947
1990-03-16,189812,214294
1990-03-17,191374,213513
1990-03-19,195280,215072
1990-03-20,192936,218935
1990-03-21,194499,216623
1990-03-22,192155,218167
1990-03-23,190593,215848
1990-03-24,191374,214294
1990-03-26,189812,215072
1990-03-27,186687,213513
1990-03-28,186687,210373
1990-03-29,193717,210373
1990-03-30,193717,217395
1990-03-31,193717,217395
1990-04-02,192936,217395
1990-04-03,190593,216623
1990-04-04,188250,214294
1990-04-06,188250,211947
1990-04-07,185906,211947
1990-04-09,185125,209583
1990-04-10,185906,208791
1990-04-11,183563,209583
1990-04-12,182001,207202
1990-04-13,179657,205606
1990-04-14,174971,203196
1990-04-16,181220,198330
1990-04-17,177314,204805
1990-04-18,175752,200771
1990-04-19,174189,199146
1990-04-20,177314,197512
1990-04-21,175752,200771
1990-04-23,172627,199146
1990-04-24,167159,195872
1990-04-25,159348,190075
1990-04-26,164035,181652
1990-04-27,149975,186726
1990-04-28,143726,171336
1990-04-30,149975,164341
1990-05-01,156224,171336
1990-05-03,164035,178238
1990-05-04,167940,186726
1990-05-07,169503,190909
1990-05-08,166378,192571
1990-05-09,160129,189241
1990-05-10,157786,182502
1990-05-11,155443,179948
1990-05-12,154661,177381
1990-05-14,152318,176521
1990-05-15,158567,173935
1990-05-16,164035,180801
1990-05-17,164816,186726
1990-05-18,164816,187566
1990-05-19,164816,187566
1990-05-21,167159,187566
1990-05-22,168722,190075
1990-05-23,168722,191741
1990-05-24,170284,191741
1990-05-25,167940,193398
1990-05-26,165597,190909
1990-05-28,166378,188404
1990-05-29,167159,189241
1990-05-30,168722,190075
1990-05-31,168722,191741
1990-06-01,167940,191741
1990-06-02,171065,190909
1990-06-04,169503,194225
1990-06-05,170284,192571
1990-06-07,170284,193398
1990-06-08,169503,193398
1990-06-09,165597,192571
1990-06-11,164816,188404
1990-06-12,164035,187566
1990-06-13,161691,186726
1990-06-14,160910,184196
1990-06-15,162473,183350
1990-06-16,159348,185042
1990-06-18,157005,181652
1990-06-19,156224,179094
1990-06-20,157005,178238
1990-06-21,157786,179094
1990-06-22,157005,179948
1990-06-23,155443,179094
1990-06-25,155443,177381
1990-06-26,154661,177381
1990-06-27,150756,176521
1990-06-28,150756,172204
1990-06-29,149975,172204
1990-06-30,151537,171336
1990-07-02,157786,173070
1990-07-03,157786,179948
1990-07-04,155443,179948
1990-07-05,154661,177381
1990-07-06,155443,176521
