Date,Actual Closing Price,Forecast Closing Price
1998-05-09,4947,9197
1998-05-11,4567,8836
1998-05-12,4224,8472
1998-05-13,3920,8141
1998-05-14,4224,7844
1998-05-15,4529,8141
1998-05-16,4871,8436
1998-05-18,4947,8764
1998-05-19,5328,8836
1998-05-20,5518,9197
1998-05-21,5518,9375
1998-05-22,5328,9375
1998-05-23,5366,9197
1998-05-25,4757,9233
1998-05-26,4909,8655
1998-05-27,4871,8800
1998-05-28,5328,8764
1998-05-29,5138,9197
1998-05-30,4757,9018
1998-06-01,4909,8655
1998-06-02,5023,8800
1998-06-03,5138,8909
1998-06-05,5518,9018
1998-06-08,5290,9375
1998-06-09,5138,9161
1998-06-10,5138,9018
1998-06-11,4757,9018
1998-06-12,4452,8655
1998-06-13,4338,8362
1998-06-15,4833,8251
1998-06-16,4833,8728
1998-06-17,4681,8728
1998-06-18,4567,8582
1998-06-19,4719,8472
1998-06-20,4681,8618
1998-06-22,4681,8582
1998-06-23,4643,8582
1998-06-24,4643,8546
1998-06-25,4605,8546
1998-06-26,4643,8509
1998-06-27,4643,8546
1998-06-29,4491,8546
1998-06-30,4567,8399
1998-07-01,4376,8472
1998-07-02,4376,8288
1998-07-03,4757,8288
1998-07-04,4567,8655
1998-07-06,4681,8472
1998-07-07,4643,8582
1998-07-08,4681,8546
1998-07-09,4833,8582
1998-07-10,4795,8728
1998-07-11,4833,8691
1998-07-13,4833,8728
1998-07-14,4833,8728
1998-07-15,4795,8728
1998-07-16,4795,8691
1998-07-18,4795,8691
1998-07-20,4833,8691
1998-07-21,4833,8728
1998-07-22,4833,8728
1998-07-23,4947,8728
1998-07-25,5100,8836
1998-07-27,5100,8982
1998-07-28,5100,8982
1998-07-29,5100,8982
1998-07-30,5138,8982
1998-07-31,5100,9018
1998-08-01,5100,8982
1998-08-03,5100,8982
1998-08-04,5100,8982
1998-08-05,5100,8982
1998-08-06,5100,8982
1998-08-07,5100,8982
1998-08-08,5100,8982
1998-08-10,5100,8982
1998-08-11,5100,8982
1998-08-12,5100,8982
1998-08-13,5100,8982
1998-08-14,5100,8982
1998-08-17,5100,8982
1998-08-18,5100,8982
1998-08-19,5100,8982
1998-08-20,5100,8982
1998-08-21,5100,8982
1998-08-22,5100,8982
1998-08-24,5100,8982
1998-08-25,5100,8982
1998-08-26,5100,8982
1998-08-27,5100,8982
1998-08-28,5100,8982
1998-09-01,5100,8982
1998-09-02,5100,8982
1998-09-03,5100,8982
1998-09-04,5100,8982
1998-09-05,5100,8982
1998-09-07,5100,8982
1998-09-08,5100,8982
1998-09-09,5100,8982
1998-09-10,5100,8982
1998-09-11,5100,8982
1998-09-12,5100,8982
1998-09-14,5100,8982
1998-09-15,5328,8982
1998-09-16,5100,9197
1998-09-17,5100,8982
1998-09-18,5100,8982
1998-09-19,5100,8982
1998-09-21,5100,8982
1998-09-22,5100,8982
1998-09-23,5100,8982
1998-09-24,5100,8982
1998-09-25,5100,8982
1998-09-26,5100,8982
1998-09-28,5100,8982
1998-09-29,5100,8982
1998-09-30,5100,8982
1998-10-01,5100,8982
1998-10-02,5100,8982
1998-10-07,5100,8982
1998-10-08,5100,8982
1998-10-09,5100,8982
1998-10-10,5100,8982
1998-10-12,5100,8982
1998-10-13,5100,8982
1998-10-14,5100,8982
1998-10-15,5100,8982
1998-10-16,5100,8982
1998-10-17,5100,8982
1998-10-19,5100,8982
1998-10-20,5100,8982
1998-10-21,5100,8982
1998-10-22,5100,8982
1998-10-23,5100,8982
1998-10-24,5100,8982
1998-10-26,5710,8982
1998-10-27,5030,9554
1998-10-28,4430,8915
1998-10-29,3900,8340
1998-10-30,4100,7824
1998-10-31,3820,8020
1998-11-02,3750,7746
1998-11-03,3500,7677
1998-11-04,3590,7431
1998-11-05,3710,7520
1998-11-06,3690,7638
1998-11-07,3600,7618
1998-11-09,3180,7529
1998-11-10,3560,7113
1998-11-11,3210,7490
1998-11-12,3100,7143
1998-11-13,3330,7033
1998-11-14,3290,7262
1998-11-16,3100,7222
1998-11-17,3290,7033
1998-11-18,3190,7222
1998-11-19,3120,7123
1998-11-20,3190,7053
1998-11-21,3250,7123
1998-11-23,3200,7182
1998-11-24,3160,7133
1998-11-25,3300,7093
1998-11-26,3160,7232
1998-11-27,3160,7093
1998-11-28,3200,7093
1998-11-30,3100,7133
1998-12-01,3150,7033
1998-12-02,3130,7083
1998-12-03,3090,7063
1998-12-04,3090,7023
1998-12-05,3460,7023
1998-12-07,3600,7391
1998-12-08,3570,7529
1998-12-09,3800,7500
1998-12-10,4050,7726
1998-12-11,4530,7971
1998-12-14,5000,8437
1998-12-15,4400,8887
1998-12-16,3880,8311
1998-12-17,3800,7805
1998-12-18,4250,7726
1998-12-21,4310,8166
1998-12-22,3990,8224
1998-12-23,4300,7913
1998-12-24,4470,8214
1998-12-28,4550,8379
1999-01-04,4180,8456
1999-01-05,4300,8098
1999-01-06,4140,8214
1999-01-07,4200,8059
1999-01-08,4150,8117
1999-01-11,4000,8069
1999-01-12,4100,7922
1999-01-13,3940,8020
1999-01-14,3900,7864
1999-01-15,4090,7824
1999-01-18,3990,8010
1999-01-19,3850,7913
1999-01-20,3730,7775
1999-01-21,3780,7658
1999-01-22,3700,7707
1999-01-25,3750,7628
1999-01-26,3730,7677
1999-01-27,3660,7658
1999-01-28,3700,7589
1999-01-29,3650,7628
1999-02-01,3730,7579
1999-02-02,3690,7658
1999-02-03,3570,7618
1999-02-04,3570,7500
1999-02-05,3570,7500
1999-02-08,3470,7500
1999-02-09,3600,7401
1999-02-10,3650,7529
1999-02-11,3570,7579
1999-02-12,3420,7500
1999-02-18,3250,7351
1999-02-19,3090,7182
1999-02-22,2880,7023
1999-02-23,2970,6813
1999-02-24,2970,6903
1999-02-25,3000,6903
1999-02-26,3280,6933
1999-03-02,3260,7212
1999-03-03,3200,7192
1999-03-04,3170,7133
1999-03-05,3550,7103
1999-03-08,3970,7480
1999-03-09,4400,7893
1999-03-10,4750,8311
1999-03-11,4950,8648
1999-03-12,5400,8839
1999-03-15,5240,9264
1999-03-16,4850,9114
1999-03-17,4290,8744
1999-03-18,4610,8205
1999-03-19,4590,8514
1999-03-22,4300,8495
1999-03-23,4450,8214
1999-03-24,4350,8360
1999-03-25,4340,8263
1999-03-26,4210,8253
1999-03-29,4250,8127
1999-03-30,4230,8166
1999-03-31,4300,8147
1999-04-01,4270,8214
1999-04-02,4100,8185
1999-04-06,4250,8020
1999-04-07,4200,8166
1999-04-08,4580,8117
1999-04-09,5120,8485
1999-04-12,5730,9000
1999-04-13,6090,9573
1999-04-14,6300,9905
1999-04-15,6250,10097
1999-04-16,7000,10051
1999-04-19,7840,10725
1999-04-20,8780,11457
1999-04-21,7730,12244
1999-04-22,7120,11362
1999-04-23,7190,10831
1999-04-26,6950,10893
1999-04-27,6900,10681
1999-04-28,6550,10637
1999-04-29,6600,10323
1999-04-30,7390,10368
1999-05-03,7150,11068
1999-05-04,7300,10858
1999-05-06,7500,10989
1999-05-07,6650,11164
1999-05-10,6700,10413
1999-05-11,6750,10458
1999-05-12,6350,10503
1999-05-13,6100,10142
1999-05-14,6100,9914
1999-05-17,5800,9914
1999-05-18,5800,9637
1999-05-19,5900,9637
1999-05-20,5900,9730
1999-05-21,6600,9730
1999-05-24,7390,10368
1999-05-25,8270,11068
1999-05-26,9260,11821
1999-05-27,10350,12632
1999-05-28,11000,13479
1999-05-31,9700,13960
1999-06-01,8540,12980
1999-06-02,8280,12046
1999-06-03,8700,11829
1999-06-04,9200,12178
1999-06-07,8550,12584
1999-06-08,8000,12054
1999-06-09,8350,11593
1999-06-10,8300,11888
1999-06-11,8800,11846
1999-06-14,8350,12260
1999-06-15,8490,11888
1999-06-16,8600,12005
1999-06-17,8800,12096
1999-06-18,9850,12260
1999-06-21,11000,13096
1999-06-22,12250,13960
1999-06-23,11600,14833
1999-06-24,11800,14388
1999-06-25,11500,14527
1999-06-28,11600,14317
1999-06-29,11500,14388
1999-06-30,11150,14317
1999-07-01,11200,14068
1999-07-02,11400,14104
1999-07-05,12750,14247
1999-07-06,14250,15164
1999-07-07,15950,16089
1999-07-08,16000,17019
1999-07-09,15000,17045
1999-07-12,15100,16515
1999-07-13,14500,16570
1999-07-14,14300,16234
1999-07-15,14900,16118
1999-07-16,15000,16459
1999-07-19,14900,16515
1999-07-20,14000,16459
1999-07-21,13700,15942
1999-07-22,13200,15761
1999-07-23,11650,15452
1999-07-26,12800,14423
1999-07-27,13200,15196
1999-07-28,12900,15452
1999-07-29,12100,15261
1999-07-30,11750,14732
1999-08-02,12450,14492
1999-08-03,12700,14967
1999-08-04,12100,15131
1999-08-05,12500,14732
1999-08-06,12300,15000
1999-08-09,12000,14867
1999-08-10,11750,14664
1999-08-11,12000,14492
1999-08-12,12450,14664
1999-08-13,12900,14967
1999-08-16,13600,15261
1999-08-17,13300,15700
1999-08-18,13250,15514
1999-08-19,12800,15483
1999-08-20,13200,15196
1999-08-23,13500,15452
1999-08-24,15100,15639
1999-08-25,14150,16570
1999-08-26,14400,16030
1999-08-27,14800,16176
1999-08-30,15450,16404
1999-08-31,14300,16759
1999-09-01,14000,16118
1999-09-02,13900,15942
1999-09-03,13950,15882
1999-09-06,13750,15912
1999-09-07,14100,15791
1999-09-08,14450,16001
1999-09-09,14400,16205
1999-09-10,13700,16176
1999-09-13,13800,15761
1999-09-14,13700,15822
1999-09-15,12950,15761
1999-09-16,12600,15293
1999-09-17,12350,15066
1999-09-20,12550,14900
1999-09-21,12200,15033
1999-09-22,11300,14800
1999-09-27,11700,14176
1999-09-28,11200,14457
1999-09-29,10200,14104
1999-09-30,9180,13365
1999-10-01,9550,12568
1999-10-04,9800,12862
1999-10-05,10700,13058
1999-10-06,11950,13740
1999-10-07,11250,14630
1999-10-08,10850,14140
1999-10-11,11500,13850
1999-10-12,10800,14317
1999-10-13,10450,13814
1999-10-14,10350,13554
1999-10-15,9690,13479
1999-10-18,9700,12972
1999-10-19,10150,12980
1999-10-20,9800,13327
1999-10-21,9730,13058
1999-10-22,9310,13003
1999-10-25,9200,12672
1999-10-26,9020,12584
1999-10-27,8930,12439
1999-10-28,9500,12366
1999-10-29,9700,12823
1999-11-01,9400,12980
1999-11-02,9240,12744
1999-11-03,9200,12616
1999-11-04,9300,12584
1999-11-05,9300,12664
1999-11-08,9150,12664
1999-11-09,9010,12544
1999-11-10,8870,12431
1999-11-11,9150,12317
1999-11-15,8900,12544
1999-11-16,8410,12342
1999-11-17,8190,11938
1999-11-18,8370,11754
1999-11-19,8100,11905
1999-11-22,7800,11678
1999-11-23,7560,11422
1999-11-24,7550,11216
1999-11-25,6750,11207
1999-11-26,6420,10503
1999-11-29,6500,10206
1999-11-30,6230,10278
1999-12-01,6800,10033
1999-12-02,6600,10547
1999-12-03,6550,10368
1999-12-06,6120,10323
1999-12-07,6500,9932
1999-12-08,6600,10278
1999-12-09,6950,10368
1999-12-10,6410,10681
1999-12-13,6410,10196
1999-12-14,6040,10196
1999-12-16,6000,9859
1999-12-17,6000,9822
1999-12-20,5630,9822
1999-12-21,5100,9480
1999-12-22,5110,8982
1999-12-23,4850,8991
1999-12-24,4800,8744
1999-12-27,4930,8696
1999-12-28,5100,8820
2000-01-04,4950,8982
2000-01-05,4800,8839
2000-01-06,4950,8696
2000-01-07,5450,8839
2000-01-10,5280,9311
2000-01-11,5100,9152
2000-01-12,5600,8982
2000-01-13,6050,9452
2000-01-14,5900,9868
2000-01-17,5380,9730
2000-01-18,4900,9246
2000-01-19,4690,8791
2000-01-20,4900,8591
2000-01-21,5000,8791
2000-01-24,4940,8887
2000-01-25,4850,8830
2000-01-26,5160,8744
2000-01-27,4970,9038
2000-01-28,4950,8858
2000-01-31,5000,8839
2000-02-01,5000,8887
2000-02-02,5000,8887
2000-02-03,5080,8887
2000-02-07,4990,8963
2000-02-08,4900,8877
2000-02-09,4780,8791
2000-02-10,4400,8677
2000-02-11,4290,8311
2000-02-14,4140,8205
2000-02-15,4070,8059
2000-02-16,4050,7991
2000-02-17,4070,7971
2000-02-18,3760,7991
2000-02-21,3570,7687
2000-02-22,3990,7500
2000-02-23,3800,7913
2000-02-24,3710,7726
2000-02-25,3620,7638
2000-02-28,3680,7549
2000-02-29,3750,7608
2000-03-02,3560,7677
2000-03-03,3790,7490
2000-03-06,4060,7717
2000-03-07,3990,7981
2000-03-08,3900,7913
2000-03-09,3860,7824
2000-03-10,3720,7785
2000-03-13,3750,7648
2000-03-14,3650,7677
2000-03-15,3670,7579
2000-03-16,3770,7598
2000-03-17,3670,7697
2000-03-20,3590,7598
2000-03-21,3720,7520
2000-03-22,3560,7648
2000-03-23,3520,7490
2000-03-24,3530,7450
2000-03-27,3590,7460
2000-03-28,3550,7520
2000-03-29,3420,7480
2000-03-30,3320,7351
2000-03-31,3130,7252
2000-04-03,3210,7063
2000-04-04,3120,7143
2000-04-06,3200,7053
2000-04-07,3240,7133
2000-04-10,3180,7172
2000-04-11,3250,7113
2000-04-12,3640,7182
2000-04-14,3790,7569
2000-04-17,3610,7717
2000-04-18,3500,7539
2000-04-19,3520,7431
2000-04-20,3430,7450
2000-04-21,3310,7361
2000-04-24,3230,7242
2000-04-25,3230,7163
2000-04-26,3150,7163
2000-04-27,3200,7083
2000-04-28,3320,7133
2000-05-02,3280,7252
2000-05-03,3240,7212
2000-05-04,3230,7172
2000-05-08,3160,7163
2000-05-09,3190,7093
2000-05-10,3140,7123
2000-05-12,3000,7073
2000-05-15,2910,6933
2000-05-16,2790,6843
2000-05-17,2700,6722
2000-05-18,2650,6632
2000-05-19,2560,6581
2000-05-22,2860,6491
2000-05-23,3200,6793
2000-05-24,3580,7133
2000-05-25,3250,7510
2000-05-26,3640,7182
2000-05-29,3590,7569
2000-05-30,3610,7520
2000-05-31,3380,7539
2000-06-01,3780,7312
2000-06-02,4230,7707
2000-06-05,4730,8147
2000-06-07,4900,8629
2000-06-08,4320,8791
2000-06-09,4830,8234
2000-06-12,5160,8725
2000-06-13,5040,9038
2000-06-14,5250,8925
2000-06-15,5880,9123
2000-06-16,5860,9711
2000-06-19,6290,9693
2000-06-20,5880,10087
2000-06-21,5900,9711
2000-06-22,5910,9730
2000-06-23,6610,9739
2000-06-26,7400,10377
2000-06-27,6900,11077
2000-06-28,7150,10637
2000-06-29,7200,10858
2000-06-30,7300,10902
2000-07-03,6600,10989
2000-07-04,6670,10368
2000-07-05,5870,10431
2000-07-06,5450,9702
2000-07-07,5590,9311
2000-07-10,5900,9442
2000-07-11,5440,9730
2000-07-12,5360,9302
2000-07-13,5490,9227
2000-07-14,4940,9349
2000-07-18,5200,8830
2000-07-19,5240,9076
2000-07-20,5100,9114
2000-07-21,4700,8982
2000-07-24,4810,8600
2000-07-25,4670,8706
2000-07-26,4420,8571
2000-07-27,4050,8331
2000-07-28,4180,7971
2000-07-31,4450,8098
2000-08-01,4570,8360
2000-08-02,4490,8475
2000-08-03,4450,8398
2000-08-04,4220,8360
2000-08-07,4100,8137
2000-08-08,4250,8020
2000-08-09,4200,8166
2000-08-10,4180,8117
2000-08-11,4360,8098
2000-08-14,4580,8273
2000-08-16,4500,8485
2000-08-17,4350,8408
2000-08-18,4230,8263
2000-08-21,4280,8147
2000-08-22,4230,8195
2000-08-23,4050,8147
2000-08-24,4000,7971
2000-08-25,4100,7922
2000-08-28,4020,8020
2000-08-29,3940,7942
2000-08-30,3770,7864
2000-08-31,3740,7697
2000-09-01,3650,7667
2000-09-04,3600,7579
2000-09-05,3710,7529
2000-09-06,3710,7638
2000-09-07,3980,7638
2000-09-08,4190,7903
2000-09-14,4000,8108
2000-09-15,3540,7922
2000-09-18,3520,7470
2000-09-19,3700,7450
2000-09-20,3590,7628
2000-09-21,3600,7520
2000-09-22,4030,7529
2000-09-25,3870,7952
2000-09-26,3830,7795
2000-09-27,3820,7756
2000-09-28,3830,7746
2000-09-29,3920,7756
2000-10-02,3920,7844
2000-10-04,4010,7844
2000-10-05,3910,7932
2000-10-06,3840,7834
2000-10-09,3790,7766
2000-10-10,3680,7717
2000-10-11,3580,7608
2000-10-12,3420,7510
2000-10-13,3500,7351
2000-10-16,3320,7431
2000-10-17,3350,7252
2000-10-18,3290,7282
2000-10-19,3330,7222
2000-10-20,3220,7262
2000-10-23,3160,7153
2000-10-24,3130,7093
2000-10-25,3030,7063
2000-10-26,3040,6963
2000-10-27,3350,6973
2000-10-30,3290,7282
2000-10-31,3340,7222
2000-11-01,3350,7272
2000-11-02,3390,7282
2000-11-03,3360,7322
2000-11-06,3300,7292
2000-11-07,3280,7232
2000-11-08,3340,7212
2000-11-09,3340,7272
2000-11-10,3300,7272
2000-11-13,3350,7232
2000-11-14,3750,7282
2000-11-15,3790,7677
2000-11-16,3600,7717
2000-11-17,3490,7529
2000-11-20,3700,7421
2000-11-21,3580,7628
2000-11-22,3540,7510
2000-11-23,3850,7470
2000-11-24,3810,7775
2000-11-27,3800,7736
2000-11-28,3660,7726
2000-11-29,3680,7589
2000-11-30,3700,7608
2000-12-01,3610,7628
2000-12-04,3580,7539
2000-12-05,3560,7510
2000-12-06,3460,7490
2000-12-07,3550,7391
2000-12-08,3640,7480
2000-12-11,3620,7569
2000-12-12,3630,7549
2000-12-13,3630,7559
2000-12-14,3640,7559
2000-12-15,3600,7569
2000-12-18,3660,7529
2000-12-19,3560,7589
2000-12-20,3510,7490
2000-12-21,3530,7440
2000-12-22,3720,7460
2000-12-26,3870,7648
2001-01-02,3720,7795
2001-01-03,3840,7648
2001-01-04,3790,7766
2001-01-05,3770,7717
2001-01-08,4120,7697
2001-01-09,3790,8039
2001-01-10,3900,7717
2001-01-11,3950,7824
2001-01-12,4020,7873
2001-01-15,3950,7942
2001-01-16,3870,7873
2001-01-17,3770,7795
2001-01-18,3840,7697
2001-01-19,3970,7766
2001-01-22,3780,7893
2001-01-26,3820,7707
2001-01-29,3800,7746
2001-01-30,3870,7726
2001-01-31,3790,7795
2001-02-01,3770,7717
2001-02-02,3580,7697
2001-02-05,3590,7510
2001-02-06,3540,7520
2001-02-07,3560,7470
2001-02-08,3610,7490
2001-02-09,3570,7539
2001-02-12,3620,7500
2001-02-13,3750,7549
2001-02-14,3700,7677
2001-02-15,3640,7628
2001-02-16,3590,7569
2001-02-19,3700,7520
2001-02-20,3700,7628
2001-02-21,3620,7628
2001-02-22,3590,7549
2001-02-23,3710,7520
2001-02-26,3800,7638
2001-02-27,3790,7726
2001-02-28,3610,7717
2001-03-02,3560,7539
2001-03-05,3560,7490
2001-03-06,3550,7490
2001-03-07,3590,7480
2001-03-08,3560,7520
2001-03-09,3410,7490
2001-03-12,3240,7341
2001-03-13,3330,7172
2001-03-14,3270,7262
2001-03-15,3330,7202
2001-03-16,3330,7262
2001-03-19,3290,7262
2001-03-20,3240,7222
2001-03-21,3260,7172
2001-03-22,3230,7192
2001-03-23,3300,7163
2001-03-26,3290,7232
2001-03-27,3280,7222
2001-03-28,3250,7212
2001-03-29,3220,7182
2001-03-30,3190,7153
2001-04-02,3400,7123
2001-04-03,3190,7331
2001-04-04,3250,7123
2001-04-06,3190,7182
2001-04-09,3200,7123
2001-04-10,3270,7133
2001-04-11,3280,7202
2001-04-12,3260,7212
2001-04-13,3240,7192
2001-04-16,3260,7172
2001-04-17,3350,7192
2001-04-18,3350,7282
2001-04-19,3300,7282
2001-04-20,3320,7232
2001-04-23,3290,7252
2001-04-24,3350,7222
2001-04-25,3300,7282
2001-04-26,3290,7232
2001-04-27,3320,7222
2001-04-30,3350,7252
2001-05-02,3330,7282
2001-05-03,3340,7262
2001-05-04,3380,7272
2001-05-07,3400,7312
2001-05-08,3350,7331
2001-05-09,3370,7282
2001-05-10,3350,7302
2001-05-11,3410,7282
2001-05-14,3480,7341
2001-05-15,3420,7411
2001-05-16,3500,7351
2001-05-17,3670,7431
2001-05-18,3850,7598
2001-05-21,3840,7775
2001-05-22,3810,7766
2001-05-23,3760,7736
2001-05-24,3830,7687
2001-05-25,3740,7756
2001-05-28,3710,7667
2001-05-29,3650,7638
2001-05-30,3600,7579
2001-05-31,3550,7529
2001-06-01,3580,7480
2001-06-04,3550,7510
2001-06-05,3530,7480
2001-06-07,3630,7460
2001-06-08,3590,7559
2001-06-11,3630,7520
2001-06-12,3830,7559
2001-06-13,3970,7756
2001-06-14,4160,7893
2001-06-15,4120,8078
2001-06-18,3970,8039
2001-06-19,3960,7893
2001-06-20,4340,7883
2001-06-21,4330,8253
2001-06-22,4270,8244
2001-06-25,4090,8185
2001-06-26,4190,8010
2001-06-27,4200,8108
2001-06-28,4240,8117
2001-06-29,4320,8156
2001-07-02,4270,8234
2001-07-03,4320,8185
2001-07-04,4250,8234
2001-07-05,4130,8166
2001-07-06,4030,8049
2001-07-09,4080,7952
2001-07-10,4030,8000
2001-07-11,4150,7952
2001-07-12,4040,8069
2001-07-13,4040,7961
2001-07-16,3920,7961
2001-07-18,3890,7844
2001-07-19,3980,7815
2001-07-20,3810,7903
2001-07-23,3900,7736
2001-07-24,3920,7824
2001-07-25,3980,7844
2001-07-26,4020,7903
2001-07-27,4000,7942
2001-07-30,4100,7922
2001-07-31,4260,8020
2001-08-01,4450,8176
2001-08-02,4430,8360
2001-08-03,4430,8340
2001-08-06,4500,8340
2001-08-07,4540,8408
2001-08-08,4420,8446
2001-08-09,4430,8331
2001-08-10,4470,8340
2001-08-13,4750,8379
2001-08-14,5000,8648
2001-08-16,4990,8887
2001-08-17,4940,8877
2001-08-20,4950,8830
2001-08-21,4940,8839
2001-08-22,4940,8830
2001-08-23,5100,8830
2001-08-24,5100,8982
2001-08-27,5140,8982
2001-08-28,5180,9019
2001-08-29,5210,9057
2001-08-30,5050,9086
2001-08-31,4990,8934
2001-09-03,5080,8877
2001-09-04,5000,8963
2001-09-05,5000,8887
2001-09-06,4970,8887
2001-09-07,4900,8858
2001-09-10,4820,8791
2001-09-11,4250,8715
2001-09-12,4480,8166
2001-09-13,4160,8389
2001-09-14,4160,8078
2001-09-17,4260,8078
2001-09-18,4300,8176
2001-09-19,4200,8214
2001-09-20,4100,8117
2001-09-21,4200,8020
2001-09-24,4200,8117
2001-09-25,4210,8117
2001-09-26,4240,8127
2001-09-27,4300,8156
2001-09-28,4450,8214
2001-10-04,4450,8360
2001-10-05,4400,8360
2001-10-08,4440,8311
2001-10-09,4430,8350
2001-10-10,4430,8340
2001-10-11,4400,8340
2001-10-12,4400,8311
2001-10-15,4580,8311
2001-10-16,4850,8485
2001-10-17,4940,8744
2001-10-18,5040,8830
2001-10-19,5100,8925
2001-10-22,5090,8982
2001-10-23,5080,8972
2001-10-24,5200,8963
2001-10-25,5070,9076
2001-10-26,5050,8953
2001-10-29,4980,8934
2001-10-30,5010,8868
2001-10-31,5100,8896
2001-11-01,5330,8982
2001-11-02,5960,9199
2001-11-05,6140,9785
2001-11-06,6410,9951
2001-11-07,6870,10196
2001-11-08,6410,10610
2001-11-09,6320,10196
2001-11-12,6210,10115
2001-11-13,6220,10015
2001-11-14,6700,10024
2001-11-15,6810,10458
2001-11-16,6640,10556
2001-11-19,6360,10404
2001-11-20,6400,10151
2001-11-21,6920,10187
2001-11-22,7040,10654
2001-11-23,7880,10761
