Date,Actual Closing Price,Forecast Closing Price
2017-05-12,160000,141967
2017-05-15,156000,140079
2017-05-16,144000,136300
2017-05-17,148000,124941
2017-05-18,143500,128729
2017-05-19,140000,124468
2017-05-22,143500,121153
2017-05-23,145000,124468
2017-05-24,144000,125888
2017-05-25,142000,124941
2017-05-26,147000,123047
2017-05-29,149500,127782
2017-05-30,152000,130149
2017-05-31,151500,132516
2017-06-01,158500,132043
2017-06-02,161000,138663
2017-06-05,160500,141023
2017-06-07,153500,140551
2017-06-08,149000,133935
2017-06-09,141500,129676
2017-06-12,145500,122574
2017-06-13,143000,126362
2017-06-14,147500,123994
2017-06-15,152000,128256
2017-06-16,150500,132516
2017-06-19,153500,131096
2017-06-20,153000,133935
2017-06-21,151500,133462
2017-06-22,153500,132043
2017-06-23,152500,133935
2017-06-26,150000,132989
2017-06-27,149000,130623
2017-06-28,155000,129676
2017-06-29,155000,135354
2017-06-30,152500,135354
2017-07-03,152500,132989
2017-07-04,149500,132989
2017-07-05,148000,130149
2017-07-06,155000,128729
2017-07-07,151000,135354
2017-07-10,148500,131570
2017-07-11,145000,129203
2017-07-12,145000,125888
2017-07-13,145500,125888
2017-07-14,145500,126362
2017-07-17,145000,126362
2017-07-18,145000,125888
2017-07-19,148500,125888
2017-07-20,148000,129203
2017-07-21,149000,128729
2017-07-24,146500,129676
2017-07-25,146000,127309
2017-07-26,146000,126835
2017-07-27,144500,126835
2017-07-28,143000,125415
2017-07-31,141500,123994
2017-08-01,141500,122574
2017-08-02,136500,122574
2017-08-03,130500,117841
2017-08-04,134500,112169
2017-08-07,135500,115949
2017-08-08,134500,116895
2017-08-09,130500,115949
2017-08-10,127500,112169
2017-08-11,131000,109338
2017-08-14,136500,112641
2017-08-16,135500,117841
2017-08-17,138500,116895
2017-08-18,142500,119733
2017-08-21,144500,123521
2017-08-22,143500,125415
2017-08-23,155500,124468
2017-08-24,150000,135827
2017-08-25,148500,130623
2017-08-28,145500,129203
2017-08-29,152500,126362
2017-08-30,154500,132989
2017-08-31,154500,134881
2017-09-01,150000,134881
2017-09-04,150500,130623
2017-09-05,157000,131096
2017-09-06,158000,137245
2017-09-07,150500,138190
2017-09-08,150000,131096
2017-09-11,147000,130623
2017-09-12,149000,127782
2017-09-13,149500,129676
2017-09-14,150500,130149
2017-09-15,154500,131096
2017-09-18,154500,134881
2017-09-19,156500,134881
2017-09-20,156000,136773
2017-09-21,151500,136300
2017-09-22,150000,132043
2017-09-25,150000,130623
2017-09-26,149500,130623
2017-09-27,148000,130149
2017-09-28,151500,128729
2017-09-29,151500,132043
2017-10-10,152500,132043
2017-10-11,149000,132989
2017-10-12,162000,129676
2017-10-13,161000,141967
2017-10-16,169500,141023
2017-10-17,176500,149027
2017-10-18,173000,155586
2017-10-19,173500,152311
2017-10-20,171000,152779
2017-10-23,177000,150436
2017-10-24,175000,156053
2017-10-25,175500,154183
2017-10-26,177500,154651
2017-10-27,170500,156519
2017-10-30,174000,149966
2017-10-31,172000,153247
2017-11-01,177500,151374
2017-11-02,175000,156519
2017-11-03,186500,154183
2017-11-06,185500,164884
2017-11-07,184500,163958
2017-11-08,186000,163032
2017-11-09,189500,164421
2017-11-10,185500,167654
2017-11-13,186500,163958
2017-11-14,192500,164884
2017-11-15,191000,170414
2017-11-16,185000,169035
2017-11-17,183500,163495
2017-11-20,191000,162104
2017-11-21,185000,169035
2017-11-22,187500,163495
2017-11-23,188500,165808
2017-11-24,186000,166732
2017-11-27,178000,164421
2017-11-28,179000,156986
2017-11-29,169000,157919
2017-11-30,183000,148558
2017-12-01,186000,161640
2017-12-04,182500,164421
2017-12-05,183000,161176
2017-12-06,182000,161640
2017-12-07,185500,160711
2017-12-08,188000,163958
2017-12-11,192500,166270
2017-12-12,198500,170414
2017-12-13,199500,175901
2017-12-14,191000,176812
2017-12-15,190500,169035
2017-12-18,188000,168575
2017-12-19,181000,166270
2017-12-20,178500,159781
2017-12-21,183000,157452
2017-12-22,184500,161640
2017-12-26,189500,163032
2017-12-27,188500,167654
2017-12-28,188500,166732
2018-01-02,181000,166732
2018-01-03,171500,159781
2018-01-04,166500,150905
2018-01-05,165500,146207
2018-01-08,168500,145266
2018-01-09,168000,148088
2018-01-10,166000,147618
2018-01-11,161500,145736
2018-01-12,163500,141495
2018-01-15,166500,143381
2018-01-16,168500,146207
2018-01-17,166500,148088
2018-01-18,167500,146207
2018-01-19,164000,147148
2018-01-22,167500,143853
2018-01-23,167500,147148
2018-01-24,165500,147148
2018-01-25,175500,145266
2018-01-26,172000,154651
2018-01-29,170000,151374
2018-01-30,174000,149497
2018-01-31,173500,153247
2018-02-01,169500,152779
2018-02-02,161000,149027
2018-02-05,153000,141023
2018-02-06,140500,133462
2018-02-07,140500,121627
2018-02-08,136000,121627
2018-02-09,142500,117368
2018-02-12,146000,123521
2018-02-13,142500,126835
2018-02-14,147500,123521
2018-02-19,144000,128256
2018-02-20,148500,124941
2018-02-21,151500,129203
2018-02-22,158000,132043
2018-02-23,159000,138190
2018-02-26,156000,139135
2018-02-27,147500,136300
2018-02-28,150000,128256
2018-03-02,143000,130623
2018-03-05,144000,123994
2018-03-06,142000,124941
2018-03-07,145000,123047
2018-03-08,151500,125888
