Date,Actual Closing Price,Forecast Closing Price
1990-01-03,13604,14565
1990-01-04,13317,14654
1990-01-05,13113,14343
1990-01-06,13235,14123
1990-01-08,13276,14255
1990-01-09,13194,14299
1990-01-10,13113,14210
1990-01-11,13113,14123
1990-01-12,13113,14123
1990-01-13,12825,14123
1990-01-15,12867,13811
1990-01-16,12825,13856
1990-01-17,12825,13811
1990-01-18,12702,13811
1990-01-19,12620,13678
1990-01-20,13072,13589
1990-01-22,12989,14078
1990-01-23,13153,13989
1990-01-24,13235,14166
1990-01-25,13235,14255
1990-01-29,13113,14255
1990-01-30,13276,14123
1990-01-31,13235,14299
1990-02-01,13030,14255
1990-02-02,12948,14033
1990-02-03,12907,13944
1990-02-05,13113,13900
1990-02-06,13030,14123
1990-02-07,13072,14033
1990-02-08,13072,14078
1990-02-09,13072,14078
1990-02-10,12948,14078
1990-02-12,12784,13944
1990-02-13,12867,13767
1990-02-14,13030,13856
1990-02-15,12948,14033
1990-02-16,12948,13944
1990-02-17,12948,13944
1990-02-19,12948,13944
1990-02-20,12907,13944
1990-02-21,12907,13900
1990-02-22,12867,13900
1990-02-23,12825,13856
1990-02-24,12620,13811
1990-02-26,12867,13589
1990-02-27,12702,13856
1990-02-28,13072,13678
1990-03-02,13030,14078
1990-03-03,12907,14033
1990-03-05,12907,13900
1990-03-06,12948,13900
1990-03-07,12907,13944
1990-03-08,12867,13900
1990-03-09,12702,13856
1990-03-12,12580,13678
1990-03-13,12702,13545
1990-03-14,12702,13678
1990-03-15,12785,13678
1990-03-16,12744,13768
1990-03-17,12825,13723
1990-03-19,13194,13811
1990-03-20,13194,14210
1990-03-21,13276,14210
1990-03-22,13317,14299
1990-03-23,13194,14343
1990-03-24,13153,14210
1990-03-26,12989,14166
1990-03-27,12744,13989
1990-03-28,12948,13723
1990-03-29,13194,13944
1990-03-30,13235,14210
1990-03-31,13113,14255
1990-04-02,13113,14123
1990-04-03,12948,14123
1990-04-04,12907,13944
1990-04-06,12867,13900
1990-04-07,12867,13856
1990-04-09,12825,13856
1990-04-10,12785,13811
1990-04-11,12621,13768
1990-04-12,12580,13590
1990-04-13,12375,13545
1990-04-14,12088,13323
1990-04-16,12293,13012
1990-04-17,12005,13234
1990-04-18,11841,12922
1990-04-19,11637,12743
1990-04-20,11678,12522
1990-04-21,11637,12566
1990-04-23,11637,12522
1990-04-24,11228,12522
1990-04-25,10899,12077
1990-04-26,11105,11718
1990-04-27,10818,11943
1990-04-28,10407,11630
1990-04-30,10818,11182
1990-05-01,11228,11630
1990-05-03,11637,12077
1990-05-04,11637,12522
1990-05-07,11473,12522
1990-05-08,11555,12343
1990-05-09,11187,12432
1990-05-10,10940,12032
1990-05-11,10736,11763
1990-05-12,10572,11541
1990-05-14,10572,11362
1990-05-15,10982,11362
1990-05-16,11187,11809
1990-05-17,11064,12032
1990-05-18,11105,11898
1990-05-19,11228,11943
1990-05-21,11391,12077
1990-05-22,11473,12254
1990-05-23,11473,12343
1990-05-24,11473,12343
1990-05-25,11391,12343
1990-05-26,11473,12254
1990-05-28,11391,12343
1990-05-29,11513,12254
1990-05-30,11678,12387
1990-05-31,11841,12566
1990-06-01,11841,12743
1990-06-02,12047,12743
1990-06-04,12005,12967
1990-06-05,12005,12922
1990-06-07,12005,12922
1990-06-08,11883,12922
1990-06-09,11678,12789
1990-06-11,11513,12566
1990-06-12,11473,12387
1990-06-13,11473,12343
1990-06-14,11596,12343
1990-06-15,11637,12477
1990-06-16,11637,12522
1990-06-18,11555,12522
1990-06-19,11350,12432
1990-06-20,11391,12209
1990-06-21,11473,12254
1990-06-22,11391,12343
1990-06-23,11309,12254
1990-06-25,11391,12165
1990-06-26,11513,12254
1990-06-27,11596,12387
1990-06-28,11391,12477
1990-06-29,11064,12254
1990-06-30,11187,11898
1990-07-02,11596,12032
1990-07-03,11473,12477
1990-07-04,11146,12343
1990-07-05,11064,11987
1990-07-06,11023,11898
1990-07-07,11064,11854
1990-07-09,11105,11898
1990-07-10,11187,11943
1990-07-11,11146,12032
1990-07-12,10859,11987
1990-07-13,10736,11675
1990-07-14,10653,11541
1990-07-16,10736,11450
1990-07-18,10572,11541
1990-07-19,10653,11362
1990-07-20,10572,11450
1990-07-21,10572,11362
1990-07-23,10614,11362
1990-07-24,10653,11408
1990-07-25,10653,11450
1990-07-26,10614,11450
1990-07-27,10448,11408
1990-07-28,10407,11227
1990-07-30,10407,11182
1990-07-31,10490,11182
1990-08-01,10326,11273
1990-08-02,10285,11094
1990-08-03,10367,11049
1990-08-04,10326,11138
1990-08-06,9916,11094
1990-08-07,9506,10646
1990-08-08,9506,10198
1990-08-09,9629,10198
1990-08-10,9670,10333
1990-08-11,9220,10378
1990-08-13,8810,9886
1990-08-14,8400,9437
1990-08-16,8032,8988
1990-08-17,7990,8585
1990-08-18,7663,8539
1990-08-20,7581,8181
1990-08-21,7417,8091
1990-08-22,7376,7911
1990-08-23,7252,7866
1990-08-24,7376,7730
1990-08-25,7704,7866
1990-08-27,8032,8226
1990-08-28,8154,8585
1990-08-29,7949,8719
1990-08-30,7786,8494
1990-08-31,7786,8316
1990-09-01,8113,8316
1990-09-03,8318,8674
1990-09-04,8318,8899
1990-09-05,8318,8899
1990-09-06,8277,8899
1990-09-07,8195,8854
1990-09-08,8154,8764
1990-09-10,8032,8719
1990-09-11,7908,8585
1990-09-12,7867,8449
1990-09-13,7826,8404
1990-09-14,7499,8359
1990-09-15,7171,8001
1990-09-17,7499,7641
1990-09-18,7540,8001
1990-09-19,7581,8046
1990-09-20,7581,8091
1990-09-21,7581,8091
1990-09-22,7581,8091
1990-09-24,7581,8091
1990-09-25,7621,8091
1990-09-26,7663,8135
1990-09-27,7786,8181
1990-09-28,7786,8316
1990-09-29,8113,8316
1990-10-05,8113,8674
1990-10-06,8113,8674
1990-10-08,7990,8674
1990-10-10,8113,8539
1990-10-11,8440,8674
1990-10-12,8277,9032
1990-10-13,8482,8854
1990-10-15,8318,9078
1990-10-16,8359,8899
1990-10-17,8400,8943
1990-10-18,8810,8988
1990-10-19,8933,9437
1990-10-20,9137,9572
1990-10-22,9547,9795
1990-10-23,9957,10243
1990-10-24,9547,10691
1990-10-25,9137,10243
1990-10-26,8728,9795
1990-10-27,8605,9347
1990-10-29,8646,9213
1990-10-30,8482,9258
1990-10-31,8891,9078
1990-11-01,8564,9526
1990-11-02,8564,9168
1990-11-03,8605,9168
1990-11-05,8564,9213
1990-11-06,8687,9168
1990-11-07,8523,9303
1990-11-08,8523,9123
1990-11-09,8564,9123
1990-11-10,8523,9168
1990-11-12,8564,9123
1990-11-13,8482,9168
1990-11-14,8400,9078
1990-11-15,8359,8988
1990-11-16,8277,8943
1990-11-17,8072,8854
1990-11-19,8072,8629
1990-11-20,8032,8629
1990-11-21,8195,8585
1990-11-22,8072,8764
1990-11-23,7990,8629
1990-11-24,7990,8539
1990-11-26,8113,8539
1990-11-27,8154,8674
1990-11-28,8113,8719
1990-11-29,7990,8674
1990-11-30,8154,8539
1990-12-01,8359,8719
1990-12-03,8195,8943
1990-12-04,8277,8764
1990-12-05,8277,8854
1990-12-06,8605,8854
1990-12-07,8810,9213
1990-12-08,8933,9437
1990-12-10,8810,9572
1990-12-11,8646,9437
1990-12-12,8482,9258
1990-12-13,8482,9078
1990-12-14,8318,9078
1990-12-15,8318,8899
1990-12-17,8318,8899
1990-12-18,8318,8899
1990-12-19,8359,8899
1990-12-20,8440,8943
1990-12-21,8440,9032
1990-12-22,8440,9032
1990-12-24,8359,9032
1990-12-26,7786,8943
1991-01-03,8032,8316
1991-01-04,7949,8585
1991-01-05,7621,8494
1991-01-07,7499,8135
1991-01-08,7581,8001
1991-01-09,7252,8091
1991-01-10,7130,7730
1991-01-11,7376,7596
1991-01-12,7334,7866
1991-01-14,7006,7820
1991-01-15,6679,7460
1991-01-16,7006,7102
1991-01-17,7334,7460
1991-01-18,7252,7820
1991-01-19,6925,7730
1991-01-21,6843,7371
1991-01-22,6761,7281
1991-01-23,7006,7191
1991-01-24,7171,7460
1991-01-25,7212,7641
1991-01-26,7171,7686
1991-01-28,7171,7641
1991-01-29,7212,7641
1991-01-30,7130,7686
1991-01-31,6966,7596
1991-02-01,6966,7416
1991-02-02,6966,7416
1991-02-04,6966,7416
1991-02-05,7006,7416
1991-02-06,7048,7460
1991-02-07,7048,7506
1991-02-08,7130,7506
1991-02-09,7089,7596
1991-02-11,7252,7551
1991-02-12,7212,7730
1991-02-13,7540,7686
1991-02-18,7867,8046
1991-02-19,8195,8404
1991-02-20,8359,8764
1991-02-21,8318,8943
1991-02-22,8523,8899
1991-02-23,8400,9123
1991-02-25,8195,8988
1991-02-26,8113,8764
1991-02-27,8113,8674
1991-02-28,8154,8674
1991-03-02,8032,8719
1991-03-04,8032,8585
1991-03-05,8195,8585
1991-03-06,8113,8764
1991-03-07,8235,8674
1991-03-08,8154,8808
1991-03-09,8235,8719
1991-03-11,8277,8808
1991-03-12,8235,8854
1991-03-13,8277,8808
1991-03-14,8277,8854
1991-03-15,8195,8854
1991-03-16,8072,8764
1991-03-18,7990,8629
1991-03-19,7867,8539
1991-03-20,7867,8404
1991-03-21,7826,8404
1991-03-22,7786,8359
1991-03-23,7826,8316
1991-03-25,7745,8359
1991-03-27,7826,8271
1991-03-28,7990,8359
1991-03-29,7990,8539
1991-03-30,7867,8539
1991-04-01,7826,8404
1991-04-02,7867,8359
1991-04-03,7826,8404
1991-04-04,7745,8359
1991-04-06,7786,8271
1991-04-08,7745,8316
1991-04-09,7704,8271
1991-04-10,7621,8226
1991-04-11,7621,8135
1991-04-12,7621,8135
1991-04-13,7663,8135
1991-04-15,7621,8181
1991-04-16,7745,8135
1991-04-17,7581,8271
1991-04-18,7540,8091
1991-04-19,7458,8046
1991-04-20,7376,7956
1991-04-22,7581,7866
1991-04-23,7458,8091
1991-04-24,7499,7956
1991-04-25,7540,8001
1991-04-26,7621,8046
1991-04-27,7704,8135
1991-04-29,7621,8226
1991-04-30,7581,8135
1991-05-01,7581,8091
1991-05-02,7621,8091
1991-05-03,7540,8135
1991-05-04,7458,8046
1991-05-06,7376,7956
1991-05-07,7334,7866
1991-05-08,7417,7820
1991-05-09,7376,7911
1991-05-10,7376,7866
1991-05-11,7294,7866
1991-05-13,7540,7776
1991-05-14,7458,8046
1991-05-15,7458,7956
1991-05-16,7581,7956
1991-05-17,7621,8091
1991-05-18,7499,8135
1991-05-20,7499,8001
1991-05-22,7417,8001
1991-05-23,7376,7911
1991-05-24,7334,7866
1991-05-25,7376,7820
1991-05-27,7334,7866
1991-05-28,7294,7820
1991-05-29,7252,7776
1991-05-30,7171,7730
1991-05-31,7212,7641
1991-06-01,7089,7686
1991-06-03,7089,7551
1991-06-04,7252,7551
1991-06-05,7130,7730
1991-06-07,7130,7596
1991-06-08,7171,7596
1991-06-10,7171,7641
1991-06-11,7171,7641
1991-06-12,7212,7641
1991-06-13,7171,7686
1991-06-14,7171,7641
1991-06-15,7171,7641
1991-06-17,7130,7641
1991-06-18,7130,7596
1991-06-19,7130,7596
1991-06-21,7048,7596
1991-06-22,7048,7506
1991-06-24,7048,7506
1991-06-25,7171,7506
1991-06-26,7294,7641
1991-06-27,7212,7776
1991-06-28,7252,7686
1991-06-29,7417,7730
1991-07-01,7334,7911
1991-07-02,7294,7820
1991-07-03,7294,7776
1991-07-04,7458,7776
1991-07-05,7540,7956
1991-07-06,7867,8046
1991-07-08,7867,8404
1991-07-09,8195,8404
1991-07-10,8235,8764
1991-07-11,8318,8808
1991-07-12,8400,8899
1991-07-13,8359,8988
1991-07-15,8482,8943
1991-07-16,8605,9078
1991-07-18,8769,9213
1991-07-19,9015,9392
1991-07-20,8933,9661
1991-07-22,8769,9572
1991-07-23,9056,9392
1991-07-24,8850,9706
1991-07-25,9098,9481
1991-07-26,9261,9752
1991-07-27,9547,9931
1991-07-29,9589,10243
1991-07-30,9179,10289
1991-07-31,9179,9841
1991-08-01,9343,9841
1991-08-02,9343,10020
1991-08-03,9261,10020
1991-08-05,9261,9931
1991-08-06,9098,9931
1991-08-07,9056,9752
1991-08-08,9137,9706
1991-08-09,8850,9795
1991-08-10,8933,9481
1991-08-12,8850,9572
1991-08-13,8810,9481
1991-08-14,9056,9437
1991-08-16,8974,9706
1991-08-17,8564,9617
1991-08-19,8605,9168
1991-08-20,8605,9213
1991-08-21,8974,9213
1991-08-22,8728,9617
1991-08-23,8810,9347
1991-08-24,8850,9437
1991-08-26,8728,9481
1991-08-27,8769,9347
1991-08-28,8687,9392
1991-08-29,8728,9303
1991-08-30,8687,9347
1991-08-31,8687,9303
1991-09-02,8605,9303
1991-09-03,8564,9213
1991-09-04,8564,9168
1991-09-05,8523,9168
1991-09-06,8564,9123
1991-09-07,8728,9168
1991-09-09,8728,9347
1991-09-10,8728,9347
1991-09-11,8646,9347
1991-09-12,8605,9258
1991-09-13,8850,9213
1991-09-14,8769,9481
1991-09-16,8687,9392
1991-09-17,8687,9303
1991-09-18,8687,9303
1991-09-19,8769,9303
1991-09-20,8687,9392
1991-09-24,8564,9303
1991-09-25,8564,9168
1991-09-26,8646,9168
1991-09-27,8810,9258
1991-09-28,9220,9437
1991-09-30,9137,9886
1991-10-01,9302,9795
1991-10-02,9506,9975
1991-10-04,9383,10198
1991-10-05,9261,10064
1991-10-07,9137,9931
1991-10-08,9343,9795
1991-10-09,9465,10020
1991-10-10,9261,10154
1991-10-11,9220,9931
1991-10-12,9179,9886
1991-10-14,9302,9841
1991-10-15,9261,9975
1991-10-16,9261,9931
1991-10-17,9220,9931
1991-10-18,9261,9886
1991-10-19,9383,9931
1991-10-21,9302,10064
1991-10-22,9383,9975
1991-10-23,9343,10064
1991-10-24,9261,10020
1991-10-25,9098,9931
1991-10-26,8974,9752
1991-10-28,8810,9617
1991-10-29,9056,9437
1991-10-30,8850,9706
1991-10-31,8769,9481
1991-11-01,8687,9392
1991-11-02,8318,9303
1991-11-04,8195,8899
1991-11-05,8605,8764
1991-11-06,8728,9213
1991-11-07,8646,9347
1991-11-08,8523,9258
1991-11-09,8482,9123
1991-11-11,8564,9078
1991-11-12,8564,9168
1991-11-13,8605,9168
1991-11-14,8564,9213
1991-11-15,8564,9168
1991-11-16,8523,9168
1991-11-18,8482,9123
1991-11-19,8482,9078
1991-11-20,8440,9078
1991-11-21,8482,9032
1991-11-22,8646,9078
1991-11-23,8482,9258
1991-11-25,8400,9078
1991-11-26,8400,8988
1991-11-27,8482,8988
1991-11-28,8482,9078
1991-11-29,8400,9078
1991-11-30,8523,8988
1991-12-02,8400,9123
1991-12-03,8195,8988
1991-12-04,8032,8764
1991-12-05,8154,8585
1991-12-06,7908,8719
1991-12-07,7990,8449
1991-12-09,8154,8539
1991-12-10,8277,8719
1991-12-11,8400,8854
1991-12-12,8318,8988
1991-12-13,8154,8899
1991-12-14,8032,8719
1991-12-16,8032,8585
1991-12-17,7826,8585
1991-12-18,7826,8359
1991-12-19,7949,8359
1991-12-20,7745,8494
1991-12-21,7621,8271
1991-12-23,7949,8135
1991-12-24,7908,8494
1991-12-26,8032,8449
1992-01-03,8359,8585
1992-01-04,8440,8943
1992-01-06,8277,9032
1992-01-07,8113,8854
1992-01-08,8235,8674
1992-01-09,8072,8808
1992-01-10,7990,8629
1992-01-11,8032,8539
1992-01-13,8113,8585
1992-01-14,8072,8674
1992-01-15,8400,8629
1992-01-16,8810,8988
1992-01-17,8933,9437
1992-01-18,8810,9572
1992-01-20,8850,9437
1992-01-21,9261,9481
1992-01-22,9670,9931
1992-01-23,9875,10378
1992-01-24,10203,10601
1992-01-25,10080,10960
1992-01-27,9834,10825
1992-01-28,9589,10557
1992-01-29,9999,10289
1992-01-30,10407,10737
1992-01-31,10818,11182
1992-02-01,10448,11630
1992-02-06,10490,11227
1992-02-07,10407,11273
1992-02-08,10244,11182
1992-02-10,9957,11004
1992-02-11,10162,10691
1992-02-12,9875,10915
1992-02-13,9834,10601
1992-02-14,9589,10557
1992-02-15,9589,10289
1992-02-17,9589,10289
1992-02-18,9629,10289
1992-02-19,9506,10333
1992-02-20,9547,10198
1992-02-21,9957,10243
1992-02-22,9711,10691
1992-02-24,9589,10422
1992-02-25,9629,10289
1992-02-26,9629,10333
1992-02-27,9506,10333
1992-02-28,9465,10198
1992-02-29,9506,10154
1992-03-02,9547,10198
1992-03-03,9751,10243
1992-03-04,9506,10466
1992-03-05,9424,10198
1992-03-06,9383,10109
1992-03-07,9424,10064
1992-03-09,9343,10109
1992-03-11,9261,10020
1992-03-12,9302,9931
1992-03-13,9220,9975
1992-03-14,9098,9886
1992-03-16,9179,9752
1992-03-17,8933,9841
1992-03-18,9015,9572
1992-03-19,9056,9661
1992-03-20,9056,9706
1992-03-21,9179,9706
1992-03-23,8891,9841
1992-03-25,8891,9526
1992-03-26,9015,9526
1992-03-27,8933,9661
1992-03-28,8523,9572
1992-03-30,8605,9123
1992-03-31,8277,9213
1992-04-01,8154,8854
1992-04-02,8482,8719
1992-04-03,8154,9078
1992-04-04,8154,8719
1992-04-06,7949,8719
1992-04-07,7826,8494
1992-04-08,7745,8359
1992-04-09,7581,8271
1992-04-10,7704,8091
1992-04-11,7867,8226
1992-04-13,7663,8404
1992-04-14,7745,8181
1992-04-15,7867,8271
1992-04-16,7990,8404
1992-04-17,7949,8539
1992-04-18,7786,8494
1992-04-20,7908,8316
1992-04-21,7745,8449
1992-04-22,7581,8271
1992-04-23,7786,8091
1992-04-24,7786,8316
1992-04-25,8113,8316
1992-04-27,7826,8674
1992-04-28,7990,8359
1992-04-29,7908,8539
1992-04-30,8235,8449
1992-05-01,8113,8808
1992-05-02,8032,8674
1992-05-04,7786,8585
1992-05-06,7990,8316
1992-05-07,7826,8539
1992-05-08,7704,8359
1992-05-09,7621,8226
1992-05-11,7581,8135
1992-05-12,7581,8091
1992-05-13,7540,8091
1992-05-14,7581,8046
1992-05-15,7417,8091
1992-05-16,7294,7911
1992-05-18,7212,7776
1992-05-19,6966,7686
1992-05-20,6884,7416
1992-05-21,7130,7326
1992-05-22,6966,7596
1992-05-23,6884,7416
1992-05-25,6925,7326
1992-05-26,7252,7371
1992-05-27,7089,7730
1992-05-28,7006,7551
1992-05-29,7089,7460
1992-05-30,6966,7551
1992-06-01,6966,7416
1992-06-02,7048,7416
1992-06-03,7089,7506
1992-06-04,7130,7551
1992-06-05,7171,7596
1992-06-08,7089,7641
1992-06-09,7006,7551
1992-06-10,7048,7460
1992-06-11,6966,7506
1992-06-12,7294,7416
1992-06-13,7171,7776
1992-06-15,7252,7641
1992-06-16,7089,7730
1992-06-17,6925,7551
1992-06-18,6925,7371
1992-06-19,6802,7371
1992-06-20,6761,7236
1992-06-22,6761,7191
1992-06-23,6679,7191
1992-06-24,6556,7102
1992-06-25,6556,6967
1992-06-26,6638,6967
1992-06-27,6808,7057
1992-06-29,6681,7243
1992-06-30,6681,7104
1992-07-01,6681,7104
1992-07-02,6723,7104
1992-07-03,6723,7150
1992-07-04,6554,7150
1992-07-06,6427,6964
1992-07-07,6342,6825
1992-07-08,6173,6732
1992-07-09,6173,6546
1992-07-10,6046,6546
1992-07-11,5919,6407
1992-07-13,6173,6267
1992-07-14,6131,6546
1992-07-15,6216,6500
1992-07-16,6046,6593
1992-07-18,5962,6407
1992-07-20,6004,6314
1992-07-21,6131,6361
1992-07-22,5962,6500
1992-07-23,6004,6314
1992-07-24,6004,6361
1992-07-25,6004,6361
1992-07-27,6088,6361
1992-07-28,6046,6453
1992-07-29,6004,6407
1992-07-30,6004,6361
1992-07-31,5962,6361
1992-08-01,5919,6314
1992-08-03,5750,6267
1992-08-04,5581,6082
1992-08-05,5708,5896
1992-08-06,5623,6036
1992-08-07,5581,5942
1992-08-08,5791,5896
1992-08-10,5665,6127
1992-08-11,5665,5988
1992-08-12,5623,5988
1992-08-13,5411,5942
1992-08-14,5158,5709
1992-08-17,5073,5431
1992-08-18,5158,5338
1992-08-19,4904,5431
1992-08-20,4735,5152
1992-08-21,4946,4967
1992-08-22,5201,5199
1992-08-24,5454,5479
1992-08-25,5708,5757
1992-08-26,5791,6036
1992-08-27,5708,6127
1992-08-28,5962,6036
1992-08-29,6216,6314
1992-08-31,6173,6593
1992-09-01,6299,6546
1992-09-02,6216,6684
1992-09-03,5962,6593
1992-09-04,6088,6314
1992-09-05,6342,6453
1992-09-07,6681,6732
1992-09-08,6808,7104
1992-09-09,6595,7243
1992-09-14,6512,7009
1992-09-15,6595,6918
1992-09-16,6427,7009
1992-09-17,6258,6825
1992-09-18,6385,6639
1992-09-19,6131,6779
1992-09-21,6046,6500
1992-09-22,6216,6407
1992-09-23,6173,6593
1992-09-24,6173,6546
1992-09-25,6173,6546
1992-09-26,6088,6546
1992-09-28,5919,6453
1992-09-29,5877,6267
1992-09-30,5750,6221
1992-10-01,5835,6082
1992-10-02,5708,6175
1992-10-05,5750,6036
1992-10-06,5835,6082
1992-10-07,5835,6175
1992-10-08,5877,6175
1992-10-09,5919,6221
1992-10-10,5750,6267
1992-10-12,5750,6082
1992-10-13,5877,6082
1992-10-14,5791,6221
1992-10-15,5750,6127
1992-10-16,5962,6082
1992-10-17,6216,6314
1992-10-19,6258,6593
1992-10-20,6512,6639
1992-10-21,6512,6918
1992-10-22,6385,6918
1992-10-23,6173,6779
1992-10-24,6427,6546
1992-10-26,6342,6825
1992-10-27,6427,6732
1992-10-28,6765,6825
1992-10-29,6681,7196
1992-10-30,6765,7104
1992-10-31,7103,7196
1992-11-02,7103,7567
1992-11-03,7188,7567
1992-11-04,7145,7660
1992-11-05,7103,7613
1992-11-06,7441,7567
1992-11-07,7780,7937
1992-11-09,7483,8309
1992-11-10,7145,7983
1992-11-11,6849,7613
1992-11-12,6976,7288
1992-11-13,6723,7427
1992-11-14,6554,7150
1992-11-16,6765,6964
1992-11-17,6595,7196
1992-11-18,6681,7009
1992-11-19,6681,7104
1992-11-20,6849,7104
1992-11-21,7019,7288
1992-11-23,6976,7475
1992-11-24,6934,7427
1992-11-25,7103,7381
1992-11-26,6976,7567
1992-11-27,6849,7427
1992-11-28,6934,7288
1992-11-30,6765,7381
1992-12-01,6681,7196
1992-12-02,6638,7104
1992-12-03,6595,7057
1992-12-04,6342,7009
1992-12-05,6342,6732
1992-12-07,6554,6732
1992-12-08,6469,6964
1992-12-09,6638,6871
1992-12-10,6554,7057
1992-12-11,6595,6964
1992-12-12,6723,7009
1992-12-14,6554,7150
1992-12-15,6723,6964
1992-12-16,6723,7150
1992-12-17,6892,7150
1992-12-19,6934,7335
1992-12-21,6808,7381
1992-12-22,7103,7243
1992-12-23,7103,7567
1992-12-24,7145,7567
1992-12-26,6976,7613
1992-12-28,7325,7427
1993-01-04,7107,7810
1993-01-05,7151,7571
1993-01-06,7281,7619
1993-01-07,7543,7762
1993-01-08,7717,8049
1993-01-09,7586,8240
1993-01-11,7412,8096
1993-01-12,7325,7906
1993-01-13,7107,7810
1993-01-14,7151,7571
1993-01-15,7151,7619
1993-01-16,7195,7619
1993-01-18,7238,7668
1993-01-19,7325,7715
1993-01-20,7238,7810
1993-01-21,7412,7715
1993-01-25,7281,7906
1993-01-26,7151,7762
1993-01-27,7107,7619
1993-01-28,6976,7571
1993-01-29,7020,7427
1993-01-30,7063,7476
1993-02-01,7020,7523
1993-02-02,7063,7476
1993-02-03,7195,7523
1993-02-04,7020,7668
1993-02-05,7063,7476
1993-02-06,6976,7523
1993-02-08,6976,7427
1993-02-09,7020,7427
1993-02-10,6976,7476
1993-02-11,7020,7427
1993-02-12,7020,7476
1993-02-13,7063,7476
1993-02-15,6976,7523
1993-02-16,6889,7427
1993-02-17,6715,7332
1993-02-18,6715,7141
1993-02-19,6540,7141
1993-02-20,6845,6949
1993-02-22,6715,7284
1993-02-23,6627,7141
1993-02-24,6496,7044
1993-02-25,6366,6901
1993-02-26,6323,6758
1993-02-27,6191,6711
1993-03-02,6147,6566
1993-03-03,6017,6518
1993-03-04,5929,6375
1993-03-05,5843,6278
1993-03-06,6017,6184
1993-03-08,5929,6375
1993-03-09,5799,6278
1993-03-11,5929,6135
1993-03-12,6017,6278
1993-03-13,6060,6375
1993-03-15,6017,6422
1993-03-16,6278,6375
1993-03-17,6409,6661
1993-03-18,6453,6805
1993-03-19,6453,6853
1993-03-20,6278,6853
1993-03-22,6409,6661
1993-03-23,6409,6805
1993-03-24,6323,6805
1993-03-25,6235,6711
1993-03-26,6191,6614
1993-03-27,6191,6566
1993-03-29,6453,6566
1993-03-30,6496,6853
1993-03-31,6670,6901
1993-04-01,7020,7092
1993-04-02,7238,7476
1993-04-03,7238,7715
1993-04-06,7107,7715
1993-04-07,7063,7571
1993-04-08,7020,7523
1993-04-09,7151,7476
1993-04-10,7151,7619
1993-04-12,7456,7619
1993-04-13,7151,7954
1993-04-14,7325,7619
1993-04-15,7195,7810
1993-04-16,7500,7668
1993-04-17,7543,8002
1993-04-19,7586,8049
1993-04-20,7935,8096
1993-04-21,7979,8479
1993-04-22,7849,8527
1993-04-23,7717,8385
1993-04-24,7717,8240
1993-04-26,7762,8240
1993-04-27,7762,8289
1993-04-28,7674,8289
1993-04-29,7500,8193
1993-04-30,7500,8002
1993-05-01,7543,8002
1993-05-03,7500,8049
1993-05-04,7368,8002
1993-05-06,7281,7857
1993-05-07,7281,7762
1993-05-08,7325,7762
1993-05-10,7325,7810
1993-05-11,7412,7810
1993-05-12,7586,7906
1993-05-13,7586,8096
1993-05-14,7543,8096
1993-05-15,7586,8049
1993-05-17,7674,8096
1993-05-18,7674,8193
1993-05-19,7762,8193
1993-05-20,7674,8289
1993-05-21,7674,8193
1993-05-22,7717,8193
1993-05-24,7762,8240
1993-05-25,7674,8289
1993-05-26,7805,8193
1993-05-27,7892,8336
1993-05-29,7979,8432
1993-05-31,7849,8527
1993-06-01,7849,8385
1993-06-02,7762,8385
1993-06-03,7762,8289
1993-06-04,7631,8289
1993-06-05,7762,8146
1993-06-07,7674,8289
1993-06-08,8023,8193
1993-06-09,8197,8575
1993-06-10,8023,8766
1993-06-11,7892,8575
1993-06-12,7849,8432
1993-06-14,7849,8385
1993-06-15,7849,8385
