Date,Actual Closing Price,Forecast Closing Price
2016-11-18,34500,35147
2016-11-21,36900,33781
2016-11-22,35350,36120
2016-11-23,35400,34611
2016-11-24,34900,34660
2016-11-25,35000,34172
2016-11-28,34850,34269
2016-11-29,33450,34123
2016-11-30,34100,32755
2016-12-01,33400,33391
2016-12-02,34800,32707
2016-12-05,34900,34074
2016-12-06,34800,34172
2016-12-07,35600,34074
2016-12-08,36400,34855
2016-12-09,37050,35634
2016-12-12,36000,36266
2016-12-13,35550,35244
2016-12-14,35550,34806
2016-12-15,35900,34806
2016-12-16,35000,35147
2016-12-19,34800,34269
2016-12-20,34050,34074
2016-12-21,35000,33342
2016-12-22,35300,34269
2016-12-23,35000,34562
2016-12-26,35050,34269
2016-12-27,35600,34318
2016-12-28,35850,34855
2016-12-29,35400,35098
2017-01-02,34950,34660
2017-01-03,35600,34221
2017-01-04,36000,34855
2017-01-05,36450,35244
2017-01-06,36850,35682
2017-01-09,37000,36071
2017-01-10,36900,36217
2017-01-11,36050,36120
2017-01-12,36200,35293
2017-01-13,36550,35439
2017-01-16,36100,35780
2017-01-17,35250,35342
2017-01-18,34900,34513
2017-01-19,35650,34172
2017-01-20,34650,34903
2017-01-23,34400,33928
2017-01-24,34700,33684
2017-01-25,37450,33977
2017-01-26,37000,36654
2017-01-31,36750,36217
2017-02-01,36200,35974
2017-02-02,37250,35439
2017-02-03,37650,36460
2017-02-06,37900,36848
2017-02-07,37500,37091
2017-02-08,35850,36703
2017-02-09,36100,35098
2017-02-10,35500,35342
2017-02-13,35900,34757
2017-02-14,36850,35147
2017-02-15,35400,36071
2017-02-16,35650,34660
2017-02-17,35200,34903
2017-02-20,35250,34465
2017-02-21,35850,34513
2017-02-22,35650,35098
2017-02-23,35300,34903
2017-02-24,35900,34562
2017-02-27,36900,35147
2017-02-28,36300,36120
2017-03-02,35950,35536
2017-03-03,36050,35196
2017-03-06,36900,35293
2017-03-07,36500,36120
2017-03-08,36250,35731
2017-03-09,36650,35488
2017-03-10,36900,35877
2017-03-13,37150,36120
2017-03-14,37500,36363
2017-03-15,38600,36703
2017-03-16,40200,37768
2017-03-17,39850,39312
2017-03-20,38600,38975
2017-03-21,38000,37768
2017-03-22,38050,37187
2017-03-23,37650,37236
2017-03-24,36200,36848
2017-03-27,36350,35439
2017-03-28,36850,35585
2017-03-29,37100,36071
2017-03-30,36700,36314
2017-03-31,36350,35925
2017-04-03,35800,35585
2017-04-04,36850,35049
2017-04-05,37250,36071
2017-04-06,37450,36460
2017-04-07,36850,36654
2017-04-10,37700,36071
2017-04-11,37350,36897
2017-04-12,37450,36557
2017-04-13,36400,36654
2017-04-14,36350,35634
2017-04-17,36950,35585
2017-04-18,36150,36168
2017-04-19,37000,35390
2017-04-20,37450,36217
2017-04-21,37500,36654
2017-04-24,38650,36703
2017-04-25,39800,37817
2017-04-26,38800,38927
2017-04-27,39150,37962
2017-04-28,38800,38300
2017-05-02,38300,37962
2017-05-04,38200,37478
2017-05-08,39000,37381
2017-05-10,38600,38155
2017-05-11,38700,37768
2017-05-12,38700,37865
2017-05-15,38450,37865
2017-05-16,38800,37623
2017-05-17,36900,37962
2017-05-18,36850,36120
2017-05-19,36500,36071
2017-05-22,37200,35731
2017-05-23,37200,36411
2017-05-24,37600,36411
2017-05-25,37400,36800
2017-05-26,37150,36606
2017-05-29,36850,36363
2017-05-30,37300,36071
2017-05-31,36650,36508
2017-06-01,36150,35877
2017-06-02,36550,35390
2017-06-05,36650,35780
2017-06-07,36250,35877
2017-06-08,35950,35488
2017-06-09,36100,35196
2017-06-12,36300,35342
2017-06-13,37250,35536
2017-06-14,36300,36460
2017-06-15,35850,35536
2017-06-16,34650,35098
2017-06-19,35000,33928
2017-06-20,34650,34269
2017-06-21,35750,33928
2017-06-22,35200,35001
2017-06-23,35200,34465
2017-06-26,35750,34465
2017-06-27,35400,35001
2017-06-28,35700,34660
2017-06-29,35600,34952
2017-06-30,36100,34855
2017-07-03,35900,35342
2017-07-04,35400,35147
2017-07-05,35300,34660
2017-07-06,34750,34562
2017-07-07,35200,34025
2017-07-10,35900,34465
2017-07-11,35350,35147
2017-07-12,35300,34611
2017-07-13,35350,34562
2017-07-14,34850,34611
2017-07-17,34750,34123
2017-07-18,34650,34025
2017-07-19,34150,33928
2017-07-20,34600,33440
2017-07-21,34550,33879
2017-07-24,34450,33830
2017-07-25,35050,33733
2017-07-26,34550,34318
2017-07-27,34550,33830
2017-07-28,35400,33830
2017-07-31,35800,34660
2017-08-01,35600,35049
2017-08-02,36400,34855
2017-08-03,36750,35634
2017-08-04,38050,35974
2017-08-07,37900,37236
2017-08-08,37900,37091
2017-08-09,37900,37091
2017-08-10,37300,37091
2017-08-11,37050,36508
2017-08-14,37350,36266
2017-08-16,37100,36557
2017-08-17,36300,36314
2017-08-18,36050,35536
2017-08-21,36950,35293
2017-08-22,37150,36168
2017-08-23,35600,36363
2017-08-24,35450,34855
2017-08-25,35750,34708
2017-08-28,35950,35001
2017-08-29,36150,35196
2017-08-30,38150,35390
2017-08-31,37400,37333
2017-09-01,37200,36606
2017-09-04,37250,36411
2017-09-05,36600,36460
2017-09-06,36500,35828
2017-09-07,36550,35731
2017-09-08,36000,35780
2017-09-11,37200,35244
2017-09-12,35900,36411
2017-09-13,36550,35147
2017-09-14,36900,35780
2017-09-15,37050,36120
2017-09-18,37050,36266
2017-09-19,37500,36266
2017-09-20,37300,36703
2017-09-21,36900,36508
2017-09-22,36800,36120
2017-09-25,37150,36023
2017-09-26,36550,36363
2017-09-27,36600,35780
2017-09-28,36550,35828
2017-09-29,36400,35780
2017-10-10,36400,35634
2017-10-11,37400,35634
2017-10-12,37000,36606
2017-10-13,38200,36217
2017-10-16,37950,37381
2017-10-17,37300,37139
2017-10-18,37150,36508
2017-10-19,38200,36363
2017-10-20,37650,37381
2017-10-23,37500,36848
2017-10-24,36900,36703
2017-10-25,37150,36120
2017-10-26,36900,36363
2017-10-27,36900,36120
2017-10-30,36250,36120
2017-10-31,35200,35488
2017-11-01,36000,34465
2017-11-02,36450,35244
2017-11-03,35950,35682
2017-11-06,36050,35196
2017-11-07,36150,35293
2017-11-08,36150,35390
2017-11-09,35850,35390
2017-11-10,35300,35098
2017-11-13,34350,34562
2017-11-14,33750,33635
2017-11-15,33800,33049
2017-11-16,33450,33098
2017-11-17,33950,32755
2017-11-20,33950,33244
2017-11-21,33600,33244
2017-11-22,33750,32902
2017-11-23,34400,33049
2017-11-24,34150,33684
2017-11-27,34500,33440
2017-11-28,35150,33781
2017-11-29,35550,34416
2017-11-30,34550,34806
2017-12-01,35150,33830
2017-12-04,36850,34416
2017-12-05,35800,36071
2017-12-06,34700,35049
2017-12-07,34150,33977
2017-12-08,34150,33440
2017-12-11,34750,33440
2017-12-12,34600,34025
2017-12-13,34250,33879
2017-12-14,34100,33537
2017-12-15,34400,33391
2017-12-18,34100,33684
2017-12-19,34900,33391
2017-12-20,35550,34172
2017-12-21,35100,34806
2017-12-22,35500,34367
2017-12-26,35400,34757
2017-12-27,35800,34660
2017-12-28,36100,35049
2018-01-02,36250,35342
2018-01-03,35500,35488
2018-01-04,35750,34757
2018-01-05,35200,35001
2018-01-08,34500,34465
2018-01-09,35350,33781
2018-01-10,35750,34611
2018-01-11,36350,35001
2018-01-12,36050,35585
2018-01-15,36100,35293
2018-01-16,35200,35342
2018-01-17,35800,34465
2018-01-18,35650,35049
2018-01-19,35450,34903
2018-01-22,35650,34708
2018-01-23,35050,34903
2018-01-24,35750,34318
2018-01-25,36800,35001
2018-01-26,36900,36023
2018-01-29,36950,36120
2018-01-30,37000,36168
2018-01-31,36350,36217
2018-02-01,36050,35585
2018-02-02,35700,35293
2018-02-05,34800,34952
2018-02-06,34600,34074
2018-02-07,36300,33879
2018-02-08,36650,35536
2018-02-09,36100,35877
2018-02-12,34700,35342
2018-02-13,35300,33977
2018-02-14,35150,34562
2018-02-19,35350,34416
2018-02-20,35500,34611
2018-02-21,35000,34757
2018-02-22,34650,34269
2018-02-23,34200,33928
2018-02-26,34500,33488
2018-02-27,34000,33781
2018-02-28,33200,33293
2018-03-02,31950,32511
2018-03-05,32150,31288
2018-03-06,31600,31484
2018-03-07,31950,30945
2018-03-08,31750,31288
2018-03-09,31900,31092
2018-03-12,32250,31239
2018-03-13,32750,31582
2018-03-14,32350,32071
2018-03-15,33050,31679
2018-03-16,33100,32364
2018-03-19,32850,32413
2018-03-20,32150,32169
2018-03-21,32300,31484
2018-03-22,31600,31631
2018-03-23,31550,30945
2018-03-26,32000,30897
2018-03-27,31650,31337
2018-03-28,31550,30994
2018-03-29,31400,30897
2018-03-30,31000,30750
2018-04-02,30800,30358
2018-04-03,30700,30162
2018-04-04,30650,30065
2018-04-05,31250,30016
2018-04-06,31050,30603
2018-04-09,32200,30407
2018-04-10,31050,31533
2018-04-11,31250,30407
2018-04-12,31250,30603
2018-04-13,31400,30603
2018-04-16,31200,30750
2018-04-17,31300,30554
2018-04-18,32050,30652
2018-04-19,32300,31386
2018-04-20,32200,31631
2018-04-23,31700,31533
2018-04-24,31300,31043
2018-04-25,31650,30652
2018-04-26,31550,30994
2018-04-27,32600,30897
2018-04-30,32600,31924
2018-05-02,32250,31924
2018-05-03,31950,31582
2018-05-04,31800,31288
2018-05-08,32050,31141
2018-05-09,32050,31386
2018-05-10,32550,31386
2018-05-11,32400,31875
2018-05-14,32700,31728
2018-05-15,32500,32022
2018-05-16,32300,31826
2018-05-17,33200,31631
2018-05-18,33000,32511
2018-05-21,32500,32315
2018-05-23,33200,31826
2018-05-24,34100,32511
2018-05-25,34600,33391
2018-05-28,34200,33879
2018-05-29,32950,33488
2018-05-30,33900,32266
2018-05-31,33950,33195
2018-06-01,33800,33244
2018-06-04,34600,33098
2018-06-05,34300,33879
2018-06-07,34000,33586
2018-06-08,34200,33293
2018-06-11,33950,33488
2018-06-12,32300,33244
2018-06-14,31450,31631
2018-06-15,31150,30799
2018-06-18,30650,30505
2018-06-19,30650,30016
2018-06-20,31000,30016
2018-06-21,30950,30358
2018-06-22,32100,30309
2018-06-25,32250,31435
2018-06-26,31100,31582
2018-06-27,31000,30456
2018-06-28,32000,30358
2018-06-29,31100,31337
2018-07-02,31150,30456
2018-07-03,31650,30505
2018-07-04,30850,30994
2018-07-05,31400,30211
2018-07-06,31050,30750
2018-07-09,30850,30407
2018-07-10,30400,30211
2018-07-11,30150,29771
2018-07-12,30450,29526
2018-07-13,30700,29820
2018-07-16,30750,30065
2018-07-17,30200,30113
2018-07-18,30000,29575
2018-07-19,30250,29379
2018-07-20,30550,29624
2018-07-23,30850,29918
2018-07-24,30850,30211
2018-07-25,31400,30211
2018-07-26,32350,30750
2018-07-27,33200,31679
2018-07-30,33250,32511
2018-07-31,33200,32560
2018-08-01,32750,32511
2018-08-02,33100,32071
2018-08-03,33550,32413
2018-08-06,33700,32853
2018-08-07,33750,33000
2018-08-08,34000,33049
2018-08-09,33750,33293
2018-08-10,33650,33049
2018-08-13,34300,32951
2018-08-14,34450,33586
2018-08-16,34550,33733
2018-08-17,34600,33830
2018-08-20,34800,33879
2018-08-21,34600,34074
2018-08-22,35000,33879
2018-08-23,34850,34269
2018-08-24,34900,34123
2018-08-27,35500,34172
2018-08-28,34800,34757
2018-08-29,33650,34074
2018-08-30,35600,32951
2018-08-31,35650,34855
2018-09-03,34650,34903
2018-09-04,35650,33928
2018-09-05,35600,34903
2018-09-06,36000,34855
2018-09-07,36150,35244
2018-09-10,36400,35390
2018-09-11,36050,35634
2018-09-12,36600,35293
2018-09-13,36200,35828
2018-09-14,36650,35439
2018-09-17,36600,35877
2018-09-18,36700,35828
2018-09-19,37750,35925
2018-09-20,38550,36945
