Date,Actual Closing Price,Forecast Closing Price
2000-10-25,3283,4253
2000-10-26,3286,3664
2000-10-27,3309,3668
2000-10-30,3213,3692
2000-10-31,3328,3589
2000-11-01,3328,3712
2000-11-02,3343,3712
2000-11-03,3313,3728
2000-11-06,3252,3696
2000-11-07,3229,3631
2000-11-08,3186,3607
2000-11-09,3137,3561
2000-11-10,3083,3508
2000-11-13,3114,3450
2000-11-14,3114,3484
2000-11-15,3094,3484
2000-11-16,3030,3462
2000-11-17,2995,3394
2000-11-20,2930,3356
2000-11-21,3060,3287
2000-11-22,3034,3426
2000-11-23,3037,3398
2000-11-24,3018,3401
2000-11-27,3037,3381
2000-11-28,2999,3401
2000-11-29,3007,3361
2000-11-30,3037,3369
2000-12-01,2983,3401
2000-12-04,2983,3344
2000-12-05,2983,3344
2000-12-06,2907,3344
2000-12-07,2892,3262
2000-12-08,2907,3246
2000-12-11,2907,3262
2000-12-12,3343,3262
2000-12-13,3519,3728
2000-12-14,3362,3917
2000-12-15,3229,3749
2000-12-18,3183,3607
2000-12-19,2831,3557
2000-12-20,2968,3181
2000-12-21,2677,3328
2000-12-22,2892,3017
2000-12-26,2870,3246
2001-01-02,2796,3223
2001-01-03,2865,3144
2001-01-04,2946,3217
2001-01-05,3060,3304
2001-01-08,3266,3426
2001-01-09,3060,3646
2001-01-10,3060,3426
2001-01-11,3053,3426
2001-01-12,3041,3418
2001-01-15,3065,3406
2001-01-16,2946,3431
2001-01-17,3007,3304
2001-01-18,2907,3369
2001-01-19,2983,3262
2001-01-22,2946,3344
2001-01-26,2946,3304
2001-01-29,2946,3304
2001-01-30,2960,3304
2001-01-31,2954,3319
2001-02-01,2930,3313
2001-02-02,2804,3287
2001-02-05,2838,3152
2001-02-06,2831,3189
2001-02-07,2823,3181
2001-02-08,2843,3173
2001-02-09,2907,3194
2001-02-12,2899,3262
2001-02-13,2954,3254
2001-02-14,2960,3313
2001-02-15,2983,3319
2001-02-16,2991,3344
2001-02-19,3175,3352
2001-02-20,3289,3549
2001-02-21,3332,3671
2001-02-22,3262,3717
2001-02-23,3229,3642
2001-02-26,3289,3607
2001-02-27,3306,3671
2001-02-28,3297,3689
2001-03-02,3359,3679
2001-03-05,3367,3746
2001-03-06,3595,3754
2001-03-07,3818,3998
2001-03-08,3733,4237
2001-03-09,3595,4146
2001-03-12,3595,3998
2001-03-13,3722,3998
2001-03-14,3649,4134
2001-03-15,3710,4056
2001-03-16,3741,4121
2001-03-19,3733,4154
2001-03-20,3757,4146
2001-03-21,3825,4171
2001-03-22,3749,4244
2001-03-23,3749,4163
2001-03-26,3825,4163
2001-03-27,3786,4244
2001-03-28,3665,4202
2001-03-29,3634,4073
2001-03-30,3557,4040
2001-04-02,3313,3957
2001-04-03,3420,3696
2001-04-04,3512,3811
2001-04-06,3496,3909
2001-04-09,3496,3892
2001-04-10,3519,3892
2001-04-11,3515,3917
2001-04-12,3542,3912
2001-04-13,3519,3941
2001-04-16,3519,3917
2001-04-17,3557,3917
2001-04-18,3634,3957
2001-04-19,3702,4040
2001-04-20,3673,4113
2001-04-23,3710,4082
2001-04-24,3642,4121
2001-04-25,3656,4048
2001-04-26,3679,4063
2001-04-27,3710,4088
2001-04-30,3679,4121
2001-05-02,3679,4088
2001-05-03,3696,4088
2001-05-04,3665,4106
2001-05-07,3642,4073
2001-05-08,3702,4048
2001-05-09,3722,4113
2001-05-10,3719,4134
2001-05-11,3848,4131
2001-05-14,3955,4269
2001-05-15,3863,4383
2001-05-16,3856,4285
2001-05-17,3795,4277
2001-05-18,3902,4212
2001-05-21,3940,4327
2001-05-22,4529,4367
2001-05-23,5201,4998
2001-05-24,5401,5719
2001-05-25,6204,5933
2001-05-28,7130,6795
2001-05-29,6442,7790
2001-05-30,6847,7051
2001-05-31,6825,7486
2001-06-01,6679,7462
2001-06-04,6212,7306
2001-06-05,6350,6804
2001-06-07,6694,6952
2001-06-08,6702,7322
2001-06-11,6732,7330
2001-06-12,6656,7362
2001-06-13,6580,7281
2001-06-14,6671,7199
2001-06-15,7139,7297
2001-06-18,8186,7800
2001-06-19,8874,8927
2001-06-20,7995,9668
2001-06-21,8568,8721
2001-06-22,9831,9339
2001-06-25,8798,10701
2001-06-26,9716,9586
2001-06-27,9410,10577
2001-06-28,9180,10246
2001-06-29,9066,9998
2001-07-02,8760,9875
2001-07-03,8377,9546
2001-07-04,8874,9133
2001-07-05,8530,9668
2001-07-06,7804,9298
2001-07-09,7245,8516
2001-07-10,7268,7914
2001-07-11,7558,7939
2001-07-12,7015,8251
2001-07-13,7153,7667
2001-07-16,6977,7815
2001-07-18,7995,7626
2001-07-19,7804,8721
2001-07-20,7574,8516
2001-07-23,7260,8268
2001-07-24,7085,7930
2001-07-25,7108,7742
2001-07-26,7184,7767
2001-07-27,7322,7849
2001-07-30,7398,7997
2001-07-31,7574,8079
2001-08-01,8684,8268
2001-08-02,8416,9464
2001-08-03,8607,9175
2001-08-06,8644,9381
2001-08-07,8416,9421
2001-08-08,8416,9175
2001-08-09,8492,9175
2001-08-10,8684,9257
2001-08-13,8684,9464
2001-08-14,8568,9464
2001-08-16,9027,9339
2001-08-17,8684,9833
2001-08-20,8760,9464
2001-08-21,8644,9546
2001-08-22,8874,9421
2001-08-23,8836,9668
2001-08-24,9027,9627
2001-08-27,9180,9833
2001-08-28,8951,9998
2001-08-29,8644,9751
2001-08-30,7574,9421
2001-08-31,7344,8268
2001-09-03,7651,8021
2001-09-04,7459,8351
2001-09-05,7574,8144
2001-09-06,7619,8268
2001-09-07,7459,8317
2001-09-10,7038,8144
2001-09-11,5983,7692
2001-09-12,6197,6558
2001-09-13,5477,6788
2001-09-14,4659,6015
2001-09-17,5355,5137
2001-09-18,5814,5884
2001-09-19,5508,6376
2001-09-20,5440,6048
2001-09-21,5539,5975
2001-09-24,5378,6081
2001-09-25,5844,5908
2001-09-26,6013,6409
2001-09-27,5952,6590
2001-09-28,6212,6524
2001-10-04,6106,6804
2001-10-05,5898,6690
2001-10-08,5990,6466
2001-10-09,5661,6565
2001-10-10,5737,6212
2001-10-11,5760,6294
2001-10-12,5715,6318
2001-10-15,5807,6270
2001-10-16,6281,6369
2001-10-17,6113,6878
2001-10-18,6220,6697
2001-10-19,6281,6812
2001-10-22,6136,6878
2001-10-23,6060,6722
2001-10-24,6120,6640
2001-10-25,6113,6705
2001-10-26,6173,6697
2001-10-29,5891,6762
2001-10-30,5998,6459
2001-10-31,5975,6574
2001-11-01,5929,6549
2001-11-02,5998,6500
2001-11-05,6021,6574
2001-11-06,6120,6599
2001-11-07,6029,6705
2001-11-08,5975,6607
2001-11-09,5983,6549
2001-11-12,5867,6558
2001-11-13,6273,6433
2001-11-14,6106,6869
2001-11-15,6220,6690
2001-11-16,6886,6812
2001-11-19,6671,7528
2001-11-20,6702,7297
2001-11-21,6617,7330
2001-11-22,6610,7239
2001-11-23,6664,7231
2001-11-26,6732,7289
2001-11-27,6541,7362
2001-11-28,6656,7157
2001-11-29,6625,7281
2001-11-30,6947,7247
2001-12-03,7000,7594
2001-12-04,7192,7651
2001-12-05,7498,7857
2001-12-06,7436,8186
2001-12-07,7276,8120
2001-12-10,7076,7948
2001-12-11,7076,7732
2001-12-12,7268,7732
2001-12-13,7329,7939
2001-12-14,7229,8005
2001-12-17,7115,7897
2001-12-18,6770,7774
2001-12-19,7139,7403
2001-12-20,7076,7800
2001-12-21,7069,7732
2001-12-24,6993,7725
2001-12-26,7000,7643
2001-12-27,7192,7651
2001-12-28,7130,7857
2002-01-02,7000,7790
2002-01-03,6985,7651
2002-01-04,6977,7635
2002-01-07,7023,7626
2002-01-08,6939,7675
2002-01-09,6886,7585
2002-01-10,6886,7528
2002-01-11,6755,7528
2002-01-14,6479,7387
2002-01-15,6350,7091
2002-01-16,6335,6952
2002-01-17,6350,6936
2002-01-18,6396,6952
2002-01-21,6396,7001
2002-01-22,6779,7001
2002-01-23,6732,7413
2002-01-24,7076,7362
2002-01-25,7184,7732
2002-01-28,7153,7849
2002-01-29,6892,7815
2002-01-30,6793,7535
2002-01-31,6503,7428
2002-02-01,6426,7116
2002-02-04,6389,7034
2002-02-05,6473,6994
2002-02-06,6327,7084
2002-02-07,6465,6927
2002-02-08,6587,7076
2002-02-14,6725,7207
2002-02-15,6923,7355
2002-02-18,6740,7568
2002-02-19,6679,7371
2002-02-20,6617,7306
2002-02-21,6487,7239
2002-02-22,6970,7099
2002-02-25,6809,7618
2002-02-26,6816,7445
2002-02-27,6641,7453
2002-02-28,6886,7265
2002-03-04,7268,7528
2002-03-05,7498,7939
2002-03-06,7918,8186
2002-03-07,8033,8638
2002-03-08,7467,8762
2002-03-11,7589,8153
2002-03-12,7612,8284
2002-03-13,7451,8309
2002-03-14,7689,8136
2002-03-15,7881,8392
2002-03-18,8262,8599
2002-03-19,8110,9009
2002-03-20,8492,8845
2002-03-21,8262,9257
2002-03-22,7881,9009
2002-03-25,8416,8599
2002-03-26,8454,9175
2002-03-27,8262,9216
2002-03-28,8722,9009
2002-03-29,8874,9505
2002-04-01,9027,9668
2002-04-02,9526,9833
2002-04-03,9296,10372
2002-04-04,8722,10123
2002-04-08,8416,9505
2002-04-09,8530,9175
2002-04-10,9027,9298
2002-04-11,8990,9833
