Date,Actual Closing Price,Forecast Closing Price
1990-01-03,26500,38618
1990-01-04,26500,38541
1990-01-05,26800,38541
1990-01-06,27000,38772
1990-01-08,27000,38927
1990-01-09,26700,38927
1990-01-10,26700,38695
1990-01-11,26600,38695
1990-01-12,26500,38618
1990-01-13,26500,38541
1990-01-15,26500,38541
1990-01-16,26500,38541
1990-01-17,26500,38541
1990-01-18,26500,38541
1990-01-19,26500,38541
1990-01-20,26500,38541
1990-01-22,26500,38541
1990-01-23,26700,38541
1990-01-24,26800,38695
1990-01-25,26500,38772
1990-01-29,26600,38541
1990-01-30,26600,38618
1990-01-31,26600,38618
1990-02-01,26500,38618
1990-02-02,26500,38541
1990-02-03,26500,38541
1990-02-05,27500,38541
1990-02-06,27300,39314
1990-02-07,27300,39159
1990-02-08,27400,39159
1990-02-09,27300,39237
1990-02-10,27000,39159
1990-02-12,27000,38927
1990-02-13,27000,38927
1990-02-14,27000,38927
1990-02-15,27000,38927
1990-02-16,27200,38927
1990-02-17,26500,39082
1990-02-19,27000,38541
1990-02-20,27500,38927
1990-02-21,27300,39314
1990-02-22,27300,39159
1990-02-23,27000,39159
1990-02-24,26900,38927
1990-02-26,26500,38849
1990-02-27,26700,38541
1990-02-28,989,38695
1990-03-02,1001,22354
1990-03-03,993,22359
1990-03-05,997,22356
1990-03-06,1001,22358
1990-03-07,989,22359
1990-03-08,989,22354
1990-03-09,982,22354
1990-03-12,993,22350
1990-03-13,982,22356
1990-03-14,982,22350
1990-03-15,993,22350
1990-03-16,1001,22356
1990-03-17,1001,22359
1990-03-19,1008,22359
1990-03-20,1019,22363
1990-03-21,1019,22368
1990-03-22,1019,22368
1990-03-23,1019,22368
1990-03-24,1019,22368
1990-03-26,1019,22368
1990-03-27,1023,22368
1990-03-28,1023,22370
1990-03-29,1023,22370
1990-03-30,1038,22370
1990-03-31,1038,22377
1990-04-02,1001,22377
1990-04-03,1008,22359
1990-04-04,1001,22363
1990-04-06,1001,22359
1990-04-07,997,22359
1990-04-09,1001,22358
1990-04-10,1001,22359
1990-04-11,1001,22359
1990-04-12,1001,22359
1990-04-13,986,22359
1990-04-14,986,22352
1990-04-16,986,22352
1990-04-17,986,22352
1990-04-18,986,22352
1990-04-19,986,22352
1990-04-20,986,22352
1990-04-21,986,22352
1990-04-23,986,22352
1990-04-24,986,22352
1990-04-25,986,22352
1990-04-26,986,22352
1990-04-27,986,22352
1990-04-28,949,22352
1990-04-30,949,22334
1990-05-01,986,22334
1990-05-03,1001,22352
1990-05-04,1001,22359
1990-05-07,1001,22359
1990-05-08,1001,22359
1990-05-09,1001,22359
1990-05-10,997,22359
1990-05-11,986,22358
1990-05-12,986,22352
1990-05-14,971,22352
1990-05-15,971,22345
1990-05-16,971,22345
1990-05-17,964,22345
1990-05-18,964,22342
1990-05-19,997,22342
1990-05-21,964,22358
1990-05-22,964,22342
1990-05-23,982,22342
1990-05-24,978,22350
1990-05-25,971,22348
1990-05-26,971,22345
1990-05-28,971,22345
1990-05-29,967,22345
1990-05-30,967,22343
1990-05-31,1001,22343
1990-06-01,1001,22359
1990-06-02,1001,22359
1990-06-04,1001,22359
1990-06-05,1001,22359
1990-06-07,1001,22359
1990-06-08,1001,22359
1990-06-09,993,22359
1990-06-11,993,22356
1990-06-12,993,22356
1990-06-13,993,22356
1990-06-14,993,22356
1990-06-15,993,22356
1990-06-16,964,22356
1990-06-18,956,22342
1990-06-19,952,22338
1990-06-20,952,22336
1990-06-21,952,22336
1990-06-22,952,22336
1990-06-23,952,22336
1990-06-25,952,22336
1990-06-26,952,22336
1990-06-27,952,22336
1990-06-28,952,22336
1990-06-29,952,22336
1990-06-30,952,22336
1990-07-02,986,22336
1990-07-03,956,22352
1990-07-04,956,22338
1990-07-05,956,22338
1990-07-06,956,22338
1990-07-07,926,22338
1990-07-09,952,22323
1990-07-10,941,22336
1990-07-11,952,22331
1990-07-12,952,22336
1990-07-13,952,22336
1990-07-14,952,22336
1990-07-16,934,22336
1990-07-18,938,22327
1990-07-19,938,22329
1990-07-20,900,22329
1990-07-21,863,22311
1990-07-23,863,22293
1990-07-24,863,22293
1990-07-25,863,22293
1990-07-26,863,22293
1990-07-27,871,22293
1990-07-28,871,22297
1990-07-30,871,22297
1990-07-31,871,22297
1990-08-01,871,22297
1990-08-02,871,22297
1990-08-03,871,22297
1990-08-04,871,22297
1990-08-06,871,22297
1990-08-07,871,22297
1990-08-08,871,22297
1990-08-09,882,22297
1990-08-10,886,22302
1990-08-11,889,22304
1990-08-13,889,22306
1990-08-14,893,22306
1990-08-16,889,22308
1990-08-17,897,22306
1990-08-18,897,22310
1990-08-20,900,22310
1990-08-21,912,22311
1990-08-22,908,22317
1990-08-23,912,22315
1990-08-24,912,22317
1990-08-25,912,22317
1990-08-27,926,22317
1990-08-28,923,22323
1990-08-29,900,22322
1990-08-30,900,22311
1990-08-31,900,22311
1990-09-01,900,22311
1990-09-03,900,22311
1990-09-04,900,22311
1990-09-05,904,22311
1990-09-06,904,22313
1990-09-07,904,22313
1990-09-08,904,22313
1990-09-10,904,22313
1990-09-11,904,22313
1990-09-12,900,22313
1990-09-13,904,22311
1990-09-14,904,22313
1990-09-15,904,22313
1990-09-17,904,22313
1990-09-18,908,22313
1990-09-19,908,22315
1990-09-20,908,22315
1990-09-21,908,22315
1990-09-22,908,22315
1990-09-24,908,22315
1990-09-25,908,22315
1990-09-26,908,22315
1990-09-27,908,22315
1990-09-28,908,22315
1990-09-29,912,22315
1990-10-05,912,22317
1990-10-06,912,22317
1990-10-08,912,22317
1990-10-10,912,22317
1990-10-11,926,22317
1990-10-12,926,22323
1990-10-13,926,22323
1990-10-15,934,22323
1990-10-16,934,22327
1990-10-17,934,22327
1990-10-18,964,22327
1990-10-19,964,22342
1990-10-20,945,22342
1990-10-22,982,22333
1990-10-23,982,22350
1990-10-24,964,22350
1990-10-25,926,22342
1990-10-26,897,22323
1990-10-27,897,22310
1990-10-29,897,22310
1990-10-30,897,22310
1990-10-31,897,22310
1990-11-01,897,22310
1990-11-02,897,22310
1990-11-03,860,22310
1990-11-05,871,22292
1990-11-06,886,22297
1990-11-07,886,22304
1990-11-08,889,22304
1990-11-09,893,22306
1990-11-10,893,22308
1990-11-12,886,22308
1990-11-13,886,22304
1990-11-14,889,22304
1990-11-15,893,22306
1990-11-16,893,22308
1990-11-17,893,22308
1990-11-19,893,22308
1990-11-20,897,22308
1990-11-21,897,22310
1990-11-22,897,22310
1990-11-23,897,22310
1990-11-24,867,22310
1990-11-26,875,22295
