Date,Actual Closing Price,Forecast Closing Price
2011-05-13,4465,5956
2011-05-16,3796,5186
2011-05-17,3730,4524
2011-05-18,3280,4458
2011-05-19,3265,4014
2011-05-20,3270,3999
2011-05-23,3156,4004
2011-05-24,2938,3891
2011-05-25,2796,3676
2011-05-26,2801,3536
2011-05-27,2749,3541
2011-05-30,2692,3489
2011-05-31,2834,3433
2011-06-01,2877,3573
2011-06-02,2801,3616
2011-06-03,3071,3541
2011-06-07,3033,3807
2011-06-08,2938,3770
2011-06-09,2777,3676
2011-06-10,2635,3517
2011-06-13,2664,3377
2011-06-14,2697,3405
2011-06-15,2673,3438
2011-06-16,2607,3414
2011-06-17,2616,3349
2011-06-20,2616,3358
2011-06-21,2616,3358
2011-06-22,2611,3358
2011-06-23,2626,3353
2011-06-24,2645,3368
2011-06-27,2659,3387
2011-06-28,2616,3400
2011-06-29,2616,3358
2011-06-30,2583,3358
2011-07-01,2592,3325
2011-07-04,2578,3334
2011-07-05,2621,3321
2011-07-06,2588,3363
2011-07-07,2592,3330
2011-07-08,2654,3334
2011-07-11,2649,3396
2011-07-12,2664,3391
2011-07-13,2654,3405
2011-07-14,2948,3396
2011-07-15,3014,3686
2011-07-18,3033,3751
2011-07-19,2943,3770
2011-07-20,2967,3681
2011-07-21,2962,3704
2011-07-22,2815,3699
2011-07-25,2896,3554
2011-07-26,2844,3634
2011-07-27,2853,3583
2011-07-28,2787,3592
2011-07-29,2938,3527
2011-08-01,2853,3676
2011-08-02,2754,3592
2011-08-03,2716,3494
2011-08-04,2659,3457
2011-08-05,2465,3400
2011-08-08,2265,3209
2011-08-09,2213,3012
2011-08-10,2119,2961
2011-08-11,2123,2868
2011-08-12,2251,2872
2011-08-16,2299,2998
2011-08-17,2185,3045
2011-08-18,1896,2933
2011-08-19,1820,2648
2011-08-22,1896,2574
2011-08-23,1877,2648
2011-08-24,1934,2630
2011-08-25,1953,2686
2011-08-26,1957,2705
2011-08-29,2019,2708
2011-08-30,2085,2770
2011-08-31,2109,2835
2011-09-01,2085,2858
2011-09-02,2010,2835
2011-09-05,2019,2761
2011-09-06,2033,2770
2011-09-07,2024,2783
2011-09-08,2000,2774
2011-09-09,1938,2751
2011-09-14,1896,2690
2011-09-15,2066,2648
2011-09-16,2156,2816
2011-09-19,2147,2904
2011-09-20,2152,2896
2011-09-21,2066,2901
2011-09-22,1938,2816
2011-09-23,1848,2690
2011-09-26,1953,2601
2011-09-27,1943,2705
2011-09-28,2024,2695
2011-09-29,2071,2774
2011-09-30,1986,2821
2011-10-04,1934,2737
2011-10-05,1972,2686
2011-10-06,1967,2723
2011-10-07,1962,2718
2011-10-10,2005,2713
2011-10-11,2066,2756
2011-10-12,2171,2816
2011-10-13,2275,2919
2011-10-14,2308,3022
2011-10-17,2303,3054
2011-10-18,2299,3049
2011-10-19,2114,3045
2011-10-20,2209,2863
2011-10-21,2199,2957
2011-10-24,2180,2947
2011-10-25,2175,2928
2011-10-26,2228,2923
2011-10-27,2218,2975
2011-10-28,2232,2966
2011-10-31,2175,2979
2011-11-01,2156,2923
2011-11-02,2090,2904
2011-11-03,2128,2839
2011-11-04,2128,2877
2011-11-07,2090,2877
2011-11-08,2095,2839
2011-11-09,2033,2844
2011-11-10,2033,2783
2011-11-11,2071,2783
2011-11-14,2052,2821
2011-11-15,2047,2802
2011-11-16,2038,2797
2011-11-17,2076,2788
2011-11-18,2076,2826
2011-11-21,2057,2826
2011-11-22,2057,2807
2011-11-23,2033,2807
2011-11-24,2024,2783
2011-11-25,2047,2774
2011-11-28,2047,2797
2011-11-29,2010,2797
2011-11-30,2028,2761
2011-12-01,2024,2778
2011-12-02,2024,2774
2011-12-05,2014,2774
2011-12-06,2028,2765
2011-12-07,2047,2778
2011-12-08,2010,2797
2011-12-09,2010,2761
2011-12-12,2010,2761
2011-12-13,2175,2761
2011-12-14,2133,2923
2011-12-15,2223,2882
2011-12-16,2228,2971
2011-12-19,2265,2975
2011-12-20,2303,3012
2011-12-21,2408,3049
2011-12-22,2559,3153
2011-12-23,2555,3302
2011-12-26,2540,3298
2011-12-27,2507,3283
2011-12-28,2531,3251
2011-12-29,2540,3274
2012-01-02,2559,3283
2012-01-03,2697,3302
2012-01-04,2725,3438
2012-01-05,2749,3466
2012-01-06,2720,3489
2012-01-09,2683,3461
2012-01-10,2645,3424
2012-01-11,2720,3387
2012-01-12,2739,3461
2012-01-13,2701,3479
2012-01-16,2706,3442
2012-01-17,2716,3447
2012-01-18,2701,3457
2012-01-19,2706,3442
2012-01-20,2654,3447
2012-01-25,2664,3396
2012-01-26,2692,3405
2012-01-27,2687,3433
2012-01-30,2697,3428
2012-01-31,2659,3438
2012-02-01,2739,3400
2012-02-02,2735,3479
2012-02-03,2844,3475
2012-02-06,2863,3583
2012-02-07,2806,3602
2012-02-08,2815,3545
2012-02-09,2829,3554
2012-02-10,2810,3568
2012-02-13,2815,3549
2012-02-14,2801,3554
2012-02-15,2720,3541
2012-02-16,2697,3461
2012-02-17,2730,3438
2012-02-20,2730,3470
2012-02-21,2711,3470
2012-02-22,2616,3452
2012-02-23,2673,3358
2012-02-24,2664,3414
2012-02-27,2735,3405
2012-02-28,2744,3475
2012-02-29,2744,3484
2012-03-02,2739,3484
2012-03-05,2763,3479
2012-03-06,2796,3503
2012-03-07,2806,3536
2012-03-08,2815,3545
2012-03-09,2796,3554
2012-03-12,2825,3536
2012-03-13,2844,3564
2012-03-14,2848,3583
2012-03-15,2787,3587
2012-03-16,2773,3527
2012-03-19,2834,3513
2012-03-20,2844,3573
2012-03-21,2839,3583
2012-03-22,2834,3578
2012-03-23,2825,3573
2012-03-26,2820,3564
2012-03-27,2820,3559
2012-03-28,2763,3559
2012-03-29,2725,3503
2012-03-30,2725,3466
2012-04-02,2692,3466
2012-04-03,2692,3433
2012-04-04,2706,3433
2012-04-05,2701,3447
2012-04-06,2588,3442
2012-04-09,2640,3330
2012-04-10,2640,3382
2012-04-12,2687,3382
2012-04-13,2683,3428
2012-04-16,2683,3424
2012-04-17,2673,3424
2012-04-18,2621,3414
2012-04-19,2621,3363
2012-04-20,2611,3363
2012-04-23,2588,3353
2012-04-24,2521,3330
2012-04-25,2583,3264
2012-04-26,2607,3325
2012-04-27,2569,3349
2012-04-30,2569,3312
2012-05-02,2559,3312
2012-05-03,2649,3302
2012-05-04,2611,3391
2012-05-07,2635,3353
2012-05-08,2526,3377
2012-05-09,2517,3269
2012-05-10,2441,3260
2012-05-11,2441,3185
2012-05-14,2384,3185
2012-05-15,2332,3129
2012-05-16,2332,3078
2012-05-17,2313,3078
2012-05-18,2327,3059
2012-05-21,2360,3073
2012-05-22,2346,3106
2012-05-23,2346,3092
2012-05-24,2351,3092
2012-05-25,2370,3097
2012-05-29,2370,3115
2012-05-30,2303,3115
2012-05-31,2337,3049
2012-06-01,2275,3083
2012-06-04,2294,3022
2012-06-05,2356,3040
2012-06-07,2313,3102
2012-06-08,2294,3059
2012-06-11,2265,3040
2012-06-12,2270,3012
2012-06-13,2289,3017
2012-06-14,2313,3036
2012-06-15,2289,3059
2012-06-18,2313,3036
2012-06-19,2318,3059
2012-06-20,2299,3064
2012-06-21,2275,3045
2012-06-22,2280,3022
2012-06-25,2284,3027
