Date,Actual Closing Price,Forecast Closing Price
1990-01-03,31200,19268
1990-01-04,30600,19605
1990-01-05,30300,19316
1990-01-06,30400,19171
1990-01-08,30300,19220
1990-01-09,30000,19171
1990-01-10,30000,19025
1990-01-11,29700,19025
1990-01-12,29200,18879
1990-01-13,28900,18633
1990-01-15,28900,18485
1990-01-16,28500,18485
1990-01-17,28300,18287
1990-01-18,27900,18187
1990-01-19,28000,17987
1990-01-20,29000,18037
1990-01-22,28500,18535
1990-01-23,28800,18287
1990-01-24,28900,18436
1990-01-25,28500,18485
1990-01-29,28100,18287
1990-01-30,28400,18087
1990-01-31,28000,18237
1990-02-01,27800,18037
1990-02-02,27900,17937
1990-02-03,28000,17987
1990-02-05,28000,18037
1990-02-06,27700,18037
1990-02-07,27500,17887
1990-02-08,27300,17786
1990-02-09,27100,17685
1990-02-10,26600,17584
1990-02-12,26400,17330
1990-02-13,26800,17228
1990-02-14,26600,17432
1990-02-15,26300,17330
1990-02-16,26100,17177
1990-02-17,25500,17074
1990-02-19,25200,16766
1990-02-20,25000,16610
1990-02-21,24900,16507
1990-02-22,24900,16455
1990-02-23,24700,16455
1990-02-24,24500,16350
1990-02-26,25500,16246
1990-02-27,26500,16766
1990-02-28,16445,17279
1990-03-02,16923,11887
1990-03-03,16325,12152
1990-03-05,16027,11820
1990-03-06,15548,11655
1990-03-07,15667,11388
1990-03-08,15906,11454
1990-03-09,16027,11587
1990-03-12,15847,11655
1990-03-13,15667,11554
1990-03-14,15548,11454
1990-03-15,15607,11388
1990-03-16,15308,11421
1990-03-17,15308,11254
1990-03-19,15308,11254
1990-03-20,15548,11254
1990-03-21,15488,11388
1990-03-22,15308,11354
1990-03-23,15189,11254
1990-03-24,15189,11188
1990-03-26,14950,11188
1990-03-27,14830,11054
1990-03-28,15128,10987
1990-03-29,14471,11154
1990-03-30,14232,10787
1990-03-31,14351,10653
1990-04-02,14113,10720
1990-04-03,13754,10587
1990-04-04,14053,10386
1990-04-06,13574,10553
1990-04-07,13574,10285
1990-04-09,13455,10285
1990-04-10,13455,10219
1990-04-11,13335,10219
1990-04-12,13335,10152
1990-04-13,13156,10152
1990-04-14,12857,10051
1990-04-16,13455,9884
1990-04-17,13036,10219
1990-04-18,12977,9984
1990-04-19,13096,9951
1990-04-20,13275,10018
1990-04-21,13156,10118
1990-04-23,13036,10051
1990-04-24,12797,9984
1990-04-25,12198,9850
1990-04-26,12737,9515
1990-04-27,12140,9817
1990-04-28,11541,9483
1990-04-30,12020,9147
1990-05-01,12617,9415
1990-05-03,13216,9750
1990-05-04,13754,10085
1990-05-07,14053,10386
1990-05-08,13873,10553
1990-05-09,13455,10453
1990-05-10,13335,10219
1990-05-11,13036,10152
1990-05-12,12917,9984
1990-05-14,12917,9918
1990-05-15,13515,9918
1990-05-16,13694,10252
1990-05-17,13395,10353
1990-05-18,13335,10185
1990-05-19,13395,10152
1990-05-21,13635,10185
1990-05-22,13754,10320
