Date,Actual Closing Price,Forecast Closing Price
1990-01-03,45700,46880
1990-01-04,44200,47065
1990-01-05,44500,45682
1990-01-06,44500,45958
1990-01-08,44200,45958
1990-01-09,43900,45682
1990-01-10,43200,45405
1990-01-11,43300,44762
1990-01-12,42600,44854
1990-01-13,42000,44212
1990-01-15,42000,43662
1990-01-16,41200,43662
1990-01-17,41500,42930
1990-01-18,41100,43204
1990-01-19,42500,42839
1990-01-20,43500,44120
1990-01-22,42600,45038
1990-01-23,42900,44212
1990-01-24,43000,44487
1990-01-25,42700,44578
1990-01-29,42000,44303
1990-01-30,42500,43662
1990-01-31,42000,44120
1990-02-01,41500,43662
1990-02-02,41700,43204
1990-02-03,41500,43387
1990-02-05,42500,43204
1990-02-06,42000,44120
1990-02-07,43000,43662
1990-02-08,42700,44578
1990-02-09,42000,44303
1990-02-10,42200,43662
1990-02-12,41900,43845
1990-02-13,42100,43570
1990-02-14,43700,43753
1990-02-15,44400,45222
1990-02-16,43900,45866
1990-02-17,45000,45405
1990-02-19,45000,46419
1990-02-20,44700,46419
1990-02-21,44700,46142
1990-02-22,44500,46142
1990-02-23,44100,45958
1990-02-24,43400,45589
1990-02-26,44500,44946
1990-02-27,43900,45958
1990-02-28,21127,45405
1990-03-02,20889,25067
1990-03-03,20794,24861
1990-03-05,20604,24779
1990-03-06,20652,24615
1990-03-07,20699,24656
1990-03-08,20604,24697
1990-03-09,20462,24615
1990-03-12,20177,24492
1990-03-13,20130,24246
1990-03-14,19940,24206
1990-03-15,20177,24042
1990-03-16,20177,24246
1990-03-17,20557,24246
1990-03-19,21269,24574
1990-03-20,21269,25189
1990-03-21,21364,25189
1990-03-22,21032,25272
1990-03-23,21079,24985
1990-03-24,20984,25025
1990-03-26,21079,24943
1990-03-27,21032,25025
1990-03-28,21222,24985
1990-03-29,21981,25149
1990-03-30,22219,25806
1990-03-31,22124,26012
1990-04-02,22124,25930
1990-04-03,21744,25930
1990-04-04,21459,25601
1990-04-06,21412,25354
1990-04-07,21459,25313
1990-04-09,21317,25354
1990-04-10,21507,25231
1990-04-11,21364,25395
1990-04-12,21364,25272
1990-04-13,21079,25272
1990-04-14,20842,25025
1990-04-16,21127,24820
1990-04-17,20984,25067
1990-04-18,20699,24943
1990-04-19,20367,24697
1990-04-20,20462,24410
1990-04-21,20367,24492
1990-04-23,20177,24410
1990-04-24,20082,24246
1990-04-25,19323,24165
1990-04-26,19370,23511
1990-04-27,18610,23552
1990-04-28,17993,22899
1990-04-30,18231,22370
1990-05-01,18848,22574
1990-05-03,19465,23103
1990-05-04,19465,23633
1990-05-07,19038,23633
1990-05-08,19180,23266
1990-05-09,18753,23388
1990-05-10,18610,23021
1990-05-11,18326,22899
1990-05-12,17803,22655
1990-05-14,17661,22207
1990-05-15,18278,22086
1990-05-16,18610,22614
1990-05-17,18943,22899
1990-05-18,19180,23185
1990-05-19,19275,23388
1990-05-21,19275,23470
1990-05-22,19512,23470
1990-05-23,19702,23674
1990-05-24,19845,23837
1990-05-25,19797,23960
1990-05-26,19797,23919
1990-05-28,19892,23919
1990-05-29,19892,24001
1990-05-30,19892,24001
1990-05-31,20652,24001
1990-06-01,21364,24656
1990-06-02,21174,25272
1990-06-04,20937,25107
1990-06-05,20842,24902
1990-06-07,20889,24820
1990-06-08,20699,24861
1990-06-09,18515,24697
1990-06-11,18515,22817
1990-06-12,18563,22817
1990-06-13,18326,22858
1990-06-14,18421,22655
1990-06-15,18515,22737
1990-06-16,17946,22817
1990-06-18,17946,22330
1990-06-19,18088,22330
1990-06-20,18136,22451
1990-06-21,18231,22492
1990-06-22,18326,22574
1990-06-23,18231,22655
1990-06-25,17993,22574
1990-06-26,17993,22370
1990-06-27,17993,22370
1990-06-28,17803,22370
1990-06-29,17566,22207
1990-06-30,17708,22005
1990-07-02,18326,22126
1990-07-03,18231,22655
1990-07-04,17803,22574
1990-07-05,17613,22207
1990-07-06,17708,22045
1990-07-07,17851,22126
1990-07-09,17851,22248
1990-07-10,17566,22248
1990-07-11,17613,22005
1990-07-12,17091,22045
1990-07-13,17281,21599
1990-07-14,17091,21761
1990-07-16,17329,21599
1990-07-18,17044,21802
1990-07-19,17044,21559
1990-07-20,16949,21559
1990-07-21,16569,21477
1990-07-23,16426,21153
1990-07-24,16569,21031
1990-07-25,16142,21153
1990-07-26,15667,20790
1990-07-27,15809,20386
1990-07-28,15809,20506
1990-07-30,15857,20506
1990-07-31,16284,20547
1990-08-01,16284,20911
