Date,Actual Closing Price,Forecast Closing Price
2014-11-14,338500,299389
2014-11-17,366000,308896
2014-11-18,371000,332321
2014-11-19,398000,336522
2014-11-20,400000,358867
2014-11-21,404000,360499
2014-11-24,428000,363751
2014-11-25,410500,382964
2014-11-26,378000,369005
2014-11-27,347000,342371
2014-11-28,343500,316191
2014-12-01,353000,313193
2014-12-02,357000,321312
2014-12-03,355500,324712
2014-12-04,349500,323438
2014-12-05,334000,318328
2014-12-08,321000,305015
2014-12-09,325500,293737
2014-12-10,320000,297652
2014-12-11,309000,292866
2014-12-12,299500,283246
2014-12-15,286500,274890
2014-12-16,290000,263394
2014-12-17,280500,266496
2014-12-18,287500,258067
2014-12-19,281500,264281
2014-12-22,283000,258956
2014-12-23,283000,260288
2014-12-24,283500,260288
2014-12-26,295000,260732
2014-12-29,293500,270918
2014-12-30,318000,269592
2015-01-02,310000,291121
2015-01-05,294000,284123
2015-01-06,290500,270034
2015-01-07,294000,266938
2015-01-08,300500,270034
2015-01-09,289000,275771
2015-01-12,264000,265610
2015-01-13,264000,243362
2015-01-14,267500,243362
2015-01-15,264000,246487
2015-01-16,257500,243362
2015-01-19,249000,237550
2015-01-20,229500,229938
2015-01-21,227500,212444
2015-01-22,238500,210648
2015-01-23,236500,220522
2015-01-26,242000,218727
2015-01-27,271000,223662
2015-01-28,268000,249609
2015-01-29,264500,246933
2015-01-30,254000,243808
2015-02-02,255500,234417
2015-02-03,261500,235760
2015-02-04,260000,241127
2015-02-05,255000,239786
2015-02-06,246000,235312
2015-02-09,238500,227249
2015-02-10,244500,220522
2015-02-11,237500,225904
2015-02-12,242000,219625
2015-02-13,256500,223662
2015-02-16,255000,236655
2015-02-17,257000,235312
2015-02-23,268000,237102
2015-02-24,276000,246933
2015-02-25,279500,254064
2015-02-26,289500,257178
2015-02-27,286000,266053
2015-03-02,285000,262951
2015-03-03,283500,262063
2015-03-04,287500,260732
2015-03-05,292500,264281
2015-03-06,297000,268708
2015-03-09,299500,272684
2015-03-10,277000,274890
2015-03-11,279500,254954
2015-03-12,270000,257178
2015-03-13,260000,248718
2015-03-16,279000,239786
2015-03-17,277500,256733
2015-03-18,281000,255399
2015-03-19,279000,258511
2015-03-20,270000,256733
2015-03-23,269000,248718
2015-03-24,268500,247826
2015-03-25,266000,247379
2015-03-26,271000,245148
2015-03-27,272000,249609
2015-03-30,267500,250501
2015-03-31,263500,246487
2015-04-01,260500,242915
2015-04-02,265000,240233
2015-04-03,261000,244255
2015-04-06,263500,240680
2015-04-07,258000,242915
2015-04-08,257500,237997
2015-04-09,260000,237550
2015-04-10,254500,239786
2015-04-13,256000,234865
2015-04-14,269500,236208
2015-04-15,274000,248272
2015-04-16,269000,252283
2015-04-17,273000,247826
2015-04-20,273000,251392
2015-04-21,267000,251392
2015-04-22,275500,246041
2015-04-23,267500,253619
2015-04-24,265500,246487
2015-04-27,266500,244701
2015-04-28,266000,245594
2015-04-29,256000,245148
2015-04-30,251000,236208
2015-05-04,241500,231730
2015-05-06,245000,223213
2015-05-07,252500,226352
2015-05-08,255500,233074
2015-05-11,254000,235760
2015-05-12,262000,234417
2015-05-13,266000,241574
2015-05-14,271500,245148
2015-05-15,270000,250055
2015-05-18,267500,248718
2015-05-19,268500,246487
2015-05-20,261000,247379
2015-05-21,265000,240680
2015-05-22,283500,244255
2015-05-26,301000,260732
2015-05-27,329000,276212
2015-05-28,335000,300689
2015-05-29,311500,305879
2015-06-01,319000,285437
2015-06-02,306500,291994
2015-06-03,284000,281051
2015-06-04,273000,261176
2015-06-05,275000,251392
2015-06-08,270000,253174
2015-06-09,261500,248718
2015-06-10,268500,241127
2015-06-11,269500,247379
2015-06-12,263000,248272
2015-06-15,261000,242468
2015-06-16,254500,240680
2015-06-17,258500,234865
2015-06-18,259000,238445
2015-06-19,256500,238892
2015-06-22,260500,236655
2015-06-23,258500,240233
2015-06-24,256500,238445
2015-06-25,253500,236655
2015-06-26,249500,233969
2015-06-29,259500,230386
2015-06-30,263500,239339
2015-07-01,262000,242915
2015-07-02,258000,241574
2015-07-03,251000,237997
2015-07-06,253500,231730
2015-07-07,252500,233969
2015-07-08,252000,233074
2015-07-09,252000,232626
2015-07-10,254500,232626
2015-07-13,259000,234865
2015-07-14,262000,238892
2015-07-15,286500,241574
2015-07-16,282000,263394
2015-07-17,293000,259400
2015-07-20,296000,269150
2015-07-21,296000,271802
2015-07-22,293000,271802
2015-07-23,282000,269150
2015-07-24,283500,259400
2015-07-27,280000,260732
2015-07-28,287000,257623
2015-07-29,289000,263837
2015-07-30,293000,265610
2015-07-31,296500,269150
2015-08-03,294500,272243
2015-08-04,280000,270476
2015-08-05,275000,257623
2015-08-06,278500,253174
2015-08-07,264000,256289
2015-08-10,258000,243362
2015-08-11,259500,237997
2015-08-12,264500,239339
2015-08-13,266500,243808
2015-08-17,263500,245594
2015-08-18,251500,242915
2015-08-19,245500,232178
2015-08-20,242500,226801
2015-08-21,242500,224110
2015-08-24,240500,224110
2015-08-25,252000,222316
2015-08-26,252500,232626
2015-08-27,257000,233074
2015-08-28,256500,237102
2015-08-31,257000,236655
2015-09-01,253000,237102
2015-09-02,250500,233522
2015-09-03,257500,231282
2015-09-04,272500,237550
2015-09-07,278000,250947
2015-09-08,274500,255844
2015-09-09,281000,252728
2015-09-10,269000,258511
2015-09-11,279000,247826
2015-09-14,281000,256733
2015-09-15,284000,258511
2015-09-16,284500,261176
2015-09-17,285500,261620
2015-09-18,285000,262507
2015-09-21,279500,262063
2015-09-22,277500,257178
2015-09-23,276500,255399
2015-09-24,276500,254509
