Date,Actual Closing Price,Forecast Closing Price
2014-12-18,129500,107860
2014-12-19,134500,122529
2014-12-22,135000,126986
2014-12-23,133000,127431
2014-12-24,135500,125649
2014-12-26,149000,127877
2014-12-29,158000,139890
2014-12-30,171000,147858
2015-01-02,145500,159263
2015-01-05,138500,136781
2015-01-06,135500,130550
2015-01-07,135000,127877
2015-01-08,150000,127431
2015-01-09,147500,140778
2015-01-12,138000,138558
2015-01-13,137000,130105
2015-01-14,140500,129214
2015-01-15,136000,132332
2015-01-16,131000,128323
2015-01-19,131500,123866
2015-01-20,124000,124312
2015-01-21,124000,117631
2015-01-22,131000,117631
2015-01-23,129500,123866
2015-01-26,135000,122529
2015-01-27,140000,127431
2015-01-28,137500,131886
2015-01-29,136000,129659
2015-01-30,135000,128323
2015-02-02,138500,127431
2015-02-03,137500,130550
2015-02-04,136000,129659
2015-02-05,138500,128323
2015-02-06,138500,130550
2015-02-09,136500,130550
2015-02-10,140000,128768
2015-02-11,139000,131886
2015-02-12,147500,130996
2015-02-13,151500,138558
2015-02-16,147000,142108
2015-02-17,149000,138114
2015-02-23,155000,139890
2015-02-24,156000,145208
2015-02-25,158000,146092
2015-02-26,162000,147858
2015-02-27,159000,151382
2015-03-02,155000,148740
2015-03-03,155500,145208
2015-03-04,155000,145650
2015-03-05,159000,145208
2015-03-06,164500,148740
2015-03-09,165000,153579
2015-03-10,161000,154017
2015-03-11,156500,150503
2015-03-12,157500,146534
2015-03-13,153000,147417
2015-03-16,162000,143437
2015-03-17,152000,151382
2015-03-18,154500,142551
2015-03-19,155000,144765
2015-03-20,151000,145208
2015-03-23,150000,141665
2015-03-24,154500,140778
2015-03-25,149500,144765
2015-03-26,147500,140334
2015-03-27,151500,138558
2015-03-30,149500,142108
2015-03-31,146500,140334
2015-04-01,140500,137670
2015-04-02,141500,132332
2015-04-03,140000,133222
2015-04-06,141500,131886
2015-04-07,140000,133222
2015-04-08,138500,131886
2015-04-09,137500,130550
2015-04-10,138500,129659
2015-04-13,140500,130550
2015-04-14,154500,132332
2015-04-15,158000,144765
2015-04-16,154500,147858
2015-04-17,159500,144765
2015-04-20,162500,149181
2015-04-21,158500,151822
2015-04-22,179000,148299
2015-04-23,169500,166198
2015-04-24,166000,157955
2015-04-27,167000,154894
2015-04-28,166500,155770
2015-04-29,158500,155332
2015-04-30,161000,148299
2015-05-04,159500,150503
2015-05-06,142500,149181
2015-05-07,143500,134112
2015-05-08,141500,135002
2015-05-11,143000,133222
2015-05-12,150000,134557
2015-05-13,149000,140778
2015-05-14,156500,139890
2015-05-15,157000,146534
2015-05-18,157500,146975
2015-05-19,161000,147417
2015-05-20,161500,150503
2015-05-21,163500,150943
2015-05-22,188000,152701
2015-05-26,190500,173906
2015-05-27,186000,176027
2015-05-28,192000,172202
2015-05-29,188500,177296
2015-06-01,186000,174331
2015-06-02,182000,172202
2015-06-03,191000,168779
2015-06-04,197000,176451
2015-06-05,183500,181500
2015-06-08,182500,170065
2015-06-09,178500,169208
2015-06-10,180000,165766
2015-06-11,182000,167059
2015-06-12,169000,168779
2015-06-15,169000,157518
2015-06-16,174500,157518
2015-06-17,171500,162306
2015-06-18,174500,159698
2015-06-19,172000,162306
2015-06-22,181500,160133
2015-06-23,174500,168349
2015-06-24,173500,162306
2015-06-25,173500,161437
2015-06-26,174500,161437
2015-06-29,177500,162306
2015-06-30,181000,164903
2015-07-01,180000,167920
2015-07-02,183000,167059
2015-07-03,177000,169637
2015-07-06,177000,164471
2015-07-07,173000,164471
2015-07-08,174500,161003
2015-07-09,178000,162306
2015-07-10,182500,165335
2015-07-13,180000,169208
2015-07-14,183500,167059
2015-07-15,194000,170065
2015-07-16,179000,178982
2015-07-17,175000,166198
2015-07-20,171500,162739
2015-07-21,176000,159698
2015-07-22,172500,163606
2015-07-23,169500,160568
2015-07-24,169500,157955
2015-07-27,167000,157955
2015-07-28,169500,155770
2015-07-29,165000,157955
2015-07-30,167500,154017
2015-07-31,168000,156207
2015-08-03,171000,156644
2015-08-04,168000,159263
2015-08-05,161000,156644
2015-08-06,153500,150503
2015-08-07,150500,143880
2015-08-10,150500,141222
2015-08-11,145500,141222
2015-08-12,146000,136781
2015-08-13,145500,137225
2015-08-17,141500,136781
2015-08-18,134000,133222
2015-08-19,138000,126540
2015-08-20,136500,130105
2015-08-21,131000,128768
2015-08-24,134000,123866
2015-08-25,147000,126540
2015-08-26,157000,138114
2015-08-27,165500,146975
2015-08-28,178000,154456
2015-08-31,170000,165335
2015-09-01,173500,158391
2015-09-02,165500,161437
2015-09-03,162000,154456
2015-09-04,161000,151382
2015-09-07,164500,150503
2015-09-08,165000,153579
2015-09-09,170000,154017
2015-09-10,163500,158391
2015-09-11,158500,152701
2015-09-14,163000,148299
2015-09-15,164500,152262
2015-09-16,160000,153579
2015-09-17,159500,149622
2015-09-18,157500,149181
2015-09-21,154500,147417
2015-09-22,146500,144765
2015-09-23,147000,137670
2015-09-24,147000,138114
2015-09-25,146500,138114
2015-09-30,153500,137670
2015-10-01,151000,143880
2015-10-02,152000,141665
2015-10-05,151000,142551
2015-10-06,158000,141665
2015-10-07,158500,147858
2015-10-08,159000,148299
2015-10-12,160000,148740
2015-10-13,158000,149622
2015-10-14,159500,147858
2015-10-15,159500,149181
2015-10-16,157500,149181
2015-10-19,156500,147417
2015-10-20,159000,146534
2015-10-21,157500,148740
2015-10-22,159000,147417
2015-10-23,156000,148740
2015-10-26,158000,146092
2015-10-27,154000,147858
2015-10-28,156000,144323
2015-10-29,155000,146092
2015-10-30,155500,145208
2015-11-02,156000,145650
2015-11-03,153500,146092
2015-11-04,149500,143880
2015-11-05,147500,140334
2015-11-06,147000,138558
2015-11-09,145500,138114
2015-11-10,143500,136781
2015-11-11,142500,135002
2015-11-12,139000,134112
2015-11-13,135000,130996
2015-11-16,136500,127431
2015-11-17,141500,128768
2015-11-18,142500,133222
2015-11-19,141000,134112
2015-11-20,151500,132777
2015-11-23,152000,142108
2015-11-24,152500,142551
2015-11-25,154000,142994
2015-11-26,152000,144323
2015-11-27,146000,142551
2015-11-30,150500,137225
2015-12-01,150000,141222
2015-12-02,147000,140778
2015-12-03,144500,138114
2015-12-04,143500,135892
2015-12-07,143000,135002
2015-12-08,144500,134557
2015-12-09,145500,135892
2015-12-10,147000,136781
2015-12-11,144000,138114
2015-12-14,146500,135447
2015-12-15,146500,137670
2015-12-16,145500,137670
2015-12-17,147500,136781
2015-12-18,146000,138558
2015-12-21,148500,137225
2015-12-22,147500,139447
2015-12-23,145500,138558
2015-12-24,138500,136781
2015-12-28,142000,130550
2015-12-29,140000,133667
2015-12-30,140000,131886
2016-01-04,140000,131886
2016-01-05,144000,131886
2016-01-06,143000,135447
2016-01-07,142000,134557
2016-01-08,140000,133667
2016-01-11,139500,131886
2016-01-12,140500,131441
2016-01-13,139000,132332
2016-01-14,136000,130996
2016-01-15,144000,128323
2016-01-18,148500,135447
2016-01-19,148000,139447
2016-01-20,149000,139003
2016-01-21,153000,139890
2016-01-22,150000,143437
2016-01-25,142000,140778
2016-01-26,141000,133667
2016-01-27,144000,132777
2016-01-28,149000,135447
2016-01-29,151000,139890
2016-02-01,150500,141665
2016-02-02,146500,141222
2016-02-03,153000,137670
2016-02-04,152000,143437
2016-02-05,146500,142551
2016-02-11,143000,137670
2016-02-12,148000,134557
2016-02-15,148500,139003
2016-02-16,146000,139447
2016-02-17,154500,137225
2016-02-18,153000,144765
2016-02-19,152500,143437
2016-02-22,152500,142994
2016-02-23,152000,142994
2016-02-24,153000,142551
2016-02-25,157000,143437
2016-02-26,154500,146975
2016-02-29,154500,144765
2016-03-02,154500,144765
2016-03-03,154000,144765
2016-03-04,152500,144323
2016-03-07,150000,142994
2016-03-08,151000,140778
2016-03-09,147500,141665
2016-03-10,150500,138558
2016-03-11,149000,141222
2016-03-14,149500,139890
2016-03-15,148500,140334
2016-03-16,149000,139447
2016-03-17,147000,139890
2016-03-18,145500,138114
2016-03-21,146500,136781
2016-03-22,145500,137670
2016-03-23,144000,136781
2016-03-24,143000,135447
2016-03-25,145000,134557
2016-03-28,145000,136336
2016-03-29,144000,136336
2016-03-30,143000,135447
2016-03-31,140000,134557
2016-04-01,139500,131886
2016-04-04,139500,131441
2016-04-05,137000,131441
2016-04-06,137000,129214
2016-04-07,138500,129214
2016-04-08,137500,130550
2016-04-11,140000,129659
2016-04-12,140000,131886
2016-04-14,142500,131886
2016-04-15,140000,134112
2016-04-18,140500,131886
2016-04-19,139000,132332
2016-04-20,138000,130996
2016-04-21,139000,130105
2016-04-22,137000,130996
2016-04-25,138000,129214
2016-04-26,134000,130105
2016-04-27,132000,126540
2016-04-28,131000,124758
2016-04-29,128000,123866
2016-05-02,128000,121193
2016-05-03,128500,121193
2016-05-04,126000,121638
2016-05-09,126000,119411
2016-05-10,127500,119411
2016-05-11,125500,120747
2016-05-12,126500,118966
2016-05-13,125500,119857
2016-05-16,125500,118966
2016-05-17,122500,118966
2016-05-18,117000,116296
2016-05-19,120000,111407
2016-05-20,120500,114072
2016-05-23,117000,114517
2016-05-24,118000,111407
2016-05-25,117000,112295
2016-05-26,120000,111407
2016-05-27,120500,114072
2016-05-30,120000,114517
2016-05-31,119000,114072
2016-06-01,114000,113184
2016-06-02,122000,108746
2016-06-03,125500,115851
2016-06-07,124500,118966
2016-06-08,123000,118076
2016-06-09,124500,116741
2016-06-10,121000,118076
2016-06-13,118000,114961
2016-06-14,116000,112295
2016-06-15,115500,110520
2016-06-16,119500,110076
2016-06-17,122000,113628
2016-06-20,121500,115851
2016-06-21,122000,115406
2016-06-22,122000,115851
2016-06-23,116000,115851
2016-06-24,114500,110520
2016-06-27,116000,109189
2016-06-28,117500,110520
2016-06-29,123000,111851
2016-06-30,123000,116741
2016-07-01,123500,116741
2016-07-04,127000,117186
2016-07-05,124000,120302
2016-07-06,128000,117631
2016-07-07,126000,121193
2016-07-08,129500,119411
2016-07-11,132000,122529
2016-07-12,131500,124758
2016-07-13,131500,124312
2016-07-14,133000,124312
2016-07-15,133000,125649
2016-07-18,135000,125649
2016-07-19,134500,127431
2016-07-20,133000,126986
2016-07-21,133500,125649
2016-07-22,133500,126094
2016-07-25,135500,126094
2016-07-26,137500,127877
2016-07-27,138000,129659
2016-07-28,135500,130105
2016-07-29,135500,127877
2016-08-01,135500,127877
2016-08-02,134500,127877
2016-08-03,136500,126986
2016-08-04,139500,128768
2016-08-05,143000,131441
2016-08-08,142500,134557
2016-08-09,142000,134112
2016-08-10,143500,133667
2016-08-11,143000,135002
2016-08-12,144000,134557
2016-08-16,142000,135447
2016-08-17,148500,133667
2016-08-18,152500,139447
2016-08-19,152500,142994
2016-08-22,151500,142994
2016-08-23,148000,142108
2016-08-24,151000,139003
2016-08-25,149500,141665
2016-08-26,148500,140334
2016-08-29,152500,139447
2016-08-30,151500,142994
2016-08-31,150500,142108
2016-09-01,151000,141222
2016-09-02,152500,141665
2016-09-05,152000,142994
2016-09-06,150500,142551
2016-09-07,148500,141222
2016-09-08,146000,139447
2016-09-09,141500,137225
2016-09-12,146000,133222
2016-09-13,144500,137225
2016-09-19,146000,135892
2016-09-20,146500,137225
2016-09-21,147000,137670
2016-09-22,146000,138114
2016-09-23,144000,137225
2016-09-26,145500,135447
2016-09-27,145500,136781
2016-09-28,148500,136781
2016-09-29,149000,139447
2016-09-30,150500,139890
2016-10-04,152000,141222
2016-10-05,164000,142551
2016-10-06,165500,153140
2016-10-07,162000,154456
2016-10-10,155500,151382
2016-10-11,161500,145650
2016-10-12,161500,150943
2016-10-13,163500,150943
2016-10-14,163000,152701
2016-10-17,163500,152262
2016-10-18,164500,152701
2016-10-19,161500,153579
2016-10-20,160500,150943
2016-10-21,167500,150062
2016-10-24,169000,156207
2016-10-25,166000,157518
2016-10-26,164000,154894
2016-10-27,165000,153140
2016-10-28,161500,154017
2016-10-31,157000,150943
2016-11-01,154000,146975
2016-11-02,152000,144323
2016-11-03,147500,142551
2016-11-04,150500,138558
2016-11-07,150500,141222
2016-11-08,144500,141222
2016-11-09,150000,135892
2016-11-10,146500,140778
2016-11-11,145000,137670
2016-11-14,143500,136336
2016-11-15,144000,135002
2016-11-16,141500,135447
2016-11-17,138500,133222
2016-11-18,141500,130550
2016-11-21,140500,133222
2016-11-22,136500,132332
2016-11-23,131500,128768
2016-11-24,134000,124312
2016-11-25,139000,126540
2016-11-28,127000,130996
2016-11-29,128000,120302
2016-11-30,128000,121193
