Date,Actual Closing Price,Forecast Closing Price
2016-11-10,159610,110961
2016-11-11,173446,127492
2016-11-14,164057,140837
2016-11-15,168010,131769
2016-11-16,165540,135581
2016-11-17,166034,133198
2016-11-18,167022,133674
2016-11-21,168999,134627
2016-11-22,164057,136536
2016-11-23,153680,131769
2016-11-24,160104,121805
2016-11-25,159610,127966
2016-11-28,155163,127492
2016-11-29,152198,123225
2016-11-30,142809,120387
2016-12-01,140338,111431
2016-12-02,140338,109082
2016-12-05,144291,109082
2016-12-06,148739,112841
2016-12-07,148739,117081
2016-12-08,143303,117081
2016-12-09,141326,111901
2016-12-12,143797,110021
2016-12-13,141821,112371
2016-12-14,140832,110491
2016-12-15,142809,109551
2016-12-16,148244,111431
2016-12-19,149727,116609
2016-12-20,146268,118025
2016-12-21,142315,114724
2016-12-22,142315,110961
2016-12-23,142315,110961
2016-12-26,143797,110961
2016-12-27,150221,112371
2016-12-28,149233,118497
2016-12-29,154668,117553
2017-01-02,156151,122751
2017-01-03,152692,124172
2017-01-04,155657,120859
2017-01-05,155657,123698
2017-01-06,152692,123698
2017-01-09,149233,120859
2017-01-10,157139,117553
2017-01-11,155163,125120
2017-01-12,151209,123225
2017-01-13,149727,119441
2017-01-16,150221,118025
2017-01-17,151209,118497
2017-01-18,150715,119441
2017-01-19,153186,118969
2017-01-20,153680,121332
2017-01-23,153186,121805
2017-01-24,153186,121332
2017-01-25,159116,121332
2017-01-26,159116,127017
2017-01-31,161092,127017
2017-02-01,169493,128916
2017-02-02,170975,137013
2017-02-03,166528,138446
2017-02-06,169493,134151
2017-02-07,161092,137013
2017-02-08,159116,128916
2017-02-09,156151,127017
2017-02-10,156151,124172
2017-02-13,154668,124172
2017-02-14,158622,122751
2017-02-15,157139,126543
2017-02-16,158622,125120
2017-02-17,159116,126543
2017-02-20,163563,127017
2017-02-21,163069,131293
2017-02-22,166034,130818
2017-02-23,163563,133674
2017-02-24,164551,131293
2017-02-27,162575,132245
2017-02-28,159610,130342
2017-03-02,160104,127492
2017-03-03,162575,127966
2017-03-06,166034,130342
2017-03-07,168010,133674
2017-03-08,166034,135581
2017-03-09,168999,133674
2017-03-10,170975,136536
2017-03-13,168999,138446
2017-03-14,171469,136536
2017-03-15,174434,138923
2017-03-16,178388,141794
2017-03-17,185306,145629
2017-03-20,190741,152360
2017-03-21,185800,157666
2017-03-22,184811,152841
2017-03-23,185306,151877
2017-03-24,179870,152360
2017-03-27,182835,147069
2017-03-28,181352,149953
2017-03-29,174928,148510
2017-03-30,170975,142272
2017-03-31,173940,138446
2017-04-03,175423,141315
2017-04-04,179870,142752
2017-04-05,178882,147069
2017-04-06,175917,146109
2017-04-07,171469,143231
2017-04-10,174928,138923
2017-04-11,177893,142272
2017-04-12,177399,145148
2017-04-13,176905,144669
