Date,Actual Closing Price,Forecast Closing Price
2010-05-12,115500,107568
2010-05-13,114000,108878
2010-05-14,107500,107568
2010-05-17,110000,101843
2010-05-18,109500,104054
2010-05-19,107500,103612
2010-05-20,102500,101843
2010-05-24,98000,97398
2010-05-25,110000,93377
2010-05-26,109000,104054
2010-05-27,108000,103171
2010-05-28,109000,102286
2010-05-31,106000,103171
2010-06-01,104000,100513
2010-06-03,103000,98734
2010-06-04,102000,97844
2010-06-07,102500,96952
2010-06-08,102000,97398
2010-06-09,102500,96952
2010-06-10,103000,97398
2010-06-11,101000,97844
2010-06-14,100500,96059
2010-06-15,100500,95612
2010-06-16,100500,95612
2010-06-17,101500,95612
2010-06-18,100500,96505
2010-06-21,100500,95612
2010-06-22,100500,95612
2010-06-23,100500,95612
2010-06-24,106500,95612
2010-06-25,106500,100957
2010-06-28,105000,100957
2010-06-29,103500,99624
2010-06-30,104000,98289
2010-07-01,102500,98734
2010-07-02,104000,97398
2010-07-05,103000,98734
2010-07-06,105000,97844
2010-07-07,105000,99624
2010-07-08,106500,99624
2010-07-09,108500,100957
2010-07-12,107500,102729
2010-07-13,107000,101843
2010-07-14,105500,101400
2010-07-15,107500,100069
2010-07-16,106000,101843
2010-07-19,107000,100513
2010-07-20,106500,101400
2010-07-21,105000,100957
2010-07-22,105500,99624
2010-07-23,106000,100069
2010-07-26,106000,100513
2010-07-27,107500,100513
2010-07-28,109000,101843
2010-07-29,110000,103171
2010-07-30,114000,104054
2010-08-02,114500,107568
2010-08-03,112500,108005
2010-08-04,112500,106254
2010-08-05,113000,106254
2010-08-06,114500,106692
2010-08-09,112500,108005
2010-08-10,111500,106254
2010-08-11,109500,105375
2010-08-12,112500,103612
2010-08-13,110500,106254
2010-08-16,111500,104495
2010-08-17,110500,105375
2010-08-18,109000,104495
2010-08-19,109000,103171
2010-08-20,107500,103171
2010-08-23,108000,101843
2010-08-24,107500,102286
2010-08-25,108500,101843
2010-08-26,107500,102729
2010-08-27,110000,101843
2010-08-30,109000,104054
2010-08-31,110000,103171
2010-09-01,109000,104054
2010-09-02,111000,103171
2010-09-03,114000,104935
2010-09-06,113500,107568
2010-09-07,113500,107130
2010-09-08,111000,107130
2010-09-09,109500,104935
2010-09-10,108000,103612
2010-09-13,107500,102286
2010-09-14,108000,101843
2010-09-15,108000,102286
2010-09-16,110000,102286
2010-09-17,108500,104054
2010-09-20,107000,102729
2010-09-24,105000,101400
2010-09-27,104000,99624
2010-09-28,103500,98734
2010-09-29,104000,98289
2010-09-30,106000,98734
2010-10-01,106500,100513
2010-10-04,105500,100957
2010-10-05,106000,100069
2010-10-06,105000,100513
2010-10-07,106000,99624
2010-10-08,107000,100513
2010-10-11,106500,101400
2010-10-12,106500,100957
2010-10-13,104500,100957
2010-10-14,102500,99179
2010-10-15,102500,97398
2010-10-18,102500,97398
2010-10-19,103000,97398
2010-10-20,103000,97844
2010-10-21,103000,97844
2010-10-22,102500,97844
2010-10-25,103000,97398
2010-10-26,102000,97844
2010-10-27,101500,96952
2010-10-28,100500,96505
2010-10-29,101500,95612
2010-11-01,101000,96505
2010-11-02,102500,96059
2010-11-03,103000,97398
2010-11-04,104000,97844
2010-11-05,104000,98734
2010-11-08,103500,98734
2010-11-09,103000,98289
2010-11-10,101000,97844
2010-11-11,101500,96059
2010-11-12,102500,96505
2010-11-15,101000,97398
2010-11-16,100000,96059
2010-11-17,100500,95166
2010-11-18,100500,95612
2010-11-19,100500,95612
2010-11-22,100500,95612
2010-11-23,99600,95612
2010-11-24,99200,94808
2010-11-25,98400,94450
2010-11-26,97200,93735
2010-11-29,97700,92661
2010-11-30,98800,93108
2010-12-01,98600,94093
2010-12-02,99000,93914
2010-12-03,100000,94272
2010-12-06,100500,95166
2010-12-07,99700,95612
2010-12-08,100500,94897
2010-12-09,100000,95612
2010-12-10,100500,95166
2010-12-13,100500,95612
2010-12-14,100000,95612
2010-12-15,99900,95166
2010-12-16,99100,95076
2010-12-17,98500,94361
2010-12-20,100500,93824
2010-12-21,99300,95612
2010-12-22,99500,94540
2010-12-23,99200,94719
2010-12-24,102500,94450
2010-12-27,103000,97398
2010-12-28,102000,97844
2010-12-29,102500,96952
2010-12-30,104000,97398
2011-01-03,104000,98734
2011-01-04,103500,98734
2011-01-05,105000,98289
2011-01-06,107000,99624
2011-01-07,110000,101400
2011-01-10,109000,104054
2011-01-11,105500,103171
2011-01-12,106000,100069
2011-01-13,109500,100513
2011-01-14,109500,103612
2011-01-17,109000,103612
2011-01-18,110000,103171
2011-01-19,110500,104054
2011-01-20,108000,104495
2011-01-21,107000,102286
2011-01-24,107000,101400
2011-01-25,106500,101400
2011-01-26,106000,100957
2011-01-27,104500,100513
2011-01-28,103000,99179
2011-01-31,105500,97844
2011-02-01,107500,100069
2011-02-07,108500,101843
2011-02-08,106500,102729
2011-02-09,106000,100957
2011-02-10,103000,100513
2011-02-11,107500,97844
2011-02-14,107500,101843
2011-02-15,108500,101843
2011-02-16,112000,102729
2011-02-17,112500,105815
2011-02-18,110000,106254
2011-02-21,109000,104054
2011-02-22,110000,103171
2011-02-23,108500,104054
2011-02-24,108000,102729
2011-02-25,106500,102286
2011-02-28,105000,100957
2011-03-02,108500,99624
2011-03-03,109500,102729
2011-03-04,107000,103612
2011-03-07,109500,101400
2011-03-08,108500,103612
2011-03-09,106000,102729
2011-03-10,106500,100513
2011-03-11,104000,100957
2011-03-14,100500,98734
2011-03-15,102000,95612
2011-03-16,101500,96952
2011-03-17,104000,96505
2011-03-18,102500,98734
2011-03-21,102000,97398
2011-03-22,101000,96952
2011-03-23,101500,96059
2011-03-24,103000,96505
2011-03-25,102500,97844
2011-03-28,103000,97398
2011-03-29,101500,97844
2011-03-30,103000,96505
2011-03-31,103000,97844
2011-04-01,102500,97844
2011-04-04,103500,97398
2011-04-05,101500,98289
2011-04-06,101500,96505
2011-04-07,100500,96505
2011-04-08,99900,95612
2011-04-11,99300,95076
2011-04-12,100500,94540
2011-04-13,100500,95612
2011-04-14,99600,95612
2011-04-15,98100,94808
2011-04-18,98000,93466
2011-04-19,101000,93377
2011-04-20,99000,96059
2011-04-21,99600,94272
2011-04-22,99000,94808
2011-04-25,98900,94272
2011-04-26,98400,94182
2011-04-27,97900,93735
2011-04-28,97100,93287
2011-04-29,98300,92571
2011-05-02,97900,93645
2011-05-03,98300,93287
2011-05-04,97800,93645
2011-05-06,97800,93198
2011-05-09,98200,93198
2011-05-11,98000,93556
2011-05-12,98100,93377
2011-05-13,97000,93466
2011-05-16,96300,92482
2011-05-17,96700,91855
2011-05-18,95200,92213
2011-05-19,95700,90870
2011-05-20,94100,91318
2011-05-23,92200,89884
2011-05-24,89300,88182
2011-05-25,89600,85586
2011-05-26,89000,85854
2011-05-27,88300,85317
2011-05-30,89800,84691
2011-05-31,91600,86033
2011-06-01,91400,87645
2011-06-02,92500,87466
2011-06-03,93200,88451
2011-06-07,92700,89078
2011-06-08,92800,88630
2011-06-09,94300,88720
2011-06-10,94500,90064
2011-06-13,94900,90243
2011-06-14,92800,90601
2011-06-15,91300,88720
2011-06-16,91300,87376
2011-06-17,92500,87376
2011-06-20,93400,88451
2011-06-21,94500,89257
2011-06-22,96800,90243
2011-06-23,96300,92303
2011-06-24,96400,91855
2011-06-27,93700,91945
2011-06-28,93800,89526
2011-06-29,95000,89616
2011-06-30,94900,90691
2011-07-01,95100,90601
2011-07-04,96500,90780
2011-07-05,97000,92034
2011-07-06,98500,92482
2011-07-07,97200,93824
2011-07-08,97600,92661
2011-07-11,95900,93019
2011-07-12,95700,91497
2011-07-13,94800,91318
2011-07-14,95400,90511
2011-07-15,98300,91049
2011-07-18,98400,93645
2011-07-19,98500,93735
2011-07-20,98200,93824
2011-07-21,99400,93556
2011-07-22,99100,94629
2011-07-25,100000,94361
2011-07-26,99500,95166
2011-07-27,99900,94719
2011-07-28,99800,95076
2011-07-29,101000,94987
2011-08-01,99500,96059
2011-08-02,98100,94719
2011-08-03,97000,93466
2011-08-04,95500,92482
2011-08-05,91100,91139
2011-08-08,84900,87197
2011-08-09,84500,81654
2011-08-10,84500,81298
2011-08-11,85200,81298
2011-08-12,86700,81922
2011-08-16,88200,83261
2011-08-17,87200,84602
2011-08-18,85600,83708
2011-08-19,86800,82279
2011-08-22,87100,83350
2011-08-23,85200,83618
2011-08-24,84100,81922
2011-08-25,84000,80941
2011-08-26,84000,80852
2011-08-29,84200,80852
2011-08-30,85000,81030
2011-08-31,89700,81743
2011-09-01,92000,85944
2011-09-02,90000,88003
2011-09-05,89500,86212
2011-09-06,90300,85765
2011-09-07,88500,86481
2011-09-08,88600,84870
2011-09-09,88200,84960
2011-09-14,90100,84602
2011-09-15,92100,86302
2011-09-16,92900,88093
