Date,Actual Closing Price,Forecast Closing Price
1996-12-24,13040,7477
1996-12-26,13040,7477
1996-12-27,12985,7477
1997-01-03,12762,7469
1997-01-04,11761,7438
1997-01-06,10844,7303
1997-01-07,10566,7183
1997-01-08,11400,7148
1997-01-09,12290,7255
1997-01-10,13263,7374
1997-01-11,14320,7508
1997-01-13,14431,7659
1997-01-14,14625,7675
1997-01-15,15793,7704
1997-01-16,15849,7879
1997-01-17,16127,7888
1997-01-18,16321,7930
1997-01-20,15042,7961
1997-01-21,15432,7765
1997-01-22,15154,7824
1997-01-23,15154,7782
1997-01-24,15571,7782
1997-01-25,15237,7845
1997-01-27,15042,7795
1997-01-28,14792,7765
1997-01-29,15960,7728
1997-01-30,16405,7905
1997-01-31,15849,7974
1997-02-01,15571,7888
1997-02-03,16266,7845
1997-02-04,16405,7952
1997-02-05,16405,7974
1997-02-06,16043,7974
1997-02-10,15821,7917
1997-02-11,15765,7883
1997-02-12,15765,7875
1997-02-13,16015,7875
1997-02-14,16683,7913
1997-02-15,16822,8017
1997-02-17,16377,8040
1997-02-18,16071,7969
1997-02-19,15598,7922
1997-02-20,14375,7849
1997-02-21,14097,7667
1997-02-22,13764,7627
1997-02-24,13903,7579
1997-02-25,13374,7599
1997-02-26,13457,7524
1997-02-27,13764,7535
1997-02-28,13735,7579
1997-03-03,13485,7575
1997-03-04,13068,7539
1997-03-05,13764,7481
1997-03-06,13263,7579
1997-03-07,13124,7508
1997-03-08,12540,7489
1997-03-10,12651,7408
1997-03-11,12929,7423
1997-03-12,12651,7462
1997-03-13,12095,7423
1997-03-14,11817,7348
1997-03-15,12762,7311
1997-03-17,12957,7438
1997-03-18,12762,7465
1997-03-19,12623,7438
1997-03-20,12123,7419
1997-03-21,11956,7351
1997-03-22,11289,7329
1997-03-24,11817,7241
1997-03-25,11817,7311
1997-03-26,11872,7311
1997-03-27,12039,7318
1997-03-28,12178,7340
1997-03-29,12178,7359
1997-03-31,11956,7359
1997-04-01,12095,7329
1997-04-02,11956,7348
1997-04-03,11956,7329
1997-04-04,12345,7329
1997-04-07,12234,7381
1997-04-08,12290,7366
1997-04-09,12345,7374
1997-04-10,12345,7381
1997-04-11,12651,7381
1997-04-12,12651,7423
1997-04-14,12373,7423
1997-04-15,12373,7385
1997-04-16,12234,7385
1997-04-17,12095,7366
1997-04-18,12234,7348
1997-04-19,12345,7366
1997-04-21,12067,7381
1997-04-22,12234,7344
1997-04-23,11984,7366
1997-04-24,12012,7333
1997-04-25,11817,7337
1997-04-26,12373,7311
1997-04-28,12401,7385
1997-04-29,12123,7389
