Date,Actual Closing Price,Forecast Closing Price
1990-01-03,44500,42070
1990-01-04,42900,42070
1990-01-05,43000,40488
1990-01-06,42500,40587
1990-01-08,42900,40091
1990-01-09,42500,40488
1990-01-10,42000,40091
1990-01-11,41800,39596
1990-01-12,41200,39397
1990-01-13,40200,38802
1990-01-15,40500,37808
1990-01-16,40000,38106
1990-01-17,40100,37609
1990-01-18,39300,37708
1990-01-19,40300,36912
1990-01-20,41500,37907
1990-01-22,41500,39099
1990-01-23,41900,39099
1990-01-24,41700,39496
1990-01-25,40800,39298
1990-01-29,40500,38404
1990-01-30,41800,38106
1990-01-31,41000,39397
1990-02-01,40700,38603
1990-02-02,40300,38305
1990-02-03,40700,37907
1990-02-05,41800,38305
1990-02-06,41800,39397
1990-02-07,42500,39397
1990-02-08,42100,40091
1990-02-09,41800,39695
1990-02-10,41700,39397
1990-02-12,41500,39298
1990-02-13,41400,39099
1990-02-14,43000,39000
1990-02-15,43300,40587
1990-02-16,42800,40884
1990-02-17,43500,40389
1990-02-19,43600,41082
1990-02-20,43400,41181
1990-02-21,43400,40983
1990-02-22,43200,40983
1990-02-23,43000,40785
1990-02-24,42000,40587
1990-02-26,43200,39596
1990-02-27,42800,40785
1990-02-28,18518,40389
1990-03-02,18303,15967
1990-03-03,18174,15749
1990-03-05,18303,15618
1990-03-06,18174,15749
1990-03-07,18174,15618
1990-03-08,18087,15618
1990-03-09,17958,15529
1990-03-12,17829,15398
1990-03-13,17786,15267
1990-03-14,17743,15224
1990-03-15,18001,15180
1990-03-16,18001,15442
1990-03-17,18131,15442
1990-03-19,18690,15574
1990-03-20,18733,16142
1990-03-21,18820,16186
1990-03-22,18475,16274
1990-03-23,17657,15924
1990-03-24,17571,15092
1990-03-26,17528,15005
1990-03-27,17398,14961
1990-03-28,17485,14829
1990-03-29,18174,14918
1990-03-30,18389,15618
1990-03-31,18260,15836
1990-04-02,18260,15705
1990-04-03,18087,15705
1990-04-04,17872,15529
