Date,Actual Closing Price,Forecast Closing Price
1990-01-03,45300,44398
1990-01-04,44300,44716
1990-01-05,44500,44077
1990-01-06,44000,44206
1990-01-08,44300,43883
1990-01-09,43800,44077
1990-01-10,43200,43752
1990-01-11,43400,43358
1990-01-12,43000,43490
1990-01-13,42300,43225
1990-01-15,42300,42756
1990-01-16,41800,42756
1990-01-17,41800,42417
1990-01-18,41300,42417
1990-01-19,41400,42074
1990-01-20,42900,42143
1990-01-22,42900,43158
1990-01-23,43600,43158
1990-01-24,43700,43621
1990-01-25,43500,43687
1990-01-29,43000,43556
1990-01-30,42800,43225
1990-01-31,42400,43092
1990-02-01,41700,42824
1990-02-02,41500,42349
1990-02-03,41700,42212
1990-02-05,43000,42349
1990-02-06,43000,43225
1990-02-07,43400,43225
1990-02-08,43400,43490
1990-02-09,43100,43490
1990-02-10,42900,43291
1990-02-12,42200,43158
1990-02-13,42500,42689
1990-02-14,44100,42891
1990-02-15,44300,43948
1990-02-16,44000,44077
1990-02-17,44300,43883
1990-02-19,44500,44077
1990-02-20,44000,44206
1990-02-21,44000,43883
1990-02-22,43900,43883
1990-02-23,43800,43817
1990-02-24,43100,43752
1990-02-26,43900,43291
1990-02-27,43500,43817
1990-02-28,423,43556
1990-03-02,420,2071
1990-03-03,417,2067
1990-03-05,419,2064
1990-03-06,417,2066
1990-03-07,416,2064
1990-03-08,416,2063
1990-03-09,414,2063
1990-03-12,410,2060
1990-03-13,410,2056
1990-03-14,408,2056
1990-03-15,412,2053
1990-03-16,413,2058
1990-03-17,414,2059
1990-03-19,427,2060
1990-03-20,428,2076
1990-03-21,428,2077
1990-03-22,430,2077
1990-03-23,426,2079
1990-03-24,423,2075
1990-03-26,420,2071
1990-03-27,415,2067
1990-03-28,419,2062
1990-03-29,434,2066
1990-03-30,438,2084
1990-03-31,434,2089
1990-04-02,433,2084
1990-04-03,430,2083
1990-04-04,426,2079
1990-04-06,426,2075
1990-04-07,426,2075
1990-04-09,422,2075
1990-04-10,425,2070
1990-04-11,421,2073
1990-04-12,420,2069
1990-04-13,415,2067
1990-04-14,408,2062
1990-04-16,414,2053
1990-04-17,409,2060
1990-04-18,398,2054
1990-04-19,384,2041
1990-04-20,391,2025
1990-04-21,390,2033
1990-04-23,390,2032
1990-04-24,384,2032
1990-04-25,369,2025
1990-04-26,377,2007
1990-04-27,364,2017
1990-04-28,352,2001
1990-04-30,364,1987
1990-05-01,377,2001
1990-05-03,389,2017
1990-05-04,389,2031
1990-05-07,385,2031
1990-05-08,385,2026
1990-05-09,379,2026
1990-05-10,369,2019
1990-05-11,366,2007
1990-05-12,359,2004
1990-05-14,353,1995
1990-05-15,365,1988
1990-05-16,372,2003
1990-05-17,375,2011
1990-05-18,375,2014
1990-05-19,377,2014
1990-05-21,384,2017
1990-05-22,388,2025
1990-05-23,388,2030
1990-05-24,391,2030
1990-05-25,390,2033
1990-05-26,381,2032
1990-05-28,383,2021
1990-05-29,389,2024
1990-05-30,391,2031
1990-05-31,406,2033
1990-06-01,422,2051
1990-06-02,422,2070
1990-06-04,418,2070
1990-06-05,417,2065
1990-06-07,418,2064
1990-06-08,416,2065
1990-06-09,407,2063
1990-06-11,409,2052
1990-06-12,405,2054
1990-06-13,399,2050
1990-06-14,399,2043
1990-06-15,399,2043
1990-06-16,389,2043
1990-06-18,385,2031
1990-06-19,382,2026
1990-06-20,382,2023
1990-06-21,383,2023
1990-06-22,385,2024
1990-06-23,385,2026
1990-06-25,383,2026
1990-06-26,380,2024
1990-06-27,380,2020
1990-06-28,379,2020
1990-06-29,374,2019
1990-06-30,377,2013
1990-07-02,389,2017
1990-07-03,384,2031
1990-07-04,379,2025
1990-07-05,377,2019
1990-07-06,378,2017
1990-07-07,379,2018
1990-07-09,380,2019
1990-07-10,380,2020
1990-07-11,374,2020
1990-07-12,369,2013
1990-07-13,371,2007
1990-07-14,365,2010
1990-07-16,368,2003
1990-07-18,366,2006
1990-07-19,366,2004
1990-07-20,362,2004
1990-07-21,359,1999
1990-07-23,359,1995
1990-07-24,359,1995
1990-07-25,355,1995
1990-07-26,355,1991
1990-07-27,359,1991
1990-07-28,356,1995
1990-07-30,358,1992
1990-07-31,364,1994
1990-08-01,366,2001
1990-08-02,357,2004
1990-08-03,354,1993
1990-08-04,349,1990
1990-08-06,345,1984
1990-08-07,342,1979
1990-08-08,343,1975
1990-08-09,350,1977
1990-08-10,350,1985
1990-08-11,347,1985
1990-08-13,334,1981
1990-08-14,329,1966
1990-08-16,328,1960
1990-08-17,327,1959
1990-08-18,319,1958
1990-08-20,307,1948
1990-08-21,307,1934
1990-08-22,306,1934
1990-08-23,306,1933
1990-08-24,303,1933
1990-08-25,315,1929
1990-08-27,328,1944
1990-08-28,322,1959
1990-08-29,310,1952
1990-08-30,303,1938
1990-08-31,303,1929
1990-09-01,315,1929
1990-09-03,311,1944
1990-09-04,311,1939
1990-09-05,311,1939
1990-09-06,311,1939
1990-09-07,307,1939
1990-09-08,307,1934
1990-09-10,307,1934
1990-09-11,303,1934
1990-09-12,303,1929
1990-09-13,303,1929
1990-09-14,299,1929
1990-09-15,288,1925
1990-09-17,300,1912
1990-09-18,300,1926
1990-09-19,301,1926
1990-09-20,301,1927
1990-09-21,302,1927
1990-09-22,303,1928
1990-09-24,304,1929
1990-09-25,307,1931
