Date,Actual Closing Price,Forecast Closing Price
1994-01-28,13666,11895
1994-01-29,14136,12309
1994-01-31,14750,12725
1994-02-01,15363,13273
1994-02-02,15975,13823
1994-02-03,16587,14376
1994-02-04,17201,14933
1994-02-05,17812,15495
1994-02-07,18425,16057
1994-02-08,19038,16624
1994-02-12,19791,17194
1994-02-14,20546,17897
1994-02-15,21300,18606
1994-02-16,20970,19316
1994-02-17,21723,19005
1994-02-18,21347,19716
1994-02-19,21111,19361
1994-02-21,21866,19138
1994-02-22,22619,19851
1994-02-23,23373,20565
1994-02-24,23562,21281
1994-02-25,23091,21461
1994-02-26,22337,21013
1994-02-28,21582,20297
1994-03-02,20829,19583
1994-03-03,20734,18872
1994-03-04,21488,18783
1994-03-05,21205,19494
1994-03-07,21300,19227
1994-03-08,20782,19316
1994-03-09,20829,18828
1994-03-10,21582,18872
1994-03-11,21582,19583
1994-03-12,21253,19583
1994-03-14,21064,19272
1994-03-15,20829,19094
1994-03-16,20546,18872
1994-03-17,20640,18606
1994-03-18,20734,18694
1994-03-19,20640,18783
1994-03-21,20782,18694
1994-03-22,21017,18828
1994-03-23,20404,19049
1994-03-24,20357,18472
1994-03-25,20357,18428
1994-03-26,20357,18428
1994-03-28,20168,18428
1994-03-29,19414,18251
1994-03-30,19414,17545
1994-03-31,18708,17545
1994-04-01,18095,16887
1994-04-02,18472,16319
1994-04-04,18048,16668
1994-04-06,18143,16275
1994-04-07,18614,16363
1994-04-08,18850,16800
1994-04-09,19603,17019
1994-04-11,19273,17721
1994-04-12,19462,17413
1994-04-13,19462,17590
1994-04-14,19791,17590
1994-04-15,20168,17897
1994-04-16,20357,18251
1994-04-18,20357,18428
1994-04-19,20263,18428
1994-04-20,20027,18340
1994-04-21,20027,18119
1994-04-22,20546,18119
1994-04-23,20452,18606
1994-04-25,20357,18518
1994-04-26,20546,18428
1994-04-27,21205,18606
1994-04-28,20546,19227
1994-04-29,20923,18606
1994-04-30,20687,18961
1994-05-02,20829,18739
1994-05-03,20593,18872
1994-05-04,20593,18650
1994-05-06,20546,18650
1994-05-07,20263,18606
1994-05-09,20027,18340
1994-05-10,20168,18119
1994-05-11,20263,18251
1994-05-12,20121,18340
1994-05-13,19933,18207
1994-05-14,19698,18030
1994-05-16,20452,17810
1994-05-17,20310,18518
1994-05-19,20357,18384
1994-05-20,19603,18428
1994-05-21,20263,17721
1994-05-23,20263,18340
1994-05-24,20075,18340
1994-05-25,20121,18164
1994-05-26,20075,18207
1994-05-27,20263,18164
1994-05-28,20075,18340
1994-05-30,19698,18164
1994-05-31,19650,17810
1994-06-01,19650,17765
1994-06-02,19556,17765
1994-06-03,19462,17677
1994-06-04,19179,17590
1994-06-07,19179,17325
1994-06-08,19273,17325
1994-06-09,19084,17413
1994-06-10,18896,17237
1994-06-11,18708,17062
1994-06-13,18378,16887
1994-06-14,18284,16581
1994-06-15,18614,16493
1994-06-16,18850,16800
1994-06-17,18708,17019
1994-06-18,19273,16887
1994-06-20,18943,17413
1994-06-21,18896,17106
1994-06-22,18850,17062
1994-06-23,18802,17019
1994-06-24,18802,16974
1994-06-25,18802,16974
1994-06-27,18566,16974
1994-06-28,18850,16755
1994-06-29,18850,17019
1994-06-30,18756,17019
1994-07-01,18519,16932
1994-07-02,19132,16711
1994-07-04,18943,17282
1994-07-05,18661,17106
1994-07-06,18614,16843
1994-07-07,18566,16800
1994-07-08,18756,16755
1994-07-09,18850,16932
1994-07-11,18850,17019
1994-07-12,19084,17019
1994-07-13,18991,17237
1994-07-14,18850,17150
1994-07-15,18850,17019
1994-07-16,18566,17019
1994-07-18,18472,16755
1994-07-19,18143,16668
1994-07-20,18048,16363
1994-07-21,18048,16275
1994-07-22,18237,16275
1994-07-23,18095,16450
1994-07-25,17812,16319
1994-07-26,17954,16057
1994-07-27,17954,16188
1994-07-28,17954,16188
