Date,Actual Closing Price,Forecast Closing Price
1990-01-03,17700,18698
1990-01-04,18200,19484
1990-01-05,18400,19977
1990-01-06,18400,20174
1990-01-08,18100,20174
1990-01-09,17600,19878
1990-01-10,17800,19386
1990-01-11,17700,19583
1990-01-12,17600,19484
1990-01-13,17400,19386
1990-01-15,17600,19189
1990-01-16,17400,19386
1990-01-17,17400,19189
1990-01-18,17300,19189
1990-01-19,17500,19091
1990-01-20,18200,19288
1990-01-22,17700,19977
1990-01-23,17700,19484
1990-01-24,17500,19484
1990-01-25,17500,19288
1990-01-29,17400,19288
1990-01-30,18100,19189
1990-01-31,17900,19878
1990-02-01,17700,19681
1990-02-02,17600,19484
1990-02-03,17600,19386
1990-02-05,17600,19386
1990-02-06,17500,19386
1990-02-07,17600,19288
1990-02-08,17400,19386
1990-02-09,17400,19189
1990-02-10,17200,19189
1990-02-12,17500,18993
1990-02-13,17400,19288
1990-02-14,17300,19189
1990-02-15,17500,19091
1990-02-16,17400,19288
1990-02-17,17000,19189
1990-02-19,17000,18797
1990-02-20,16900,18797
1990-02-21,17100,18698
1990-02-22,17000,18895
1990-02-23,16700,18797
1990-02-24,16500,18502
1990-02-26,17300,18306
1990-02-27,17600,19091
1990-02-28,7913,19386
1990-03-02,7699,9989
1990-03-03,7440,9784
1990-03-05,7397,9537
1990-03-06,7311,9496
1990-03-07,7354,9414
1990-03-08,7440,9455
1990-03-09,7397,9537
1990-03-12,7311,9496
1990-03-13,7268,9414
1990-03-14,7182,9373
1990-03-15,7225,9291
1990-03-16,7182,9332
1990-03-17,7182,9291
1990-03-19,7225,9291
1990-03-20,7225,9332
1990-03-21,7225,9332
1990-03-22,7139,9332
1990-03-23,7139,9250
1990-03-24,7096,9250
1990-03-26,7053,9209
1990-03-27,6967,9168
1990-03-28,7096,9086
1990-03-29,7225,9209
1990-03-30,7139,9332
1990-03-31,7096,9250
1990-04-02,7053,9209
1990-04-03,7010,9168
1990-04-04,7354,9127
1990-04-06,7096,9455
1990-04-07,7096,9209
1990-04-09,7182,9209
1990-04-10,7311,9291
1990-04-11,7268,9414
1990-04-12,7225,9373
1990-04-13,7268,9332
1990-04-14,7397,9373
1990-04-16,7699,9496
1990-04-17,7526,9784
1990-04-18,7268,9619
1990-04-19,7268,9373
1990-04-20,7354,9373
1990-04-21,7311,9455
1990-04-23,7139,9414
1990-04-24,7010,9250
1990-04-25,6666,9127
1990-04-26,6924,8799
1990-04-27,6579,9045
1990-04-28,6236,8717
1990-04-30,6494,8391
1990-05-01,6837,8636
1990-05-03,7182,8962
1990-05-04,7096,9291
1990-05-07,6967,9209
1990-05-08,6924,9086
1990-05-09,6666,9045
1990-05-10,6579,8799
1990-05-11,6494,8717
1990-05-12,6280,8636
1990-05-14,6236,8432
1990-05-15,6494,8391
1990-05-16,6666,8636
1990-05-17,6451,8799
1990-05-18,6451,8595
1990-05-19,6537,8595
1990-05-21,6795,8677
1990-05-22,6837,8922
1990-05-23,6752,8962
1990-05-24,6666,8881
1990-05-25,6666,8799
1990-05-26,6708,8799
1990-05-28,6752,8839
1990-05-29,6752,8881
1990-05-30,6795,8881
1990-05-31,6795,8922
1990-06-01,6795,8922
1990-06-02,7010,8922
1990-06-04,7010,9127
1990-06-05,7010,9127
1990-06-07,6924,9127
1990-06-08,6837,9045
1990-06-09,6708,8962
1990-06-11,6752,8839
1990-06-12,6666,8881
1990-06-13,6579,8799
1990-06-14,6494,8717
1990-06-15,6537,8636
1990-06-16,6366,8677
1990-06-18,6366,8514
1990-06-19,6193,8514
1990-06-20,6193,8350
1990-06-21,6193,8350
1990-06-22,6193,8350
1990-06-23,6107,8350
1990-06-25,6022,8268
1990-06-26,6107,8187
1990-06-27,5935,8268
1990-06-28,5505,8105
1990-06-29,5247,7697
1990-06-30,5333,7452
1990-07-02,5591,7534
1990-07-03,5462,7778
1990-07-04,5333,7656
1990-07-05,5247,7534
1990-07-06,5204,7452
1990-07-07,5247,7412
1990-07-09,5290,7452
1990-07-10,5161,7493
1990-07-11,5032,7371
1990-07-12,4946,7249
1990-07-13,4946,7168
1990-07-14,4902,7168
1990-07-16,5075,7126
1990-07-18,4989,7290
1990-07-19,4989,7208
1990-07-20,4946,7208
1990-07-21,4860,7168
1990-07-23,4860,7086
1990-07-24,4946,7086
1990-07-25,4860,7168
1990-07-26,4902,7086
1990-07-27,4946,7126
1990-07-28,4946,7168
1990-07-30,4989,7168
1990-07-31,5118,7208
1990-08-01,4989,7330
1990-08-02,4860,7208
1990-08-03,4860,7086
1990-08-04,4817,7086
1990-08-06,4817,7046
1990-08-07,4773,7046
1990-08-08,4773,7004
1990-08-09,4860,7004
1990-08-10,4817,7086
1990-08-11,4773,7046
1990-08-13,4644,7004
1990-08-14,4515,6882
1990-08-16,4515,6760
1990-08-17,4473,6760
1990-08-18,4473,6720
1990-08-20,4301,6720
1990-08-21,4344,6558
1990-08-22,4386,6599
1990-08-23,4128,6638
1990-08-24,4042,6395
1990-08-25,4215,6314
1990-08-27,4386,6477
1990-08-28,4559,6638
1990-08-29,4344,6802
1990-08-30,4086,6599
1990-08-31,4128,6355
1990-09-01,4301,6395
1990-09-03,4344,6558
1990-09-04,4257,6599
1990-09-05,4257,6517
1990-09-06,4215,6517
1990-09-07,4215,6477
1990-09-08,4236,6477
1990-09-10,4280,6497
1990-09-11,4241,6538
1990-09-12,4171,6501
1990-09-13,4107,6435
1990-09-14,3957,6375
1990-09-15,3793,6234
1990-09-17,3965,6079
1990-09-18,4064,6241
1990-09-19,3892,6335
1990-09-20,3866,6172
1990-09-21,3806,6148
1990-09-22,3828,6091
1990-09-24,3999,6112
1990-09-25,3913,6273
1990-09-26,3785,6192
1990-09-27,3828,6072
1990-09-28,3871,6112
1990-09-29,4042,6153
1990-10-05,3957,6314
1990-10-06,3871,6234
1990-10-08,3957,6153
1990-10-10,4128,6234
1990-10-11,4301,6395
1990-10-12,4430,6558
1990-10-13,4688,6680
1990-10-15,4773,6924
1990-10-16,5032,7004
1990-10-17,5290,7249
1990-10-18,5548,7493
1990-10-19,5764,7738
1990-10-20,6022,7942
1990-10-22,6280,8187
1990-10-23,6537,8432
1990-10-24,6537,8677
1990-10-25,6579,8677
1990-10-26,6795,8717
1990-10-27,6451,8922
1990-10-29,6107,8595
1990-10-30,5849,8268
1990-10-31,6107,8023
1990-11-01,5978,8268
1990-11-02,6107,8146
1990-11-03,6151,8268
1990-11-05,5978,8310
1990-11-06,6236,8146
1990-11-07,6151,8391
1990-11-08,6064,8310
1990-11-09,5935,8227
1990-11-10,5935,8105
1990-11-12,6064,8105
1990-11-13,6064,8227
1990-11-14,5978,8227
1990-11-15,5893,8146
1990-11-16,5806,8065
1990-11-17,5978,7982
1990-11-19,6236,8146
1990-11-20,6107,8391
1990-11-21,6366,8268
1990-11-22,6579,8514
1990-11-23,6666,8717
1990-11-24,6708,8799
1990-11-26,6579,8839
1990-11-27,6924,8717
1990-11-28,7268,9045
1990-11-29,7612,9373
1990-11-30,7699,9701
1990-12-01,7655,9784
1990-12-03,7741,9742
1990-12-04,8042,9824
1990-12-05,7870,10112
1990-12-06,7957,9948
1990-12-07,7870,10031
1990-12-08,7741,9948
1990-12-10,7870,9824
1990-12-11,7870,9948
1990-12-12,7655,9948
1990-12-13,7526,9742
1990-12-14,7440,9619
1990-12-15,7784,9537
1990-12-17,7655,9865
1990-12-18,7699,9742
1990-12-19,7741,9784
1990-12-20,7655,9824
1990-12-21,7569,9742
1990-12-22,7526,9660
1990-12-24,7311,9619
1990-12-26,7440,9414
1991-01-03,7699,9537
1991-01-04,7569,9784
1991-01-05,7354,9660
1991-01-07,7139,9455
1991-01-08,7139,9250
1991-01-09,6795,9250
1991-01-10,6666,8922
1991-01-11,7010,8799
1991-01-12,7096,9127
1991-01-14,6752,9209
1991-01-15,6666,8881
1991-01-16,7010,8799
1991-01-17,7354,9127
1991-01-18,7311,9455
1991-01-19,7010,9414
1991-01-21,6924,9127
1991-01-22,6924,9045
1991-01-23,7096,9045
1991-01-24,6924,9209
1991-01-25,6924,9045
1991-01-26,7053,9045
1991-01-28,7139,9168
1991-01-29,7397,9250
1991-01-30,7225,9496
1991-01-31,7139,9332
1991-02-01,7096,9250
1991-02-02,7010,9209
1991-02-04,7053,9127
1991-02-05,7096,9168
1991-02-06,7053,9209
1991-02-07,6924,9168
1991-02-08,6924,9045
1991-02-09,6924,9045
1991-02-11,7139,9045
1991-02-12,7053,9250
1991-02-13,7354,9168
1991-02-18,7053,9455
1991-02-19,7053,9168
1991-02-20,7139,9168
1991-02-21,7096,9250
1991-02-22,7096,9209
1991-02-23,7225,9209
1991-02-25,7053,9332
1991-02-26,7096,9168
1991-02-27,7053,9209
1991-02-28,7010,9168
1991-03-02,6967,9127
1991-03-04,6924,9086
1991-03-05,6881,9045
1991-03-06,6795,9004
1991-03-07,6708,8922
1991-03-08,7010,8839
1991-03-09,6881,9127
1991-03-11,6881,9004
1991-03-12,6967,9004
1991-03-13,6837,9086
1991-03-14,6837,8962
1991-03-15,6837,8962
