Date,Actual Closing Price,Forecast Closing Price
2007-06-27,58000,61145
2007-06-28,56800,58080
2007-06-29,57000,56921
2007-07-02,59700,57114
2007-07-03,59500,59714
2007-07-04,58800,59522
2007-07-05,57700,58851
2007-07-06,58000,57791
2007-07-09,58100,58080
2007-07-10,58800,58177
2007-07-11,62000,58851
2007-07-12,65000,61904
2007-07-13,66400,64724
2007-07-16,66900,66024
2007-07-18,68000,66486
2007-07-19,67900,67497
2007-07-20,67700,67405
2007-07-23,66200,67222
2007-07-24,64700,65839
2007-07-25,63600,64444
2007-07-26,61700,63414
2007-07-27,61700,61620
2007-07-30,66900,61620
2007-07-31,63100,66486
2007-08-01,62300,62943
2007-08-02,61800,62188
2007-08-03,61700,61715
2007-08-06,61400,61620
2007-08-07,62800,61335
2007-08-08,61900,62661
2007-08-09,59700,61810
2007-08-10,58600,59714
2007-08-13,58400,58658
2007-08-14,54200,58466
2007-08-16,52000,54391
2007-08-17,55000,52235
2007-08-20,53900,55172
2007-08-21,55100,54098
2007-08-22,57200,55269
2007-08-23,57200,57308
2007-08-24,56000,57308
2007-08-27,55600,56145
2007-08-28,55000,55756
2007-08-29,57300,55172
2007-08-30,57600,57405
2007-08-31,58500,57694
2007-09-03,57200,58562
2007-09-04,57400,57308
2007-09-05,56400,57501
2007-09-06,56000,56533
2007-09-07,54500,56145
2007-09-10,53800,54684
2007-09-11,53700,54000
2007-09-12,54300,53902
2007-09-13,53300,54489
2007-09-14,55200,53510
2007-09-17,55500,55367
2007-09-18,57000,55659
2007-09-19,54400,57114
2007-09-20,56200,54586
2007-09-21,56700,56339
2007-09-27,56500,56824
2007-09-28,55500,56630
2007-10-01,57200,55659
2007-10-02,58700,57308
2007-10-04,60600,58754
2007-10-05,60400,60574
2007-10-08,60000,60383
2007-10-09,60800,60001
2007-10-10,61500,60764
2007-10-11,60100,61430
2007-10-12,64000,60096
2007-10-15,61000,63789
2007-10-16,61800,60955
2007-10-17,64900,61715
2007-10-18,63600,64631
2007-10-19,62000,63414
2007-10-22,63200,61904
2007-10-23,60600,63038
2007-10-24,60600,60574
2007-10-25,61000,60574
2007-10-26,64500,60955
2007-10-29,63600,64257
2007-10-30,62100,63414
2007-10-31,59100,61999
2007-11-01,57700,59139
2007-11-02,59700,57791
2007-11-05,61000,59714
2007-11-06,59700,60955
2007-11-07,57500,59714
2007-11-08,56100,57598
2007-11-09,54500,56242
2007-11-12,55900,54684
2007-11-13,55000,56048
2007-11-14,55700,55172
2007-11-15,55300,55853
2007-11-16,54800,55464
2007-11-19,55000,54977
2007-11-20,53000,55172
2007-11-21,51700,53216
2007-11-22,50500,51940
2007-11-23,54000,50758
2007-11-26,52900,54196
2007-11-27,52900,53118
