Date,Actual Closing Price,Forecast Closing Price
1990-01-03,5350,6027
1990-01-04,5160,6027
1990-01-05,5300,5821
1990-01-06,5300,5973
1990-01-08,5250,5973
1990-01-09,5190,5919
1990-01-10,5200,5853
1990-01-11,5160,5864
1990-01-12,5050,5821
1990-01-13,5050,5701
1990-01-15,5050,5701
1990-01-16,5000,5701
1990-01-17,5000,5647
1990-01-18,4950,5647
1990-01-19,4980,5593
1990-01-20,5130,5625
1990-01-22,5050,5788
1990-01-23,5070,5701
1990-01-24,5080,5723
1990-01-25,5000,5734
1990-01-29,4960,5647
1990-01-30,4960,5604
1990-01-31,4960,5604
1990-02-01,5000,5604
1990-02-02,4950,5647
1990-02-03,4860,5593
1990-02-05,4940,5495
1990-02-06,4950,5582
1990-02-07,4950,5593
1990-02-08,3880,5593
1990-02-09,3850,4435
1990-02-10,3750,4403
1990-02-12,3740,4295
1990-02-13,3750,4284
1990-02-14,3780,4295
1990-02-15,3760,4328
1990-02-16,3730,4306
1990-02-17,3690,4274
1990-02-19,3580,4231
1990-02-20,3520,4112
1990-02-21,3470,4047
1990-02-22,3500,3994
1990-02-23,3450,4026
1990-02-24,3390,3972
1990-02-26,3520,3907
1990-02-27,3550,4047
1990-02-28,2614,4080
1990-03-02,2643,3074
1990-03-03,2600,3105
1990-03-05,2522,3059
1990-03-06,2451,2976
1990-03-07,2465,2900
1990-03-08,2508,2915
1990-03-09,2515,2961
1990-03-12,2486,2968
1990-03-13,2486,2937
1990-03-14,2479,2937
1990-03-15,2529,2930
1990-03-16,2536,2983
1990-03-17,2557,2991
1990-03-19,2557,3013
1990-03-20,2564,3013
1990-03-21,2564,3021
1990-03-22,2593,3021
1990-03-23,2593,3052
1990-03-24,2579,3052
1990-03-26,2557,3037
1990-03-27,2529,3013
1990-03-28,2515,2983
1990-03-29,2273,2968
1990-03-30,2294,2709
1990-03-31,2309,2732
1990-04-02,2259,2748
1990-04-03,2230,2694
1990-04-04,2230,2663
1990-04-06,2181,2663
1990-04-07,2181,2611
1990-04-09,2181,2611
1990-04-10,2181,2611
1990-04-11,2131,2611
1990-04-12,2095,2557
1990-04-13,2095,2519
1990-04-14,2060,2519
1990-04-16,2131,2481
1990-04-17,2103,2557
1990-04-18,2081,2527
1990-04-19,2060,2504
1990-04-20,2131,2481
1990-04-21,2131,2557
1990-04-23,2110,2557
1990-04-24,2081,2535
1990-04-25,2010,2504
1990-04-26,2046,2428
1990-04-27,1975,2466
1990-04-28,1904,2391
1990-04-30,1975,2315
1990-05-01,2046,2391
1990-05-03,2117,2466
1990-05-04,2181,2542
1990-05-07,2131,2611
1990-05-08,2131,2557
1990-05-09,2060,2557
1990-05-10,2024,2481
1990-05-11,2010,2443
1990-05-12,2024,2428
1990-05-14,1975,2443
1990-05-15,2046,2391
1990-05-16,2060,2466
1990-05-17,1996,2481
1990-05-18,2010,2413
1990-05-19,2010,2428
1990-05-21,2074,2428
1990-05-22,2095,2496
1990-05-23,2095,2519
1990-05-24,2103,2519
1990-05-25,2103,2527
1990-05-26,2095,2527
1990-05-28,2081,2519
1990-05-29,2088,2504
1990-05-30,2095,2511
1990-05-31,2095,2519
1990-06-01,2088,2519
1990-06-02,2095,2511
