Date,Actual Closing Price,Forecast Closing Price
2005-07-19,5475,-3020
2005-07-20,4798,-4143
2005-07-21,4664,-4932
2005-07-22,4723,-5088
2005-07-25,4647,-5019
2005-07-26,4723,-5108
2005-07-27,4556,-5019
2005-07-28,4447,-5214
2005-07-29,4496,-5341
2005-08-01,4429,-5284
2005-08-02,4203,-5362
2005-08-03,4306,-5626
2005-08-04,4179,-5506
2005-08-05,4171,-5654
2005-08-08,4117,-5663
2005-08-09,4162,-5726
2005-08-10,4179,-5673
2005-08-11,4061,-5654
2005-08-12,4012,-5791
2005-08-16,3832,-5848
2005-08-17,3714,-6058
2005-08-18,3511,-6196
2005-08-19,3594,-6433
2005-08-22,3518,-6336
2005-08-23,3534,-6424
2005-08-24,3511,-6406
2005-08-25,3496,-6433
2005-08-26,3364,-6450
2005-08-29,3384,-6604
2005-08-30,3343,-6581
2005-08-31,3493,-6629
2005-09-01,3552,-6454
2005-09-02,3514,-6385
2005-09-05,3518,-6429
2005-09-06,3648,-6424
2005-09-07,3794,-6273
2005-09-08,3677,-6103
2005-09-09,3594,-6239
2005-09-12,3585,-6336
2005-09-13,4120,-6346
2005-09-14,4347,-5722
2005-09-15,4162,-5458
2005-09-16,3991,-5673
2005-09-20,4103,-5873
2005-09-21,3998,-5742
2005-09-22,3890,-5865
2005-09-23,3903,-5991
2005-09-26,4255,-5975
2005-09-27,4221,-5565
2005-09-28,4179,-5605
2005-09-29,4429,-5654
2005-09-30,4488,-5362
2005-10-04,4588,-5293
2005-10-05,4588,-5177
2005-10-06,4681,-5177
2005-10-07,4664,-5068
2005-10-10,4580,-5088
2005-10-11,4429,-5186
2005-10-12,4573,-5362
2005-10-13,4689,-5194
2005-10-14,4765,-5059
2005-10-17,4849,-4970
2005-10-18,4664,-4873
2005-10-19,4639,-5088
2005-10-20,4849,-5117
2005-10-21,5074,-4873
2005-10-24,5142,-4610
2005-10-25,5106,-4531
2005-10-26,5066,-4573
