Date,Actual Closing Price,Forecast Closing Price
2001-09-10,11181,12256
2001-09-11,9694,12487
2001-09-12,10366,11301
2001-09-13,9742,11834
2001-09-14,9550,11339
2001-09-17,9838,11187
2001-09-18,9790,11415
2001-09-19,9790,11377
2001-09-20,9166,11377
2001-09-21,9233,10886
2001-09-24,9022,10938
2001-09-25,9310,10773
2001-09-26,9550,10998
2001-09-27,9483,11187
2001-09-28,9694,11134
2001-10-04,9790,11301
2001-10-05,9886,11377
2001-10-08,10414,11453
2001-10-09,10750,11872
2001-10-10,10798,12141
2001-10-11,10846,12179
2001-10-12,10941,12218
2001-10-15,10941,12294
2001-10-16,10750,12294
2001-10-17,10606,12141
2001-10-18,10270,12025
2001-10-19,10366,11757
2001-10-22,10366,11834
2001-10-23,10750,11834
2001-10-24,11229,12141
2001-10-25,10941,12526
2001-10-26,10941,12294
2001-10-29,10654,12294
2001-10-30,10702,12064
2001-10-31,10702,12102
2001-11-01,10894,12102
2001-11-02,11373,12256
2001-11-05,11613,12642
2001-11-06,11421,12836
2001-11-07,12141,12681
2001-11-08,12189,13266
2001-11-09,12477,13305
2001-11-12,12477,13541
2001-11-13,12285,13541
2001-11-14,12477,13384
2001-11-15,12477,13541
2001-11-16,12477,13541
2001-11-19,12189,13541
2001-11-20,13341,13305
2001-11-21,14061,14254
2001-11-22,14397,14854
2001-11-23,15980,15137
2001-11-26,15644,16482
2001-11-27,15021,16194
2001-11-28,14637,15664
2001-11-29,15213,15339
2001-11-30,15069,15827
2001-12-03,15261,15704
2001-12-04,15452,15867
2001-12-05,15117,16030
2001-12-06,15740,15745
2001-12-07,15356,16276
2001-12-10,14925,15948
2001-12-11,15213,15582
2001-12-12,15213,15827
2001-12-13,15261,15827
2001-12-14,14829,15867
2001-12-17,14877,15501
2001-12-18,14589,15542
2001-12-19,15261,15298
2001-12-20,14973,15867
2001-12-21,14877,15623
2001-12-24,15692,15542
2001-12-26,16316,16235
2001-12-27,16844,16771
2001-12-28,17468,17227
2002-01-02,18620,17770
2002-01-03,19388,18783
2002-01-04,19628,19466
2002-01-07,18332,19680
2002-01-08,19196,18529
2002-01-09,17900,19294
2002-01-10,16892,18148
2002-01-11,17468,17269
2002-01-14,16364,17770
2002-01-15,16028,16812
2002-01-16,16988,16523
2002-01-17,17228,17352
2002-01-18,17948,17561
2002-01-21,17276,18190
2002-01-22,17468,17603
2002-01-23,18140,17770
2002-01-24,19100,18359
2002-01-25,19196,19209
2002-01-28,18428,19294
2002-01-29,17276,18613
2002-01-30,16940,17603
2002-01-31,16700,17310
2002-02-01,16076,17102
2002-02-04,16988,16564
2002-02-05,16460,17352
2002-02-06,16316,16895
2002-02-07,16556,16771
2002-02-08,17756,16978
2002-02-14,17132,18022
2002-02-15,16940,17477
2002-02-18,16892,17310
2002-02-19,16460,17269
2002-02-20,16796,16895
2002-02-21,16892,17185
2002-02-22,17324,17269
2002-02-25,17036,17644
2002-02-26,17420,17394
2002-02-27,17180,17728
2002-02-28,16892,17519
2002-03-04,16940,17269
2002-03-05,17036,17310
2002-03-06,16460,17394
2002-03-07,15740,16895
2002-03-08,15644,16276
2002-03-11,16076,16194
2002-03-12,16748,16564
2002-03-13,16988,17144
2002-03-14,16940,17352
2002-03-15,16796,17310
2002-03-18,17084,17185
2002-03-19,16940,17435
2002-03-20,16796,17310
2002-03-21,17708,17185
2002-03-22,16892,17980
2002-03-25,16796,17269
2002-03-26,16556,17185
2002-03-27,16748,16978
2002-03-28,16556,17144
2002-03-29,15644,16978
2002-04-01,15788,16194
2002-04-02,16556,16317
2002-04-03,17756,16978
2002-04-04,18044,18022
2002-04-08,17852,18275
2002-04-09,17180,18106
2002-04-10,18284,17519
2002-04-11,18908,18486
2002-04-12,18908,19038
2002-04-15,18860,19038
2002-04-16,19052,18996
2002-04-17,19771,19166
2002-04-18,19244,19808
2002-04-19,19244,19337
2002-04-22,19052,19337
2002-04-23,19196,19166
2002-04-24,18044,19294
2002-04-25,18044,18275
2002-04-26,17276,18275
2002-04-29,16796,17603
2002-04-30,17852,17185
2002-05-02,18140,18106
2002-05-03,17660,18359
2002-05-06,17228,17938
2002-05-07,17708,17561
2002-05-08,17564,17980
2002-05-09,17756,17854
2002-05-10,18092,18022
2002-05-13,18092,18317
2002-05-14,18812,18317
2002-05-15,18428,18953
2002-05-16,18332,18613
2002-05-17,18332,18529
2002-05-20,17756,18529
2002-05-21,19148,18022
2002-05-22,18812,19252
2002-05-23,18812,18953
2002-05-24,18812,18953
2002-05-27,18668,18953
2002-05-28,18092,18825
2002-05-29,18284,18317
2002-05-30,17468,18486
2002-05-31,17660,17770
2002-06-03,17948,17938
2002-06-04,18332,18190
2002-06-05,18332,18529
2002-06-07,18428,18529
2002-06-10,17948,18613
2002-06-11,18140,18190
2002-06-12,18236,18359
2002-06-14,17756,18444
2002-06-17,17708,18022
2002-06-18,17228,17980
2002-06-19,17468,17561
2002-06-20,17276,17770
2002-06-21,17468,17603
2002-06-24,16796,17770
2002-06-25,15932,17185
2002-06-26,15500,16440
2002-06-27,16316,16071
2002-06-28,15884,16771
2002-07-02,16028,16399
2002-07-03,16124,16523
2002-07-04,16412,16605
2002-07-05,16220,16853
2002-07-08,16796,16688
2002-07-09,16748,17185
2002-07-10,16220,17144
2002-07-11,16652,16688
2002-07-12,16700,17061
2002-07-15,16508,17102
2002-07-16,16652,16936
2002-07-18,16172,17061
2002-07-19,15452,16647
2002-07-22,16220,16030
2002-07-23,15980,16688
2002-07-24,16412,16482
2002-07-25,15836,16853
2002-07-26,15836,16358
2002-07-29,16604,16358
2002-07-30,16124,17019
2002-07-31,15596,16605
2002-08-01,15452,16153
2002-08-02,15165,16030
2002-08-05,17420,15786
2002-08-06,15404,17728
2002-08-07,15548,15989
2002-08-08,15500,16112
2002-08-09,15069,16071
2002-08-12,15261,15704
2002-08-13,15213,15867
2002-08-14,15740,15827
2002-08-16,15404,16276
2002-08-19,15644,15989
2002-08-20,15932,16194
2002-08-21,16220,16440
2002-08-22,16412,16688
2002-08-23,16556,16853
2002-08-26,16316,16978
2002-08-27,16316,16771
2002-08-28,16172,16771
2002-08-29,16220,16647
2002-08-30,16268,16688
2002-09-02,15836,16729
2002-09-03,15213,16358
2002-09-04,15117,15827
2002-09-05,14973,15745
2002-09-06,15069,15623
2002-09-09,15788,15704
2002-09-10,15932,16317
2002-09-11,16220,16440
2002-09-12,15740,16688
2002-09-13,15117,16276
2002-09-16,15213,15745
2002-09-17,14109,15827
2002-09-18,13821,14895
2002-09-19,13437,14654
2002-09-23,13533,14334
2002-09-24,13773,14414
2002-09-25,13725,14614
2002-09-26,13629,14574
2002-09-27,13293,14494
2002-09-30,13821,14214
2002-10-01,14061,14654
2002-10-02,13149,14854
2002-10-04,12765,14095
2002-10-07,12285,13778
2002-10-08,11997,13384
2002-10-09,10989,13149
2002-10-10,11421,12333
2002-10-11,12669,12681
2002-10-14,12765,13699
2002-10-15,13149,13778
2002-10-16,13533,14095
2002-10-17,14013,14414
2002-10-18,13341,14814
2002-10-21,12333,14254
2002-10-22,12573,13423
2002-10-23,12669,13620
2002-10-24,12477,13699
2002-10-25,12861,13541
2002-10-28,13245,13857
2002-10-29,12765,14174
2002-10-30,12333,13778
2002-10-31,11613,13423
2002-11-01,11805,12836
2002-11-04,11661,12992
2002-11-05,12333,12875
2002-11-06,12909,13423
2002-11-07,12957,13897
2002-11-08,12573,13936
2002-11-11,12237,13620
2002-11-12,12333,13345
2002-11-13,12141,13423
2002-11-14,12429,13266
2002-11-15,12045,13502
2002-11-18,12477,13188
2002-11-19,12573,13541
2002-11-20,12477,13620
2002-11-21,12285,13541
2002-11-22,12333,13384
2002-11-25,12477,13423
2002-11-26,12669,13541
2002-11-27,12957,13699
2002-11-28,13629,13936
2002-11-29,13437,14494
2002-12-02,13341,14334
2002-12-03,12717,14254
2002-12-04,13149,13738
2002-12-05,12861,14095
2002-12-06,12717,13857
2002-12-09,12573,13738
2002-12-10,12573,13620
2002-12-11,12957,13620
2002-12-12,13005,13936
2002-12-13,12621,13976
2002-12-16,13053,13659
2002-12-17,13293,14016
2002-12-18,13437,14214
2002-12-20,13197,14334
2002-12-23,13053,14135
2002-12-24,13341,14016
2002-12-26,12957,14254
2002-12-27,11901,13936
2002-12-30,12141,13070
2003-01-02,12429,13266
2003-01-03,12669,13502
2003-01-06,12285,13699
2003-01-07,12285,13384
2003-01-08,11901,13384
2003-01-09,11805,13070
2003-01-10,11949,12992
2003-01-13,12573,13109
2003-01-14,12669,13620
2003-01-15,12573,13699
2003-01-16,12333,13620
2003-01-17,12333,13423
2003-01-20,12429,13423
2003-01-21,12477,13502
2003-01-22,12957,13541
2003-01-23,12909,13936
2003-01-24,12621,13897
2003-01-27,13101,13659
2003-01-28,12621,14055
2003-01-29,12573,13659
2003-01-30,12669,13620
2003-02-03,12573,13699
2003-02-04,12573,13620
2003-02-05,12765,13620
2003-02-06,12573,13778
2003-02-07,12477,13620
2003-02-10,12237,13541
2003-02-11,12381,13345
2003-02-12,12189,13462
2003-02-13,12045,13305
2003-02-14,12477,13188
2003-02-17,12909,13541
2003-02-18,12765,13897
2003-02-19,12909,13778
2003-02-20,12765,13897
2003-02-21,12861,13778
2003-02-24,12477,13857
2003-02-25,12285,13541
2003-02-26,12093,13384
2003-02-27,12045,13227
2003-02-28,12237,13188
2003-03-03,12045,13345
2003-03-04,11661,13188
2003-03-05,11661,12875
