Date,Actual Closing Price,Forecast Closing Price
1990-01-03,20038,18819
1990-01-04,19514,18419
1990-01-05,19318,17959
1990-01-06,19383,17786
1990-01-08,19383,17843
1990-01-09,19383,17843
1990-01-10,19252,17843
1990-01-11,19645,17727
1990-01-12,19514,18074
1990-01-13,19383,17959
1990-01-15,19449,17843
1990-01-16,19514,17901
1990-01-17,19580,17959
1990-01-18,19383,18017
1990-01-19,19645,17843
1990-01-20,20497,18074
1990-01-22,20627,18819
1990-01-23,21479,18932
1990-01-24,21675,19667
1990-01-25,21741,19835
1990-01-29,21675,19891
1990-01-30,21675,19835
1990-01-31,21544,19835
1990-02-01,21086,19723
1990-02-02,20955,19329
1990-02-03,21086,19216
1990-02-05,21151,19329
1990-02-06,21020,19385
1990-02-07,21151,19272
1990-02-08,21020,19385
1990-02-09,20955,19272
1990-02-10,20889,19216
1990-02-12,20627,19159
1990-02-13,20693,18932
1990-02-14,20824,18989
1990-02-15,21020,19103
1990-02-16,20955,19272
1990-02-17,20824,19216
1990-02-19,20824,19103
1990-02-20,20824,19103
1990-02-21,20758,19103
1990-02-22,20627,19046
1990-02-23,20693,18932
1990-02-24,20824,18989
1990-02-26,21086,19103
1990-02-27,20889,19329
1990-02-28,21086,19159
1990-03-02,20824,19329
1990-03-03,20497,19103
1990-03-05,20562,18819
1990-03-06,20562,18876
1990-03-07,20431,18876
1990-03-08,20169,18762
1990-03-09,20235,18533
1990-03-12,19973,18591
1990-03-13,19973,18362
1990-03-14,19973,18362
1990-03-15,20169,18362
1990-03-16,20169,18533
1990-03-17,20497,18533
1990-03-19,20759,18819
1990-03-20,20562,19047
1990-03-21,20300,18876
1990-03-22,20104,18648
1990-03-23,19842,18476
1990-03-24,19711,18247
1990-03-26,19645,18132
1990-03-27,20169,18074
1990-03-28,20628,18533
1990-03-29,21152,18933
1990-03-30,20824,19386
1990-03-31,20562,19103
1990-04-02,20759,18876
1990-04-03,20235,19047
1990-04-04,20104,18591
1990-04-06,20104,18476
1990-04-07,19973,18476
1990-04-09,19776,18362
1990-04-10,19842,18189
1990-04-11,19907,18247
1990-04-12,19842,18304
1990-04-13,19580,18247
1990-04-14,18925,18017
1990-04-16,19449,17438
1990-04-17,19252,17901
1990-04-18,18794,17727
1990-04-19,18794,17321
1990-04-20,19383,17321
1990-04-21,20038,17843
1990-04-23,19580,18419
1990-04-24,19122,18017
1990-04-25,18467,17612
1990-04-26,18990,17030
1990-04-27,18336,17495
1990-04-28,17681,16913
1990-04-30,18336,16326
1990-05-01,18990,16913
1990-05-03,19645,17495
1990-05-04,19515,18074
1990-05-07,19187,17959
1990-05-08,18990,17670
1990-05-09,18598,17495
1990-05-10,18532,17147
1990-05-11,18467,17088
1990-05-12,18336,17030
1990-05-14,18008,16913
1990-05-15,18663,16620
1990-05-16,18990,17205
1990-05-17,18990,17495
1990-05-18,18990,17495
1990-05-19,19122,17495
1990-05-21,19515,17612
1990-05-22,18205,17959
1990-05-23,18401,16796
1990-05-24,18532,16971
1990-05-25,18532,17088
1990-05-26,18598,17088
1990-05-28,18729,17147
1990-05-29,19122,17264
1990-05-30,18990,17612
1990-05-31,18925,17495
1990-06-01,18860,17438
1990-06-02,18860,17380
1990-06-04,18925,17380
1990-06-05,18794,17438
1990-06-07,18925,17321
1990-06-08,18729,17438
1990-06-09,18532,17264
1990-06-11,18532,17088
1990-06-12,18598,17088
1990-06-13,18532,17147
1990-06-14,18532,17088
1990-06-15,18598,17088
1990-06-16,18336,17147
1990-06-18,18336,16913
1990-06-19,18008,16913
1990-06-20,18008,16620
1990-06-21,18008,16620
1990-06-22,17877,16620
1990-06-23,17877,16502
1990-06-25,17877,16502
1990-06-26,17812,16502
1990-06-27,17615,16444
1990-06-28,17157,16267
1990-06-29,16961,15854
1990-06-30,16829,15677
1990-07-02,17484,15558
1990-07-03,17223,16149
1990-07-04,17091,15914
1990-07-05,17157,15795
1990-07-06,16895,15854
1990-07-07,17026,15617
1990-07-09,17091,15736
1990-07-10,17026,15795
1990-07-11,17026,15736
1990-07-12,16699,15736
1990-07-13,16699,15440
1990-07-14,16699,15440
1990-07-16,16699,15440
1990-07-18,16371,15440
1990-07-19,16502,15142
1990-07-20,16044,15261
1990-07-21,15913,14845
1990-07-23,15782,14726
1990-07-24,15847,14606
1990-07-25,15716,14666
1990-07-26,15716,14546
1990-07-27,15782,14546
1990-07-28,15716,14606
1990-07-30,15782,14546
1990-07-31,15978,14606
1990-08-01,15847,14785
1990-08-02,15585,14666
1990-08-03,15454,14427
1990-08-04,15454,14307
1990-08-06,15389,14307
1990-08-07,15389,14248
1990-08-08,15389,14248
1990-08-09,15454,14248
1990-08-10,15454,14307
1990-08-11,15389,14307
1990-08-13,14734,14248
1990-08-14,15062,13649
1990-08-16,15062,13949
1990-08-17,15062,13949
1990-08-18,14996,13949
1990-08-20,14996,13889
1990-08-21,14996,13889
1990-08-22,14996,13889
1990-08-23,14996,13889
1990-08-24,14931,13889
1990-08-25,15585,13829
1990-08-27,16240,14427
1990-08-28,15716,15023
1990-08-29,15062,14546
1990-08-30,15062,13949
1990-08-31,15062,13949
1990-09-01,15520,13949
1990-09-03,15192,14367
1990-09-04,15192,14068
1990-09-05,14996,14068
1990-09-06,14996,13889
1990-09-07,14996,13889
1990-09-08,14931,13889
1990-09-10,14931,13829
