Date,Actual Closing Price,Forecast Closing Price
1990-01-03,1238,22453
1990-01-04,1209,22494
1990-01-05,1209,22468
1990-01-06,1203,22468
1990-01-08,1244,22463
1990-01-09,1215,22500
1990-01-10,1203,22474
1990-01-11,1192,22463
1990-01-12,1180,22453
1990-01-13,1163,22443
1990-01-15,1192,22427
1990-01-16,1163,22453
1990-01-17,1163,22427
1990-01-18,1139,22427
1990-01-19,1145,22406
1990-01-20,1180,22411
1990-01-22,1186,22443
1990-01-23,1203,22448
1990-01-24,1233,22463
1990-01-25,1238,22490
1990-01-29,1203,22494
1990-01-30,1244,22463
1990-01-31,1227,22500
1990-02-01,1209,22485
1990-02-02,1209,22468
1990-02-03,1215,22468
1990-02-05,1215,22474
1990-02-06,1198,22474
1990-02-07,1209,22459
1990-02-08,1203,22468
1990-02-09,1186,22463
1990-02-10,1192,22448
1990-02-12,1186,22453
1990-02-13,1186,22448
1990-02-14,1198,22448
1990-02-15,1198,22459
1990-02-16,1180,22459
1990-02-17,1192,22443
1990-02-19,1186,22453
1990-02-20,1186,22448
1990-02-21,1180,22448
1990-02-22,1168,22443
1990-02-23,1163,22432
1990-02-24,1151,22427
1990-02-26,1192,22417
1990-02-27,1163,22453
1990-02-28,1192,22427
1990-03-02,1163,22453
1990-03-03,1157,22427
1990-03-05,1157,22422
1990-03-06,1157,22422
1990-03-07,1134,22422
1990-03-08,1134,22401
1990-03-09,1134,22401
1990-03-12,1128,22401
1990-03-13,1134,22396
1990-03-14,1139,22401
1990-03-15,1139,22406
1990-03-16,1122,22406
1990-03-17,1134,22391
1990-03-19,1134,22401
1990-03-20,1139,22401
1990-03-21,1139,22406
1990-03-22,1145,22406
1990-03-23,1145,22411
1990-03-24,1128,22411
1990-03-26,1139,22396
1990-03-27,1134,22406
1990-03-28,1122,22401
1990-03-29,1139,22391
1990-03-30,1139,22406
1990-03-31,1134,22406
1990-04-02,1134,22401
1990-04-03,1139,22401
1990-04-04,1151,22406
1990-04-06,1104,22417
1990-04-07,1128,22375
1990-04-09,1122,22396
1990-04-10,1122,22391
1990-04-11,1122,22391
1990-04-12,1116,22391
1990-04-13,1110,22385
1990-04-14,1082,22380
1990-04-16,1104,22355
1990-04-17,1104,22375
1990-04-18,1070,22375
1990-04-19,1070,22344
1990-04-20,1070,22344
1990-04-21,1047,22344
1990-04-23,1024,22324
1990-04-24,1006,22303
1990-04-25,960,22287
1990-04-26,971,22246
1990-04-27,925,22256
1990-04-28,878,22215
1990-04-30,925,22173
1990-05-01,971,22215
1990-05-03,1018,22256
1990-05-04,1000,22298
1990-05-07,971,22282
1990-05-08,971,22256
1990-05-09,960,22256
1990-05-10,954,22246
1990-05-11,960,22241
1990-05-12,913,22246
1990-05-14,878,22204
1990-05-15,925,22173
1990-05-16,925,22215
1990-05-17,907,22215
1990-05-18,907,22199
1990-05-19,931,22199
1990-05-21,960,22220
1990-05-22,966,22246
1990-05-23,960,22252
1990-05-24,983,22246
1990-05-25,954,22267
1990-05-26,954,22241
1990-05-28,954,22241
1990-05-29,966,22241
1990-05-30,1012,22252
1990-05-31,1059,22293
1990-06-01,1059,22335
1990-06-02,1093,22335
1990-06-04,1082,22365
1990-06-05,1104,22355
1990-06-07,1082,22375
1990-06-08,1065,22355
1990-06-09,1035,22340
1990-06-11,1030,22313
1990-06-12,1024,22309
1990-06-13,1030,22303
1990-06-14,1030,22309
1990-06-15,1035,22309
1990-06-16,1012,22313
1990-06-18,1006,22293
1990-06-19,995,22287
1990-06-20,995,22277
1990-06-21,1000,22277
1990-06-22,1006,22282
1990-06-23,1000,22287
1990-06-25,983,22282
1990-06-26,971,22267
1990-06-27,960,22256
1990-06-28,936,22246
1990-06-29,907,22225
1990-06-30,907,22199
1990-07-02,954,22199
1990-07-03,948,22241
1990-07-04,948,22235
1990-07-05,954,22235
1990-07-06,954,22241
1990-07-07,942,22241
1990-07-09,942,22230
1990-07-10,931,22230
1990-07-11,907,22220
1990-07-12,901,22199
1990-07-13,901,22194
1990-07-14,878,22194
1990-07-16,890,22173
1990-07-18,890,22184
1990-07-19,878,22184
1990-07-20,866,22173
1990-07-21,884,22162
1990-07-23,878,22178
1990-07-24,890,22173
1990-07-25,872,22184
1990-07-26,878,22168
1990-07-27,890,22173
1990-07-28,890,22184
1990-07-30,896,22184
1990-07-31,919,22189
1990-08-01,931,22210
1990-08-02,919,22220
1990-08-03,901,22210
1990-08-04,872,22194
1990-08-06,866,22168
1990-08-07,866,22162
1990-08-08,872,22162
1990-08-09,901,22168
1990-08-10,890,22194
1990-08-11,884,22184
1990-08-13,849,22178
1990-08-14,849,22147
1990-08-16,843,22147
1990-08-17,849,22142
1990-08-18,820,22147
1990-08-20,826,22121
1990-08-21,843,22127
