Date,Actual Closing Price,Forecast Closing Price
2006-06-29,40961,56331
2006-06-30,41461,57941
2006-07-03,44011,58270
2006-07-04,44011,59952
2006-07-05,44411,59952
2006-07-06,45812,60217
2006-07-07,45762,61145
2006-07-10,45512,61112
2006-07-11,44511,60946
2006-07-12,43011,60283
2006-07-13,43061,59292
2006-07-14,40510,59325
2006-07-18,40510,57644
2006-07-19,40811,57644
2006-07-20,39410,57842
2006-07-21,40060,56922
2006-07-24,40010,57348
2006-07-25,39510,57315
2006-07-26,39960,56987
2006-07-27,40010,57283
2006-07-28,40110,57315
2006-07-31,40110,57381
2006-08-01,40210,57381
2006-08-02,40460,57447
2006-08-03,41111,57611
2006-08-04,40961,58039
2006-08-07,41511,57941
2006-08-08,41861,58303
2006-08-09,41911,58533
2006-08-10,41861,58566
2006-08-11,41811,58533
2006-08-14,41561,58500
2006-08-16,41461,58336
2006-08-17,40560,58270
2006-08-18,40410,57677
2006-08-21,40911,57578
2006-08-22,41461,57908
2006-08-23,41211,58270
2006-08-24,41561,58105
2006-08-25,41611,58336
2006-08-28,41411,58368
2006-08-29,41661,58237
2006-08-30,41811,58401
2006-08-31,41361,58500
2006-09-01,41111,58204
2006-09-04,40911,58039
2006-09-05,40510,57908
2006-09-06,40160,57644
2006-09-07,40260,57414
2006-09-08,39810,57480
2006-09-11,38960,57184
2006-09-12,39810,56626
2006-09-13,40010,57184
2006-09-14,41511,57315
2006-09-15,42011,58303
2006-09-18,43311,58632
2006-09-19,43011,59490
2006-09-20,42911,59292
2006-09-21,43761,59226
2006-09-22,43011,59787
2006-09-25,43161,59292
2006-09-26,43811,59391
2006-09-27,43311,59820
2006-09-28,44011,59490
2006-09-29,44962,59952
2006-10-02,45562,60582
2006-10-04,45562,60979
2006-10-09,46012,60979
2006-10-10,46012,61277
2006-10-11,46412,61277
2006-10-12,46612,61543
2006-10-13,46662,61676
2006-10-16,46662,61709
2006-10-17,46662,61709
2006-10-18,47012,61709
2006-10-19,46912,61941
2006-10-20,46812,61875
2006-10-23,47762,61808
2006-10-24,47362,62440
2006-10-25,47912,62174
2006-10-26,48112,62540
2006-10-27,48112,62673
2006-10-30,48813,62673
2006-10-31,49563,63140
2006-11-01,50013,63640
2006-11-02,50513,63940
2006-11-03,50513,64274
2006-11-06,51513,64274
2006-11-07,51013,64943
2006-11-08,51513,64608
2006-11-09,51513,64943
2006-11-10,51213,64943
2006-11-13,50913,64742
2006-11-14,50913,64542
2006-11-15,50613,64542
2006-11-16,49913,64341
2006-11-17,50013,63873
2006-11-20,50813,63940
2006-11-21,50413,64475
2006-11-22,50513,64207
2006-11-23,51713,64274
2006-11-24,51713,65077
2006-11-27,50813,65077
2006-11-28,50413,64475
2006-11-29,50513,64207
2006-11-30,50513,64274
2006-12-01,51513,64274
2006-12-04,54014,64943
2006-12-05,56915,66621
2006-12-06,54714,68575
2006-12-07,53814,67091
2006-12-08,55514,66486
2006-12-11,55314,67630
2006-12-12,55914,67495
2006-12-13,54714,67900
2006-12-14,53714,67091
2006-12-15,53714,66419
2006-12-18,53714,66419
2006-12-19,55314,66419
2006-12-20,55714,67495
2006-12-21,56515,67765
2006-12-22,56314,68305
2006-12-26,56314,68169
2006-12-27,58015,68169
2006-12-28,56314,69319
2007-01-02,53814,68169
2007-01-03,52514,66486
2007-01-04,52514,65614
2007-01-05,53414,65614
2007-01-08,53414,66217
2007-01-09,52914,66217
2007-01-10,54414,65882
2007-01-11,55014,66889
2007-01-12,55214,67293
2007-01-15,54814,67428
2007-01-16,55514,67159
2007-01-17,55514,67630
2007-01-18,55014,67630
2007-01-19,55014,67293
2007-01-22,55414,67293
2007-01-23,55914,67563
2007-01-24,56214,67900
2007-01-25,56214,68102
2007-01-26,56014,68102
2007-01-29,56014,67967
2007-01-30,56214,67967
2007-01-31,55514,68102
2007-02-01,55214,67630
2007-02-02,55214,67428
2007-02-05,53714,67428
2007-02-06,54314,66419
2007-02-07,55014,66822
2007-02-08,55814,67293
2007-02-09,55814,67832
2007-02-12,55614,67832
2007-02-13,56615,67697
2007-02-14,57715,68372
2007-02-15,57615,69116
2007-02-16,57815,69048
2007-02-20,56915,69183
2007-02-21,56915,68575
2007-02-22,55314,68575
2007-02-23,55414,67495
2007-02-26,55414,67563
2007-02-27,55414,67563
2007-02-28,55014,67563
2007-03-02,53214,67293
2007-03-05,53914,66083
2007-03-06,53914,66553
2007-03-07,54514,66553
2007-03-08,54814,66957
2007-03-09,54414,67159
2007-03-12,54014,66889
2007-03-13,52213,66621
2007-03-14,52714,65412
2007-03-15,52914,65748
2007-03-16,54314,65882
2007-03-19,53414,66822
2007-03-20,52213,66217
2007-03-21,52313,65412
2007-03-22,52313,65479
