Date,Actual Closing Price,Forecast Closing Price
2023-11-17,74300,130059
2023-11-20,96500,135528
2023-11-21,91200,142637
2023-11-22,99100,140939
2023-11-23,99100,143470
2023-11-24,124600,143470
2023-11-27,133000,151644
2023-11-28,136500,154338
2023-11-29,137000,155461
2023-11-30,136400,155621
2023-12-01,137500,155428
2023-12-04,131800,155781
2023-12-05,121700,153953
2023-12-06,127000,150714
2023-12-07,134400,152414
2023-12-08,140200,154787
2023-12-11,140400,156647
2023-12-12,140500,156711
2023-12-13,140500,156743
2023-12-14,169000,156743
2023-12-15,213000,165883
2023-12-18,205500,179980
2023-12-19,205000,177579
2023-12-20,198900,177419
2023-12-21,188500,175466
2023-12-22,175800,172134
2023-12-26,171600,168063
2023-12-27,188500,166717
2023-12-28,199900,172134
2024-01-02,206000,175786
2024-01-03,213000,177739
2024-01-04,201000,179980
2024-01-05,216000,176138
2024-01-08,220500,180940
2024-01-09,240000,182380
2024-01-10,231000,188612
2024-01-11,230500,185737
2024-01-12,216500,185577
2024-01-15,223500,181100
2024-01-16,226500,183339
2024-01-17,215500,184298
2024-01-18,216500,180780
2024-01-19,192000,181100
2024-01-22,170000,173255
2024-01-23,173000,166204
2024-01-24,157100,167166
2024-01-25,159700,162067
2024-01-26,144300,162901
2024-01-29,145100,157962
2024-01-30,149400,158219
2024-01-31,173600,159598
2024-02-01,176000,167358
2024-02-02,165200,168127
2024-02-05,159200,164665
2024-02-06,165500,162741
2024-02-07,171900,164761
2024-02-08,209500,166813
2024-02-13,200000,178860
2024-02-14,200500,175818
2024-02-15,198600,175978
2024-02-16,187600,175370
2024-02-19,190400,171845
2024-02-20,188100,172743
2024-02-21,194900,172006
2024-02-22,202000,174184
2024-02-23,190600,176458
2024-02-26,191000,172807
2024-02-27,189400,172935
2024-02-28,193100,172422
2024-02-29,180700,173608
2024-03-04,167500,169634
2024-03-05,162300,165402
2024-03-06,163000,163735
2024-03-07,156300,163959
2024-03-08,156800,161811
2024-03-11,160700,161971
2024-03-12,157700,163222
2024-03-13,154200,162260
2024-03-14,150200,161137
2024-03-15,151800,159854
2024-03-18,152100,160367
2024-03-19,149700,160464
2024-03-20,150700,159694
2024-03-21,149800,160015
2024-03-22,145300,159726
2024-03-25,141200,158283
2024-03-26,139200,156968
2024-03-27,133600,156326
2024-03-28,130800,154530
2024-03-29,131500,153633
2024-04-01,123500,153857
2024-04-02,118700,151292
2024-04-03,119100,149753
2024-04-04,117500,149881
2024-04-05,117600,149368
2024-04-08,122800,149400
2024-04-09,119500,151067
