Date,Actual Closing Price,Forecast Closing Price
2000-07-11,87800,135259
2000-07-12,98300,144358
2000-07-13,110000,154581
2000-07-14,123000,166037
2000-07-18,137500,178832
2000-07-19,121000,193164
2000-07-20,112000,176860
2000-07-21,99900,168002
2000-07-24,111500,156144
2000-07-25,104000,167510
2000-07-26,97000,160154
2000-07-27,90500,153312
2000-07-28,93200,146981
2000-07-31,104000,149608
2000-08-01,103000,160154
2000-08-02,106500,159175
2000-08-03,102000,162604
2000-08-04,101500,158197
2000-08-07,106000,157708
2000-08-08,104500,162114
2000-08-09,101500,160644
2000-08-10,95700,157708
2000-08-11,94000,152044
2000-08-14,95300,150387
2000-08-16,90900,151654
2000-08-17,88900,147370
2000-08-18,82700,145426
2000-08-21,86000,139415
2000-08-22,84500,142611
2000-08-23,81600,141157
2000-08-24,81100,138351
2000-08-25,90800,137867
2000-08-28,94000,147272
2000-08-29,100500,150387
2000-08-30,97600,156730
2000-08-31,100000,153898
2000-09-01,112000,156242
2000-09-04,117500,168002
2000-09-05,116000,173411
2000-09-06,114500,171935
2000-09-07,107000,170459
2000-09-08,103500,163094
2000-09-14,98800,159665
2000-09-15,87400,155069
2000-09-18,90400,143969
2000-09-19,101000,146884
2000-09-20,100000,157219
2000-09-21,92000,156242
2000-09-22,102500,148440
2000-09-25,101500,158686
2000-09-26,107000,157708
2000-09-27,106500,163094
2000-09-28,119000,162604
2000-09-29,128000,174889
2000-10-02,127500,183768
2000-10-04,123500,183274
2000-10-05,122000,179325
2000-10-06,116000,177846
2000-10-09,121000,171935
2000-10-10,114000,176860
2000-10-11,115000,169967
2000-10-12,103000,170951
2000-10-13,109500,159175
2000-10-16,96500,165546
2000-10-17,99900,152824
2000-10-18,101000,156144
2000-10-19,101500,157219
2000-10-20,97600,157708
2000-10-23,97300,153898
2000-10-24,96800,153605
2000-10-25,92600,153117
2000-10-26,96900,149024
2000-10-27,88300,153214
2000-10-30,88300,144843
2000-10-31,88500,144843
2000-11-01,89800,145037
2000-11-02,92000,146300
2000-11-03,92800,148440
2000-11-06,91000,149218
2000-11-07,89000,147467
2000-11-08,88700,145523
2000-11-09,90400,145232
2000-11-10,87500,146884
2000-11-13,88400,144066
2000-11-14,92000,144940
2000-11-15,92800,148440
2000-11-16,91200,149218
2000-11-17,90000,147661
2000-11-20,87600,146495
2000-11-21,86700,144164
2000-11-22,81900,143290
2000-11-23,85200,138641
2000-11-24,86500,141836
2000-11-27,82300,143096
2000-11-28,72600,139028
2000-11-29,68000,129674
2000-11-30,68700,125261
2000-12-01,67400,125931
2000-12-04,70000,124686
2000-12-05,71400,127178
2000-12-06,70000,128521
2000-12-07,72000,127178
2000-12-08,79400,129098
2000-12-11,76000,136225
2000-12-12,80500,132946
2000-12-13,82100,137287
2000-12-14,78700,138834
2000-12-15,76700,135549
2000-12-18,72100,133620
2000-12-19,65400,129194
2000-12-20,58200,122773
2000-12-21,52100,115911
2000-12-22,53500,110130
2000-12-26,59900,111454
2001-01-02,62000,117528
2001-01-03,69400,119528
2001-01-04,76200,126602
2001-01-05,76100,133138
2001-01-08,76500,133042
2001-01-09,68800,133427
2001-01-10,76500,126027
