Date,Actual Closing Price,Forecast Closing Price
2017-07-07,88000,81873
2017-07-10,82800,87278
2017-07-11,83500,82346
2017-07-12,81600,83008
2017-07-13,81000,81212
2017-07-14,82200,80645
2017-07-17,83300,81778
2017-07-18,84600,82819
2017-07-19,80500,84050
2017-07-20,81200,80174
2017-07-21,83000,80834
2017-07-24,83300,82535
2017-07-25,85100,82819
2017-07-26,84200,84524
2017-07-27,84800,83671
2017-07-28,82100,84239
2017-07-31,83500,81684
2017-08-01,82900,83008
2017-08-02,83700,82440
2017-08-03,85300,83197
2017-08-04,85600,84713
2017-08-07,85000,84998
2017-08-08,85600,84429
2017-08-09,85300,84998
2017-08-10,86500,84713
2017-08-11,89400,85852
2017-08-14,95300,88611
2017-08-16,92200,94247
2017-08-17,95400,91282
2017-08-18,92500,94343
2017-08-21,93600,91569
2017-08-22,94300,92620
2017-08-23,93900,93290
2017-08-24,92200,92907
2017-08-25,89600,91282
2017-08-28,90800,88802
2017-08-29,90300,89946
2017-08-30,87300,89469
2017-08-31,87400,86613
2017-09-01,86400,86708
2017-09-04,85200,85757
2017-09-05,86300,84619
2017-09-06,86900,85663
2017-09-07,87300,86233
2017-09-08,91700,86613
2017-09-11,92500,90805
2017-09-12,93300,91569
2017-09-13,96000,92334
2017-09-14,96600,94918
2017-09-15,97000,95492
2017-09-18,97100,95876
2017-09-19,97500,95972
2017-09-20,99100,96355
2017-09-21,99400,97890
2017-09-22,95900,98178
2017-09-25,99000,94822
2017-09-26,98000,97794
2017-09-27,95100,96835
2017-09-28,97000,94056
2017-09-29,95000,95876
2017-10-10,91000,93960
2017-10-11,94000,90137
2017-10-12,94300,93003
2017-10-13,94800,93290
2017-10-16,93800,93768
2017-10-17,93800,92812
2017-10-18,93000,92812
2017-10-19,94700,92047
2017-10-20,93100,93673
2017-10-23,95600,92142
2017-10-24,94600,94534
2017-10-25,100500,93577
2017-10-26,100500,99234
2017-10-27,105500,99234
2017-10-30,106000,104040
2017-10-31,105500,104521
