Date,Actual Closing Price,Forecast Closing Price
2019-02-13,16000,15062
2019-02-14,15650,15608
2019-02-15,15750,15337
2019-02-18,15550,15415
2019-02-19,15250,15259
2019-02-20,15100,15022
2019-02-21,14850,14903
2019-02-22,14900,14702
2019-02-25,14700,14742
2019-02-26,14800,14581
2019-02-27,14800,14662
2019-02-28,14400,14662
2019-03-04,14250,14336
2019-03-05,14350,14213
2019-03-06,14200,14295
2019-03-07,14000,14172
2019-03-08,14150,14006
2019-03-11,14400,14131
2019-03-12,14550,14336
2019-03-13,14350,14459
2019-03-14,14850,14295
2019-03-15,14950,14702
2019-03-18,14900,14783
2019-03-19,15000,14742
2019-03-20,14650,14823
2019-03-21,14050,14540
2019-03-22,13400,14048
2019-03-25,13350,13504
2019-03-26,13500,13461
2019-03-27,13550,13588
2019-03-28,13750,13630
2019-03-29,14150,13798
2019-04-01,14250,14131
2019-04-02,14400,14213
2019-04-03,14450,14336
2019-04-04,14400,14377
2019-04-05,14300,14336
2019-04-08,14350,14254
2019-04-09,14350,14295
2019-04-10,14350,14295
2019-04-11,14300,14295
2019-04-12,14300,14254
2019-04-15,14200,14254
2019-04-16,14150,14172
2019-04-17,14000,14131
2019-04-18,13950,14006
2019-04-19,13850,13965
2019-04-22,14000,13882
2019-04-23,13850,14006
2019-04-24,14000,13882
2019-04-25,13850,14006
2019-04-26,14000,13882
2019-04-29,13850,14006
2019-04-30,14200,13882
2019-05-02,13950,14172
2019-05-03,14050,13965
2019-05-07,14050,14048
2019-05-08,13850,14048
2019-05-09,13800,13882
2019-05-10,13600,13840
2019-05-13,13700,13672
2019-05-14,13850,13756
2019-05-15,13800,13882
2019-05-16,13700,13840
2019-05-17,13750,13756
2019-05-20,13850,13798
2019-05-21,14050,13882
2019-05-22,13950,14048
2019-05-23,14250,13965
2019-05-24,14100,14213
2019-05-27,14150,14089
2019-05-28,14000,14131
2019-05-29,14100,14006
2019-05-30,13900,14089
2019-05-31,14000,13923
2019-06-03,14100,14006
2019-06-04,13850,14089
2019-06-05,13750,13882
2019-06-07,13850,13798
2019-06-10,13900,13882
2019-06-11,14000,13923
2019-06-12,14000,14006
2019-06-13,13950,14006
2019-06-14,14100,13965
2019-06-17,14100,14089
2019-06-18,14400,14089
2019-06-19,14400,14336
2019-06-20,14000,14336
2019-06-21,14050,14006
2019-06-24,13950,14048
2019-06-25,14000,13965
2019-06-26,14100,14006
2019-06-27,14050,14089
2019-06-28,14000,14048
2019-07-01,14050,14006
2019-07-02,13900,14048
2019-07-03,14000,13923
2019-07-04,14050,14006
2019-07-05,13850,14048
2019-07-08,13700,13882
2019-07-09,13650,13756
2019-07-10,13900,13714
2019-07-11,13850,13923
2019-07-12,13800,13882
2019-07-15,13900,13840
2019-07-16,13800,13923
2019-07-17,13800,13840
2019-07-18,13800,13840
2019-07-19,13800,13840
2019-07-22,14000,13840
2019-07-23,14000,14006
2019-07-24,13700,14006
2019-07-25,13500,13756
2019-07-26,13150,13588
2019-07-29,13050,13292
2019-07-30,13100,13206
2019-07-31,13100,13249
2019-08-01,12550,13249
2019-08-02,12500,12777
2019-08-05,12250,12734
2019-08-06,12100,12517
2019-08-07,12100,12386
2019-08-08,12150,12386
2019-08-09,11950,12430
2019-08-12,11750,12255
2019-08-13,11600,12080
2019-08-14,11300,11948
2019-08-16,11600,11684
2019-08-19,11600,11948
2019-08-20,11600,11948
2019-08-21,11650,11948
2019-08-22,11550,11992
2019-08-23,11550,11904
2019-08-26,11250,11904
2019-08-27,11200,11639
2019-08-28,11250,11595
2019-08-29,11900,11639
2019-08-30,11900,12211
2019-09-02,11900,12211
2019-09-03,12100,12211
2019-09-04,12050,12386
2019-09-05,12050,12343
2019-09-06,12100,12343
2019-09-09,12350,12386
2019-09-10,12450,12604
2019-09-11,12600,12690
2019-09-16,12550,12820
2019-09-17,12550,12777
2019-09-18,12400,12777
2019-09-19,12600,12647
2019-09-20,12500,12820
2019-09-23,12600,12734
2019-09-24,12400,12820
2019-09-25,12600,12647
2019-09-26,12100,12820
2019-09-27,12450,12386
2019-09-30,12300,12690
2019-10-01,11900,12560
2019-10-02,11900,12211
2019-10-04,11750,12211
2019-10-07,11750,12080
2019-10-08,11200,12080
2019-10-10,11500,11595
2019-10-11,11800,11860
2019-10-14,11700,12124
2019-10-15,11800,12036
2019-10-16,12100,12124
2019-10-17,12050,12386
2019-10-18,12150,12343
2019-10-21,12600,12430
2019-10-22,12350,12820
2019-10-23,12450,12604
2019-10-24,12400,12690
2019-10-25,12000,12647
2019-10-28,12100,12299
2019-10-29,11800,12386
2019-10-30,11750,12124
2019-10-31,11800,12080
2019-11-01,12100,12124
2019-11-04,12100,12386
2019-11-05,12100,12386
2019-11-06,12300,12386
2019-11-07,12300,12560
2019-11-08,12200,12560
2019-11-11,12400,12473
2019-11-12,12100,12647
2019-11-13,12000,12386
2019-11-14,12400,12299
2019-11-15,12250,12647
2019-11-18,12200,12517
2019-11-19,12250,12473
2019-11-20,11850,12517
2019-11-21,12050,12168
2019-11-22,11950,12343
2019-11-25,11850,12255
2019-11-26,11850,12168
2019-11-27,11800,12168
2019-11-28,11700,12124
2019-11-29,11700,12036
2019-12-02,11550,12036
2019-12-03,11550,11904
2019-12-04,11400,11904
2019-12-05,11350,11772
2019-12-06,11450,11728
2019-12-09,11350,11816
2019-12-10,11350,11728
2019-12-11,11800,11728
2019-12-12,12150,12124
2019-12-13,11950,12430
2019-12-16,11850,12255
2019-12-17,11900,12168
2019-12-18,12000,12211
2019-12-19,12000,12299
2019-12-20,12150,12299
2019-12-23,12050,12430
2019-12-24,12250,12343
2019-12-26,11650,12517
2019-12-27,11600,11992
2019-12-30,11400,11948
2020-01-02,11300,11772
2020-01-03,11050,11684
2020-01-06,11100,11462
2020-01-07,10650,11507
2020-01-08,10650,11107
2020-01-09,10500,11107
2020-01-10,10600,10973
2020-01-13,10650,11062
2020-01-14,10750,11107
2020-01-15,10650,11196
2020-01-16,10650,11107
2020-01-17,10900,11107
2020-01-20,10750,11329
2020-01-21,10850,11196
2020-01-22,10800,11285
2020-01-23,10350,11240
2020-01-28,10400,10839
2020-01-29,10400,10884
2020-01-30,10150,10884
2020-01-31,10100,10661
2020-02-03,10150,10616
2020-02-04,10250,10661
2020-02-05,10500,10750
2020-02-06,10300,10973
2020-02-07,10150,10795
2020-02-10,10350,10661
2020-02-11,10350,10839
2020-02-12,10300,10839
2020-02-13,10200,10795
2020-02-14,10250,10705
2020-02-17,10100,10750
2020-02-18,10050,10616
2020-02-19,9950,10571
2020-02-20,9810,10482
2020-02-21,9400,10357
2020-02-24,9790,9990
2020-02-25,9810,10339
2020-02-26,9910,10357
2020-02-27,9610,10446
2020-02-28,9490,10178
2020-03-02,9470,10070
2020-03-03,9630,10052
2020-03-04,9410,10196
2020-03-05,9200,9998
2020-03-06,8600,9810
2020-03-09,8500,9273
2020-03-10,8570,9184
2020-03-11,8220,9247
2020-03-12,7770,8934
2020-03-13,7630,8533
2020-03-16,7310,8409
2020-03-17,7000,8126
2020-03-18,6560,7852
2020-03-19,7440,7466
2020-03-20,6560,8241
2020-03-23,6950,7466
2020-03-24,7410,7808
2020-03-25,7300,8214
2020-03-26,7600,8117
2020-03-27,7490,8382
2020-03-30,7650,8285
2020-03-31,7270,8427
2020-04-01,7390,8090
2020-04-02,7300,8196
2020-04-03,7620,8117
2020-04-06,7750,8400
2020-04-07,7540,8516
2020-04-08,7640,8329
2020-04-09,7970,8418
2020-04-10,7900,8711
2020-04-13,8160,8649
2020-04-14,8100,8880
2020-04-16,8220,8827
2020-04-17,8120,8934
2020-04-20,7940,8845
2020-04-21,7970,8684
2020-04-22,7910,8711
2020-04-23,7850,8658
2020-04-24,8330,8604
2020-04-27,8430,9032
2020-04-28,8440,9121
2020-04-29,8000,9130
2020-05-04,8060,8738
2020-05-06,8020,8791
2020-05-07,8070,8756
2020-05-08,8010,8800
2020-05-11,7850,8747
2020-05-12,8010,8604
2020-05-13,7810,8747
2020-05-14,7950,8569
2020-05-15,7850,8693
2020-05-18,8150,8604
2020-05-19,8070,8872
2020-05-20,8040,8800
2020-05-21,7830,8774
2020-05-22,8030,8587
2020-05-25,8190,8765
2020-05-26,8360,8907
2020-05-27,8740,9059
2020-05-28,9130,9399
2020-05-29,9120,9748
2020-06-01,9700,9739
2020-06-02,10350,10258
2020-06-03,10000,10839
2020-06-04,10050,10527
2020-06-05,10050,10571
2020-06-08,9850,10571
2020-06-09,9830,10392
2020-06-10,9550,10375
2020-06-11,9350,10124
2020-06-12,8880,9945
2020-06-15,9440,9524
2020-06-16,9280,10025
2020-06-17,9220,9882
2020-06-18,9310,9828
2020-06-19,9190,9909
2020-06-22,9160,9801
2020-06-23,9250,9775
2020-06-24,8890,9855
2020-06-25,8940,9533
2020-06-26,8690,9578
2020-06-29,8810,9354
2020-06-30,8930,9461
2020-07-01,8920,9569
2020-07-02,8950,9560
2020-07-03,9060,9587
2020-07-06,8930,9685
2020-07-07,8810,9569
2020-07-08,8710,9461
2020-07-09,8410,9372
2020-07-10,8600,9104
2020-07-13,8500,9273
2020-07-14,8790,9184
2020-07-15,8890,9443
2020-07-16,8820,9533
2020-07-17,8970,9470
2020-07-20,8940,9604
2020-07-21,8860,9578
2020-07-22,8820,9506
2020-07-23,8800,9470
2020-07-24,8780,9452
2020-07-27,8680,9434
2020-07-28,8670,9345
2020-07-29,8680,9336
2020-07-30,8500,9345
2020-07-31,8390,9184
2020-08-03,8570,9086
2020-08-04,8560,9247
