Date,Actual Closing Price,Forecast Closing Price
1990-01-03,1125,9027
1990-01-04,1125,9051
1990-01-05,1138,9051
1990-01-06,1161,9059
1990-01-08,1161,9072
1990-01-09,1165,9072
1990-01-10,1154,9075
1990-01-11,1145,9068
1990-01-12,1134,9063
1990-01-13,1114,9056
1990-01-15,1105,9045
1990-01-16,1092,9039
1990-01-17,1114,9032
1990-01-18,1105,9045
1990-01-19,1125,9039
1990-01-20,1138,9051
1990-01-22,1117,9059
1990-01-23,1134,9046
1990-01-24,1138,9056
1990-01-25,1134,9059
1990-01-29,1138,9056
1990-01-30,1145,9059
1990-01-31,1145,9063
1990-02-01,1145,9063
1990-02-02,1145,9063
1990-02-03,1161,9063
1990-02-05,1161,9072
1990-02-06,1161,9072
1990-02-07,1174,9072
1990-02-08,1179,9080
1990-02-09,1174,9083
1990-02-10,1174,9080
1990-02-12,1181,9080
1990-02-13,1174,9084
1990-02-14,1161,9080
1990-02-15,1159,9072
1990-02-16,1159,9071
1990-02-17,1145,9071
1990-02-19,1120,9063
1990-02-20,1138,9048
1990-02-21,1149,9059
1990-02-22,1140,9065
1990-02-23,1140,9060
1990-02-24,1134,9060
1990-02-26,1114,9056
1990-02-27,1105,9045
1990-02-28,1105,9039
1990-03-02,1113,9039
1990-03-03,1100,9044
1990-03-05,1088,9036
1990-03-06,1085,9029
1990-03-07,1076,9027
1990-03-08,1059,9022
1990-03-09,1059,9012
1990-03-12,1059,9012
1990-03-13,1044,9012
1990-03-14,1069,9003
1990-03-15,1064,9018
1990-03-16,1064,9015
1990-03-17,1039,9015
1990-03-19,1076,9000
1990-03-20,1064,9022
1990-03-21,1072,9015
1990-03-22,1069,9020
1990-03-23,1064,9018
1990-03-24,1080,9015
1990-03-26,1069,9024
1990-03-27,1059,9018
1990-03-28,1072,9012
1990-03-29,1072,9020
1990-03-30,1064,9020
1990-03-31,1076,9015
1990-04-02,1076,9022
1990-04-03,1088,9022
1990-04-04,1105,9029
1990-04-06,1092,9039
1990-04-07,1092,9032
1990-04-09,1072,9032
1990-04-10,1080,9020
1990-04-11,1085,9024
1990-04-12,1085,9027
1990-04-13,1069,9027
1990-04-14,1052,9018
1990-04-16,1059,9008
1990-04-17,1032,9012
1990-04-18,995,8996
1990-04-19,971,8974
1990-04-20,979,8960
1990-04-21,1011,8965
1990-04-23,995,8984
1990-04-24,990,8974
1990-04-25,983,8971
1990-04-26,979,8967
1990-04-27,971,8965
1990-04-28,931,8960
1990-04-30,971,8937
1990-05-01,1011,8960
1990-05-03,1039,8984
1990-05-04,1032,9000
1990-05-07,1032,8996
1990-05-08,1028,8996
1990-05-09,1007,8994
1990-05-10,1007,8981
1990-05-11,999,8981
1990-05-12,990,8977
1990-05-14,955,8971
1990-05-15,995,8951
1990-05-16,995,8974
1990-05-17,971,8974
1990-05-18,971,8960
1990-05-19,990,8960
1990-05-21,1011,8971
1990-05-22,1003,8984
1990-05-23,990,8979
1990-05-24,990,8971
1990-05-25,979,8971
1990-05-26,971,8965
1990-05-28,971,8960
1990-05-29,971,8960
1990-05-30,971,8960
1990-05-31,962,8960
1990-06-01,995,8955
1990-06-02,1011,8974
1990-06-04,999,8984
1990-06-05,995,8977
1990-06-07,971,8974
1990-06-08,967,8960
1990-06-09,951,8958
1990-06-11,947,8948
1990-06-12,937,8946
1990-06-13,942,8940
1990-06-14,942,8943
1990-06-15,942,8943
1990-06-16,942,8943
1990-06-18,917,8943
1990-06-19,911,8928
1990-06-20,897,8925
1990-06-21,902,8917
1990-06-22,897,8920
1990-06-23,897,8917
1990-06-25,906,8917
1990-06-26,890,8922
1990-06-27,877,8913
1990-06-28,874,8905
1990-06-29,849,8903
1990-06-30,874,8889
1990-07-02,911,8903
1990-07-03,869,8925
1990-07-04,874,8900
1990-07-05,856,8903
1990-07-06,861,8893
1990-07-07,865,8896
1990-07-09,849,8898
1990-07-10,861,8889
1990-07-11,869,8896
1990-07-12,874,8900
1990-07-13,874,8903
1990-07-14,877,8903
1990-07-16,874,8905
1990-07-18,834,8903
1990-07-19,856,8880
1990-07-20,856,8893
1990-07-21,856,8893
1990-07-23,821,8893
1990-07-24,825,8872
1990-07-25,821,8875
1990-07-26,821,8872
1990-07-27,821,8872
1990-07-28,801,8872
1990-07-30,804,8861
1990-07-31,816,8862
1990-08-01,856,8869
1990-08-02,861,8893
1990-08-03,845,8896
1990-08-04,829,8886
1990-08-06,834,8877
1990-08-07,829,8880
1990-08-08,849,8877
1990-08-09,854,8889
1990-08-10,854,8892
1990-08-11,836,8892
1990-08-13,825,8881
1990-08-14,825,8875
1990-08-16,825,8875
1990-08-17,821,8875
1990-08-18,825,8872
1990-08-20,808,8875
1990-08-21,834,8865
1990-08-22,845,8880
1990-08-23,814,8886
1990-08-24,801,8868
1990-08-25,834,8861
1990-08-27,874,8880
1990-08-28,836,8903
1990-08-29,814,8881
1990-08-30,801,8868
1990-08-31,804,8861
1990-09-01,836,8862
1990-09-03,836,8881
1990-09-04,849,8881
1990-09-05,849,8889
1990-09-06,849,8889
1990-09-07,841,8889
1990-09-08,841,8884
1990-09-10,854,8884
1990-09-11,825,8892
1990-09-12,808,8875
1990-09-13,829,8865
1990-09-14,821,8877
1990-09-15,804,8872
1990-09-17,808,8862
1990-09-18,808,8865
1990-09-19,788,8865
1990-09-20,808,8853
1990-09-21,808,8865
1990-09-22,808,8865
1990-09-24,796,8865
1990-09-25,808,8858
1990-09-26,808,8865
1990-09-27,808,8865
1990-09-28,816,8865
1990-09-29,808,8869
1990-10-05,814,8865
1990-10-06,814,8868
1990-10-08,801,8868
1990-10-10,801,8861
1990-10-11,816,8861
1990-10-12,801,8869
1990-10-13,821,8861
1990-10-15,821,8872
1990-10-16,834,8872
1990-10-17,841,8880
1990-10-18,865,8884
1990-10-19,849,8898
1990-10-20,856,8889
1990-10-22,897,8893
1990-10-23,931,8917
1990-10-24,890,8937
1990-10-25,849,8913
1990-10-26,849,8889
1990-10-27,869,8889
1990-10-29,869,8900
1990-10-30,861,8900
1990-10-31,877,8896
1990-11-01,869,8905
1990-11-02,836,8900
1990-11-03,869,8881
1990-11-05,841,8900
1990-11-06,856,8884
1990-11-07,856,8893
1990-11-08,849,8893
1990-11-09,869,8889
1990-11-10,865,8900
1990-11-12,869,8898
1990-11-13,849,8900
1990-11-14,849,8889
1990-11-15,854,8889
1990-11-16,849,8892
1990-11-17,849,8889
1990-11-19,849,8889
1990-11-20,829,8889
1990-11-21,829,8877
1990-11-22,829,8877
1990-11-23,829,8877
1990-11-24,808,8877
1990-11-26,821,8865
1990-11-27,849,8872
1990-11-28,836,8889
1990-11-29,849,8881
1990-11-30,829,8889
1990-12-01,841,8877
1990-12-03,849,8884
1990-12-04,869,8889
1990-12-05,877,8900
1990-12-06,849,8905
1990-12-07,869,8889
1990-12-08,890,8900
1990-12-10,890,8913
1990-12-11,893,8913
1990-12-12,890,8914
1990-12-13,893,8913
1990-12-14,897,8914
1990-12-15,885,8917
1990-12-17,877,8910
1990-12-18,877,8905
1990-12-19,877,8905
1990-12-20,869,8905
1990-12-21,874,8900
1990-12-22,882,8903
1990-12-24,914,8908
1990-12-26,914,8927
1991-01-03,914,8927
1991-01-04,869,8927
1991-01-05,849,8900
1991-01-07,808,8889
1991-01-08,808,8865
1991-01-09,808,8865
1991-01-10,788,8865
1991-01-11,788,8853
1991-01-12,788,8853
1991-01-14,788,8853
1991-01-15,788,8853
1991-01-16,821,8853
1991-01-17,821,8872
1991-01-18,788,8872
1991-01-19,768,8853
1991-01-21,768,8841
1991-01-22,748,8841
1991-01-23,777,8830
1991-01-24,777,8847
1991-01-25,768,8847
1991-01-26,756,8841
1991-01-28,768,8834
1991-01-29,768,8841
1991-01-30,763,8841
1991-01-31,756,8838
1991-02-01,756,8834
1991-02-02,756,8834
1991-02-04,783,8834
1991-02-05,768,8850
1991-02-06,763,8841
1991-02-07,763,8838
1991-02-08,756,8838
1991-02-09,759,8834
1991-02-11,773,8836
1991-02-12,773,8844
1991-02-13,796,8844
1991-02-18,788,8858
1991-02-19,788,8853
1991-02-20,793,8853
1991-02-21,793,8856
1991-02-22,793,8856
1991-02-23,801,8856
1991-02-25,804,8861
1991-02-26,808,8862
1991-02-27,804,8865
1991-02-28,783,8862
1991-03-02,756,8850
1991-03-04,759,8834
1991-03-05,759,8836
1991-03-06,768,8836
1991-03-07,756,8841
1991-03-08,768,8834
1991-03-09,788,8841
1991-03-11,796,8853
1991-03-12,788,8858
1991-03-13,783,8853
1991-03-14,780,8850
1991-03-15,788,8848
1991-03-16,780,8853
1991-03-18,780,8848
1991-03-19,780,8848
1991-03-20,783,8848
1991-03-21,768,8850
1991-03-22,777,8841
1991-03-23,780,8847
1991-03-25,768,8848
1991-03-27,759,8841
1991-03-28,763,8836
1991-03-29,763,8838
1991-03-30,763,8838
1991-04-01,748,8838
1991-04-02,756,8830
1991-04-03,763,8834
1991-04-04,768,8838
1991-04-06,756,8841
1991-04-08,756,8834
1991-04-09,756,8834
1991-04-10,756,8834
1991-04-11,753,8834
1991-04-12,753,8833
1991-04-13,763,8833
1991-04-15,763,8838
1991-04-16,763,8838
1991-04-17,759,8838
1991-04-18,756,8836
1991-04-19,756,8834
1991-04-20,748,8834
1991-04-22,748,8830
1991-04-23,759,8830
1991-04-24,759,8836
1991-04-25,756,8836
1991-04-26,756,8834
1991-04-27,759,8834
1991-04-29,763,8836
1991-04-30,756,8838
1991-05-01,759,8834
1991-05-02,759,8836
1991-05-03,759,8836
1991-05-04,759,8836
1991-05-06,753,8836
1991-05-07,753,8833
1991-05-08,768,8833
1991-05-09,743,8841
1991-05-10,748,8827
1991-05-11,738,8830
1991-05-13,768,8824
1991-05-14,763,8841
1991-05-15,763,8838
1991-05-16,756,8838
1991-05-17,756,8834
1991-05-18,756,8834
1991-05-20,748,8834
1991-05-22,738,8830
1991-05-23,738,8824
1991-05-24,753,8824
1991-05-25,768,8833
1991-05-27,753,8841
1991-05-28,738,8833
1991-05-29,738,8824
1991-05-30,756,8824
1991-05-31,756,8834
1991-06-01,735,8834
1991-06-03,735,8822
1991-06-04,768,8822
1991-06-05,756,8841
1991-06-07,748,8834
1991-06-08,748,8830
1991-06-10,748,8830
1991-06-11,748,8830
1991-06-12,748,8830
1991-06-13,748,8830
1991-06-14,768,8830
1991-06-15,759,8841
1991-06-17,753,8836
1991-06-18,753,8833
1991-06-19,753,8833
1991-06-21,753,8833
1991-06-22,759,8833
1991-06-24,753,8836
1991-06-25,743,8833
1991-06-26,733,8827
1991-06-27,743,8821
1991-06-28,756,8827
1991-06-29,756,8834
1991-07-01,759,8834
1991-07-02,733,8836
1991-07-03,735,8821
1991-07-04,756,8822
1991-07-05,748,8834
1991-07-06,748,8830
1991-07-08,748,8830
1991-07-09,748,8830
1991-07-10,738,8830
1991-07-11,738,8824
1991-07-12,748,8824
1991-07-13,748,8830
1991-07-15,748,8830
1991-07-16,768,8830
1991-07-18,763,8841
1991-07-19,763,8838
1991-07-20,783,8838
1991-07-22,783,8850
1991-07-23,793,8850
1991-07-24,793,8856
1991-07-25,801,8856
1991-07-26,796,8861
1991-07-27,801,8858
1991-07-29,801,8861
1991-07-30,768,8861
1991-07-31,801,8841
1991-08-01,801,8861
1991-08-02,768,8861
1991-08-03,788,8841
1991-08-05,780,8853
1991-08-06,768,8848
1991-08-07,759,8841
1991-08-08,768,8836
1991-08-09,768,8841
1991-08-10,788,8841
1991-08-12,777,8853
1991-08-13,768,8847
1991-08-14,753,8841
1991-08-16,753,8833
1991-08-17,728,8833
1991-08-19,756,8818
1991-08-20,753,8834
1991-08-21,748,8833
1991-08-22,735,8830
1991-08-23,728,8822
1991-08-24,733,8818
1991-08-26,728,8821
1991-08-27,748,8818
1991-08-28,756,8830
1991-08-29,756,8834
1991-08-30,756,8834
1991-08-31,756,8834
1991-09-02,756,8834
1991-09-03,756,8834
1991-09-04,753,8834
1991-09-05,735,8833
1991-09-06,728,8822
1991-09-07,748,8818
1991-09-09,733,8830
1991-09-10,733,8821
1991-09-11,738,8821
1991-09-12,735,8824
1991-09-13,743,8822
1991-09-14,735,8827
1991-09-16,743,8822
1991-09-17,743,8827
1991-09-18,743,8827
1991-09-19,743,8827
1991-09-20,756,8827
1991-09-24,748,8834
1991-09-25,756,8830
1991-09-26,748,8834
1991-09-27,759,8830
1991-09-28,759,8836
1991-09-30,756,8836
1991-10-01,756,8834
1991-10-02,728,8834
1991-10-04,738,8818
1991-10-05,738,8824
1991-10-07,738,8824
1991-10-08,738,8824
1991-10-09,715,8824
1991-10-10,728,8810
1991-10-11,728,8818
1991-10-12,718,8818
1991-10-14,728,8812
1991-10-15,728,8818
1991-10-16,743,8818
1991-10-17,748,8827
1991-10-18,768,8830
1991-10-19,773,8841
1991-10-21,768,8844
1991-10-22,768,8841
1991-10-23,768,8841
1991-10-24,763,8841
1991-10-25,763,8838
1991-10-26,763,8838
1991-10-28,735,8838
1991-10-29,712,8822
1991-10-30,703,8809
1991-10-31,715,8803
1991-11-01,723,8810
1991-11-02,718,8815
1991-11-04,733,8812
1991-11-05,718,8821
1991-11-06,738,8812
1991-11-07,773,8824
1991-11-08,756,8844
1991-11-09,788,8834
1991-11-11,821,8853
1991-11-12,814,8872
1991-11-13,780,8868
1991-11-14,788,8848
1991-11-15,763,8853
1991-11-16,748,8838
1991-11-18,748,8830
1991-11-19,756,8830
1991-11-20,756,8834
1991-11-21,768,8834
1991-11-22,773,8841
1991-11-23,773,8844
1991-11-25,743,8844
1991-11-26,743,8827
1991-11-27,753,8827
1991-11-28,748,8833
1991-11-29,768,8830
1991-11-30,777,8841
1991-12-02,773,8847
1991-12-03,756,8844
1991-12-04,759,8834
1991-12-05,759,8836
1991-12-06,759,8836
1991-12-07,743,8836
1991-12-09,753,8827
1991-12-10,748,8833
1991-12-11,756,8830
1991-12-12,728,8834
1991-12-13,759,8818
1991-12-14,759,8836
1991-12-16,759,8836
1991-12-17,756,8836
1991-12-18,780,8834
1991-12-19,804,8848
1991-12-20,821,8862
1991-12-21,816,8872
1991-12-23,856,8869
1991-12-24,869,8893
1991-12-26,849,8900
1992-01-03,890,8889
1992-01-04,931,8913
1992-01-06,971,8937
1992-01-07,931,8960
1992-01-08,967,8937
1992-01-09,967,8958
1992-01-10,931,8958
1992-01-11,931,8937
1992-01-13,971,8937
1992-01-14,1011,8960
1992-01-15,1015,8984
1992-01-16,983,8986
1992-01-17,983,8967
1992-01-18,983,8967
1992-01-20,987,8967
1992-01-21,1019,8970
1992-01-22,995,8988
1992-01-23,990,8974
1992-01-24,958,8971
1992-01-25,999,8953
1992-01-27,999,8977
1992-01-28,987,8977
1992-01-29,958,8970
1992-01-30,979,8953
1992-01-31,1007,8965
1992-02-01,990,8981
1992-02-06,951,8971
1992-02-07,971,8948
1992-02-08,971,8960
1992-02-10,971,8960
1992-02-11,951,8960
1992-02-12,955,8948
