Date,Actual Closing Price,Forecast Closing Price
2011-06-10,225000,223738
2011-06-13,222000,225321
2011-06-14,243000,222155
2011-06-15,230500,244211
2011-06-16,233000,231115
2011-06-17,228500,233743
2011-06-20,232000,229010
2011-06-21,231000,232692
2011-06-22,229500,231641
2011-06-23,235000,230063
2011-06-24,245000,235843
2011-06-27,245000,246295
2011-06-28,245000,246295
2011-06-29,244500,246295
2011-06-30,240000,245774
2011-07-01,245500,241079
2011-07-04,243000,246815
2011-07-05,245000,244211
2011-07-06,256500,246295
2011-07-07,261000,258198
2011-07-08,263000,262815
2011-07-11,255500,264858
2011-07-12,255500,257169
2011-07-13,250500,257169
2011-07-14,258500,252005
2011-07-15,278500,260253
2011-07-18,274500,280505
2011-07-19,273500,276501
2011-07-20,273000,275497
2011-07-21,275000,274994
2011-07-22,274000,277003
2011-07-25,273000,275999
2011-07-26,277000,274994
2011-07-27,273000,279006
2011-07-28,275000,274994
2011-07-29,273500,277003
2011-08-01,269500,275497
2011-08-02,262500,271463
2011-08-03,268000,264348
2011-08-04,262000,269944
2011-08-05,256000,263837
2011-08-08,246000,257684
2011-08-09,265000,247335
2011-08-10,262000,266897
2011-08-11,279000,263837
2011-08-12,274000,281003
2011-08-16,275000,275999
2011-08-17,292000,277003
2011-08-18,289000,293819
2011-08-19,291000,290888
2011-08-22,302000,292844
2011-08-23,292500,303470
2011-08-24,282000,294306
2011-08-25,291000,283986
2011-08-26,288000,292844
2011-08-29,289000,289907
2011-08-30,316000,290888
2011-08-31,309500,316654
2011-09-01,304000,310582
2011-09-02,296500,305378
2011-09-05,297000,298186
2011-09-06,306000,298668
2011-09-07,296500,307277
2011-09-08,301000,298186
2011-09-09,303000,302514
2011-09-14,322000,304425
2011-09-15,321000,322180
2011-09-16,325500,321264
2011-09-19,331000,325369
2011-09-20,329000,330326
2011-09-21,315000,328531
2011-09-22,293000,315725
2011-09-23,302000,294793
2011-09-26,310500,303470
2011-09-27,318000,311522
2011-09-28,324000,318504
2011-09-29,298000,324005
2011-09-30,302000,299633
2011-10-04,289500,303470
2011-10-05,268000,291377
2011-10-06,288000,269944
2011-10-07,293500,289907
2011-10-10,280000,295279
2011-10-11,285000,281999
2011-10-12,289000,286954
2011-10-13,300000,290888
2011-10-14,300000,301555
2011-10-17,299500,301555
2011-10-18,297000,301075
2011-10-19,304000,298668
2011-10-20,300000,305378
2011-10-21,299000,301555
2011-10-24,297000,300595
2011-10-25,297500,298668
2011-10-26,297000,299151
2011-10-27,287500,298668
2011-10-28,289500,289416
2011-10-31,294000,291377
2011-11-01,306500,295764
2011-11-02,294000,307751
2011-11-03,290000,295764
2011-11-04,288500,291867
2011-11-07,292500,290398
2011-11-08,295500,294306
2011-11-09,293000,297218
2011-11-10,296500,294793
2011-11-11,298000,298186
2011-11-14,295500,299633
2011-11-15,298500,297218
2011-11-16,302000,300114
2011-11-17,288500,303470
2011-11-18,292500,290398
2011-11-21,282000,294306
2011-11-22,288500,283986
2011-11-23,305000,290398
2011-11-24,294000,306329
2011-11-25,293500,295764
2011-11-28,296500,295279
2011-11-29,289000,298186
2011-11-30,288500,290888
2011-12-01,285000,290398
2011-12-02,282000,286954
2011-12-05,283000,283986
2011-12-06,287500,284977
2011-12-07,287500,289416
2011-12-08,277500,289416
2011-12-09,276500,279506
2011-12-12,275500,278506
2011-12-13,281500,277505
2011-12-14,285500,283490
2011-12-15,284000,287448
2011-12-16,271500,285967
2011-12-19,263000,273483
2011-12-20,276000,264858
2011-12-21,277500,278006
2011-12-22,269000,279506
2011-12-23,270500,270957
2011-12-26,265000,272473
2011-12-27,274500,266897
2011-12-28,279000,276501
2011-12-29,270500,281003
2012-01-02,282500,272473
2012-01-03,280000,284482
2012-01-04,276500,281999
2012-01-05,275000,278506
2012-01-06,272000,277003
2012-01-09,268500,273987
2012-01-10,266000,270451
2012-01-11,265000,267914
2012-01-12,261500,266897
2012-01-13,257000,263326
2012-01-16,264000,258712
2012-01-17,264000,265878
2012-01-18,272500,265878
2012-01-19,268500,274490
2012-01-20,262000,270451
2012-01-25,265000,263837
2012-01-26,269000,266897
2012-01-27,265000,270957
2012-01-30,271500,266897
2012-01-31,273000,273483
2012-02-01,274000,274994
2012-02-02,273500,275999
2012-02-03,283000,275497
2012-02-06,283500,284977
2012-02-07,273000,285472
2012-02-08,256000,274994
2012-02-09,257000,257684
2012-02-10,261500,258712
2012-02-13,260000,263326
2012-02-14,258000,261791
2012-02-15,257500,259740
2012-02-16,261000,259226
2012-02-17,259500,262815
2012-02-20,259500,261279
2012-02-21,265500,261279
2012-02-22,264000,267405
2012-02-23,261500,265878
2012-02-24,261000,263326
2012-02-27,261500,262815
2012-02-28,271500,263326
2012-02-29,270000,273483
2012-03-02,270000,271968
2012-03-05,267000,271968
2012-03-06,260000,268930
2012-03-07,258500,261791
2012-03-08,257000,260253
2012-03-09,250500,258712
2012-03-12,254500,252005
2012-03-13,259500,256138
2012-03-14,258000,261279
2012-03-15,254000,259740
2012-03-16,259500,255623
2012-03-19,257500,261279
2012-03-20,249000,259226
2012-03-21,247500,250451
2012-03-22,243000,248894
2012-03-23,235500,244211
2012-03-26,239500,236367
2012-03-27,240000,240556
2012-03-28,242000,241079
2012-03-29,250000,243168
2012-03-30,248500,251487
2012-04-02,253500,249932
2012-04-03,252000,255107
2012-04-04,249500,253557
2012-04-05,251000,250969
2012-04-06,255500,252523
2012-04-09,265500,257169
2012-04-10,272500,267405
2012-04-12,278000,274490
2012-04-13,270500,280006
2012-04-16,267500,272473
2012-04-17,267000,269437
2012-04-18,270000,268930
2012-04-19,271000,271968
2012-04-20,270000,272978
2012-04-23,263500,271968
2012-04-24,261000,265369
2012-04-25,269500,262815
2012-04-26,261000,271463
2012-04-27,268500,262815
2012-04-30,274000,270451
2012-05-02,264500,275999
2012-05-03,274000,266388
2012-05-04,275500,275999
2012-05-07,278500,277505
2012-05-08,283000,280505
2012-05-09,284500,284977
2012-05-10,287000,286461
2012-05-11,269000,288925
2012-05-14,261000,270957
2012-05-15,260000,262815
2012-05-16,263000,261791
2012-05-17,262000,264858
2012-05-18,251000,263837
2012-05-21,247000,252523
2012-05-22,253500,248375
2012-05-23,251000,255107
2012-05-24,254500,252523
2012-05-25,260500,256138
2012-05-29,265500,262303
2012-05-30,264000,267405
2012-05-31,250000,265878
2012-06-01,240500,251487
2012-06-04,237500,241601
2012-06-05,250500,238463
2012-06-07,254500,252005
2012-06-08,249000,256138
2012-06-11,247500,250451
2012-06-12,247500,248894
2012-06-13,256500,248894
2012-06-14,259500,258198
2012-06-15,254000,261279
2012-06-18,249000,255623
2012-06-19,254000,250451
2012-06-20,251500,255623
2012-06-21,255500,253040
2012-06-22,251000,257169
2012-06-25,250000,252523
2012-06-26,240500,251487
2012-06-27,243500,241601
2012-06-28,250000,244732
2012-06-29,244000,251487
2012-07-02,245000,245253
2012-07-03,245000,246295
2012-07-04,245500,246295
2012-07-05,248500,246815
2012-07-06,247500,249932
2012-07-09,250000,248894
2012-07-10,245000,251487
2012-07-11,235000,246295
2012-07-12,238000,235843
2012-07-13,241000,238987
2012-07-16,242500,242124
2012-07-17,241500,243690
2012-07-18,246000,242646
2012-07-19,243000,247335
2012-07-20,238000,244211
2012-07-23,240000,238987
2012-07-24,233000,241079
2012-07-25,233500,233743
2012-07-26,248000,234268
2012-07-27,256000,249413
2012-07-30,263000,257684
2012-07-31,260500,264858
2012-08-01,258500,262303
2012-08-02,255000,260253
2012-08-03,255500,256654
2012-08-06,249000,257169
2012-08-07,256000,250451
2012-08-08,262000,257684
2012-08-09,260500,263837
2012-08-10,257000,262303
2012-08-13,264000,258712
2012-08-14,255000,265878
2012-08-16,247500,256654
2012-08-17,249500,248894
2012-08-20,247500,250969
2012-08-21,250000,248894
2012-08-22,247500,251487
2012-08-23,245000,248894
2012-08-24,247500,246295
2012-08-27,246500,248894
2012-08-28,250000,247855
2012-08-29,246500,251487
2012-08-30,247000,247855
2012-08-31,247000,248375
2012-09-03,248000,248375
2012-09-04,245500,249413
2012-09-05,244000,246815
2012-09-06,241000,245253
2012-09-07,241000,242124
2012-09-10,239500,242124
2012-09-11,243500,240556
2012-09-12,239500,244732
2012-09-13,245500,240556
2012-09-14,250000,246815
2012-09-17,245500,251487
2012-09-18,246500,246815
2012-09-19,249000,247855
2012-09-20,250000,250451
2012-09-21,250000,251487
2012-09-24,243000,251487
2012-09-25,244000,244211
2012-09-26,239000,245253
2012-09-27,242500,240033
2012-09-28,240000,243690
2012-10-02,242000,241079
2012-10-04,244000,243168
2012-10-05,241000,245253
2012-10-08,239500,242124
2012-10-09,241500,240556
2012-10-10,236500,242646
2012-10-11,233000,237415
2012-10-12,226000,233743
2012-10-15,230000,226376
2012-10-16,232000,230589
2012-10-17,235000,232692
2012-10-18,237500,235843
2012-10-19,233500,238463
2012-10-22,232000,234268
2012-10-23,237000,232692
2012-10-24,239000,237939
2012-10-25,234500,240033
2012-10-26,240000,235318
2012-10-29,239500,241079
2012-10-30,236500,240556
2012-10-31,241500,237415
2012-11-01,242500,242646
2012-11-02,242500,243690
2012-11-05,240000,243690
2012-11-06,243000,241079
2012-11-07,244000,244211
2012-11-08,241000,245253
2012-11-09,239000,242124
2012-11-12,236500,240033
2012-11-13,234000,237415
2012-11-14,233000,234793
2012-11-15,235000,233743
2012-11-16,225000,235843
2012-11-19,225000,225321
2012-11-20,226000,225321
2012-11-21,223000,226376
2012-11-22,224000,223211
2012-11-23,224000,224266
2012-11-26,223500,224266
2012-11-27,219500,223738
2012-11-28,219500,219514
2012-11-29,218000,219514
2012-11-30,224500,217928
2012-12-03,222500,224794
2012-12-04,223500,222683
2012-12-05,225000,223738
2012-12-06,226000,225321
2012-12-07,223500,226376
2012-12-10,239500,223738
2012-12-11,232500,240556
2012-12-12,231500,233218
2012-12-13,236500,232167
2012-12-14,239000,237415
2012-12-17,238000,240033
2012-12-18,236500,238987
2012-12-20,236000,237415
2012-12-21,237000,236891
2012-12-24,235500,237939
2012-12-26,234000,236367
2012-12-27,238000,234793
2012-12-28,236500,238987
2013-01-02,237000,237415
2013-01-03,239500,237939
2013-01-04,238500,240556
2013-01-07,239500,239510
2013-01-08,239000,240556
2013-01-09,236500,240033
2013-01-10,237000,237415
2013-01-11,239500,237939
2013-01-14,238000,240556
2013-01-15,238000,238987
2013-01-16,236500,238987
2013-01-17,236500,237415
2013-01-18,232500,237415
2013-01-21,232500,233218
2013-01-22,232000,233218
2013-01-23,227500,232692
2013-01-24,221500,227957
2013-01-25,235000,221627
2013-01-28,236000,235843
2013-01-29,240500,236891
2013-01-30,242000,241601
2013-01-31,236500,243168
2013-02-01,238000,237415
2013-02-04,234000,238987
2013-02-05,230000,234793
2013-02-06,224000,230589
2013-02-07,222500,224266
2013-02-08,227000,222683
