Date,Actual Closing Price,Forecast Closing Price
1998-03-03,652,-38
1998-03-04,730,49
1998-03-05,816,148
1998-03-06,915,257
1998-03-07,1024,382
1998-03-09,1145,520
1998-03-10,1283,673
1998-03-11,1436,847
1998-03-12,1608,1040
1998-03-13,1800,1257
1998-03-14,2016,1499
1998-03-16,2257,1771
1998-03-17,2081,2074
1998-03-18,2331,1853
1998-03-19,2601,2167
1998-03-20,2913,2506
1998-03-21,3251,2897
1998-03-23,3641,3319
1998-03-24,4071,3804
1998-03-25,3641,4337
1998-03-26,3460,3804
1998-03-27,3589,3579
1998-03-28,3160,3740
1998-03-30,2783,3205
1998-03-31,3108,2734
1998-04-01,2757,3140
1998-04-02,2471,2702
1998-04-03,2367,2343
1998-04-04,2205,2213
1998-04-06,2445,2009
1998-04-07,2367,2310
1998-04-08,2354,2213
1998-04-09,2380,2196
1998-04-10,2367,2229
1998-04-11,2315,2213
1998-04-13,2086,2147
1998-04-14,2133,1859
1998-04-15,2159,1919
1998-04-16,2107,1951
1998-04-17,2003,1886
1998-04-18,1763,1755
1998-04-20,1901,1453
1998-04-21,1872,1627
1998-04-22,1766,1590
1998-04-23,1766,1457
1998-04-24,1740,1457
1998-04-25,1560,1424
1998-04-27,1587,1197
1998-04-28,1613,1231
1998-04-29,1805,1264
1998-04-30,2021,1506
1998-05-02,2006,1778
1998-05-04,1766,1759
1998-05-06,1898,1457
1998-05-07,1795,1623
1998-05-08,1717,1493
1998-05-09,1603,1395
1998-05-11,1571,1251
1998-05-12,1623,1211
1998-05-13,1639,1276
1998-05-14,1545,1296
1998-05-15,1547,1178
1998-05-16,1592,1180
1998-05-18,1631,1237
1998-05-19,1826,1286
1998-05-20,1696,1532
1998-05-21,1753,1368
1998-05-22,1680,1440
1998-05-23,1558,1348
1998-05-25,1524,1194
1998-05-26,1534,1151
1998-05-27,1600,1164
1998-05-28,1587,1247
1998-05-29,1547,1231
1998-05-30,1592,1180
1998-06-01,1542,1237
1998-06-02,1560,1174
1998-06-03,1513,1197
1998-06-05,1513,1138
1998-06-08,1482,1138
1998-06-09,1399,1098
1998-06-10,1275,994
1998-06-11,1122,837
1998-06-12,1035,644
1998-06-13,913,534
1998-06-15,858,380
1998-06-16,961,310
1998-06-17,1075,440
1998-06-18,1204,584
1998-06-19,1249,747
1998-06-20,1170,804
1998-06-22,1066,705
1998-06-23,1126,573
1998-06-24,1074,649
1998-06-25,1040,583
1998-06-26,1038,540
1998-06-27,991,538
1998-06-29,1015,478
1998-06-30,1135,509
1998-07-01,1121,660
1998-07-02,1098,643
1998-07-03,1082,614
1998-07-04,1100,593
1998-07-06,1157,616
1998-07-07,1144,688
1998-07-08,1129,672
1998-07-09,1092,653
1998-07-10,1079,606
1998-07-11,1079,590
1998-07-13,1105,590
1998-07-14,1105,622
1998-07-15,1131,622
1998-07-16,1183,655
1998-07-18,1249,721
1998-07-20,1397,804
1998-07-21,1384,991
1998-07-22,1219,975
1998-07-23,1209,766
1998-07-24,1131,754
1998-07-25,1149,655
1998-07-27,1131,678
1998-07-28,1144,655
1998-07-29,1144,672
1998-07-30,1118,672
1998-07-31,1116,639
1998-08-01,1085,636
1998-08-03,1092,597
1998-08-04,1040,606
1998-08-05,1025,540
1998-08-06,1033,521
1998-08-07,1015,531
1998-08-08,981,509
1998-08-10,983,466
1998-08-11,959,468
1998-08-12,963,438
1998-08-13,1004,443
1998-08-14,968,495
1998-08-17,911,449
1998-08-18,955,377
1998-08-19,991,433
1998-08-20,963,478
1998-08-21,937,443
1998-08-22,944,410
1998-08-24,938,419
1998-08-25,950,411
1998-08-26,1020,426
1998-08-27,989,515
1998-08-28,963,476
1998-08-29,960,443
1998-08-31,986,439
1998-09-01,965,472
1998-09-02,1081,445
1998-09-03,1064,592
1998-09-04,1040,571
1998-09-05,1092,540
1998-09-07,1074,606
1998-09-08,1061,583
1998-09-09,1053,567
1998-09-10,1077,557
1998-09-11,1072,587
1998-09-12,1082,581
1998-09-14,1072,593
1998-09-15,1046,581
1998-09-16,1027,548
1998-09-17,976,524
1998-09-18,999,459
1998-09-19,954,488
1998-09-21,902,432
1998-09-22,911,366
1998-09-23,994,377
1998-09-24,950,482
1998-09-25,937,426
1998-09-26,911,410
1998-09-28,926,377
1998-09-29,916,396
1998-09-30,916,383
1998-10-01,963,383
1998-10-02,957,443
1998-10-07,937,435
1998-10-08,989,410
1998-10-09,989,476
1998-10-10,1040,476
1998-10-12,1002,540
1998-10-13,989,492
1998-10-14,1090,476
1998-10-15,1040,603
1998-10-16,1040,540
1998-10-17,1015,540
1998-10-19,1040,509
1998-10-20,1033,540
1998-10-21,1035,531
1998-10-22,1002,534
1998-10-23,1002,492
1998-10-24,1121,492
1998-10-26,1157,643
1998-10-27,1105,688
1998-10-28,1105,622
1998-10-29,1136,622
1998-10-30,1126,662
1998-10-31,1186,649
1998-11-02,1165,725
1998-11-03,1144,698
1998-11-04,1155,672
1998-11-05,1134,686
1998-11-06,1134,659
1998-11-07,1108,659
1998-11-09,1103,626
1998-11-10,1147,620
1998-11-11,1147,675
1998-11-12,1209,675
1998-11-13,1233,754
1998-11-14,1309,784
1998-11-16,1366,880
1998-11-17,1366,952
1998-11-18,1433,952
1998-11-19,1605,1037
1998-11-20,1797,1254
1998-11-21,1836,1496
1998-11-23,1687,1545
1998-11-24,1747,1357
1998-11-25,1683,1433
1998-11-26,1698,1352
1998-11-27,1689,1371
1998-11-28,1612,1360
1998-11-30,1566,1262
1998-12-01,1586,1204
1998-12-02,1638,1230
1998-12-03,1739,1295
1998-12-04,1687,1423
1998-12-05,1743,1357
1998-12-07,1687,1428
1998-12-08,1668,1357
1998-12-09,1724,1333
1998-12-10,1687,1404
1998-12-11,1650,1357
1998-12-14,1650,1310
1998-12-15,1866,1310
1998-12-16,1780,1583
1998-12-17,1724,1474
1998-12-18,1950,1404
1998-12-21,1911,1688
1998-12-22,2196,1639
1998-12-23,2234,1998
1998-12-24,2099,2046
1998-12-28,2200,1876
1999-01-04,2256,2003
1999-01-05,2226,2073
1999-01-06,2306,2035
1999-01-07,2399,2136
1999-01-08,2429,2253
1999-01-11,2362,2290
1999-01-12,2249,2206
1999-01-13,2174,2064
1999-01-14,2174,1970
1999-01-15,2174,1970
1999-01-18,2287,1970
1999-01-19,2211,2112
1999-01-20,2133,2017
1999-01-21,1950,1919
1999-01-22,1870,1688
1999-01-25,1795,1588
1999-01-26,1821,1493
1999-01-27,1931,1526
1999-01-28,1915,1664
1999-01-29,2099,1644
1999-02-01,1994,1876
1999-02-02,1911,1744
1999-02-03,2024,1639
1999-02-04,2136,1781
1999-02-05,2099,1922
1999-02-08,1950,1876
1999-02-09,1953,1688
1999-02-10,1950,1692
1999-02-11,1987,1688
1999-02-12,1904,1735
1999-02-18,1855,1630
1999-02-19,1803,1569
1999-02-22,1773,1503
1999-02-23,1687,1465
1999-02-24,1653,1357
1999-02-25,1743,1314
1999-02-26,1762,1428
1999-03-02,1724,1452
1999-03-03,1713,1404
1999-03-04,1762,1390
1999-03-05,1780,1452
1999-03-08,1743,1474
1999-03-09,1728,1428
1999-03-10,1792,1409
1999-03-11,1844,1489
1999-03-12,1855,1555
1999-03-15,1874,1569
1999-03-16,1814,1593
1999-03-17,1771,1517
1999-03-18,1799,1463
1999-03-19,1803,1498
1999-03-22,1946,1503
1999-03-23,1987,1683
1999-03-24,1987,1735
1999-03-25,1965,1735
1999-03-26,1889,1707
1999-03-29,1987,1612
1999-03-30,2006,1735
1999-03-31,2009,1759
1999-04-01,2006,1763
1999-04-02,2069,1759
1999-04-06,2069,1838
1999-04-07,2125,1838
1999-04-08,2129,1908
1999-04-09,2062,1914
1999-04-12,2024,1829
1999-04-13,2036,1781
1999-04-14,2050,1797
1999-04-15,2099,1814
1999-04-16,2207,1876
1999-04-19,2256,2012
1999-04-20,2237,2073
1999-04-21,2170,2049
1999-04-22,2155,1965
1999-04-23,2163,1946
1999-04-26,2350,1956
1999-04-27,2586,2191
1999-04-28,2500,2487
1999-04-29,2549,2379
1999-04-30,2549,2441
1999-05-03,2662,2441
1999-05-04,2736,2583
1999-05-06,2665,2675
1999-05-07,2774,2586
1999-05-10,2665,2723
1999-05-11,2493,2586
1999-05-12,2446,2371
1999-05-13,2427,2312
1999-05-14,2396,2288
1999-05-17,2388,2249
1999-05-18,2427,2239
1999-05-19,2349,2288
1999-05-20,2361,2190
1999-05-21,2423,2205
1999-05-24,2388,2283
1999-05-25,2446,2239
1999-05-26,2462,2312
1999-05-27,2407,2332
1999-05-28,2481,2263
1999-05-31,2481,2356
1999-06-01,2562,2356
1999-06-02,2523,2457
1999-06-03,2664,2408
1999-06-04,2706,2585
1999-06-07,2660,2638
1999-06-08,2543,2580
1999-06-09,2554,2433
1999-06-10,2554,2447
1999-06-11,2535,2447
1999-06-14,2427,2423
1999-06-15,2427,2288
1999-06-16,2446,2288
1999-06-17,2427,2312
1999-06-18,2543,2288
1999-06-21,2605,2433
1999-06-22,2601,2511
1999-06-23,2648,2506
1999-06-24,2645,2565
1999-06-25,2645,2561
1999-06-28,2768,2561
1999-06-29,2912,2715
1999-06-30,3133,2896
1999-07-01,3098,3172
1999-07-02,3009,3128
1999-07-05,3106,3017
1999-07-06,3068,3138
1999-07-07,3280,3091
1999-07-08,3184,3355
1999-07-09,2990,3235
1999-07-12,2916,2993
1999-07-13,2854,2901
1999-07-14,2892,2823
1999-07-15,3040,2871
1999-07-16,3083,3056
1999-07-19,2990,3109
1999-07-20,2834,2993
1999-07-21,3009,2798
1999-07-22,2815,3017
1999-07-23,2597,2774
1999-07-26,2788,2501
1999-07-27,2854,2740
1999-07-28,2916,2823
1999-07-29,2873,2901
1999-07-30,2854,2847
1999-08-02,2873,2823
1999-08-03,2990,2847
1999-08-04,2946,2993
1999-08-05,2943,2938
1999-08-06,2923,2934
1999-08-09,3145,2909
1999-08-10,3033,3187
1999-08-11,2970,3047
1999-08-12,2830,2968
1999-08-13,2765,2793
1999-08-16,2660,2712
1999-08-17,2487,2580
1999-08-18,2567,2363
1999-08-19,2531,2464
1999-08-20,2555,2418
1999-08-23,2648,2448
1999-08-24,2720,2565
1999-08-25,2692,2655
1999-08-26,2648,2620
1999-08-27,2668,2565
1999-08-30,2607,2590
1999-08-31,2599,2514
1999-09-01,2543,2504
1999-09-02,2507,2433
1999-09-03,2519,2388
1999-09-06,2567,2403
1999-09-07,2547,2464
1999-09-08,2607,2438
1999-09-09,2648,2514
1999-09-10,2648,2565
1999-09-13,2736,2565
1999-09-14,2784,2675
1999-09-15,2768,2735
1999-09-16,2808,2715
1999-09-17,2812,2765
1999-09-20,2828,2770
1999-09-21,2928,2790
1999-09-22,2848,2916
1999-09-27,2828,2815
1999-09-28,2940,2790
1999-09-29,3085,2931
1999-09-30,2928,3112
1999-10-01,2968,2916
1999-10-04,2948,2966
1999-10-05,2928,2941
1999-10-06,3009,2916
1999-10-07,2989,3017
1999-10-08,3029,2992
1999-10-11,3069,3042
1999-10-12,3069,3092
1999-10-13,3169,3092
1999-10-14,3137,3217
1999-10-15,3029,3177
1999-10-18,2828,3042
1999-10-19,2908,2790
1999-10-20,2928,2891
1999-10-21,2948,2916
1999-10-22,2968,2941
1999-10-25,2944,2966
1999-10-26,2888,2936
1999-10-27,2916,2866
1999-10-28,2892,2901
1999-10-29,3009,2871
1999-11-01,2968,3017
1999-11-02,2936,2966
1999-11-03,3033,2926
1999-11-04,3330,3047
1999-11-05,3334,3417
1999-11-08,3570,3422
1999-11-09,3594,3716
1999-11-10,3711,3746
1999-11-11,3811,3891
1999-11-12,4132,4015
1999-11-15,4734,4413
1999-11-16,4453,5154
1999-11-17,4212,4809
1999-11-18,4152,4512
1999-11-19,4132,4438
1999-11-22,4252,4413
1999-11-23,4272,4561
1999-11-24,4172,4586
1999-11-25,3931,4462
1999-11-26,4172,4164
1999-11-29,4212,4462
1999-11-30,4011,4512
1999-12-01,3991,4263
1999-12-02,4212,4238
1999-12-03,4092,4512
1999-12-06,4312,4363
1999-12-07,4413,4635
1999-12-08,5074,4760
1999-12-09,5255,5571
1999-12-10,5014,5791
1999-12-13,4854,5497
1999-12-14,4493,5301
1999-12-15,4292,4858
1999-12-16,3891,4610
1999-12-17,3911,4115
1999-12-20,3530,4139
1999-12-21,3606,3666
1999-12-22,3811,3761
1999-12-23,3747,4015
1999-12-24,3590,3936
1999-12-27,3446,3741
1999-12-28,3550,3562
2000-01-04,3490,3691
2000-01-05,3450,3617
2000-01-06,3530,3567
2000-01-07,3530,3666
2000-01-10,4052,3666
2000-01-11,3971,4314
2000-01-12,4172,4214
2000-01-13,4413,4462
2000-01-14,4613,4760
2000-01-17,4493,5006
2000-01-18,4332,4858
2000-01-19,4573,4660
2000-01-20,4413,4957
2000-01-21,4172,4760
2000-01-24,3811,4462
2000-01-25,3879,4015
2000-01-26,3911,4100
2000-01-27,3979,4139
2000-01-28,4011,4224
2000-01-31,4052,4263
2000-02-01,4553,4314
2000-02-02,5235,4932
2000-02-03,5034,5767
2000-02-07,4894,5522
2000-02-08,5616,5350
2000-02-09,5576,6230
2000-02-10,5014,6182
2000-02-11,5135,5497
2000-02-14,5014,5645
2000-02-15,4814,5497
2000-02-16,4814,5252
2000-02-17,5255,5252
2000-02-18,5415,5791
2000-02-21,5556,5986
2000-02-22,5476,6157
2000-02-23,5536,6060
2000-02-24,6077,6133
2000-02-25,6097,6787
2000-02-28,5736,6811
2000-02-29,6579,6375
2000-03-02,6278,7388
2000-03-03,6037,7028
2000-03-06,6559,6739
2000-03-07,6559,7364
2000-03-08,7301,7364
2000-03-09,7160,8243
2000-03-10,6699,8077
2000-03-13,6298,7531
2000-03-14,6539,7052
2000-03-15,6218,7340
2000-03-16,5877,6956
2000-03-17,5736,6546
2000-03-20,6158,6375
2000-03-21,6117,6884
2000-03-22,5656,6835
2000-03-23,5576,6279
2000-03-24,5736,6182
2000-03-27,5736,6375
2000-03-28,5576,6375
2000-03-29,5556,6182
2000-03-30,5496,6157
2000-03-31,5335,6084
2000-04-03,4553,5889
2000-04-04,4814,4932
2000-04-06,5255,5252
2000-04-07,5135,5791
2000-04-10,4934,5645
2000-04-11,4974,5399
2000-04-12,4754,5448
2000-04-14,4052,5179
2000-04-17,4032,4314
2000-04-18,3991,4289
2000-04-19,4112,4238
2000-04-20,4533,4388
2000-04-21,4272,4907
2000-04-24,4332,4586
2000-04-25,4332,4660
2000-04-26,4553,4660
2000-04-27,4673,4932
2000-04-28,5014,5079
2000-05-02,5235,5497
2000-05-03,5014,5767
2000-05-04,5415,5497
2000-05-08,5315,5986
2000-05-09,5215,5864
2000-05-10,5355,5743
2000-05-12,5175,5913
2000-05-15,5295,5694
2000-05-16,5375,5840
2000-05-17,5375,5937
2000-05-18,5315,5937
2000-05-19,4934,5864
2000-05-22,4974,5399
2000-05-23,4794,5448
2000-05-24,5014,5228
2000-05-25,4814,5497
2000-05-26,4633,5252
2000-05-29,4734,5030
2000-05-30,5375,5154
2000-05-31,5837,5937
2000-06-01,5736,6497
2000-06-02,5897,6375
2000-06-05,5857,6570
2000-06-07,5375,6522
2000-06-08,5456,5937
2000-06-09,5496,6036
2000-06-12,5135,6084
2000-06-13,5195,5645
2000-06-14,4914,5718
2000-06-15,4713,5375
2000-06-16,5014,5128
2000-06-19,5215,5497
2000-06-20,5536,5743
2000-06-21,5496,6133
2000-06-22,5275,6084
2000-06-23,5295,5816
2000-06-26,5295,5840
2000-06-27,5415,5840
2000-06-28,5716,5986
2000-06-29,5837,6351
2000-06-30,5937,6497
2000-07-03,5997,6618
2000-07-04,5997,6690
2000-07-05,5817,6690
2000-07-06,5616,6473
2000-07-07,5797,6230
2000-07-10,5957,6449
2000-07-11,5957,6642
2000-07-12,5817,6642
2000-07-13,5797,6473
2000-07-14,5496,6449
2000-07-18,5095,6084
2000-07-19,5054,5596
2000-07-20,5135,5546
2000-07-21,5155,5645
2000-07-24,5014,5669
2000-07-25,5054,5497
2000-07-26,4814,5546
2000-07-27,4754,5252
2000-07-28,4814,5179
2000-07-31,5014,5252
2000-08-01,5135,5497
2000-08-02,5175,5645
2000-08-03,5295,5694
2000-08-04,5395,5840
2000-08-07,5315,5962
2000-08-08,5456,5864
2000-08-09,5456,6036
2000-08-10,5456,6036
2000-08-11,5716,6036
2000-08-14,5736,6351
2000-08-16,5315,6375
2000-08-17,5215,5864
2000-08-18,4974,5743
2000-08-21,4934,5448
2000-08-22,4914,5399
2000-08-23,4914,5375
2000-08-24,4934,5375
2000-08-25,4934,5399
2000-08-28,4934,5399
2000-08-29,4834,5399
2000-08-30,4693,5277
2000-08-31,4774,5104
2000-09-01,4513,5203
2000-09-04,4553,4883
2000-09-05,4493,4932
2000-09-06,4132,4858
2000-09-07,4032,4413
2000-09-08,4007,4289
2000-09-14,3731,4258
2000-09-15,3490,3916
2000-09-18,3526,3617
2000-09-19,3670,3661
2000-09-20,3771,3840
2000-09-21,3618,3966
2000-09-22,3670,3776
2000-09-25,3763,3840
2000-09-26,3791,3956
2000-09-27,3803,3991
2000-09-28,3771,4005
2000-09-29,3731,3966
2000-10-02,3691,3916
2000-10-04,3791,3866
2000-10-05,3751,3991
2000-10-06,3650,3941
2000-10-09,3610,3816
2000-10-10,3450,3766
2000-10-11,3145,3567
2000-10-12,2736,3187
2000-10-13,2936,2675
2000-10-16,2892,2926
2000-10-17,2708,2871
2000-10-18,2700,2640
2000-10-19,3081,2630
2000-10-20,3185,3107
2000-10-23,3137,3237
2000-10-24,3145,3177
2000-10-25,3201,3187
2000-10-26,3049,3257
2000-10-27,2848,3067
2000-10-30,2928,2815
2000-10-31,3273,2916
2000-11-01,3209,3346
2000-11-02,3370,3267
2000-11-03,3426,3467
2000-11-06,3289,3537
2000-11-07,3390,3366
2000-11-08,3450,3492
2000-11-09,3390,3567
2000-11-10,3189,3492
2000-11-13,3213,3242
2000-11-14,3261,3271
2000-11-15,3277,3331
2000-11-16,3213,3351
2000-11-17,3169,3271
2000-11-20,3197,3217
2000-11-21,3177,3252
2000-11-22,3089,3227
2000-11-23,3009,3117
2000-11-24,3049,3017
2000-11-27,2981,3067
2000-11-28,2892,2982
2000-11-29,2704,2871
2000-11-30,2888,2635
2000-12-01,2712,2866
2000-12-04,2688,2645
2000-12-05,2760,2615
2000-12-06,2688,2705
2000-12-07,2712,2615
2000-12-08,2728,2645
2000-12-11,2696,2665
2000-12-12,2744,2625
2000-12-13,2744,2685
2000-12-14,2768,2685
2000-12-15,2708,2715
2000-12-18,2668,2640
2000-12-19,2567,2590
2000-12-20,2527,2464
2000-12-21,2527,2413
2000-12-22,2487,2413
2000-12-26,2523,2363
2001-01-02,2595,2408
2001-01-03,2672,2499
2001-01-04,2764,2595
2001-01-05,2844,2710
2001-01-08,2868,2810
2001-01-09,2920,2841
2001-01-10,2892,2906
2001-01-11,3149,2871
2001-01-12,3213,3192
2001-01-15,3169,3271
2001-01-16,3049,3217
2001-01-17,3169,3067
2001-01-18,3209,3217
2001-01-19,3209,3267
2001-01-22,3402,3267
2001-01-26,3466,3507
2001-01-29,3350,3587
2001-01-30,3470,3442
2001-01-31,3418,3592
2001-02-01,3370,3527
2001-02-02,3297,3467
2001-02-05,3309,3376
2001-02-06,3330,3391
2001-02-07,3410,3417
2001-02-08,3342,3517
2001-02-09,3450,3432
2001-02-12,3486,3567
2001-02-13,3454,3612
2001-02-14,3530,3572
2001-02-15,3751,3666
2001-02-16,4052,3941
2001-02-19,4052,4314
2001-02-20,4052,4314
2001-02-21,4112,4314
2001-02-22,4092,4388
2001-02-23,4052,4363
2001-02-26,4052,4314
2001-02-27,4212,4314
2001-02-28,4072,4512
2001-03-02,4212,4339
2001-03-05,4232,4512
2001-03-06,4413,4536
2001-03-07,4332,4760
2001-03-08,4212,4660
2001-03-09,4212,4512
2001-03-12,4052,4512
2001-03-13,4092,4314
2001-03-14,4011,4363
2001-03-15,4072,4263
2001-03-16,4072,4339
2001-03-19,4152,4339
2001-03-20,4072,4438
2001-03-21,4072,4339
2001-03-22,4052,4339
2001-03-23,4003,4314
2001-03-26,3450,4253
2001-03-27,3289,3567
2001-03-28,3305,3366
2001-03-29,3301,3386
2001-03-30,3346,3381
2001-04-02,3297,3437
2001-04-03,3289,3376
2001-04-04,3330,3366
2001-04-06,3350,3417
2001-04-09,3289,3442
2001-04-10,3313,3366
2001-04-11,3289,3396
2001-04-12,3273,3366
2001-04-13,3209,3346
2001-04-16,3249,3267
2001-04-17,3277,3316
2001-04-18,3321,3351
2001-04-19,3350,3406
2001-04-20,3378,3442
2001-04-23,3358,3477
2001-04-24,3297,3452
2001-04-25,3289,3376
2001-04-26,3289,3366
2001-04-27,3362,3366
2001-04-30,3522,3457
2001-05-02,3506,3656
2001-05-03,3731,3637
2001-05-04,3771,3916
2001-05-07,4212,3966
2001-05-08,4172,4512
2001-05-09,4092,4462
2001-05-10,4413,4363
2001-05-11,4413,4760
2001-05-14,4272,4760
2001-05-15,4332,4586
2001-05-16,4252,4660
2001-05-17,4172,4561
2001-05-18,4172,4462
2001-05-21,4092,4462
2001-05-22,4332,4363
2001-05-23,4453,4660
2001-05-24,4413,4809
2001-05-25,4413,4760
2001-05-28,4573,4760
2001-05-29,4573,4957
2001-05-30,4393,4957
2001-05-31,4493,4735
2001-06-01,4693,4858
2001-06-04,4633,5104
2001-06-05,4734,5030
2001-06-07,4754,5154
2001-06-08,4673,5179
2001-06-11,4553,5079
2001-06-12,4533,4932
2001-06-13,4433,4907
2001-06-14,4312,4784
2001-06-15,4232,4635
2001-06-18,4132,4536
2001-06-19,4132,4413
2001-06-20,4272,4413
2001-06-21,4473,4586
2001-06-22,4533,4833
2001-06-25,4453,4907
2001-06-26,4292,4809
2001-06-27,4252,4610
2001-06-28,4533,4561
2001-06-29,4493,4907
2001-07-02,4413,4858
2001-07-03,4513,4760
2001-07-04,4613,4883
2001-07-05,4473,5006
2001-07-06,4413,4833
2001-07-09,4453,4760
2001-07-10,4252,4809
2001-07-11,4172,4561
2001-07-12,4112,4462
2001-07-13,4011,4388
2001-07-16,3967,4263
2001-07-18,4011,4209
2001-07-19,3923,4263
2001-07-20,3871,4154
2001-07-23,3891,4090
2001-07-24,3771,4115
2001-07-25,3775,3966
2001-07-26,3807,3971
2001-07-27,3670,4010
2001-07-30,3887,3840
2001-07-31,3939,4110
2001-08-01,3939,4174
2001-08-02,3919,4174
2001-08-03,3827,4149
2001-08-06,3719,4035
2001-08-07,3811,3901
2001-08-08,3811,4015
2001-08-09,3879,4015
2001-08-10,3779,4100
2001-08-13,3887,3976
2001-08-14,3831,4110
2001-08-16,3823,4040
2001-08-17,3763,4030
2001-08-20,3851,3956
2001-08-21,3911,4065
2001-08-22,3931,4139
2001-08-23,3987,4164
2001-08-24,4152,4233
2001-08-27,4032,4438
2001-08-28,4052,4289
2001-08-29,4032,4314
2001-08-30,3919,4289
2001-08-31,3891,4149
2001-09-03,3831,4115
2001-09-04,3743,4040
2001-09-05,3871,3931
2001-09-06,3911,4090
2001-09-07,4092,4139
2001-09-10,4132,4363
2001-09-11,3550,4413
2001-09-12,3711,3691
2001-09-13,3811,3891
2001-09-14,3691,4015
2001-09-17,3751,3866
2001-09-18,3851,3941
2001-09-19,3811,4065
2001-09-20,3811,4015
2001-09-21,3771,4015
2001-09-24,3695,3966
2001-09-25,3594,3871
2001-09-26,3530,3746
2001-09-27,3695,3666
2001-09-28,3691,3871
2001-10-04,3695,3866
2001-10-05,3666,3871
2001-10-08,3650,3835
2001-10-09,3658,3816
2001-10-10,3787,3825
2001-10-11,3919,3986
2001-10-12,3891,4149
2001-10-15,3951,4115
2001-10-16,3955,4189
2001-10-17,3895,4194
2001-10-18,3931,4120
2001-10-19,3911,4164
2001-10-22,3931,4139
2001-10-23,4132,4164
2001-10-24,4352,4413
2001-10-25,4794,4684
2001-10-26,4573,5228
2001-10-29,4613,4957
2001-10-30,4613,5006
2001-10-31,4653,5006
2001-11-01,4734,5055
2001-11-02,4814,5154
2001-11-05,4774,5252
2001-11-06,4754,5203
2001-11-07,4673,5179
2001-11-08,4613,5079
2001-11-09,4854,5006
2001-11-12,4974,5301
2001-11-13,5014,5448
2001-11-14,5215,5497
2001-11-15,5295,5743
2001-11-16,5375,5840
2001-11-19,5275,5937
2001-11-20,5255,5816
2001-11-21,5335,5791
2001-11-22,5315,5889
2001-11-23,5415,5864
2001-11-26,5074,5986
2001-11-27,4814,5571
2001-11-28,4774,5252
2001-11-29,4854,5203
2001-11-30,5215,5301
2001-12-03,5135,5743
2001-12-04,5095,5645
2001-12-05,5315,5596
2001-12-06,5355,5864
2001-12-07,5155,5913
2001-12-10,5095,5669
2001-12-11,5295,5596
2001-12-12,5716,5840
2001-12-13,5255,6351
2001-12-14,5095,5791
2001-12-17,5135,5596
2001-12-18,5135,5645
2001-12-19,5215,5645
2001-12-20,5014,5743
2001-12-21,5014,5497
2001-12-24,5014,5497
2001-12-26,5195,5497
2001-12-27,5415,5718
2001-12-28,5777,5986
2002-01-02,5937,6425
2002-01-03,5977,6618
2002-01-04,6238,6666
2002-01-07,6057,6980
2002-01-08,6218,6763
2002-01-09,6218,6956
2002-01-10,6097,6956
2002-01-11,6117,6811
2002-01-14,5997,6835
2002-01-15,6358,6690
2002-01-16,5977,7124
2002-01-17,5957,6666
2002-01-18,5977,6642
2002-01-21,6057,6666
2002-01-22,6559,6763
2002-01-23,6539,7364
2002-01-24,6438,7340
2002-01-25,6900,7220
2002-01-28,6699,7770
2002-01-29,6479,7531
2002-01-30,6479,7269
2002-01-31,6418,7269
2002-02-01,6238,7196
2002-02-04,6218,6980
2002-02-05,5997,6956
2002-02-06,6138,6690
2002-02-07,6097,6860
2002-02-08,6819,6811
2002-02-14,6819,7674
2002-02-15,7140,7674
2002-02-18,6819,8054
2002-02-19,6679,7674
2002-02-20,6679,7507
2002-02-21,6779,7507
2002-02-22,6880,7626
2002-02-25,6699,7746
2002-02-26,6719,7531
2002-02-27,7020,7555
2002-02-28,6840,7912
2002-03-04,6659,7699
2002-03-05,7060,7483
2002-03-06,7000,7959
2002-03-07,6960,7888
2002-03-08,7060,7841
2002-03-11,7221,7959
2002-03-12,7501,8149
2002-03-13,7662,8478
2002-03-14,7702,8666
2002-03-15,7361,8713
2002-03-18,7321,8314
2002-03-19,7341,8267
2002-03-20,7181,8290
2002-03-21,7120,8102
2002-03-22,6860,8030
2002-03-25,6920,7722
2002-03-26,7000,7793
2002-03-27,7401,7888
