Date,Actual Closing Price,Forecast Closing Price
1999-11-11,1115,664
1999-11-12,1249,777
1999-11-15,1396,908
1999-11-16,1561,1052
1999-11-17,1748,1214
1999-11-18,1958,1397
1999-11-19,2190,1604
1999-11-22,2449,1833
1999-11-23,2739,2090
1999-11-24,3065,2379
1999-11-25,3430,2704
1999-11-26,3841,3071
1999-11-29,4300,3485
1999-11-30,4809,3950
1999-12-01,5380,4470
1999-12-02,6023,5056
1999-12-03,6745,5720
1999-12-06,7548,6472
1999-12-07,8450,7315
1999-12-08,9458,8269
1999-12-09,10573,9346
1999-12-10,11823,10547
1999-12-13,13206,11906
1999-12-14,14767,13424
1999-12-15,16507,15150
1999-12-16,17310,17089
1999-12-17,19363,17987
1999-12-20,19630,20291
1999-12-21,21950,20591
1999-12-22,24583,23198
1999-12-23,27527,26147
1999-12-24,30829,29413
1999-12-27,34487,33010
1999-12-28,30383,36885
2000-01-04,26769,32529
2000-01-05,23556,28576
2000-01-06,20746,24999
2000-01-07,20969,21846
2000-01-10,23467,22096
2000-01-11,22040,24900
2000-01-12,19407,23299
2000-01-13,20835,20340
2000-01-14,23333,21946
2000-01-17,26100,24749
2000-01-18,23110,27835
2000-01-19,25073,24500
2000-01-20,24538,26693
2000-01-21,24360,26097
2000-01-24,21460,25898
2000-01-25,19630,22648
2000-01-26,17310,20591
2000-01-27,19363,17987
2000-01-28,21683,20291
2000-01-31,24270,22898
2000-02-01,24895,25798
2000-02-02,27840,26495
2000-02-03,31141,29757
2000-02-07,34800,33346
2000-02-08,38904,37210
2000-02-09,43544,41369
2000-02-10,48720,45810
2000-02-11,44080,50407
2000-02-14,38815,46304
2000-02-15,43455,41281
2000-02-16,43455,45728
2000-02-17,40689,45728
2000-02-18,36852,43112
2000-02-21,34978,39315
2000-02-22,32123,37395
2000-02-23,35960,34396
2000-02-24,35692,38406
2000-02-25,32837,38131
2000-02-28,32837,35154
2000-02-29,32034,35154
2000-03-02,28197,34301
2000-03-03,26233,30149
2000-03-06,27840,27983
2000-03-07,28553,29757
2000-03-08,31944,30539
2000-03-09,31587,34205
2000-03-10,28018,33824
2000-03-13,25966,29952
2000-03-14,25430,27686
2000-03-15,26233,27091
2000-03-16,23110,27983
2000-03-17,20344,24500
2000-03-20,19630,21394
2000-03-21,20433,20591
2000-03-22,19630,21494
2000-03-23,19452,20591
2000-03-24,20612,20391
2000-03-27,20612,21695
2000-03-28,18381,21695
2000-03-29,20523,19188
2000-03-30,18292,21595
2000-03-31,17221,19088
2000-04-03,15668,17887
2000-04-04,15918,16152
2000-04-06,17828,16431
2000-04-07,19898,18568
2000-04-10,17846,20892
2000-04-11,17310,18588
2000-04-12,15240,17987
2000-04-14,13420,15676
2000-04-17,12028,13659
2000-04-18,12135,12130
2000-04-19,11207,12247
2000-04-20,12545,11235
2000-04-21,11064,12697
2000-04-24,10921,11080
2000-04-25,10707,10924
2000-04-26,9422,10692
2000-04-27,9369,9307
2000-04-28,10493,9250
2000-05-02,11064,10461
2000-05-03,11332,11080
2000-05-04,11189,11371
2000-05-08,10457,11216
2000-05-09,10243,10422
2000-05-10,9279,10191
2000-05-12,8182,9154
2000-05-15,9155,7985
2000-05-16,8209,9021
2000-05-17,8423,8014
2000-05-18,9422,8241
2000-05-19,9119,9307
2000-05-22,10208,8983
2000-05-23,11421,10153
2000-05-24,12420,11468
2000-05-25,11778,12560
2000-05-26,11475,11857
2000-05-29,12849,11527
2000-05-30,14383,13031
2000-05-31,14027,14724
2000-06-01,13937,14330
2000-06-02,15597,14230
2000-06-05,17453,16073
2000-06-07,19541,18147
2000-06-08,17774,20491
