Date,Actual Closing Price,Forecast Closing Price
2021-08-06,78500,57426
2021-08-09,71400,66593
2021-08-10,74400,59117
2021-08-11,73800,62282
2021-08-12,76600,61650
2021-08-13,87400,64598
2021-08-17,84500,75874
2021-08-18,92000,72863
2021-08-19,91000,80620
2021-08-20,89800,79592
2021-08-23,85400,78355
2021-08-24,82100,73799
2021-08-25,83400,70361
2021-08-26,83800,71718
2021-08-27,81900,72134
2021-08-30,83900,70152
2021-08-31,88800,72239
2021-09-01,81900,77323
2021-09-02,80800,70152
2021-09-03,77400,69003
2021-09-06,73000,65438
2021-09-07,72300,60806
2021-09-08,72000,60067
2021-09-09,68900,59751
2021-09-10,64600,56474
2021-09-13,69700,51918
2021-09-14,69000,57320
2021-09-15,67100,56579
2021-09-16,68000,54568
2021-09-17,66400,55521
2021-09-23,69000,53826
2021-09-24,69700,56579
2021-09-27,70600,57320
2021-09-28,69300,58272
2021-09-29,68400,56897
2021-09-30,65500,55944
2021-10-01,60000,52872
2021-10-05,58000,47036
2021-10-06,60000,44913
2021-10-07,57000,47036
2021-10-08,55300,43851
2021-10-12,55900,42047
2021-10-13,59000,42684
2021-10-14,60100,45975
2021-10-15,60000,47143
2021-10-18,61300,47036
2021-10-19,59700,48416
2021-10-20,60200,46718
2021-10-21,60100,47249
2021-10-22,59900,47143
2021-10-25,61900,46930
2021-10-26,62000,49053
2021-10-27,64600,49159
2021-10-28,63100,51918
2021-10-29,63900,50327
2021-11-01,64100,51175
2021-11-02,59400,51388
2021-11-03,60000,46399
2021-11-04,57200,47036
2021-11-05,55600,44064
2021-11-08,57000,42365
2021-11-09,58600,43851
2021-11-10,59100,45550
2021-11-11,62100,46081
2021-11-12,62400,49266
2021-11-15,62500,49584
2021-11-16,63100,49690
2021-11-17,64500,50327
2021-11-18,65000,51812
2021-11-19,64000,52342
2021-11-22,64900,51281
2021-11-23,64700,52236
2021-11-24,67900,52024
2021-11-25,68200,55415
2021-11-26,70300,55733
2021-11-29,65600,57954
2021-11-30,65200,52978
2021-12-01,65000,52554
2021-12-02,67500,52342
2021-12-03,65700,54991
2021-12-06,67500,53084
2021-12-07,67500,54991
2021-12-08,64200,54991
2021-12-09,63400,51494
2021-12-10,63400,50645
2021-12-13,63000,50645
2021-12-14,62600,50221
2021-12-15,63100,49796
2021-12-16,63900,50327
2021-12-17,62300,51175
2021-12-20,61400,49478
2021-12-21,60900,48523
2021-12-22,60500,47992
2021-12-23,60200,47567
2021-12-24,59300,47249
2021-12-27,60300,46293
2021-12-28,59800,47355
2021-12-29,59000,46824
2021-12-30,59100,45975
2022-01-03,57300,46081
2022-01-04,55600,44170
2022-01-05,56000,42365
2022-01-06,55000,42790
2022-01-07,51100,41728
2022-01-10,49350,37592
2022-01-11,49300,35737
2022-01-12,48850,35685
2022-01-13,46300,35208
2022-01-14,45100,32510
2022-01-17,43300,31243
2022-01-18,41800,29343
2022-01-19,42750,27763
2022-01-20,43800,28764
2022-01-21,42000,29871
2022-01-24,40250,27974
2022-01-25,40550,26132
2022-01-26,39650,26448
2022-01-27,41000,25502
2022-01-28,41350,26921
2022-02-03,42100,27289
2022-02-04,42350,28079
2022-02-07,44650,28342
2022-02-08,44200,30768
2022-02-09,42800,30293
2022-02-10,42150,28816
2022-02-11,43950,28132
2022-02-14,44200,30029
2022-02-15,46450,30293
2022-02-16,49400,32669
2022-02-17,49350,35790
2022-02-18,48900,35737
2022-02-21,47250,35261
2022-02-22,47100,33515
2022-02-23,46900,33356
2022-02-24,47750,33145
2022-02-25,48000,34044
2022-02-28,47900,34308
2022-03-02,48600,34203
2022-03-03,48700,34943
2022-03-04,47350,35049
2022-03-07,48000,33621
2022-03-08,48150,34308
2022-03-10,48900,34467
2022-03-11,49800,35261
2022-03-14,52500,36214
