Date,Actual Closing Price,Forecast Closing Price
2021-11-03,169000,191810
2021-11-04,170000,168168
2021-11-05,153500,169157
2021-11-08,147000,152804
2021-11-09,150500,146344
2021-11-10,145500,149824
2021-11-11,157500,144852
2021-11-12,163000,156775
2021-11-15,166500,162228
2021-11-16,171000,165694
2021-11-17,172500,170146
2021-11-18,173500,171628
2021-11-19,170000,172616
2021-11-22,177000,169157
2021-11-23,183000,176071
2021-11-24,216500,181984
2021-11-25,222500,214736
2021-11-26,238500,220547
2021-11-29,218000,235949
2021-11-30,207500,216191
2021-12-01,208000,205986
2021-12-02,204500,206473
2021-12-03,201500,203060
2021-12-06,194500,200131
2021-12-07,202000,193281
2021-12-08,208500,200620
2021-12-09,196000,206960
2021-12-10,190000,194750
2021-12-13,178500,188866
2021-12-14,180000,177550
2021-12-15,184500,179029
2021-12-16,177000,183460
2021-12-17,172500,176071
2021-12-20,171000,171628
2021-12-21,167500,170146
2021-12-22,174500,166684
2021-12-23,169000,173603
2021-12-24,168500,168168
2021-12-27,181500,167673
2021-12-28,176500,180507
2021-12-29,174500,175577
2021-12-30,176500,173603
2022-01-03,169000,175577
2022-01-04,158000,168168
2022-01-05,152000,157271
2022-01-06,153500,151315
2022-01-07,148500,152804
2022-01-10,149500,147836
2022-01-11,154500,148830
2022-01-12,147000,153798
2022-01-13,143500,146344
2022-01-14,139500,142862
2022-01-17,134000,138880
2022-01-18,128000,133401
2022-01-19,136000,127418
2022-01-20,145000,135394
2022-01-21,146500,144355
2022-01-24,137500,145847
2022-01-25,137000,136888
2022-01-26,128000,136390
2022-01-27,126000,127418
2022-01-28,124500,125423
2022-02-03,133000,123926
2022-02-04,128000,132404
2022-02-07,130500,127418
2022-02-08,126500,129911
2022-02-09,128000,125922
2022-02-10,126500,127418
2022-02-11,128500,125922
2022-02-14,127500,127917
2022-02-15,132500,126919
2022-02-16,133500,131905
2022-02-17,140000,132902
2022-02-18,140500,139378
2022-02-21,139000,139876
2022-02-22,139500,138382
2022-02-23,135000,138880
2022-02-24,144000,134397
2022-02-25,149500,143360
2022-02-28,148000,148830
2022-03-02,147000,147339
2022-03-03,143500,146344
2022-03-04,134000,142862
2022-03-07,128500,133401
2022-03-08,135000,127917
2022-03-10,135000,134397
2022-03-11,136000,134397
2022-03-14,138000,135394
2022-03-15,141500,137386
2022-03-16,142500,140872
2022-03-17,145500,141867
2022-03-18,139500,144852
2022-03-21,140000,138880
2022-03-22,140500,139378
2022-03-23,141500,139876
2022-03-24,141500,140872
2022-03-25,140000,140872
2022-03-28,142000,139378
2022-03-29,150000,141369
2022-03-30,148500,149327
2022-03-31,143500,147836
2022-04-01,144500,142862
2022-04-04,142500,143858
2022-04-05,138000,141867
2022-04-06,133500,137386
2022-04-07,134000,132902
2022-04-08,128500,133401
2022-04-11,132500,127917
2022-04-12,134000,131905
2022-04-13,135000,133401
2022-04-14,131500,134397
2022-04-15,127500,130908
2022-04-18,129000,126919
2022-04-19,125000,128415
2022-04-20,120500,124425
2022-04-21,118000,119934
2022-04-22,113000,117439
2022-04-25,116000,112446
2022-04-26,113500,115442
2022-04-27,112000,112945
2022-04-28,112500,111447
2022-04-29,108000,111947
2022-05-02,108500,107453
2022-05-03,106500,107952
2022-05-04,97800,105954
2022-05-06,93800,97265
2022-05-09,91900,93270
2022-05-10,91400,91373
2022-05-11,85900,90873
2022-05-12,86000,85383
2022-05-13,85800,85482
2022-05-16,88700,85283
2022-05-17,89200,88178
2022-05-18,88100,88677
2022-05-19,94600,87579
2022-05-20,95600,94069
2022-05-23,94300,95068
2022-05-24,102000,93769
2022-05-25,102000,101460
2022-05-26,104000,101460
2022-05-27,108500,103457
2022-05-30,105500,107952
2022-05-31,104500,104956
2022-06-02,107500,103957
2022-06-03,106000,106953
2022-06-07,89500,105455
2022-06-08,88400,88976
2022-06-09,85100,87878
2022-06-10,76400,84584
2022-06-13,77000,75904
2022-06-14,78100,76503
2022-06-15,76300,77600
2022-06-16,73800,75805
2022-06-17,69500,73312
2022-06-20,70600,69027
2022-06-21,68000,70123
2022-06-22,65200,67533
2022-06-23,66900,64744
2022-06-24,66800,66437
2022-06-27,64500,66337
2022-06-28,62000,64047
2022-06-29,60200,61559
2022-06-30,59600,59769
2022-07-01,60800,59172
2022-07-04,63900,60365
2022-07-05,64100,63450
2022-07-06,67400,63649
2022-07-07,65300,66935
2022-07-08,66300,64844
2022-07-11,65200,65840
2022-07-12,67500,64744
2022-07-13,68100,67035
2022-07-14,66200,67632
2022-07-15,67700,65740
2022-07-18,66800,67234
2022-07-19,68400,66337
2022-07-20,68800,67931
2022-07-21,65300,68330
