Date,Actual Closing Price,Forecast Closing Price
1998-05-09,346,246
1998-05-11,346,246
1998-05-12,319,246
1998-05-13,319,212
1998-05-14,294,212
1998-05-15,318,181
1998-05-16,319,211
1998-05-18,344,212
1998-05-19,339,244
1998-05-20,339,237
1998-05-21,312,237
1998-05-22,312,204
1998-05-23,298,204
1998-05-25,298,186
1998-05-26,298,186
1998-05-27,291,186
1998-05-28,277,177
1998-05-29,277,160
1998-05-30,277,160
1998-06-01,277,160
1998-06-02,277,160
1998-06-03,277,160
1998-06-05,277,160
1998-06-08,277,160
1998-06-09,277,160
1998-06-10,305,160
1998-06-11,305,195
1998-06-12,305,195
1998-06-13,305,195
1998-06-15,305,195
1998-06-16,298,195
1998-06-17,298,186
1998-06-18,298,186
1998-06-19,298,186
1998-06-20,298,186
1998-06-22,332,186
1998-06-23,332,229
1998-06-24,325,229
1998-06-25,325,220
1998-06-26,364,220
1998-06-27,346,268
1998-06-29,325,246
1998-06-30,319,220
1998-07-01,319,212
1998-07-02,319,212
1998-07-03,357,212
1998-07-04,315,260
1998-07-06,284,207
1998-07-07,256,169
1998-07-08,263,134
1998-07-09,277,142
1998-07-10,277,160
1998-07-11,277,160
1998-07-13,277,160
1998-07-14,291,160
1998-07-15,305,177
1998-07-16,339,195
1998-07-18,339,237
1998-07-20,346,237
1998-07-21,367,246
1998-07-22,367,272
1998-07-23,360,272
1998-07-25,360,263
1998-07-27,360,263
1998-07-28,346,263
1998-07-29,346,246
1998-07-30,346,246
1998-07-31,346,246
1998-08-01,346,246
1998-08-03,353,246
1998-08-04,353,255
1998-08-05,360,255
1998-08-06,367,263
1998-08-07,367,272
1998-08-08,367,272
1998-08-10,346,272
1998-08-11,346,246
1998-08-12,319,246
1998-08-13,319,212
1998-08-14,319,212
1998-08-17,281,212
1998-08-18,314,165
1998-08-19,346,206
1998-08-20,346,246
1998-08-21,346,246
1998-08-22,378,246
1998-08-24,360,286
1998-08-25,317,263
1998-08-26,281,210
1998-08-27,312,165
1998-08-28,332,204
1998-09-01,360,229
1998-09-02,360,263
1998-09-03,346,263
1998-09-04,368,246
1998-09-05,367,273
1998-09-07,367,272
1998-09-08,367,272
1998-09-09,353,272
1998-09-10,346,255
1998-09-11,346,246
1998-09-12,360,246
1998-09-14,367,263
1998-09-15,325,272
1998-09-16,339,220
1998-09-17,339,237
1998-09-18,332,237
1998-09-19,332,229
1998-09-21,325,229
1998-09-22,325,220
1998-09-23,346,220
1998-09-24,346,246
1998-09-25,346,246
1998-09-26,346,246
1998-09-28,346,246
1998-09-29,346,246
1998-09-30,346,246
1998-10-01,339,246
1998-10-02,332,237
1998-10-07,332,229
1998-10-08,312,229
1998-10-09,312,204
1998-10-10,332,204
1998-10-12,346,229
1998-10-13,373,246
1998-10-14,373,280
1998-10-15,373,280
1998-10-16,346,280
1998-10-17,346,246
1998-10-19,346,246
1998-10-20,346,246
1998-10-21,346,246
1998-10-22,353,246
1998-10-23,346,255
1998-10-24,325,246
1998-10-26,325,220
1998-10-27,325,220
1998-10-28,325,220
1998-10-29,364,220
1998-10-30,353,268
1998-10-31,312,255
1998-11-02,349,204
1998-11-03,312,250
1998-11-04,349,204
1998-11-05,373,250
1998-11-06,381,280
1998-11-07,353,290
1998-11-09,346,255
1998-11-10,319,246
1998-11-11,331,212
1998-11-12,346,227
1998-11-13,360,246
1998-11-14,402,263
1998-11-16,448,316
1998-11-17,475,373
1998-11-18,478,407
1998-11-19,421,411
1998-11-20,402,340
1998-11-21,402,316
1998-11-23,388,316
1998-11-24,388,298
1998-11-25,382,298
1998-11-26,360,291
1998-11-27,361,263
1998-11-28,374,265
1998-11-30,381,281
1998-12-01,416,290
1998-12-02,450,333
1998-12-03,397,376
1998-12-04,416,310
1998-12-05,436,333
1998-12-07,416,358
1998-12-08,416,333
1998-12-09,416,333
1998-12-10,416,333
1998-12-11,416,333
1998-12-14,450,333
1998-12-15,416,376
1998-12-16,423,333
1998-12-17,416,342
1998-12-18,416,333
1998-12-21,419,333
1998-12-22,450,337
1998-12-23,450,376
1998-12-24,454,376
1998-12-28,471,381
1999-01-04,471,402
1999-01-05,485,402
1999-01-06,485,420
1999-01-07,534,420
1999-01-08,534,481
1999-01-11,540,481
1999-01-12,554,488
1999-01-13,551,506
1999-01-14,534,502
1999-01-15,554,481
1999-01-18,561,506
1999-01-19,563,515
1999-01-20,554,517
1999-01-21,554,506
1999-01-22,554,506
1999-01-25,540,506
1999-01-26,534,488
1999-01-27,520,481
1999-01-28,520,463
1999-01-29,561,463
1999-02-01,554,515
1999-02-02,554,506
1999-02-03,552,506
1999-02-04,552,503
1999-02-05,554,503
1999-02-08,522,506
1999-02-09,557,466
1999-02-10,554,510
1999-02-11,554,506
1999-02-12,534,506
1999-02-18,485,481
1999-02-19,502,420
1999-02-22,498,441
1999-02-23,457,436
1999-02-24,430,385
1999-02-25,478,351
1999-02-26,485,411
1999-03-02,506,420
1999-03-03,520,446
1999-03-04,520,463
1999-03-05,506,463
1999-03-08,506,446
1999-03-09,485,446
1999-03-10,486,420
1999-03-11,519,421
1999-03-12,530,462
1999-03-15,527,476
